Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,23.75,23.875,23.00,23.0625,350700,14.52559
2000-01-04,23.3125,23.3125,22.50,22.75,397800,14.32877
2000-01-05,22.5625,23.00,22.50,22.9375,378300,14.44686
2000-01-06,22.625,23.5625,22.625,23.4375,346600,14.76178
2000-01-07,23.4375,25.1875,23.375,25.0625,773900,15.7852
2000-01-10,25.125,25.6875,25.125,25.5625,579300,16.10018
2000-01-11,25.50,26.00,25.50,25.875,418300,16.29701
2000-01-12,25.875,25.875,24.1875,24.5625,362400,15.47035
2000-01-13,24.5625,25.50,24.5625,25.1875,195000,15.86399
2000-01-14,25.00,25.5625,24.625,25.00,337000,15.74590
2000-01-18,25.00,25.9375,25.00,25.625,489300,16.13955
2000-01-19,25.375,25.50,23.8125,24.75,409400,15.58844
2000-01-20,24.6875,25.00,24.0625,24.0625,151900,15.15543
2000-01-21,24.25,24.4375,23.4375,23.9375,284500,15.07670
2000-01-24,23.6875,24.0625,23.00,23.1875,219500,14.60432
2000-01-25,23.125,23.50,22.625,23.00,189700,14.48623
2000-01-26,22.75,22.9375,22.50,22.50,405900,14.17131
2000-01-27,22.3125,23.4375,22.3125,23.00,335700,14.48623
2000-01-28,22.9375,23.00,21.625,21.625,292200,13.62020
2000-01-31,21.875,22.4375,21.6875,22.1875,231400,13.97449
2000-02-01,22.0625,22.125,21.75,22.00,178100,13.85639
2000-02-02,21.875,22.4375,21.8125,22.375,189500,14.09258
2000-02-03,22.5625,22.875,22.1875,22.625,515500,14.25004
2000-02-04,22.75,22.8125,22.375,22.6875,261100,14.28940
2000-02-07,22.5625,22.75,21.8125,22.25,151400,14.01385
2000-02-08,22.375,22.375,21.50,21.9375,929800,13.81703
2000-02-09,22.1875,24.00,22.125,23.625,569300,14.8798
2000-02-10,23.625,23.625,22.875,22.9375,785300,14.44686
2000-02-11,23.00,23.625,23.00,23.25,775100,14.64369
2000-02-14,23.1875,23.75,23.0625,23.0625,522900,14.52559
2000-02-15,23.0625,23.50,23.00,23.4375,380900,14.76178
2000-02-16,23.125,24.125,23.0625,23.3125,757400,14.78080
2000-02-17,23.50,23.50,23.00,23.25,446300,14.74118
2000-02-18,23.125,23.5625,22.625,22.9375,491800,14.54304
2000-02-22,22.9375,23.1875,22.6875,22.9375,363800,14.54304
2000-02-23,22.9375,25.00,22.9375,24.6875,439000,15.65259
2000-02-24,24.625,24.625,23.50,23.75,415500,15.05819
2000-02-25,23.8125,24.9375,23.8125,24.125,384300,15.29595
2000-02-28,24.00,24.00,23.125,23.50,311900,14.89968
2000-02-29,23.375,24.75,23.3125,24.50,250300,15.53371
2000-03-01,24.6875,25.3125,24.3125,24.75,383500,15.69222
2000-03-02,24.8125,24.8125,24.125,24.5625,271900,15.57334
2000-03-03,24.3125,25.75,24.125,25.50,305400,16.16774
2000-03-06,26.50,26.50,25.00,25.3125,381800,16.04886
2000-03-07,25.0625,25.375,24.50,24.875,509500,15.77147
2000-03-08,24.75,24.75,24.125,24.5625,293900,15.57334
2000-03-09,24.5625,25.75,24.375,25.1875,221300,15.96961
2000-03-10,25.125,25.125,23.5625,24.3125,414100,15.41483
2000-03-13,24.3125,24.4375,23.1875,23.9375,245000,15.17707
2000-03-14,23.875,25.9375,23.875,24.4375,307100,15.4940
2000-03-15,24.1875,26.25,24.0625,26.25,516200,16.64326
2000-03-16,26.1875,26.25,25.25,25.6875,289400,16.28662
2000-03-17,25.4375,27.1875,25.3125,26.75,287400,16.96028
2000-03-20,26.75,27.50,26.25,26.375,205000,16.72252
2000-03-21,26.25,26.3125,25.125,26.125,338900,16.56401
2000-03-22,27.125,27.875,27.00,27.75,572100,17.59431
2000-03-23,27.75,28.50,27.375,28.125,374500,17.83207
2000-03-24,27.875,28.25,27.25,27.25,254300,17.27729
2000-03-27,27.0625,27.625,26.8125,26.875,176300,17.03953
2000-03-28,26.875,27.0625,25.375,25.875,216400,16.40550
2000-03-29,26.125,26.125,24.6875,24.9375,286200,15.81110
2000-03-30,24.9375,25.875,24.9375,25.50,370300,16.16774
2000-03-31,25.375,27.50,25.375,27.50,356000,17.43580
2000-04-03,26.875,27.00,25.8125,25.9375,219700,16.44513
2000-04-04,25.6875,26.25,25.375,26.0625,325100,16.52438
2000-04-05,26.00,26.875,25.75,26.5625,287500,16.84140
2000-04-06,26.75,27.25,26.6875,27.00,382600,17.1187
2000-04-07,27.00,27.4375,26.875,26.875,171600,17.03953
2000-04-10,26.9375,27.125,26.0625,26.125,206800,16.56401
2000-04-11,26.125,27.375,25.8125,27.375,201600,17.35655
2000-04-12,27.3125,27.875,27.0625,27.25,288600,17.27729
