Date,Open,High,Low,Close,Volume,Adj Clos
2007-07-26,20.00,20.00,20.00,20.00,34200,7.76624
2007-07-27,20.00,20.01,20.00,20.00,23400,7.76624
2007-07-30,20.00,20.01,20.00,20.00,50000,7.76624
2007-07-31,20.00,20.01,20.00,20.01,22900,7.77012
2007-08-01,20.00,20.01,19.50,19.50,30600,7.57208
2007-08-02,19.50,19.51,19.360001,19.360001,80900,7.51772
2007-08-03,19.299999,19.35,19.26,19.26,8600,7.47889
2007-08-06,19.26,19.26,18.799999,18.799999,37600,7.3002
2007-08-07,18.77,19.190001,18.77,19.190001,26700,7.45171
2007-08-08,19.10,19.50,19.10,19.41,21800,7.53714
2007-08-09,19.450001,20.10,19.450001,19.58,44700,7.60315
2007-08-10,19.50,19.75,19.40,19.40,36000,7.53325
2007-08-13,19.40,19.43,19.299999,19.34,19900,7.50995
2007-08-14,19.34,20.90,19.34,19.99,57000,7.76236
2007-08-15,20.00,20.02,18.75,18.809999,30100,7.30415
2007-08-16,18.709999,18.709999,16.27,16.549999,65800,6.42656
2007-08-17,16.85,17.00,15.62,16.43,72400,6.3799
2007-08-20,16.700001,17.24,16.23,17.24,44300,6.69450
2007-08-21,16.99,17.24,16.66,17.08,33200,6.63237
2007-08-22,17.08,17.700001,16.83,17.610001,31800,6.83817
2007-08-23,17.610001,17.77,17.07,17.700001,22900,6.87312
2007-08-24,17.799999,17.870001,17.40,17.870001,9100,6.9391
2007-08-27,17.709999,17.90,17.110001,17.690001,28700,6.86924
2007-08-28,17.59,17.690001,17.00,17.549999,27300,6.8148
2007-08-29,17.65,17.870001,17.049999,17.790001,35600,6.90807
2007-08-30,17.389999,17.43,17.049999,17.110001,21900,6.64402
2007-08-31,17.309999,18.809999,17.309999,17.780001,19400,6.90419
2007-09-04,17.90,18.15,17.50,17.799999,26500,6.91195
2007-09-05,17.90,17.93,17.50,17.84,10800,6.92749
2007-09-06,17.75,18.08,17.66,17.870001,15900,6.9391
2007-09-07,17.50,18.00,17.25,17.610001,15900,6.83817
2007-09-10,17.709999,18.24,17.65,17.959999,17100,6.97408
2007-09-11,18.059999,18.25,17.879999,17.959999,4800,6.97408
2007-09-12,17.629999,17.629999,16.860001,17.10,26700,6.69305
2007-09-13,17.00,17.49,16.860001,17.389999,31000,6.80656
2007-09-14,17.030001,17.290001,17.030001,17.059999,12800,6.67740
2007-09-17,17.190001,17.24,16.879999,17.00,27900,6.65391
2007-09-18,17.00,17.559999,16.709999,17.549999,24600,6.86919
2007-09-19,17.790001,18.00,17.16,17.25,30100,6.75176
2007-09-20,17.25,17.389999,16.76,16.83,29800,6.58737
2007-09-21,17.049999,17.190001,16.870001,17.030001,19700,6.6656
2007-09-24,16.620001,17.09,16.51,16.809999,45500,6.5795
2007-09-25,16.67,17.07,16.549999,16.799999,49000,6.57563
2007-09-26,16.799999,16.940001,16.459999,16.719999,50000,6.54432
2007-09-27,16.58,16.940001,16.58,16.809999,46500,6.5795
2007-09-28,16.799999,17.00,16.73,16.74,30200,6.55215
2007-10-01,16.709999,17.049999,16.66,17.00,48500,6.65391
2007-10-02,17.10,17.290001,16.93,17.129999,33300,6.704
2007-10-03,17.200001,17.34,16.950001,16.950001,52700,6.63434
2007-10-04,17.00,17.00,16.709999,16.719999,32600,6.54432
2007-10-05,16.799999,17.25,16.799999,17.200001,39800,6.73219
2007-10-08,17.15,17.290001,16.91,17.209999,60300,6.73611
2007-10-09,17.309999,17.440001,17.200001,17.360001,32400,6.79482
2007-10-10,17.07,17.299999,17.07,17.290001,43200,6.82323
2007-10-11,17.190001,17.40,17.049999,17.09,33400,6.74431
2007-10-12,17.10,17.17,16.889999,16.959999,36400,6.69300
2007-10-15,16.82,17.040001,16.77,16.860001,47600,6.65354
2007-10-16,16.790001,16.790001,16.58,16.59,37800,6.54699
2007-10-17,16.610001,16.780001,16.450001,16.73,38500,6.60224
2007-10-18,16.51,16.889999,16.43,16.889999,74200,6.66538
2007-10-19,16.84,16.879999,16.440001,16.629999,34200,6.56277
2007-10-22,16.549999,16.549999,16.129999,16.459999,39700,6.4956
2007-10-23,16.629999,16.68,16.299999,16.459999,34900,6.4956
2007-10-24,16.280001,16.370001,16.15,16.27,22000,6.4207
2007-10-25,16.360001,16.43,16.059999,16.120001,26000,6.36151
2007-10-26,16.049999,16.27,15.81,16.27,63600,6.4207
2007-10-29,16.219999,16.65,16.10,16.379999,114800,6.46411
2007-10-30,16.280001,16.379999,16.02,16.190001,44600,6.38913
2007-10-31,16.25,16.32,16.01,16.23,69100,6.40492
2007-11-01,16.120001,16.139999,15.85,15.96,55000,6.29837
2007-11-02,16.09,16.15,15.51,15.90,67300,6.27469
2007-11-05,15.76,15.87,15.47,15.57,53700,6.14446
2007-11-06,15.57,15.90,15.36,15.73,53600,6.20760
2007-11-07,15.60,15.76,15.50,15.60,42800,6.15630
2007-11-08,15.60,15.78,15.30,15.78,62900,6.22733
2007-11-09,15.37,15.73,15.36,15.50,65100,6.11684
2007-11-12,15.50,15.70,15.35,15.42,44900,6.0852
2007-11-13,15.43,15.50,14.93,15.36,144400,6.06159
2007-11-14,15.27,15.39,15.02,15.13,60800,6.0265
2007-11-15,15.02,15.11,14.65,14.73,60800,5.86721
2007-11-16,14.87,14.94,14.47,14.72,73200,5.8632
2007-11-19,14.84,14.84,14.21,14.56,76800,5.799
2007-11-20,14.62,14.79,14.34,14.52,47000,5.78356
2007-11-21,14.40,14.60,14.11,14.39,72800,5.73178
2007-11-23,14.53,14.78,14.48,14.73,11500,5.86721
2007-11-26,14.80,14.91,14.21,14.53,101300,5.7875
2007-11-27,14.65,14.70,14.31,14.60,91900,5.81543
2007-11-28,14.61,14.97,14.61,14.96,74000,5.95882
2007-11-29,14.95,15.07,14.83,15.05,51300,5.99467
2007-11-30,15.11,15.37,15.07,15.37,84800,6.12213
2007-12-03,15.30,15.68,15.12,15.28,114100,6.08628
2007-12-04,15.12,15.44,14.97,15.23,86800,6.06637
2007-12-05,15.32,15.50,15.25,15.27,72500,6.08230
2007-12-06,15.22,15.59,15.10,15.59,108300,6.20976
2007-12-07,15.53,15.88,15.53,15.61,74700,6.21773
2007-12-10,15.51,15.88,15.40,15.68,60000,6.24561
2007-12-11,15.72,15.84,15.15,15.44,115900,6.15001
2007-12-12,15.59,15.77,15.07,15.50,117200,6.23122
2007-12-13,15.40,15.54,15.00,15.19,54100,6.10660
2007-12-14,15.07,15.20,14.84,15.19,66800,6.10660
2007-12-17,15.14,15.14,14.60,14.60,81200,5.86941
2007-12-18,15.00,15.00,14.32,14.61,132500,5.87343
2007-12-19,14.68,14.71,14.27,14.40,120900,5.78900
2007-12-20,14.39,14.97,14.17,14.50,121700,5.82921
2007-12-21,14.46,14.81,14.45,14.75,124200,5.92971
2007-12-24,14.63,14.99,14.55,14.94,54400,6.00609
2007-12-26,14.90,15.09,14.84,15.04,87300,6.04629
2007-12-27,14.87,15.14,14.56,14.88,106800,5.98197
2007-12-28,14.91,15.20,14.75,15.00,76900,6.03021
2007-12-31,14.84,15.55,14.72,15.18,159800,6.10258
