Date,Open,High,Low,Close,Volume,Adj Clos
2007-06-14,28.00,30.50,28.00,28.75,3279100,25.34426
2007-06-15,29.50,29.799999,28.879999,29.08,790100,25.63517
2007-06-18,29.32,30.200001,29.299999,29.93,1591000,26.38448
2007-06-19,30.00,30.299999,29.60,29.700001,1585100,26.18172
2007-06-20,30.040001,30.10,29.57,29.809999,855900,26.27869
2007-06-21,30.059999,31.950001,29.610001,31.209999,842700,27.51285
2007-06-22,31.50,32.169998,31.00,31.700001,1490700,27.94480
2007-06-25,31.50,32.00,31.01,31.299999,490000,27.5921
2007-06-26,31.299999,31.65,30.25,30.41,853900,26.8076
2007-06-27,30.60,30.799999,29.57,29.58,1127300,26.07594
2007-06-28,29.879999,29.90,29.16,29.50,488900,26.00541
2007-06-29,29.99,30.299999,27.93,28.50,3085200,25.1238
2007-07-02,28.549999,29.15,27.200001,27.50,10999000,24.2423
2007-07-03,27.50,27.50,26.15,26.67,8600100,23.51066
2007-07-05,26.25,26.92,25.74,25.93,8422000,22.85832
2007-07-06,25.639999,25.860001,25.209999,25.639999,7211800,22.60267
2007-07-09,25.719999,26.540001,25.440001,25.540001,11675200,22.51452
2007-07-10,25.60,25.65,24.799999,24.90,8591800,21.95033
2007-07-11,25.02,25.27,24.75,25.209999,10251400,22.22361
2007-07-12,25.59,26.59,25.209999,26.34,10297300,23.21975
2007-07-13,26.469999,27.43,26.02,27.16,6752500,23.94261
2007-07-16,27.209999,27.450001,26.66,26.84,9892000,23.66052
2007-07-17,26.959999,26.99,26.309999,26.50,5434600,23.36080
2007-07-18,26.450001,26.50,25.700001,26.360001,4594800,23.23738
2007-07-19,26.25,26.950001,26.25,26.709999,4868900,23.54592
2007-07-20,26.709999,27.120001,26.25,26.299999,5751300,23.18449
2007-07-23,26.299999,26.51,26.10,26.120001,4711800,23.02581
2007-07-24,25.540001,25.60,24.93,25.00,5483800,22.03849
2007-07-25,24.76,24.84,23.75,24.10,8391500,21.24510
2007-07-26,23.26,24.879999,22.75,24.620001,9834900,21.70350
2007-07-27,24.26,24.700001,23.33,23.33,6678000,20.5663
2007-07-30,23.40,23.93,22.370001,23.57,5056000,20.77788
2007-07-31,23.65,24.10,22.83,23.049999,4132300,20.31948
2007-08-01,22.68,23.07,22.049999,22.879999,5583900,20.16962
2007-08-02,22.50,24.049999,22.48,23.370001,3032900,20.60158
2007-08-03,22.66,23.110001,21.530001,21.99,5256100,19.38505
2007-08-06,22.24,23.530001,21.25,22.15,6010700,19.52610
2007-08-07,22.049999,23.530001,21.719999,22.879999,3885200,20.16962
2007-08-08,23.50,24.57,23.00,24.290001,5645200,21.41259
2007-08-09,23.40,23.959999,22.059999,22.16,4554600,19.53491
2007-08-10,21.75,21.950001,20.35,20.860001,10813200,18.38891
2007-08-13,21.26,22.290001,21.26,22.10,7115200,19.48202
2007-08-14,22.290001,22.66,21.709999,21.959999,3845000,19.3586
2007-08-15,21.889999,22.40,21.16,21.66,3690300,19.09414
2007-08-16,20.50,23.139999,20.469999,22.85,5503500,20.14318
2007-08-17,23.889999,23.99,22.91,23.18,5668600,20.43408
2007-08-20,23.10,23.50,22.48,23.450001,3786500,20.67210
2007-08-21,23.09,23.959999,23.07,23.67,2471000,20.86604
2007-08-22,23.66,24.00,23.25,23.73,3601000,20.91893
2007-08-23,23.940001,24.030001,23.18,23.700001,2904000,20.8924
2007-08-24,23.42,24.02,23.379999,23.99,2001000,21.14813
2007-08-27,24.02,24.040001,23.700001,23.83,1629600,21.0070
2007-08-28,23.32,23.549999,22.559999,22.709999,4219100,20.01976
2007-08-29,22.57,23.58,21.59,23.33,2932600,20.5663
2007-08-30,22.82,23.00,22.50,22.76,2269400,20.06384
2007-08-31,23.01,23.879999,22.540001,23.139999,3092600,20.39882
2007-09-04,23.049999,23.559999,22.629999,23.43,2459400,20.65447
2007-09-05,22.68,23.120001,22.360001,22.549999,2703300,19.87871
2007-09-06,22.51,22.52,22.049999,22.280001,3297000,19.64070
2007-09-07,21.98,21.98,20.860001,21.110001,3985000,18.60930
2007-09-10,21.17,21.52,20.25,20.559999,2746400,18.12445
2007-09-11,20.52,21.15,20.469999,20.610001,2838100,18.16853
2007-09-12,20.450001,21.440001,20.25,21.00,3052400,18.51233
2007-09-13,21.00,21.74,21.00,21.34,2328500,18.81205
2007-09-14,21.290001,21.559999,21.01,21.27,1839600,18.75034
2007-09-17,21.209999,21.41,20.50,21.32,2233500,18.79442
2007-09-18,21.40,23.09,21.16,23.09,3637000,20.3547
2007-09-19,23.219999,23.82,23.02,23.41,4394100,20.63684
2007-09-20,23.27,24.00,22.610001,22.66,2683300,19.97568
2007-09-21,22.75,22.799999,21.98,22.40,10196300,19.74648
2007-09-24,22.700001,23.48,22.24,22.26,4334300,19.62307
2007-09-25,22.26,22.26,21.17,21.719999,9227000,19.1470
2007-09-26,21.65,21.940001,21.209999,21.25,4631500,18.73271
2007-09-27,21.16,21.33,20.59,20.67,5640600,18.22142
2007-09-28,20.700001,20.870001,20.33,20.799999,3736300,18.33602
2007-10-01,21.00,21.59,20.629999,21.57,3324900,19.0148
2007-10-02,21.57,22.139999,21.27,21.370001,2774300,18.83850
2007-10-03,21.299999,22.10,21.25,21.35,2493400,18.87386
2007-10-04,21.50,22.07,21.379999,22.02,3491400,19.46615
2007-10-05,22.23,22.90,22.200001,22.73,3201100,20.09381
2007-10-08,22.60,22.76,22.48,22.65,2088800,20.02309
2007-10-09,22.67,23.33,22.610001,23.030001,3488500,20.3590
2007-10-10,23.00,23.01,22.50,22.65,4030500,20.02309
2007-10-11,22.85,23.129999,21.940001,22.030001,3776600,19.47499
2007-10-12,22.09,22.290001,21.85,22.129999,1775200,19.56339
2007-10-15,22.10,22.200001,20.91,21.379999,2822500,18.90038
2007-10-16,21.34,21.370001,20.77,20.93,3155500,18.50257
2007-10-17,21.629999,21.73,20.440001,20.780001,3501000,18.36997
2007-10-18,20.610001,20.74,20.27,20.530001,4580600,18.14896
2007-10-19,20.49,20.540001,19.690001,19.799999,7103200,17.50362
2007-10-22,19.08,19.76,18.85,19.68,4088400,17.39754
2007-10-23,20.00,20.17,19.059999,19.41,4104800,17.15886
2007-10-24,19.389999,19.50,17.790001,18.389999,8320900,16.25715
2007-10-25,18.379999,18.639999,16.91,17.559999,10096200,15.52342
2007-10-26,18.68,19.01,17.99,18.93,9463800,16.73453
2007-10-29,19.16,19.870001,19.16,19.49,6023500,17.22958
2007-10-30,19.40,20.41,19.129999,20.139999,5484300,17.80419
2007-10-31,20.799999,20.91,19.00,19.299999,8865500,17.06161
2007-11-01,18.950001,18.98,17.50,18.52,7765900,16.37208
2007-11-02,18.67,18.67,17.67,18.18,10119800,16.07151
2007-11-05,18.139999,18.23,17.74,18.15,4607700,16.04499
2007-11-06,18.139999,18.469999,17.860001,18.24,3727400,16.12455
2007-11-07,17.50,18.02,17.139999,17.26,7694400,15.25821
2007-11-08,17.16,17.790001,16.959999,17.700001,5583200,15.64718
2007-11-09,17.00,17.99,17.00,17.82,4576800,15.75326
2007-11-12,17.950001,18.700001,17.530001,18.01,5020800,15.92123
2007-11-13,18.200001,19.50,17.969999,19.00,6170400,16.79641
2007-11-14,18.879999,19.299999,18.27,18.290001,3774400,16.16875
2007-11-15,18.18,18.299999,17.59,17.68,4739100,15.62950
2007-11-16,17.76,18.049999,17.50,17.76,3061800,15.70022
2007-11-19,17.200001,17.200001,16.65,16.74,6857900,14.79852
2007-11-20,16.889999,17.09,15.98,16.440001,6536900,14.53331
2007-11-21,15.72,16.549999,15.72,16.25,6162200,14.36535
2007-11-23,16.389999,16.85,15.95,16.68,1605200,14.74548
2007-11-26,17.00,17.00,16.200001,16.299999,5691600,14.40955
2007-11-27,16.25,16.790001,16.25,16.75,3894100,14.80736
2007-11-28,16.91,17.68,16.90,17.65,4580500,15.60298
2007-11-29,17.76,17.76,17.209999,17.280001,3924100,15.27589
2007-11-30,17.77,18.58,17.209999,17.370001,7056800,15.35545
2007-12-03,17.370001,17.85,16.280001,16.389999,7066400,14.48911
2007-12-04,16.32,16.68,16.190001,16.209999,5385500,14.32999
2007-12-05,16.33,16.83,16.309999,16.450001,2925600,14.54215
2007-12-06,16.629999,17.32,16.469999,17.32,2490100,15.31125
2007-12-07,16.83,17.129999,16.40,16.76,4843000,14.81620
2007-12-10,16.77,17.75,16.68,17.27,3549000,15.26705
2007-12-11,17.26,17.26,16.290001,16.32,3755400,14.42723
2007-12-12,16.719999,17.10,16.120001,16.51,7542400,14.59519
2007-12-13,16.40,16.469999,15.80,16.42,6276600,14.51563
2007-12-14,16.16,16.190001,15.50,15.64,6832200,13.826
2007-12-17,15.54,15.97,15.20,15.61,4135200,13.79957
2007-12-18,15.69,16.049999,15.54,15.89,4466000,14.04710
2007-12-19,16.139999,16.139999,15.55,15.89,3626800,14.04710
2007-12-20,16.35,16.99,15.34,15.46,7280200,13.66697
2007-12-21,15.66,15.75,15.31,15.50,6675500,13.70233
2007-12-24,15.32,15.73,15.32,15.63,1653300,13.81725
2007-12-26,15.31,15.78,15.31,15.71,2503200,13.88798
2007-12-27,15.72,15.78,15.20,15.20,3386300,13.4371
2007-12-28,15.14,15.38,14.81,14.94,3749400,13.20728
2007-12-31,14.88,15.27,14.87,15.08,3255500,13.38480
2008-01-02,15.10,15.49,14.84,14.90,4215300,13.22503
2008-01-03,14.98,15.26,14.76,14.83,4608900,13.16290
2008-01-04,14.61,14.69,13.62,13.94,4191000,12.37295
2008-01-07,14.10,14.77,13.99,14.38,4056600,12.76349
2008-01-08,14.43,14.68,13.54,13.60,4379100,12.07117
