Date,Open,High,Low,Close,Volume,Adj Clos
2003-02-03,17.00,17.00,16.00,16.00,3200,5.50584
2003-02-04,16.00,16.00,15.10,15.10,3200,5.19614
2003-02-05,14.90,14.90,14.25,14.30,10600,4.92085
2003-02-06,14.15,14.25,12.55,13.00,41200,4.47350
2003-02-07,13.00,13.50,13.00,13.43,9700,4.6214
2003-02-10,13.60,13.92,13.59,13.62,29300,4.68685
2003-02-11,13.70,13.80,13.69,13.72,24000,4.72126
2003-02-12,13.72,13.76,13.40,13.75,49300,4.73158
2003-02-13,13.69,14.33,13.61,14.33,23100,4.93117
2003-02-14,14.23,14.74,13.76,14.23,23500,4.89676
2003-02-18,14.00,14.22,13.79,13.85,9000,4.76599
2003-02-19,14.01,14.02,13.32,13.67,10900,4.70405
2003-02-20,13.50,14.25,13.50,14.10,36800,4.85202
2003-02-21,14.30,14.51,14.05,14.32,29600,4.92773
2003-02-24,14.49,14.95,14.39,14.79,24500,5.08946
2003-02-25,14.74,15.47,14.60,14.61,67200,5.02752
2003-02-26,14.70,15.10,14.10,15.00,31700,5.16173
2003-02-27,15.05,15.25,14.71,14.96,17600,5.14796
2003-02-28,14.91,14.91,14.67,14.70,26600,5.05849
2003-03-03,14.77,15.17,14.52,14.52,12700,4.99655
2003-03-04,14.87,14.87,14.51,14.61,14500,5.02752
2003-03-05,14.60,14.98,14.50,14.96,36700,5.14796
2003-03-06,14.81,14.81,14.75,14.80,5000,5.09290
2003-03-07,14.70,14.97,14.50,14.80,7000,5.09290
2003-03-10,14.60,15.00,14.60,14.90,5200,5.1273
2003-03-11,14.90,15.00,14.65,14.99,7700,5.1582
2003-03-12,14.65,14.75,14.64,14.65,3000,5.04129
2003-03-13,14.95,14.95,14.50,14.50,1500,4.98967
2003-03-14,14.50,14.53,14.30,14.42,3900,4.96214
2003-03-17,14.50,14.50,14.10,14.41,3600,4.95870
2003-03-18,14.40,14.44,14.03,14.44,16100,4.96902
2003-03-19,14.17,14.50,14.17,14.50,5100,4.98967
2003-03-20,14.50,14.50,14.25,14.25,1900,4.90364
2003-03-21,14.11,14.60,14.11,14.23,4600,4.89676
2003-03-24,14.11,14.14,14.11,14.14,600,4.86579
2003-03-25,14.35,14.35,14.35,14.35,2100,4.93805
2003-03-26,14.29,14.35,13.90,13.90,11700,4.78320
2003-03-27,13.90,14.12,13.70,13.90,4000,4.78320
2003-03-28,13.90,14.08,13.90,14.00,7000,4.81761
2003-03-31,13.80,14.35,13.80,14.35,2600,4.93805
2003-04-01,14.39,14.90,14.25,14.30,4900,4.92085
2003-04-02,14.30,14.30,14.30,14.30,100,4.92085
2003-04-03,14.30,14.65,14.30,14.30,4200,4.92085
2003-04-04,14.30,14.60,14.30,14.60,200,5.02408
2003-04-07,14.30,14.75,14.30,14.70,2600,5.05849
2003-04-08,14.40,14.43,14.40,14.40,700,4.95526
2003-04-09,14.40,14.71,14.40,14.71,6400,5.06193
2003-04-10,14.75,15.00,14.67,15.00,22100,5.16173
2003-04-11,15.00,15.00,14.72,14.99,14400,5.1582
2003-04-14,15.00,15.20,14.95,15.09,14400,5.19270
2003-04-15,15.20,15.20,15.19,15.20,5700,5.23055
2003-04-16,15.20,15.40,14.51,15.02,17700,5.16861
2003-04-17,15.24,15.33,15.13,15.25,51700,5.2477
2003-04-21,15.44,16.24,15.30,15.60,75400,5.36820
2003-04-22,15.80,15.80,15.50,15.55,16700,5.35099
2003-04-23,15.45,15.55,14.67,15.19,47400,5.22711
2003-04-24,15.19,16.24,15.04,15.04,8000,5.24664
2003-04-25,15.02,15.25,14.91,15.25,1900,5.31990
2003-04-28,16.719999,16.719999,15.24,15.35,11500,5.35479
2003-04-29,15.11,15.50,15.11,15.40,9500,5.37223
2003-04-30,15.50,15.52,14.80,15.52,5200,5.41409
2003-05-01,15.70,16.16,15.63,16.01,12800,5.5850
