Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,7.00,7.0625,6.9375,7.00,240000,1.23930
2000-01-04,7.00,7.125,6.9375,7.00,190200,1.23930
2000-01-05,7.0625,7.125,7.0625,7.0625,154200,1.25037
2000-01-06,7.0625,7.1875,7.0625,7.0625,197300,1.25037
2000-01-07,7.125,7.125,7.0625,7.125,165900,1.26143
2000-01-10,7.125,7.1875,7.125,7.1875,512000,1.27250
2000-01-11,7.125,7.1875,7.0625,7.0625,245400,1.25037
2000-01-12,7.125,7.125,7.0625,7.125,153300,1.26143
2000-01-13,7.0625,7.1875,7.0625,7.1875,138700,1.27250
2000-01-14,7.125,7.1875,7.0625,7.1875,165600,1.27250
2000-01-18,7.125,7.1875,7.0625,7.125,169600,1.26143
2000-01-19,7.0625,7.1875,7.0625,7.0625,187500,1.25037
2000-01-20,7.0625,7.1875,7.0625,7.125,103300,1.26143
2000-01-21,7.125,7.1875,7.0625,7.125,163200,1.26143
2000-01-24,7.125,7.25,7.125,7.125,200200,1.26143
2000-01-25,7.125,7.25,7.125,7.1875,118100,1.27250
2000-01-26,7.1875,7.25,7.1875,7.1875,139600,1.27250
2000-01-27,7.25,7.3125,7.1875,7.3125,249200,1.29463
2000-01-28,7.25,7.3125,7.125,7.25,262700,1.28356
2000-01-31,7.1875,7.25,7.125,7.25,185400,1.28356
2000-02-01,7.1875,7.3125,7.1875,7.3125,205900,1.29463
2000-02-02,7.3125,7.3125,7.1875,7.3125,135500,1.29463
2000-02-03,7.3125,7.375,7.25,7.375,236300,1.30569
2000-02-04,7.375,7.375,7.25,7.375,198000,1.30569
2000-02-07,7.375,7.4375,7.3125,7.375,212600,1.30569
2000-02-08,7.375,7.4375,7.3125,7.4375,212300,1.31676
2000-02-09,7.4375,7.50,7.375,7.4375,199800,1.31676
2000-02-10,7.375,7.4375,7.375,7.375,172500,1.30569
2000-02-11,7.4375,7.4375,7.375,7.375,129600,1.30569
2000-02-14,7.4375,7.4375,7.375,7.375,177700,1.30569
2000-02-15,7.375,7.375,7.25,7.3125,271700,1.31026
