Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,12.625,12.75,12.5625,12.75,20400,5.13421
2000-01-04,12.75,12.75,12.625,12.75,21000,5.13421
2000-01-05,12.75,12.75,12.625,12.75,26700,5.13421
2000-01-06,12.6875,12.8125,12.6875,12.8125,16600,5.15938
2000-01-07,12.75,12.875,12.75,12.875,2900,5.18455
2000-01-10,12.875,12.875,12.8125,12.875,15700,5.18455
2000-01-11,12.75,12.8125,12.625,12.625,17900,5.0838
2000-01-12,12.625,12.625,12.50,12.625,17200,5.11548
2000-01-13,12.50,12.625,12.50,12.50,15000,5.06483
2000-01-14,12.5625,12.625,12.50,12.5625,16800,5.0901
2000-01-18,12.50,12.625,12.4375,12.50,13200,5.06483
2000-01-19,12.4375,12.5625,12.4375,12.50,7700,5.06483
2000-01-20,12.50,12.5625,12.375,12.4375,16000,5.03951
2000-01-21,12.375,12.4375,12.25,12.375,17700,5.01418
2000-01-24,12.4375,12.4375,12.25,12.4375,21000,5.03951
2000-01-25,12.375,12.5625,12.375,12.5625,13700,5.0901
2000-01-26,12.625,12.625,12.50,12.5625,9900,5.0901
2000-01-27,12.6875,12.8125,12.625,12.6875,26200,5.14080
2000-01-28,12.8125,12.9375,12.75,12.9375,15400,5.24210
2000-01-31,12.875,13.00,12.875,12.9375,3300,5.24210
2000-02-01,12.9375,13.00,12.9375,13.00,18100,5.2674
2000-02-02,13.00,13.125,13.00,13.125,17500,5.31807
2000-02-03,13.0625,13.1875,13.00,13.1875,10500,5.34340
2000-02-04,13.1875,13.1875,13.125,13.125,11600,5.31807
2000-02-07,13.125,13.1875,13.125,13.1875,6600,5.34340
2000-02-08,13.25,13.3125,13.125,13.25,11100,5.36872
2000-02-09,13.1875,13.25,13.125,13.1875,23100,5.34340
2000-02-10,13.25,13.25,13.1875,13.25,16700,5.36872
2000-02-11,13.125,13.125,13.0625,13.125,3500,5.34956
2000-02-14,13.0625,13.125,13.0625,13.0625,6000,5.32409
2000-02-15,13.125,13.1875,13.125,13.125,7200,5.34956
2000-02-16,13.125,13.125,13.0625,13.125,2500,5.34956
2000-02-17,13.0625,13.125,13.0625,13.0625,4600,5.32409
2000-02-18,13.00,13.0625,13.00,13.0625,12900,5.32409
2000-02-22,13.00,13.0625,13.00,13.00,10400,5.29862
2000-02-23,13.0625,13.0625,12.9375,13.0625,20200,5.32409
2000-02-24,13.00,13.00,12.9375,13.00,2700,5.29862
2000-02-25,13.00,13.0625,13.00,13.0625,8400,5.32409
2000-02-28,13.0625,13.125,13.00,13.125,6200,5.34956
2000-02-29,13.0625,13.0625,13.00,13.00,7400,5.29862
2000-03-01,13.0625,13.0625,13.00,13.00,9900,5.29862
2000-03-02,12.9375,12.9375,12.9375,12.9375,7000,5.27314
2000-03-03,13.00,13.00,12.9375,13.00,22200,5.29862
2000-03-06,13.00,13.00,12.9375,12.9375,12300,5.27314
2000-03-07,12.9375,13.00,12.875,12.875,6200,5.24767
2000-03-08,12.9375,12.9375,12.75,12.75,6100,5.19672
2000-03-09,12.75,12.8125,12.6875,12.75,2100,5.19672
2000-03-10,12.6875,12.8125,12.625,12.75,8900,5.19672
2000-03-13,12.6875,12.75,12.625,12.75,10200,5.22871
2000-03-14,12.75,12.875,12.625,12.75,20200,5.22871
2000-03-15,12.8125,12.8125,12.75,12.75,4400,5.22871
2000-03-16,12.8125,12.8125,12.75,12.75,7100,5.22871
2000-03-17,12.8125,12.8125,12.6875,12.6875,4000,5.20308
2000-03-20,12.75,12.8125,12.6875,12.75,10800,5.22871
2000-03-21,12.8125,12.8125,12.6875,12.75,13700,5.22871
2000-03-22,12.8125,12.8125,12.75,12.8125,2200,5.25434
2000-03-23,12.75,12.75,12.75,12.75,1900,5.22871
2000-03-24,12.8125,12.8125,12.8125,12.8125,2900,5.25434
2000-03-27,12.75,12.875,12.75,12.8125,5100,5.25434
2000-03-28,12.875,13.00,12.875,13.00,9700,5.33123
2000-03-29,13.0625,13.0625,13.00,13.00,9000,5.33123
2000-03-30,13.0625,13.0625,13.00,13.00,2900,5.33123
2000-03-31,13.0625,13.1875,13.0625,13.0625,11000,5.35686
2000-04-03,13.125,13.1875,13.0625,13.1875,4100,5.40812
2000-04-04,13.125,13.25,13.125,13.125,12200,5.38249
2000-04-05,13.1875,13.25,13.125,13.1875,7000,5.40812
2000-04-06,13.125,13.25,13.125,13.1875,5500,5.40812
2000-04-07,13.125,13.25,13.125,13.125,6000,5.38249
2000-04-10,13.125,13.25,13.125,13.25,3100,5.4337
2000-04-11,13.25,13.25,13.125,13.1875,13100,5.40812
2000-04-12,13.125,13.25,13.125,13.1875,10500,5.44030
2000-04-13,13.25,13.375,13.25,13.3125,7300,5.49187
2000-04-14,13.375,13.4375,13.3125,13.3125,20900,5.49187
2000-04-17,13.375,13.4375,13.25,13.3125,16500,5.49187
2000-04-18,13.375,13.375,13.1875,13.1875,10900,5.44030
2000-04-19,13.3125,13.375,13.1875,13.1875,6200,5.44030
2000-04-20,13.1875,13.25,13.1875,13.1875,8700,5.44030
2000-04-24,13.25,13.25,13.0625,13.125,24500,5.41452
2000-04-25,13.125,13.1875,13.125,13.125,4600,5.41452
2000-04-26,13.125,13.125,13.0625,13.125,4200,5.41452
2000-04-27,13.125,13.125,13.00,13.125,6200,5.41452
2000-04-28,13.125,13.125,13.0625,13.0625,4400,5.3887
2000-05-01,13.1875,13.25,13.1875,13.1875,10200,5.44030
2000-05-02,13.25,13.375,13.25,13.3125,10100,5.49187
2000-05-03,13.375,13.4375,13.25,13.4375,10800,5.5434
2000-05-04,13.4375,13.50,13.3125,13.4375,31700,5.5434
2000-05-05,13.4375,13.50,13.4375,13.50,16600,5.56922
2000-05-08,13.5625,13.5625,13.4375,13.4375,11500,5.5434
2000-05-09,13.4375,13.50,13.4375,13.4375,8900,5.5434
2000-05-10,13.50,13.50,13.4375,13.4375,1400,5.5434
2000-05-11,13.375,13.375,13.3125,13.3125,1300,5.52393
2000-05-12,13.3125,13.3125,13.3125,13.3125,4700,5.52393
2000-05-15,13.3125,13.375,13.3125,13.3125,4900,5.52393
