Date,Open,High,Low,Close,Volume,Adj Clos
2008-02-14,25.040001,25.50,24.90,25.15,4389600,12.95882
2008-02-15,25.049999,25.549999,24.90,25.10,1609900,12.93306
2008-02-19,25.10,25.299999,24.799999,25.200001,3771800,12.98458
2008-02-20,25.10,25.50,24.879999,25.08,1132500,12.92275
2008-02-21,25.15,25.50,24.950001,25.200001,1315600,12.98458
2008-02-22,25.25,25.549999,24.35,25.469999,836800,13.12370
2008-02-25,25.469999,25.60,25.15,25.360001,1477700,13.0670
2008-02-26,25.34,25.60,25.10,25.50,1424100,13.13916
2008-02-27,25.40,25.60,25.200001,25.35,725400,13.06187
2008-02-28,25.40,25.799999,25.25,25.799999,909200,13.29374
2008-02-29,25.450001,25.60,25.200001,25.25,862700,13.01035
2008-03-03,25.25,25.25,24.90,24.98,670400,12.8712
2008-03-04,24.969999,25.40,24.82,24.950001,618400,12.85577
2008-03-05,24.940001,25.09,24.85,25.00,421200,12.88153
2008-03-06,25.01,25.040001,24.85,24.950001,576300,12.85577
2008-03-07,24.99,25.00,24.85,25.00,411600,12.88153
2008-03-10,24.950001,24.99,24.299999,24.860001,360500,12.80939
2008-03-11,25.01,25.049999,24.85,24.959999,391200,12.86092
2008-03-12,25.00,25.01,24.93,24.99,318600,12.87638
2008-03-13,24.950001,24.99,24.68,24.969999,219700,12.86607
2008-03-14,24.959999,25.049999,24.68,24.889999,307500,12.82485
2008-03-17,24.60,24.82,24.00,24.15,257300,12.44356
2008-03-18,24.15,25.00,24.10,24.90,291800,12.83000
2008-03-19,24.91,24.99,24.52,24.99,237700,12.87638
2008-03-20,25.00,25.049999,24.92,25.049999,247800,12.90729
2008-03-24,25.00,25.09,24.85,24.85,261500,12.80424
2008-03-25,24.99,25.00,24.92,25.00,235100,12.88153
2008-03-26,24.98,25.00,24.84,25.00,241800,12.88153
2008-03-27,24.99,25.030001,24.940001,24.950001,238300,12.85577
2008-03-28,25.02,25.040001,24.950001,24.950001,171600,12.85577
2008-03-31,25.00,25.00,24.709999,24.75,298900,12.7527
2008-04-01,24.98,24.98,24.75,24.75,245400,12.7527
2008-04-02,24.99,25.00,24.92,25.00,434400,12.88153
2008-04-03,24.950001,25.25,24.940001,25.02,345200,12.89184
2008-04-04,25.190001,25.40,25.10,25.18,534700,12.97428
2008-04-07,25.040001,25.15,24.84,24.950001,187000,12.85577
2008-04-08,24.950001,24.98,24.75,24.879999,178700,12.81970
2008-04-09,24.93,25.00,24.65,25.00,135100,12.88153
2008-04-10,25.00,25.049999,24.889999,25.00,160700,12.88153
2008-04-11,25.00,25.059999,24.969999,25.030001,173600,12.89699
2008-04-14,24.98,24.98,24.700001,24.799999,294500,12.77848
2008-04-15,24.969999,25.00,24.85,24.950001,255700,12.85577
2008-04-16,24.99,25.09,24.959999,25.049999,269800,12.90729
2008-04-17,25.09,25.129999,25.049999,25.120001,201700,12.94336
2008-04-18,25.10,25.34,25.09,25.27,420200,13.02065
2008-04-21,25.299999,25.299999,24.75,24.950001,362100,12.85577
2008-04-22,24.99,25.00,24.75,24.99,246200,12.87638
2008-04-23,24.99,25.139999,24.76,25.049999,246300,12.90729
2008-04-24,25.10,25.10,24.75,24.950001,532600,12.85577
2008-04-25,25.00,25.030001,24.90,25.00,171500,12.88153
2008-04-28,25.129999,25.129999,24.92,24.93,231900,12.84546
2008-04-29,25.00,25.08,24.940001,25.040001,263200,12.90214
2008-04-30,25.08,25.10,24.209999,24.48,551100,12.61359
2008-05-01,24.57,24.719999,24.41,24.629999,276100,12.69088
2008-05-02,24.76,24.91,24.67,24.91,147000,12.83516
2008-05-05,24.889999,24.889999,24.700001,24.860001,185100,12.80939
2008-05-06,24.870001,24.879999,24.790001,24.82,206800,12.78878
2008-05-07,24.90,24.92,24.85,24.90,140400,12.83000
2008-05-08,24.860001,25.309999,24.85,24.92,178200,12.84031
2008-05-09,24.92,25.00,24.90,25.00,181200,12.88153
2008-05-12,24.99,25.00,24.90,24.93,246200,12.84546
2008-05-13,24.92,24.959999,24.780001,24.940001,529700,12.8506
2008-05-14,24.92,25.030001,24.860001,25.00,493200,12.88153
2008-05-15,24.59,24.700001,24.48,24.700001,178300,12.97345
2008-05-16,24.66,24.700001,24.629999,24.65,152900,12.94719
2008-05-19,24.66,24.690001,24.50,24.65,313700,12.94719
2008-05-20,24.559999,24.700001,24.540001,24.690001,287900,12.96820
2008-05-21,24.84,24.85,24.65,24.700001,161500,12.97345
2008-05-22,24.690001,24.74,24.620001,24.700001,173600,12.97345
2008-05-23,24.629999,24.799999,24.59,24.75,229600,12.99971
2008-05-27,24.75,24.76,24.66,24.74,241400,12.99446
2008-05-28,24.74,24.75,24.52,24.52,179900,12.8789
2008-05-29,24.51,24.60,24.469999,24.60,205700,12.92092
2008-05-30,24.49,24.799999,24.49,24.790001,298300,13.02072
2008-06-02,24.74,24.74,24.35,24.639999,148400,12.94193
2008-06-03,24.709999,24.75,24.40,24.65,240800,12.94719
2008-06-04,24.66,24.66,24.40,24.469999,141800,12.85264
2008-06-05,24.58,24.65,24.450001,24.639999,179500,12.94193
2008-06-06,24.65,24.700001,24.50,24.700001,100300,12.97345
2008-06-09,24.629999,24.639999,24.049999,24.15,219600,12.6845
