Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,2.625,2.65624,2.03124,2.65624,17400,1.3281
2000-01-04,2.125,2.125,2.125,2.125,200,1.062
2000-01-05,2.5625,2.5625,2.375,2.5625,7200,1.2812
2000-01-06,2.5625,2.5625,2.25,2.25,6000,1.12
2000-01-07,2.5625,2.5625,2.125,2.125,17200,1.062
2000-01-10,2.125,2.50,2.125,2.50,6600,1.2
2000-01-11,2.53124,2.53124,2.25,2.25,2000,1.12
2000-01-12,2.25,2.25,2.25,2.25,1200,1.12
2000-01-13,2.25,2.25,2.25,2.25,2800,1.12
2000-01-14,2.46876,2.46876,2.1875,2.1875,1200,1.0937
2000-01-18,2.1875,2.46876,2.1875,2.3125,7800,1.1562
2000-01-19,2.46876,2.46876,2.3125,2.3125,4600,1.1562
2000-01-20,2.3125,2.3125,2.3125,2.3125,400,1.1562
2000-01-21,2.375,2.375,2.375,2.375,2000,1.187
2000-01-24,2.375,2.375,2.125,2.125,11200,1.062
2000-01-25,2.1875,2.4375,2.1875,2.1875,2400,1.0937
2000-01-26,2.125,2.46876,2.125,2.46876,7600,1.2343
2000-01-27,2.0625,2.5625,2.0625,2.5625,12400,1.2812
2000-01-28,2.3125,2.3125,2.1875,2.1875,7200,1.0937
2000-01-31,2.4375,2.4375,2.1875,2.1875,5800,1.0937
2000-02-01,2.625,2.625,2.50,2.50,4400,1.2
2000-02-02,2.6875,2.6875,2.0625,2.125,8400,1.062
2000-02-03,2.125,2.5625,2.125,2.5625,2600,1.2812
2000-02-04,2.50,2.50,2.25,2.25,5200,1.12
2000-02-07,2.50,2.50,2.25,2.50,8400,1.2
2000-02-08,2.25,2.5625,2.15624,2.15624,5200,1.0781
2000-02-09,2.25,2.25,2.25,2.25,3800,1.12
2000-02-10,2.375,2.50,2.375,2.50,5200,1.2
2000-02-11,2.25,3.4375,2.125,2.50,45600,1.2
2000-02-14,2.625,2.625,2.625,2.625,2000,1.312
2000-02-15,2.625,2.625,2.625,2.625,2800,1.312
2000-02-16,2.625,2.625,2.625,2.625,000,1.312
2000-02-17,2.625,2.625,2.625,2.625,14800,1.312
2000-02-18,2.625,2.625,2.625,2.625,1400,1.312
2000-02-22,2.625,2.625,2.625,2.625,000,1.312
2000-02-23,2.625,2.625,2.625,2.625,000,1.312
2000-02-24,2.1875,2.50,2.0625,2.50,15400,1.2
2000-02-25,2.50,2.50,2.09376,2.09376,4600,1.0468
2000-02-28,2.09376,2.09376,2.09376,2.09376,000,1.0468
2000-02-29,2.375,2.625,2.375,2.625,9600,1.312
2000-03-01,2.50,2.625,2.375,2.375,13600,1.187
2000-03-02,2.50,2.50,2.50,2.50,4400,1.2
2000-03-03,2.50,2.50,2.375,2.50,4000,1.2
2000-03-06,2.4375,2.50,2.25,2.25,5000,1.12
2000-03-07,2.25,2.50,2.125,2.50,11800,1.2
2000-03-08,2.125,2.50,2.125,2.125,1600,1.062
2000-03-09,2.50,2.50,2.125,2.125,4000,1.062
2000-03-10,2.125,2.25,2.125,2.125,5600,1.062
2000-03-13,2.125,2.125,2.125,2.125,7200,1.062
2000-03-14,2.125,2.25,2.125,2.25,3200,1.12
2000-03-15,2.125,2.125,2.125,2.125,3800,1.062
2000-03-16,2.25,2.25,2.125,2.125,4600,1.062
2000-03-17,2.25,4.25,2.125,3.21876,181000,1.6093
2000-03-20,3.1875,3.1875,2.375,3.00,20200,1.5
2000-03-21,2.75,3.875,2.75,3.75,61600,1.87
2000-03-22,3.75,4.00,3.25,3.25,9600,1.62
2000-03-23,3.75,3.75,3.25,3.25,2000,1.62
2000-03-24,3.25,3.50,3.25,3.50,8400,1.7
2000-03-27,3.25,3.25,3.25,3.25,4200,1.62
2000-03-28,3.25,3.25,2.5625,2.5625,8000,1.2812
2000-03-29,3.375,3.50,3.375,3.50,2800,1.7
2000-03-30,3.50,3.50,3.375,3.375,14600,1.687
2000-03-31,3.50,3.50,3.375,3.375,3600,1.687
2000-04-03,2.75,2.75,2.75,2.75,600,1.37
2000-04-04,2.9375,2.9375,2.75,2.75,3000,1.37
2000-04-05,2.75,2.75,2.50,2.50,3000,1.2
2000-04-06,2.46876,2.46876,2.4375,2.4375,4400,1.2187
2000-04-07,2.45312,2.45312,2.4375,2.4375,800,1.2187
2000-04-10,2.4375,2.4375,2.4375,2.4375,000,1.2187
2000-04-11,2.4375,2.4375,2.25,2.3125,13400,1.1562
2000-04-12,2.3125,2.3125,1.75,2.00,17200,1.0
2000-04-13,1.78124,1.78124,1.78124,1.78124,200,0.8906
2000-04-14,1.78124,1.78124,1.78124,1.78124,1800,0.8906
