Date,Open,High,Low,Close,Volume,Adj Clos
2008-09-18,23.00,26.299999,22.40,24.75,371500,16.22359
2008-09-19,27.35,27.35,24.75,27.25,124100,17.86234
2008-09-22,27.50,27.85,25.35,26.950001,140200,17.66569
2008-09-23,26.25,26.49,24.50,24.950001,122500,16.35469
2008-09-24,25.25,25.25,23.700001,24.450001,48300,16.02694
2008-09-25,24.50,26.50,24.00,25.74,134500,16.87253
2008-09-26,24.85,26.00,24.67,25.50,67700,16.71521
2008-09-29,24.799999,24.799999,23.25,23.52,25700,15.41733
2008-09-30,24.27,25.40,22.75,24.00,48000,15.73197
2008-10-01,24.25,24.41,23.15,24.049999,16200,15.76474
2008-10-02,24.00,24.50,23.200001,23.200001,6400,15.20757
2008-10-03,23.799999,25.00,23.50,24.50,58800,16.05972
2008-10-06,23.50,23.50,21.00,22.389999,26800,14.67661
2008-10-07,22.10,22.74,21.299999,21.299999,13700,13.96212
2008-10-08,21.75,21.75,18.799999,18.799999,12300,12.32337
2008-10-09,19.00,20.51,19.00,20.00,10600,13.10997
2008-10-10,20.00,20.50,17.719999,18.00,20300,11.95559
2008-10-13,19.700001,22.299999,19.50,20.77,21700,13.79543
2008-10-14,21.00,22.01,20.030001,20.030001,20400,13.30392
2008-10-15,20.00,20.09,18.25,18.75,47600,12.45374
2008-10-16,19.74,19.74,17.00,18.42,34300,12.23456
2008-10-17,18.74,18.790001,18.299999,18.50,5400,12.28769
2008-10-20,18.879999,19.93,18.879999,19.540001,39800,12.97846
2008-10-21,20.00,20.25,18.51,18.75,23800,12.45374
2008-10-22,18.969999,18.969999,17.40,17.50,75100,11.62349
2008-10-23,17.25,17.42,17.00,17.42,5500,11.57036
2008-10-24,17.00,17.379999,14.50,15.75,42700,10.46114
2008-10-27,15.25,15.50,13.90,15.04,37000,9.98956
2008-10-28,15.74,15.99,14.09,15.99,21100,10.62055
2008-10-29,16.48,17.35,16.48,17.07,20600,11.33789
