Date,Open,High,Low,Close,Volume,Adj Clos
2006-09-15,25.360001,27.700001,25.35,26.40,2122800,6.22141
2006-09-18,27.00,28.299999,26.610001,27.799999,1936800,6.5513
2006-09-19,28.25,28.309999,26.50,26.549999,1153200,6.25676
2006-09-20,27.00,27.58,26.50,27.25,774000,6.42172
2006-09-21,27.00,27.709999,26.75,26.809999,621200,6.31803
2006-09-22,26.530001,26.77,25.50,25.60,785600,6.03288
2006-09-25,25.629999,25.77,23.799999,23.98,1322000,5.6511
2006-09-26,23.74,23.76,22.00,22.200001,3485200,5.23164
2006-09-27,22.639999,23.879999,22.639999,23.57,1211600,5.55449
2006-09-28,23.83,24.450001,23.469999,24.190001,966800,5.70060
2006-09-29,24.35,24.35,23.00,24.200001,979600,5.70296
2006-10-02,24.15,24.58,24.07,24.280001,376800,5.72181
2006-10-03,24.200001,24.200001,23.98,24.00,427200,5.65583
2006-10-04,24.00,24.50,24.00,24.110001,191600,5.68175
2006-10-05,24.50,24.809999,24.50,24.51,374800,5.7760
2006-10-06,24.50,24.65,24.50,24.51,174000,5.7760
2006-10-09,24.51,24.629999,24.25,24.50,387200,5.77366
2006-10-10,24.65,26.83,24.549999,26.60,1166400,6.26854
2006-10-11,26.25,27.299999,26.00,27.10,1558000,6.38637
2006-10-12,27.00,27.690001,26.60,26.799999,708800,6.3156
2006-10-13,27.00,27.290001,26.709999,26.780001,791600,6.31096
2006-10-16,26.780001,27.08,26.00,26.42,609600,6.2261
2006-10-17,27.50,28.40,25.00,25.90,1664800,6.10358
2006-10-18,25.98,26.209999,25.610001,25.83,569200,6.08709
2006-10-19,25.09,25.15,23.10,23.50,1390800,5.53800
2006-10-20,23.50,24.540001,23.33,24.50,796400,5.77366
2006-10-23,24.50,24.540001,23.85,23.860001,384400,5.62284
2006-10-24,23.860001,24.799999,23.790001,24.65,855600,5.80901
2006-10-25,24.76,24.950001,24.01,24.879999,1103600,5.86321
2006-10-26,24.93,25.129999,24.68,24.84,501600,5.85378
2006-10-27,24.84,25.459999,24.65,24.75,372800,5.83257
2006-10-30,24.879999,25.00,24.280001,24.83,177200,5.85143
2006-10-31,24.76,24.959999,24.00,24.10,857200,5.67939
2006-11-01,25.00,25.49,24.879999,24.99,1520800,5.88913
2006-11-02,25.00,25.469999,25.00,25.32,175600,5.96690
2006-11-03,25.57,25.799999,25.379999,25.639999,483200,6.04231
2006-11-06,25.780001,25.85,25.52,25.559999,111600,6.02346
2006-11-07,25.65,25.700001,25.40,25.559999,114800,6.02346
2006-11-08,25.690001,27.889999,25.48,27.889999,1729200,6.57254
2006-11-09,27.85,28.799999,27.65,28.120001,2125200,6.62675
2006-11-10,28.15,31.129999,28.110001,29.85,3626000,7.03444
2006-11-13,30.50,30.67,28.15,29.00,1593600,6.83413
2006-11-14,29.200001,31.99,29.200001,31.85,2741200,7.50576
2006-11-15,31.35,35.049999,31.09,34.189999,3280400,8.05720
2006-11-16,34.189999,35.599998,32.939999,34.73,2513200,8.18446
2006-11-17,34.73,34.73,33.25,33.869999,1339600,7.98179
2006-11-20,34.00,34.00,31.700001,32.040001,1401600,7.55053
2006-11-21,32.00,33.830002,31.77,33.150002,892000,7.8121
2006-11-22,33.610001,34.349998,33.25,33.919998,608000,7.99357
2006-11-24,33.400002,34.189999,33.00,33.099998,466400,7.80033
2006-11-27,33.00,33.150002,31.35,31.50,947200,7.42328
2006-11-28,31.200001,31.26,29.799999,29.969999,1370000,7.06272
2006-11-29,30.23,32.68,30.23,32.400002,1847200,7.63537
2006-11-30,32.599998,32.950001,31.25,31.91,498000,7.51990
2006-12-01,32.200001,32.799999,32.00,32.700001,688800,7.70607
2006-12-04,33.25,34.639999,33.200001,34.049999,1271200,8.02421
2006-12-05,34.299999,35.959999,34.299999,35.50,1410000,8.3659
2006-12-06,35.959999,35.959999,34.75,35.509998,702400,8.36827
2006-12-07,35.52,36.240002,35.009998,35.389999,713200,8.33999
2006-12-08,35.549999,36.18,35.549999,35.709999,350800,8.41540
2006-12-11,36.049999,37.560001,35.849998,36.790001,1925600,8.66992
2006-12-12,37.68,37.959999,35.310001,35.549999,1778800,8.37770
2006-12-13,35.869999,35.869999,34.57,35.310001,557600,8.32114
2006-12-14,35.50,36.200001,35.25,35.619999,470400,8.39419
2006-12-15,35.950001,36.009998,34.709999,34.950001,478400,8.23630
2006-12-18,36.00,36.900002,35.16,35.50,1532800,8.3659
2006-12-19,35.360001,36.560001,34.610001,34.91,1572800,8.22688
2006-12-20,34.91,35.400002,34.349998,34.389999,782800,8.10433
2006-12-21,34.349998,35.02,33.439999,33.630001,640400,7.92523
2006-12-22,33.740002,33.91,33.00,33.00,526800,7.77677
2006-12-26,33.049999,34.32,33.049999,34.00,658000,8.0124
2006-12-27,34.099998,34.599998,33.75,34.209999,576400,8.06191
2006-12-28,34.25,35.00,33.599998,34.220001,1789600,8.06427
2006-12-29,34.310001,34.59,33.400002,33.540001,902800,7.90402
2007-01-03,33.599998,35.650002,33.549999,35.189999,1607200,8.29286
2007-01-04,35.299999,35.549999,34.009998,34.549999,902800,8.14204
2007-01-05,34.650002,34.959999,34.00,34.060001,488800,8.0265
2007-01-08,34.130001,34.939999,34.130001,34.560001,290400,8.144
2007-01-09,34.860001,35.049999,33.599998,34.00,998400,8.0124
2007-01-10,33.82,35.970001,33.82,35.73,1047600,8.42012
2007-01-11,35.970001,37.73,35.84,37.25,1447200,8.77832
2007-01-12,37.50,38.299999,36.810001,37.400002,1511200,8.81367
2007-01-16,38.200001,39.619999,35.009998,35.330002,2294800,8.32585
2007-01-17,35.119999,35.720001,34.099998,35.560001,1386400,8.3800
2007-01-18,35.700001,36.490002,34.549999,35.50,1147200,8.3659
2007-01-19,35.50,36.360001,32.799999,33.09,3490400,7.7979
2007-01-22,33.59,35.919998,33.240002,34.98,2378400,8.24337
2007-01-23,34.98,34.98,34.360001,34.849998,653600,8.21274
2007-01-24,33.150002,35.790001,33.150002,35.529999,574400,8.3729
2007-01-25,35.400002,36.049999,35.110001,36.00,980800,8.4837
2007-01-26,36.00,36.00,35.02,35.25,541200,8.30700
2007-01-29,36.00,37.82,35.080002,36.91,1756000,8.698
2007-01-30,36.970001,37.82,36.599998,37.150002,826400,8.75475
2007-01-31,36.599998,36.939999,35.560001,35.73,1434400,8.42012
2007-02-01,35.98,36.09,34.799999,34.990002,553600,8.24573
2007-02-02,34.799999,36.00,34.189999,35.549999,680800,8.37770
2007-02-05,35.75,37.200001,35.73,36.93,829200,8.70291
2007-02-06,37.00,37.41,36.50,37.240002,1432400,8.77596
2007-02-07,37.549999,41.970001,37.450001,40.799999,3851200,9.61491
2007-02-08,40.799999,42.25,40.650002,42.25,2238800,9.95662
2007-02-09,42.650002,42.700001,41.200001,41.349998,12069200,9.74452
2007-02-12,41.75,42.50,41.240002,41.299999,3382000,9.73274
2007-02-13,42.00,42.00,40.009998,40.029999,2708400,9.43345
2007-02-14,40.279999,40.50,39.84,40.290001,1077600,9.4947
2007-02-15,40.650002,41.040001,40.50,40.990002,678800,9.65969
2007-02-16,41.330002,41.880001,40.880001,41.810001,1100400,9.85293
2007-02-20,41.950001,44.799999,41.799999,44.540001,2436400,10.49628
2007-02-21,44.700001,44.700001,43.18,43.23,1355200,10.1875
2007-02-22,43.950001,44.700001,43.060001,43.799999,983200,10.32189
2007-02-23,44.099998,44.099998,41.900002,42.860001,1182800,10.10037
2007-02-26,43.310001,43.93,43.119999,43.52,810000,10.25591
2007-02-27,39.849998,41.049999,39.009998,40.009998,4390400,9.42874
2007-02-28,40.200001,42.330002,39.50,42.119999,2059600,9.92598
2007-03-01,41.00,41.540001,40.009998,41.150002,1094800,9.69739
2007-03-02,40.16,41.50,37.799999,38.02,2199200,8.95978
2007-03-05,37.009998,37.02,34.599998,34.970001,4386400,8.24102
2007-03-06,36.77,36.900002,35.91,36.599998,1890800,8.62514
2007-03-07,37.580002,39.50,37.380001,39.380001,1838800,9.2802
2007-03-08,40.169998,41.009998,39.290001,40.59,1564800,9.56542
2007-03-09,42.25,42.25,40.889999,41.259998,1908000,9.7233
2007-03-12,41.200001,41.400002,40.259998,41.400002,1056800,9.75631
2007-03-13,41.400002,41.540001,37.990002,38.619999,3052400,9.10117
2007-03-14,38.900002,40.200001,38.259998,40.049999,1387600,9.43817
2007-03-15,40.00,40.389999,39.799999,40.00,1298400,9.42638
2007-03-16,40.00,40.830002,40.00,40.810001,1095600,9.61727
2007-03-19,41.389999,42.950001,41.130001,42.150002,1832400,9.93305
2007-03-20,42.23,43.200001,42.16,43.00,1219600,10.13336
2007-03-21,43.150002,43.380001,42.169998,43.00,596400,10.13336
2007-03-22,43.00,43.849998,42.849998,43.689999,1538400,10.29597
2007-03-23,43.689999,43.799999,42.299999,43.50,264800,10.25119
2007-03-26,43.790001,43.790001,42.349998,42.98,696400,10.12865
2007-03-27,43.50,43.68,42.950001,43.369999,892800,10.22056
2007-03-28,43.119999,43.34,42.849998,42.990002,424000,10.13101
2007-03-29,43.00,43.330002,41.310001,41.619999,706800,9.80815
2007-03-30,41.580002,41.669998,40.25,40.529999,952000,9.55128
2007-04-02,40.00,40.990002,40.00,40.650002,843600,9.57956
2007-04-03,41.00,42.450001,41.00,41.700001,801600,9.8270
2007-04-04,41.200001,41.900002,41.200001,41.900002,467200,9.87414
2007-04-05,41.349998,42.50,41.27,42.470001,324800,10.00846
2007-04-09,42.419998,43.009998,42.200001,42.220001,545600,9.94955
2007-04-10,42.220001,43.220001,42.220001,42.98,718000,10.12865
2007-04-11,43.00,43.189999,42.23,42.380001,239600,9.98725
2007-04-12,42.380001,43.09,42.299999,42.799999,513600,10.08623
2007-04-13,42.580002,43.099998,42.50,42.689999,545200,10.06031
2007-04-16,43.580002,46.900002,43.009998,45.130001,3732400,10.63532
2007-04-17,45.73,46.029999,45.130001,45.779999,1192000,10.78850
2007-04-18,46.939999,47.490002,44.849998,46.099998,2470400,10.86391
2007-04-19,43.889999,45.970001,43.50,45.450001,1108800,10.71073
2007-04-20,46.25,46.950001,45.799999,46.25,1364000,10.89926
2007-04-23,47.900002,48.639999,46.849998,46.91,1719600,11.05479
2007-04-24,47.330002,47.330002,45.50,46.009998,969600,10.84270
2007-04-25,47.349998,47.389999,46.07,46.560001,1048000,10.97231
2007-04-26,45.580002,46.82,45.419998,46.099998,747200,10.86391
2007-04-27,46.00,48.00,45.880001,47.900002,4190400,11.28810
2007-04-30,48.00,49.459999,43.130001,43.75,5186400,10.31011
2007-05-01,44.00,45.549999,42.700001,45.25,2233600,10.66360
2007-05-02,46.00,47.09,45.50,46.389999,1406400,10.93225
2007-05-03,47.00,48.25,46.349998,47.900002,1945200,11.28810
2007-05-04,47.849998,47.849998,46.360001,47.50,1084800,11.19383
2007-05-07,47.50,48.330002,47.380001,48.00,1083200,11.31166
2007-05-08,48.25,49.07,47.669998,48.990002,1263600,11.5449
2007-05-09,48.990002,49.990002,48.790001,49.939999,1747200,11.76884
2007-05-10,49.900002,49.900002,47.790001,47.869999,1333600,11.2810
2007-05-11,48.00,49.419998,47.91,49.130001,674800,11.57796
2007-05-14,48.98,48.98,47.009998,47.849998,878000,11.27631
2007-05-15,48.189999,48.290001,46.110001,46.810001,1226400,11.03123
2007-05-16,46.990002,47.07,46.25,47.00,527600,11.07600
2007-05-17,46.849998,46.849998,45.490002,45.700001,827600,10.76964
2007-05-18,45.709999,46.330002,45.169998,45.540001,831200,10.73194
2007-05-21,46.50,48.59,46.209999,48.369999,1786400,11.3988
2007-05-22,49.50,50.200001,49.50,50.040001,1827600,11.79241
2007-05-23,49.32,49.330002,46.799999,47.040001,1250400,11.08543
2007-05-24,46.849998,48.130001,43.560001,43.93,2422000,10.35253
2007-05-25,44.150002,45.77,44.00,45.470001,2159200,10.71544
2007-05-29,45.849998,47.540001,45.849998,46.73,1892000,11.01237
2007-05-30,45.130001,47.139999,45.00,46.75,1410400,11.01709
2007-05-31,46.50,47.549999,46.279999,46.959999,699200,11.0665
2007-06-01,47.279999,47.98,47.110001,47.459999,662400,11.1844
2007-06-04,47.00,47.290001,46.029999,46.48,776800,10.95346
2007-06-05,46.580002,46.639999,45.619999,46.419998,471600,10.93932
2007-06-06,46.540001,46.540001,45.50,46.110001,756400,10.8662
2007-06-07,46.450001,46.84,44.380001,45.150002,1694800,10.64003
2007-06-08,45.00,45.82,44.419998,45.68,765200,10.76493
2007-06-11,45.68,49.25,45.619999,48.029999,1510800,11.31873
2007-06-12,48.200001,49.450001,47.299999,47.84,1146000,11.27396
2007-06-13,49.00,49.110001,47.75,48.799999,868000,11.50019
2007-06-14,48.919998,49.50,48.259998,48.50,756400,11.42949
2007-06-15,48.759998,49.349998,48.240002,48.389999,580400,11.40357
2007-06-18,48.990002,51.799999,48.029999,51.689999,2361200,12.18125
2007-06-19,50.939999,53.360001,50.110001,50.299999,2408000,11.85368
2007-06-20,50.939999,51.599998,50.25,50.389999,909600,11.87489
2007-06-21,50.169998,52.830002,49.119999,52.610001,1234800,12.39805
2007-06-22,52.599998,52.599998,51.200001,51.279999,941200,12.0846
2007-06-25,51.529999,51.880001,50.349998,50.529999,635600,11.90788
2007-06-26,51.549999,51.549999,49.00,49.549999,842800,11.67693
2007-06-27,49.669998,49.700001,48.009998,48.75,1630000,11.48841
2007-06-28,48.860001,52.490002,48.860001,51.889999,1870400,12.22838
2007-06-29,51.900002,54.599998,51.900002,53.720001,1989600,12.6596
2007-07-02,54.900002,56.43,54.799999,56.00,1982000,13.19694
2007-07-03,56.75,58.25,54.549999,54.830002,1299200,12.92122
2007-07-05,55.00,56.630001,54.50,54.880001,1224400,12.93300
2007-07-06,55.200001,56.700001,55.00,56.59,1126000,13.33598
2007-07-09,57.490002,59.669998,57.00,57.970001,1489200,13.66119
2007-07-10,58.650002,58.650002,56.25,57.029999,929600,13.43967
2007-07-11,56.959999,58.330002,56.830002,58.23,776400,13.72246
2007-07-12,58.240002,59.18,56.830002,57.00,986400,13.43260
2007-07-13,57.490002,59.299999,56.610001,58.549999,1028400,13.79787
2007-07-16,59.00,59.139999,56.860001,57.259998,1028800,13.49387
2007-07-17,57.400002,57.77,55.00,55.189999,1839600,13.0060
2007-07-18,55.009998,55.610001,53.310001,54.580002,2018000,12.86230
2007-07-19,55.900002,56.669998,55.130001,56.189999,1454800,13.24171
2007-07-20,55.50,56.139999,54.799999,55.009998,1257600,12.96364
2007-07-23,56.380001,58.799999,55.25,58.66,4230400,13.82379
2007-07-24,54.450001,54.82,48.360001,52.060001,7040800,12.26844
2007-07-25,53.00,55.34,53.00,54.759998,3168000,12.90472
2007-07-26,53.00,53.330002,49.310001,50.48,2779600,11.89610
2007-07-27,50.00,50.360001,45.150002,47.099998,5682400,11.09957
2007-07-30,48.700001,49.98,48.509998,48.689999,3077600,11.47427
2007-07-31,50.68,52.450001,50.259998,51.77,2090800,12.20010
2007-08-01,50.220001,50.50,49.049999,50.220001,1989600,11.83483
2007-08-02,48.50,53.970001,48.50,53.599998,2252000,12.63136
2007-08-03,54.00,54.040001,50.32,50.75,1043600,11.95973
2007-08-06,50.029999,52.889999,48.799999,52.220001,1771200,12.30615
2007-08-07,51.25,54.529999,51.130001,53.580002,1526800,12.62664
2007-08-08,54.529999,56.41,53.599998,55.810001,1399600,13.15216
2007-08-09,53.599998,56.00,53.400002,54.310001,1360000,12.7986
2007-08-10,52.00,53.790001,52.00,52.400002,1038800,12.3485
2007-08-13,53.299999,53.630001,51.00,51.880001,901600,12.22602
2007-08-14,52.00,52.400002,49.799999,50.41,663200,11.87960
2007-08-15,48.099998,50.25,47.889999,48.189999,1203200,11.35644
2007-08-16,47.50,48.209999,42.889999,46.830002,2825200,11.03594
2007-08-17,48.799999,50.900002,48.290001,50.580002,1576000,11.91966
2007-08-20,50.650002,52.00,49.619999,50.040001,838400,11.79241
2007-08-21,51.130001,51.349998,49.209999,49.66,742000,11.70286
2007-08-22,51.540001,52.98,50.349998,52.790001,900800,12.44047
2007-08-23,53.00,53.84,50.77,51.52,741200,12.14118
2007-08-24,51.099998,52.75,51.099998,52.490002,429600,12.36977
2007-08-27,51.650002,53.459999,51.279999,53.119999,767200,12.51824
2007-08-28,53.00,53.150002,50.869999,51.029999,810000,12.02571
2007-08-29,51.080002,54.299999,51.080002,53.470001,1047200,12.60072
2007-08-30,53.220001,53.220001,51.50,52.240002,510000,12.31086
2007-08-31,53.50,53.700001,52.330002,52.950001,488400,12.47818
2007-09-04,53.029999,55.349998,52.529999,54.759998,1180800,12.90472
2007-09-05,54.00,55.959999,53.450001,55.650002,868800,13.11446
2007-09-06,56.00,56.00,54.27,54.509998,700800,12.84581
2007-09-07,54.52,54.52,53.060001,53.93,556000,12.70912
2007-09-10,54.080002,55.369999,54.00,54.599998,801600,12.8670
2007-09-11,55.00,55.849998,54.459999,55.720001,773600,13.1309
2007-09-12,55.98,58.43,55.98,56.580002,1397600,13.33362
2007-09-13,56.740002,57.599998,56.330002,56.810001,1181600,13.38782
2007-09-14,56.950001,56.950001,56.00,56.200001,833200,13.24407
2007-09-17,56.200001,56.450001,55.00,55.290001,635200,13.02962
2007-09-18,54.900002,56.849998,53.849998,56.720001,1080400,13.3666
2007-09-19,58.18,58.25,56.00,56.330002,1187600,13.27471
2007-09-20,56.98,57.73,56.00,56.889999,898000,13.40668
2007-09-21,57.00,58.689999,56.549999,58.23,1597600,13.72246
2007-09-24,59.279999,60.209999,58.25,58.459999,3794400,13.77666
2007-09-25,58.23,62.849998,56.900002,62.459999,3106000,14.71930
2007-09-26,64.00,64.00,61.75,62.84,2234800,14.80885
2007-09-27,63.040001,64.50,62.43,63.470001,1482400,14.95732
2007-09-28,63.790001,66.639999,63.790001,66.559998,3076800,15.6855
2007-10-01,66.849998,66.93,64.260002,64.919998,2573600,15.29902
2007-10-02,65.580002,65.580002,63.369999,64.730003,1755600,15.25425
2007-10-03,64.279999,64.739998,62.599998,63.790001,1044800,15.03273
2007-10-04,62.130001,64.50,61.560001,64.400002,1531200,15.17648
