Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,9.75,9.75,9.50,9.50,106600,8.11215
2000-01-04,9.5625,9.5625,9.4375,9.4375,63400,8.05878
2000-01-05,9.375,9.5625,9.3125,9.4375,112000,8.05878
2000-01-06,9.5625,9.625,9.4375,9.5625,151200,8.16552
2000-01-07,9.50,9.625,9.50,9.50,67400,8.11215
2000-01-10,9.5625,9.5625,9.50,9.5625,80600,8.16552
2000-01-11,9.50,9.5625,9.50,9.5625,88600,8.16552
2000-01-12,9.50,9.5625,9.50,9.5625,129200,8.16552
2000-01-13,9.4375,9.5625,9.3125,9.375,49300,8.00541
2000-01-14,9.50,9.50,8.9375,8.9375,688100,7.63182
2000-01-18,9.00,9.1875,9.00,9.00,102900,7.68519
2000-01-19,9.00,9.125,9.00,9.00,33900,7.68519
2000-01-20,9.00,9.1875,8.9375,9.1875,57900,7.84530
2000-01-21,9.0625,9.50,9.00,9.4375,58800,8.05878
2000-01-24,9.1875,9.50,9.1875,9.1875,27900,7.84530
2000-01-25,9.1875,9.3125,9.00,9.00,143100,7.68519
2000-01-26,9.00,9.1875,9.00,9.125,136700,7.79193
2000-01-27,9.0625,9.1875,9.00,9.00,23600,7.68519
2000-01-28,9.00,9.0625,8.875,9.0625,324000,7.73856
2000-01-31,9.1875,9.25,8.9375,9.0625,78200,7.73856
2000-02-01,9.0625,9.125,8.75,9.0625,465700,7.73856
2000-02-02,9.00,9.0625,8.9375,9.00,129800,7.68519
2000-02-03,8.875,9.125,8.875,9.00,101600,7.68519
2000-02-04,8.9375,9.0625,8.9375,9.00,65500,7.68519
2000-02-07,8.9375,9.00,8.9375,8.9375,91000,7.63182
2000-02-08,8.9375,9.00,8.8125,8.9375,213800,7.63182
2000-02-09,8.875,8.9375,8.75,8.75,19900,7.4717
2000-02-10,8.75,8.8125,8.50,8.50,64300,7.25824
2000-02-11,8.50,8.75,8.25,8.3125,153500,7.09813
2000-02-14,8.3125,8.875,8.125,8.8125,110100,7.52508
2000-02-15,8.875,8.875,8.50,8.6875,125600,7.41835
2000-02-16,8.625,8.875,8.625,8.875,572000,7.57845
2000-02-17,8.8125,9.00,8.8125,9.00,595100,7.68519
2000-02-18,8.9375,9.0625,8.9375,8.9375,236300,7.63182
2000-02-22,8.9375,9.00,8.50,8.50,127800,7.25824
2000-02-23,8.25,8.9375,8.25,8.9375,51500,7.63182
2000-02-24,9.00,9.0625,8.875,9.0625,207600,7.73856
2000-02-25,9.00,9.125,9.00,9.0625,280400,7.73856
2000-02-28,9.00,9.125,8.9375,9.125,66500,7.79193
2000-02-29,9.00,9.5625,9.00,9.50,99200,8.11215
2000-03-01,9.3125,9.375,9.125,9.1875,143900,7.84530
2000-03-02,9.125,9.375,9.00,9.25,423800,7.89867
2000-03-03,9.375,9.75,9.3125,9.625,131100,8.21889
2000-03-06,9.50,9.75,9.50,9.75,455400,8.32563
2000-03-07,9.25,9.6875,9.25,9.4375,278300,8.05878
2000-03-08,9.50,9.625,9.50,9.625,77200,8.21889
2000-03-09,9.625,9.8125,9.5625,9.8125,92800,8.37
2000-03-10,9.75,9.875,9.625,9.625,118500,8.21889
2000-03-13,9.375,9.5625,9.375,9.50,41800,8.11215
2000-03-14,9.50,9.5625,9.375,9.375,90000,8.00541
2000-03-15,9.25,9.5625,9.25,9.50,63500,8.11215
2000-03-16,9.50,10.00,9.50,9.875,288100,8.4323
2000-03-17,9.75,10.125,9.75,10.0625,89100,8.59247
2000-03-20,10.00,10.125,9.8125,9.8125,55600,8.37
2000-03-21,9.8125,10.00,9.8125,10.00,38600,8.53910
2000-03-22,9.9375,10.125,9.9375,10.00,225000,8.53910
2000-03-23,10.00,10.25,9.75,10.1875,118300,8.69921
2000-03-24,10.25,10.4375,10.1875,10.3125,60900,8.80595
2000-03-27,10.0625,10.375,10.0625,10.125,58900,8.64584
2000-03-28,10.125,10.3125,9.875,9.875,132900,8.4323
