Date,Open,High,Low,Close,Volume,Adj Clos
2003-01-24,15.08,15.08,15.08,15.08,3400,6.4545
2003-01-27,15.08,15.08,15.08,15.08,1600,6.4545
2003-01-28,15.19,15.19,15.05,15.06,3800,6.4459
2003-01-29,15.00,15.18,15.00,15.18,14500,6.49731
2003-01-30,15.18,15.18,15.18,15.18,800,6.49731
2003-01-31,15.19,15.19,15.01,15.15,3400,6.48447
2003-02-03,15.19,15.19,15.05,15.05,2100,6.4416
2003-02-04,15.18,15.18,15.05,15.05,8300,6.4416
2003-02-05,14.90,15.20,14.90,15.20,8400,6.50587
2003-02-06,15.20,15.23,15.20,15.23,2600,6.51871
2003-02-07,15.28,15.28,15.28,15.28,600,6.54011
2003-02-10,15.28,15.40,15.28,15.40,6500,6.59147
2003-02-11,15.25,15.45,15.20,15.40,8400,6.59147
2003-02-12,15.30,15.30,15.20,15.20,1800,6.50587
2003-02-13,15.00,15.20,15.00,15.20,6300,6.50587
2003-02-14,15.10,15.10,15.10,15.10,4400,6.46307
2003-02-18,15.25,15.25,15.25,15.25,2300,6.52727
2003-02-19,15.29,15.29,15.29,15.29,500,6.54439
2003-02-20,15.30,15.30,15.30,15.30,3000,6.58138
2003-02-21,15.37,15.37,15.25,15.25,2700,6.55987
2003-02-24,15.45,15.50,15.35,15.50,3100,6.66741
2003-02-25,15.70,15.80,15.25,15.25,8500,6.55987
2003-02-26,15.30,15.62,15.30,15.50,6700,6.66741
2003-02-27,15.35,15.35,15.13,15.13,10900,6.50826
2003-02-28,15.25,15.40,15.20,15.40,6800,6.62440
2003-03-03,15.50,15.50,15.25,15.25,2700,6.55987
2003-03-04,15.26,15.26,15.25,15.25,1400,6.55987
2003-03-05,15.10,15.10,15.05,15.05,1700,6.47384
2003-03-06,15.03,15.03,15.03,15.03,200,6.46524
2003-03-07,15.05,15.40,15.05,15.30,12800,6.58138
2003-03-10,15.10,15.25,15.10,15.25,7000,6.55987
2003-03-11,15.40,15.50,15.40,15.40,5800,6.62440
2003-03-12,15.50,15.60,15.50,15.60,7600,6.71043
2003-03-13,15.50,15.58,15.50,15.50,9600,6.66741
2003-03-14,15.59,15.80,15.59,15.75,7000,6.77495
2003-03-17,15.65,15.65,15.60,15.60,1300,6.71043
