Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,34.00,39.375,33.25,38.00,160900,58.40740
2000-01-04,37.8125,37.8125,30.625,35.375,85300,54.37268
2000-01-05,35.5625,37.00,34.50,36.00,110100,55.33333
2000-01-06,35.625,40.00,35.25,40.00,29600,61.48148
2000-01-07,39.50,39.50,35.5625,36.0625,164800,55.42939
2000-01-10,38.75,45.0625,38.625,42.125,261600,64.74768
2000-01-11,40.9375,43.375,40.125,42.00,87300,64.55555
2000-01-12,42.00,42.375,40.625,41.875,38900,64.36342
2000-01-13,41.875,48.375,41.875,48.125,121900,73.96990
2000-01-14,49.50,54.125,49.375,53.00,201900,81.46296
2000-01-18,52.4375,56.00,50.875,56.00,102100,86.07407
2000-01-19,56.375,57.00,51.625,56.9375,95200,87.51504
2000-01-20,61.625,64.625,55.00,59.875,302200,92.03009
2000-01-21,56.00,63.00,55.50,61.3125,123000,94.23958
2000-01-24,59.9375,59.9375,56.00,58.00,42300,89.14814
2000-01-25,56.625,57.00,47.00,53.50,94000,82.2314
2000-01-26,54.3125,59.00,54.3125,58.75,90200,90.30092
2000-01-27,58.875,61.375,53.50,54.75,127300,84.15277
2000-01-28,53.1875,54.00,43.375,46.00,103000,70.70370
2000-01-31,47.1875,49.75,45.5625,46.75,64100,71.8564
2000-02-01,46.75,48.375,46.75,47.125,80800,72.43286
2000-02-02,50.75,51.125,48.4375,48.75,138600,74.93055
2000-02-03,50.0625,54.00,48.50,52.75,275400,81.07870
2000-02-04,54.625,58.00,53.125,57.00,111200,87.6111
2000-02-07,56.25,60.625,56.25,57.00,124300,87.6111
2000-02-08,59.50,60.00,57.125,57.875,154100,88.95601
2000-02-09,56.8125,57.25,53.50,54.50,70300,83.76851
2000-02-10,55.625,57.50,53.00,57.50,56800,88.37962
2000-02-11,55.00,56.75,54.25,56.00,28700,86.07407
2000-02-14,57.125,65.50,54.4375,64.875,99400,99.71527
2000-02-15,65.625,77.9375,64.75,76.8125,177400,118.06365
2000-02-16,74.5625,89.00,74.25,88.375,381500,135.83564
2000-02-17,87.00,141.00,87.00,140.125,632700,215.37731
2000-02-18,136.75,173.00,127.875,150.25,846600,230.93981
2000-02-22,145.375,151.1875,131.50,146.00,344000,224.40740
2000-02-23,144.9375,165.921875,138.75,161.8125,163900,248.71180
2000-02-24,164.00,164.00,129.50,138.75,360700,213.26388
2000-02-25,136.25,136.50,112.625,122.75,882000,188.67129
2000-02-28,122.6875,133.00,108.00,127.4375,315100,195.87615
2000-02-29,133.875,133.9375,128.00,130.00,218600,199.81481
2000-03-01,129.375,148.3125,129.125,146.00,189700,224.40740
2000-03-02,149.75,160.50,143.00,146.5625,272100,225.27198
2000-03-03,156.9375,156.96875,143.50,145.0625,208600,222.96643
2000-03-06,149.00,149.00,139.875,141.00,79500,216.72221
2000-03-07,136.375,141.50,129.50,131.50,86200,202.12036
2000-03-08,133.875,142.875,125.75,136.50,189500,209.80555
2000-03-09,142.25,143.8125,135.625,143.8125,82600,221.04513
2000-03-10,144.875,157.00,144.875,152.50,220100,234.39814
2000-03-13,138.00,160.00,137.00,145.00,180100,222.87036
2000-03-14,146.50,162.50,144.00,149.00,241400,229.01851
2000-03-15,158.3125,158.375,124.00,129.4375,145700,198.95022
2000-03-16,138.00,138.00,105.00,132.75,173500,204.04166
2000-03-17,134.00,138.00,118.5625,126.375,69000,194.24305
2000-03-20,125.00,127.125,115.00,115.125,76500,176.95138
2000-03-21,114.125,118.0625,103.00,113.4375,104200,174.35763
