Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,17.187519,17.375,15.00,15.50,3971200,3.54006
2000-01-04,15.00,15.625,14.75,15.50,5402800,3.54006
2000-01-05,15.25,15.50,14.875,15.06248,3598000,3.44014
2000-01-06,15.06248,16.50,14.93752,16.312481,3956000,3.72563
2000-01-07,16.50,16.75,15.93752,16.125,2756400,3.68281
2000-01-10,15.875,16.25,15.625,16.25,1998800,3.71136
2000-01-11,16.00,16.625,16.00,16.375,2788400,3.73991
2000-01-12,16.312481,16.562481,16.062481,16.375,2079200,3.74677
2000-01-13,16.50,16.937519,16.437519,16.687519,4296400,3.81828
2000-01-14,16.937519,17.125,16.562481,17.00,5099200,3.88978
2000-01-18,17.25,17.937519,16.687519,17.062481,3706800,3.90407
2000-01-19,17.312481,17.812481,17.125,17.125,1662400,3.91838
2000-01-20,17.062481,17.125,16.00,16.75,4240800,3.8325
2000-01-21,16.937519,17.312481,16.125,16.25,7760000,3.71817
2000-01-24,16.00,16.187519,15.43752,15.875,5458400,3.6323
2000-01-25,15.875,16.187519,15.56248,15.625,5332000,3.57516
2000-01-26,15.68752,16.25,15.68752,15.81248,4566400,3.61806
2000-01-27,15.875,16.125,15.25,15.43752,2605200,3.5322
2000-01-28,15.43752,15.68752,15.18752,15.25,2298000,3.48936
2000-01-31,15.50,15.93752,15.06248,15.875,3082800,3.6323
2000-02-01,15.75,16.187519,15.625,16.00,2764000,3.66097
2000-02-02,16.25,16.687519,16.25,16.50,4101200,3.77537
2000-02-03,16.625,16.812481,16.125,16.125,3419200,3.68957
2000-02-04,16.062481,16.562481,15.25,15.68752,2589200,3.58947
2000-02-07,15.93752,16.125,15.43752,15.56248,3120800,3.56086
2000-02-08,15.68752,15.875,15.31248,15.50,2361600,3.54656
2000-02-09,15.625,15.875,14.875,15.06248,3786400,3.44645
2000-02-10,15.06248,15.875,15.06248,15.875,3636800,3.6323
2000-02-11,15.93752,15.93752,15.25,15.625,3043600,3.57516
