Date,Open,High,Low,Close,Volume,Adj Clos
2009-05-27,20.00,20.25,20.00,20.00,000,13.42385
2009-05-28,20.25,20.25,20.00,20.030001,000,13.44399
2009-05-29,20.040001,20.190001,20.00,20.139999,000,13.51782
2009-06-01,20.09,20.09,20.00,20.00,000,13.42385
2009-06-02,20.02,20.17,20.00,20.01,000,13.43056
2009-06-03,20.040001,20.15,20.00,20.15,22600,13.52453
2009-06-04,20.049999,20.23,20.00,20.049999,26800,13.45741
2009-06-05,20.10,20.10,20.040001,20.10,19200,13.49097
2009-06-08,20.10,20.129999,20.049999,20.049999,9500,13.45741
2009-06-09,20.09,20.09,20.02,20.09,22300,13.48426
2009-06-10,20.059999,20.190001,20.030001,20.040001,19900,13.45070
2009-06-11,20.030001,20.09,20.01,20.040001,16900,13.45070
2009-06-12,20.040001,20.09,20.030001,20.049999,8500,13.45741
2009-06-15,20.09,20.10,20.030001,20.10,35100,13.49097
2009-06-16,20.09,20.25,20.049999,20.049999,35500,13.45741
2009-06-17,20.059999,20.24,20.01,20.040001,47000,13.45070
2009-06-18,20.059999,20.07,20.030001,20.040001,38100,13.45070
2009-06-19,20.07,20.440001,20.02,20.25,41700,13.59165
2009-06-22,20.08,20.08,20.00,20.02,83400,13.43727
2009-06-23,20.049999,20.059999,20.00,20.00,160200,13.42385
2009-06-24,20.01,20.030001,20.00,20.00,53200,13.42385
2009-06-25,19.879999,19.879999,18.73,18.82,53200,12.63184
2009-06-26,18.82,19.059999,18.76,18.780001,29600,12.60500
2009-06-29,17.34,18.879999,17.34,18.43,66200,12.37008
2009-06-30,18.450001,18.73,18.379999,18.60,27600,12.48418
2009-07-01,18.700001,18.90,18.52,18.860001,17400,12.65869
2009-07-02,18.870001,18.870001,18.60,18.700001,7800,12.55130
2009-07-06,18.50,18.629999,18.25,18.60,19100,12.48418
2009-07-07,18.65,19.549999,18.00,18.16,50100,12.18886
2009-07-08,18.110001,18.299999,18.01,18.02,47800,12.09489
2009-07-09,19.27,19.27,18.120001,18.50,20700,12.41706
2009-07-10,18.25,18.870001,18.25,18.790001,16600,12.61171
2009-07-13,18.90,18.90,18.49,18.50,12400,12.41706
2009-07-14,18.51,19.00,18.51,19.00,15200,12.75266
2009-07-15,19.00,19.190001,18.870001,19.00,11600,12.75266
2009-07-16,18.889999,19.110001,18.280001,19.00,52300,12.75266
2009-07-17,18.75,19.00,18.74,18.83,7000,12.6385
2009-07-20,18.709999,18.99,18.559999,18.90,23700,12.68554
2009-07-21,18.860001,18.90,18.799999,18.84,27200,12.64527
2009-07-22,18.73,18.75,18.68,18.68,8500,12.60680
2009-07-23,18.75,18.77,18.459999,18.60,15400,12.55281
2009-07-24,18.610001,18.90,18.58,18.889999,12800,12.74852
2009-07-27,18.879999,18.90,18.620001,18.90,12400,12.75527
2009-07-28,18.77,18.90,18.50,18.559999,24900,12.52581
2009-07-29,18.50,18.83,18.48,18.700001,18600,12.62030
2009-07-30,18.549999,18.73,18.530001,18.60,16700,12.55281
2009-07-31,18.700001,18.85,18.629999,18.85,29900,12.72153
2009-08-03,18.85,19.299999,18.65,19.25,51800,12.99148
2009-08-04,19.299999,19.299999,18.719999,18.870001,51700,12.73503
2009-08-05,18.700001,18.75,18.530001,18.629999,62900,12.57305
2009-08-06,18.90,18.90,18.129999,18.25,75800,12.31660
2009-08-07,18.299999,18.299999,18.08,18.18,40000,12.26936
2009-08-10,18.34,18.370001,17.940001,18.370001,107800,12.3975
2009-08-11,18.40,18.450001,18.10,18.24,40900,12.30985
2009-08-12,18.129999,18.469999,18.129999,18.27,38200,12.33010
2009-08-13,18.190001,18.639999,18.190001,18.440001,22100,12.44483
2009-08-14,18.40,18.639999,18.40,18.41,15200,12.42458
2009-08-17,18.450001,18.559999,18.32,18.50,29000,12.48532
2009-08-18,18.41,18.75,18.41,18.73,22700,12.64054
2009-08-19,18.76,18.790001,18.50,18.65,19500,12.58655
2009-08-20,18.639999,18.68,18.190001,18.43,27400,12.50715
2009-08-21,18.34,18.629999,18.209999,18.33,66700,12.43929
2009-08-24,18.370001,18.42,18.299999,18.32,54100,12.43250
2009-08-25,18.379999,18.57,18.27,18.57,61100,12.60216
2009-08-26,18.629999,18.90,18.48,18.620001,60300,12.63609
2009-08-27,18.52,18.780001,18.52,18.65,34300,12.65645
2009-08-28,18.57,18.92,18.57,18.90,21900,12.82611
2009-08-31,18.610001,19.18,18.610001,18.93,44600,12.84647
2009-09-01,18.73,19.200001,18.73,19.08,55900,12.94826
2009-09-02,19.200001,19.23,18.860001,18.92,60800,12.83968
2009-09-03,19.10,19.110001,18.92,19.040001,56500,12.92112
2009-09-04,19.15,19.15,18.93,19.139999,39500,12.98898
2009-09-08,19.23,19.299999,19.209999,19.25,23000,13.06363
2009-09-09,19.280001,19.290001,19.15,19.25,50300,13.06363
2009-09-10,19.299999,19.299999,19.15,19.299999,74600,13.09756
2009-09-11,19.280001,19.42,19.25,19.370001,63900,13.1450
2009-09-14,19.440001,19.549999,19.42,19.48,50300,13.21971
2009-09-15,19.629999,19.700001,19.530001,19.700001,62500,13.36901
2009-09-16,19.780001,19.780001,19.57,19.65,86700,13.33508
2009-09-17,19.68,19.85,19.68,19.82,87600,13.45045
2009-09-18,19.90,20.00,19.83,19.98,52300,13.55903
2009-09-21,19.85,19.959999,19.74,19.870001,51700,13.5542
2009-09-22,19.82,20.00,19.60,19.67,80200,13.4178
2009-09-23,19.799999,20.00,19.67,19.870001,63900,13.5542
2009-09-24,19.969999,19.969999,19.75,19.809999,66000,13.5133
2009-09-25,19.879999,19.879999,19.709999,19.709999,59400,13.44511
2009-09-28,19.709999,19.879999,19.700001,19.76,98100,13.47922
2009-09-29,19.790001,19.82,19.719999,19.799999,55900,13.50650
2009-09-30,19.799999,20.00,19.790001,19.879999,66400,13.5610
2009-10-01,19.950001,20.049999,19.889999,20.02,119000,13.65658
2009-10-02,19.92,20.200001,19.92,20.110001,109500,13.71797
2009-10-05,20.110001,20.110001,20.049999,20.10,53500,13.71115
2009-10-06,20.10,20.389999,20.07,20.309999,89900,13.85440
2009-10-07,20.40,20.40,20.120001,20.26,111900,13.82029
2009-10-08,20.26,20.469999,20.200001,20.40,101500,13.91579
2009-10-09,20.440001,20.440001,20.10,20.190001,59500,13.77254
2009-10-12,20.280001,20.280001,19.90,20.01,45300,13.6497
2009-10-13,20.08,20.27,20.049999,20.139999,80100,13.73843
2009-10-14,20.129999,20.219999,19.799999,19.91,86000,13.58154
2009-10-15,19.99,19.99,19.57,19.66,56800,13.41100
2009-10-16,19.66,19.67,19.58,19.67,55500,13.4178
2009-10-19,19.75,20.00,19.700001,19.99,64900,13.63611
2009-10-20,19.83,20.040001,19.719999,19.92,78800,13.58836
2009-10-21,19.879999,19.969999,19.74,19.950001,46400,13.67956
2009-10-22,19.940001,20.00,19.709999,19.91,81200,13.65213
2009-10-23,19.99,19.99,19.66,19.780001,43800,13.56299
2009-10-26,19.950001,19.950001,19.709999,19.83,27900,13.59728
2009-10-27,19.90,19.93,19.780001,19.780001,36600,13.56299
2009-10-28,19.719999,19.85,19.49,19.68,59800,13.49442
2009-10-29,19.67,19.719999,19.559999,19.68,46400,13.49442
2009-10-30,19.68,19.73,19.42,19.65,75100,13.47385
2009-11-02,19.65,19.940001,19.610001,19.75,35200,13.54242
2009-11-03,19.90,19.90,19.65,19.66,49100,13.48071
2009-11-04,19.58,19.92,19.58,19.74,54700,13.53556
2009-11-05,19.870001,19.98,19.66,19.969999,38300,13.69327
2009-11-06,19.950001,19.950001,19.610001,19.67,48700,13.4875
2009-11-09,19.690001,19.75,19.60,19.73,28200,13.52871
2009-11-10,19.860001,19.860001,19.68,19.709999,56300,13.51499
2009-11-11,19.639999,19.75,19.639999,19.66,13600,13.48071
2009-11-12,19.75,19.75,19.469999,19.50,28800,13.37100
2009-11-13,19.43,19.809999,19.43,19.57,33300,13.41900
2009-11-16,19.51,19.73,19.51,19.610001,28400,13.44642
2009-11-17,19.51,19.60,19.50,19.540001,34800,13.39843
2009-11-18,19.51,19.629999,19.35,19.41,51500,13.3092
2009-11-19,19.50,19.50,19.219999,19.299999,19400,13.30446
2009-11-20,19.129999,19.40,19.129999,19.27,16000,13.28378
2009-11-23,19.35,19.459999,19.209999,19.23,39600,13.2562
2009-11-24,19.299999,19.49,19.209999,19.370001,47400,13.35271
2009-11-25,19.290001,19.40,19.25,19.25,30400,13.26999
2009-11-27,19.25,19.33,19.219999,19.25,12600,13.26999
2009-11-30,19.33,19.33,19.059999,19.139999,63000,13.19416
2009-12-01,19.120001,19.49,19.120001,19.360001,54400,13.34582
2009-12-02,19.440001,19.450001,19.18,19.35,36500,13.33893
2009-12-03,19.49,19.530001,19.40,19.450001,19000,13.40786
2009-12-04,19.52,19.629999,19.379999,19.42,36300,13.38718
2009-12-07,19.370001,19.57,19.34,19.379999,27400,13.35961
2009-12-08,19.66,19.75,19.24,19.620001,81100,13.52505
2009-12-09,19.67,19.73,19.540001,19.65,24000,13.54573
2009-12-10,19.709999,19.780001,19.65,19.77,16200,13.62845
2009-12-11,19.690001,19.75,19.530001,19.700001,66900,13.58020
