Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,34.50,34.562481,32.562481,33.562481,938400,6.30851
2000-01-04,33.437519,35.312481,33.437519,34.687519,1219600,6.51998
2000-01-05,35.00,35.687519,34.875,35.687519,1157600,6.70794
2000-01-06,35.562481,36.50,35.375,36.125,744800,6.79017
2000-01-07,36.125,37.062481,36.125,36.687519,261600,6.89590
2000-01-10,36.75,36.937519,35.625,35.625,238800,6.69619
2000-01-11,35.50,36.00,35.187519,35.187519,237600,6.61396
2000-01-12,35.125,35.25,34.875,35.125,148000,6.60221
2000-01-13,35.062481,35.625,34.75,35.562481,604800,6.68444
2000-01-14,35.437519,35.625,35.062481,35.437519,347600,6.66095
2000-01-18,35.562481,35.687519,35.375,35.625,147600,6.69619
2000-01-19,35.625,35.75,35.00,35.75,311200,6.7196
2000-01-20,35.75,35.75,35.125,35.50,364000,6.67269
2000-01-21,35.437519,36.50,35.437519,36.25,538800,6.81367
2000-01-24,36.50,36.625,35.562481,35.812481,203200,6.73143
2000-01-25,35.75,36.00,34.50,34.625,251200,6.50823
2000-01-26,34.812481,35.187519,34.75,35.187519,305200,6.61396
2000-01-27,35.062481,35.187519,34.812481,35.00,237600,6.57871
2000-01-28,34.875,35.25,34.75,35.125,323200,6.60221
2000-01-31,35.25,35.375,34.50,34.50,256400,6.48473
2000-02-01,34.312481,34.562481,34.00,34.562481,200000,6.4964
2000-02-02,34.375,35.187519,34.375,34.875,307600,6.55522
2000-02-03,34.75,35.375,34.75,34.875,183600,6.55522
2000-02-04,34.937519,35.062481,34.062481,34.375,144800,6.4612
2000-02-07,34.437519,34.625,33.75,33.875,103600,6.36725
2000-02-08,33.875,33.937519,33.375,33.562481,161200,6.30851
2000-02-09,33.375,33.562481,32.75,32.937519,392400,6.24594
2000-02-10,33.187519,34.312481,32.875,34.125,272400,6.47112
2000-02-11,33.937519,34.25,32.937519,32.937519,218400,6.24594
2000-02-14,33.00,33.875,32.25,33.562481,459600,6.36445
2000-02-15,33.625,34.687519,33.625,34.50,145600,6.54223
2000-02-16,34.25,34.75,33.812481,34.562481,349200,6.55408
2000-02-17,34.375,35.75,34.375,35.687519,475600,6.76742
2000-02-18,35.687519,35.687519,34.75,34.937519,227600,6.62520
2000-02-22,35.00,35.187519,34.00,34.50,334400,6.54223
2000-02-23,34.375,34.375,34.00,34.125,342000,6.47112
2000-02-24,34.062481,35.00,34.062481,34.625,230000,6.56594
2000-02-25,34.625,34.687519,33.50,33.687519,188000,6.38816
2000-02-28,33.687519,34.875,33.187519,34.562481,241600,6.55408
2000-02-29,36.25,37.875,36.25,37.75,842800,7.15853
2000-03-01,37.812481,38.50,35.812481,36.312481,1048800,6.8859
2000-03-02,36.187519,37.25,36.187519,37.187519,372400,7.05187
2000-03-03,37.062481,37.812481,37.062481,37.50,316400,7.1111
2000-03-06,37.375,37.437519,37.062481,37.375,170400,7.08742
2000-03-07,37.25,38.25,37.25,38.125,226000,7.22964
2000-03-08,38.187519,38.75,38.187519,38.75,309600,7.34816
2000-03-09,38.75,39.625,38.687519,39.625,330000,7.51409
2000-03-10,39.625,40.75,39.625,40.375,421200,7.65631
2000-03-13,40.50,40.50,40.062481,40.125,316400,7.60890
2000-03-14,40.00,40.125,39.625,39.687519,426400,7.52594
2000-03-15,39.50,39.75,38.50,39.062481,221200,7.40742
2000-03-16,39.187519,40.437519,39.125,40.187519,740000,7.62076
2000-03-17,39.437519,39.812481,39.25,39.312481,420800,7.45483
2000-03-20,39.562481,41.625,39.50,41.437519,422400,7.85780
2000-03-21,41.187519,41.25,40.75,40.875,268800,7.75113
2000-03-22,41.375,41.375,40.25,40.50,538800,7.6800
2000-03-23,40.75,41.625,40.687519,41.062481,467200,7.78668
2000-03-24,41.50,42.375,41.375,41.875,408800,7.94076
2000-03-27,41.75,42.25,41.375,41.437519,234800,7.85780
2000-03-28,41.375,42.125,41.375,41.75,324000,7.91705
2000-03-29,41.812481,44.00,41.75,43.687519,403600,8.2844
2000-03-30,43.687519,46.00,43.50,45.437519,1212400,8.61632
2000-03-31,45.437519,45.437519,44.25,44.812481,743200,8.49779
2000-04-03,44.812481,45.375,44.00,44.125,508800,8.36742
2000-04-04,44.187519,44.875,43.687519,44.125,692400,8.36742
2000-04-05,44.125,44.125,43.625,43.937519,254800,8.33187
2000-04-06,43.875,45.00,43.875,44.625,433600,8.46224
2000-04-07,44.812481,44.937519,44.312481,44.937519,228400,8.52150
2000-04-10,45.00,45.437519,44.625,44.625,793200,8.46224
2000-04-11,44.50,44.50,43.25,43.562481,250000,8.26075
2000-04-12,43.75,44.625,43.375,44.312481,432800,8.40298
2000-04-13,44.187519,45.187519,44.187519,44.625,296000,8.46224
2000-04-14,44.625,45.00,44.00,44.375,306000,8.41483
2000-04-17,44.187519,44.375,41.625,44.375,584400,8.41483
2000-04-18,44.25,47.25,44.25,45.687519,932400,8.6637
2000-04-19,45.50,46.937519,44.937519,45.75,400000,8.67557
2000-04-20,45.625,45.875,44.75,45.50,324000,8.62817
2000-04-24,45.437519,45.50,44.625,45.312481,435200,8.59261
2000-04-25,45.187519,45.875,44.937519,45.75,602800,8.67557
2000-04-26,46.00,46.75,46.00,46.75,380400,8.86520
2000-04-27,46.562481,46.75,46.25,46.75,493200,8.86520
2000-04-28,46.562481,46.687519,45.625,46.375,720000,8.79409
2000-05-01,46.562481,47.625,46.562481,46.812481,266800,8.87705
2000-05-02,47.00,47.687519,46.187519,46.187519,355200,8.75854
2000-05-03,46.062481,46.625,46.062481,46.437519,428400,8.80595
2000-05-04,46.625,47.437519,46.25,47.25,576000,8.96002
2000-05-05,47.375,48.125,47.375,48.062481,296800,9.11409
