Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,14.625,14.625,14.625,14.625,600,2.98901
2000-01-04,14.50,14.50,14.50,14.50,400,2.96346
2000-01-05,14.50,14.75,14.50,14.75,600,3.01456
2000-01-06,14.75,14.75,14.6875,14.6875,800,3.00178
2000-01-07,14.6875,14.6875,14.6875,14.6875,000,3.00178
2000-01-10,14.6875,14.6875,14.625,14.625,1200,2.98901
2000-01-11,14.875,14.875,14.75,14.875,800,3.0401
2000-01-12,14.875,14.875,14.625,14.875,1000,3.0401
2000-01-13,14.875,15.375,14.875,15.3125,13600,3.12952
2000-01-14,15.25,15.50,15.25,15.375,7800,3.14229
2000-01-18,15.50,15.50,15.375,15.375,1000,3.14229
2000-01-19,15.375,15.50,15.25,15.375,7600,3.14229
2000-01-20,15.4375,15.5625,15.4375,15.50,3800,3.16784
2000-01-21,15.5625,15.5625,15.5625,15.5625,200,3.18061
2000-01-24,15.4375,15.50,15.4375,15.50,2200,3.16784
2000-01-25,15.375,15.50,15.375,15.50,800,3.16784
2000-01-26,15.375,15.5625,15.375,15.50,4400,3.16784
2000-01-27,15.50,15.50,15.50,15.50,000,3.16784
2000-01-28,15.50,15.50,15.00,15.00,5200,3.06565
2000-01-31,15.00,15.00,15.00,15.00,1400,3.06565
2000-02-01,15.25,15.25,14.875,14.875,6200,3.0401
2000-02-02,15.00,15.00,14.75,14.75,4600,3.01456
2000-02-03,14.50,14.50,14.50,14.50,1600,2.96346
2000-02-04,14.375,14.375,14.125,14.125,7800,2.88682
2000-02-07,14.00,14.00,13.50,13.5625,8800,2.77186
2000-02-08,13.6875,13.6875,13.50,13.50,4600,2.75909
2000-02-09,13.50,13.50,13.25,13.25,17800,2.70799
2000-02-10,13.50,13.625,13.25,13.625,1600,2.78463
2000-02-11,13.75,13.75,13.75,13.75,600,2.81018
2000-02-14,14.00,14.00,13.625,13.625,8200,2.78463
2000-02-15,13.50,13.50,13.50,13.50,1200,2.75909
2000-02-16,13.75,13.75,13.625,13.625,4800,2.78463
2000-02-17,13.625,13.875,13.625,13.875,600,2.83573
2000-02-18,13.875,13.875,13.875,13.875,000,2.83573
2000-02-22,13.625,13.625,13.625,13.625,1200,2.78463
2000-02-23,13.625,13.625,13.625,13.625,600,2.78463
2000-02-24,13.625,13.625,13.50,13.625,1600,2.78463
2000-02-25,13.5625,13.5625,13.5625,13.5625,600,2.78207
2000-02-28,13.50,13.50,13.375,13.375,5200,2.74361
2000-02-29,13.375,13.375,13.25,13.25,2600,2.71797
2000-03-01,13.25,13.25,13.25,13.25,000,2.71797
2000-03-02,13.25,13.25,13.25,13.25,2000,2.71797
2000-03-03,13.25,13.25,13.25,13.25,000,2.71797
2000-03-06,13.00,13.00,12.875,12.875,9400,2.64104
2000-03-07,12.875,12.875,12.875,12.875,000,2.64104
2000-03-08,13.125,13.125,13.00,13.00,1200,2.66668
2000-03-09,13.0625,13.50,13.0625,13.50,5000,2.76925
2000-03-10,13.75,13.75,13.125,13.50,15000,2.76925
2000-03-13,13.25,13.50,13.25,13.50,15800,2.76925
2000-03-14,13.50,13.50,13.50,13.50,1000,2.76925
2000-03-15,13.25,13.625,13.25,13.625,2800,2.79489
2000-03-16,13.625,13.625,13.625,13.625,1200,2.79489
2000-03-17,13.625,13.625,13.375,13.375,2200,2.74361
2000-03-20,13.25,13.25,13.25,13.25,200,2.71797
2000-03-21,13.375,13.375,13.375,13.375,400,2.74361
2000-03-22,13.50,13.625,13.375,13.375,3600,2.74361
2000-03-23,13.375,13.375,13.375,13.375,000,2.74361
2000-03-24,13.8125,14.00,13.375,13.75,12600,2.82053
2000-03-27,13.50,14.00,13.50,13.875,18800,2.84617
2000-03-28,13.875,13.875,13.875,13.875,000,2.84617
2000-03-29,14.00,14.375,14.00,14.25,16600,2.92310
2000-03-30,14.25,14.25,14.25,14.25,4600,2.92310
2000-03-31,14.125,14.125,13.875,13.875,7000,2.84617
2000-04-03,14.00,14.00,13.875,13.875,5200,2.84617
2000-04-04,13.875,13.875,13.875,13.875,000,2.84617
2000-04-05,13.875,13.875,13.875,13.875,000,2.84617
2000-04-06,14.00,14.1875,14.00,14.1875,8000,2.9102
2000-04-07,14.125,15.00,14.125,14.875,31400,3.05130
2000-04-10,14.875,14.875,14.625,14.625,7200,3.00002
2000-04-11,14.625,14.625,14.625,14.625,000,3.00002
2000-04-12,14.625,14.625,14.625,14.625,000,3.00002
2000-04-13,14.625,14.625,14.625,14.625,600,3.00002
2000-04-14,14.50,14.50,14.50,14.50,400,2.97438
2000-04-17,14.50,14.50,14.50,14.50,000,2.97438
2000-04-18,14.50,14.50,14.50,14.50,000,2.97438
2000-04-19,14.50,14.50,14.50,14.50,000,2.97438
2000-04-20,14.50,14.625,14.50,14.625,1400,3.00002
2000-04-24,14.625,14.625,14.625,14.625,000,3.00002
2000-04-25,14.625,14.625,14.625,14.625,000,3.00002
2000-04-26,14.875,14.875,14.8125,14.8125,1600,3.03848
2000-04-27,14.8125,14.8125,14.8125,14.8125,000,3.03848
2000-04-28,14.8125,15.125,14.8125,15.00,7000,3.07694
2000-05-01,15.00,15.00,14.75,14.75,2800,3.02566
2000-05-02,14.75,14.875,14.75,14.8125,2400,3.03848
2000-05-03,14.8125,14.8125,14.8125,14.8125,000,3.03848
2000-05-04,14.75,14.8125,14.625,14.8125,21800,3.03848
2000-05-05,14.8125,14.8125,14.8125,14.8125,000,3.03848
2000-05-08,14.8125,14.8125,14.8125,14.8125,200,3.03848
2000-05-09,14.8125,14.8125,14.8125,14.8125,000,3.03848
2000-05-10,14.625,14.625,14.625,14.625,3000,3.00002
2000-05-11,14.625,14.625,14.625,14.625,400,3.00002
2000-05-12,14.50,14.50,14.1875,14.50,8800,2.97438
2000-05-15,14.50,14.50,14.50,14.50,4000,2.97438
2000-05-16,14.50,14.50,14.50,14.50,000,2.97438
2000-05-17,14.50,14.50,14.50,14.50,000,2.97438
2000-05-18,14.50,14.50,14.50,14.50,000,2.97438
2000-05-19,14.625,14.625,14.625,14.625,4000,3.00002
2000-05-22,14.625,14.625,14.625,14.625,000,3.00002
2000-05-23,14.625,14.625,14.50,14.50,3200,2.97438
2000-05-24,14.375,14.375,14.375,14.375,2000,2.94874
2000-05-25,14.375,14.375,14.375,14.375,000,2.94874
2000-05-26,14.3125,14.3125,14.3125,14.3125,000,2.94616
2000-05-30,14.3125,14.3125,14.3125,14.3125,000,2.94616
2000-05-31,14.375,14.375,14.375,14.375,600,2.95903
2000-06-01,14.375,14.375,14.375,14.375,000,2.95903
2000-06-02,14.50,14.75,14.50,14.625,3600,3.01049
2000-06-05,14.875,14.9375,14.75,14.8125,10400,3.04909
2000-06-06,14.8125,14.8125,14.8125,14.8125,000,3.04909
2000-06-07,14.8125,14.8125,14.8125,14.8125,2800,3.04909
2000-06-08,14.8125,14.8125,14.8125,14.8125,000,3.04909
2000-06-09,14.8125,14.8125,14.8125,14.8125,000,3.04909
2000-06-12,14.75,14.75,14.75,14.75,3000,3.03622
