Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,11.50,11.8125,11.50,11.75,28200,3.67706
2000-01-04,11.875,11.875,11.75,11.8125,33200,3.6966
2000-01-05,11.8125,11.875,11.75,11.875,23500,3.71617
2000-01-06,11.9375,12.00,11.8125,12.00,35500,3.77724
2000-01-07,12.00,12.0625,11.9375,11.9375,8400,3.75757
2000-01-10,11.875,12.00,11.875,12.00,15400,3.77724
2000-01-11,11.875,11.875,11.75,11.75,18100,3.69855
2000-01-12,11.8125,11.8125,11.50,11.5625,9400,3.63953
2000-01-13,11.50,11.50,11.3125,11.375,37500,3.58051
2000-01-14,11.25,11.4375,11.1875,11.375,21200,3.58051
2000-01-18,11.375,11.375,11.00,11.00,42300,3.46247
2000-01-19,11.1875,11.4375,11.0625,11.4375,59300,3.60018
2000-01-20,11.3125,11.875,11.3125,11.5625,33700,3.63953
2000-01-21,11.5625,11.9375,11.50,11.875,29400,3.73789
2000-01-24,11.875,11.875,11.5625,11.6875,17000,3.67887
2000-01-25,11.6875,12.00,11.625,12.00,59800,3.77724
2000-01-26,11.875,12.00,11.625,11.75,33400,3.69855
2000-01-27,11.8125,11.9375,11.6875,11.9375,35700,3.75757
2000-01-28,11.9375,12.00,11.75,11.8125,56400,3.71822
2000-01-31,11.75,11.875,11.625,11.875,24000,3.73789
2000-02-01,11.6875,11.8125,11.625,11.625,21800,3.65920
2000-02-02,11.625,11.875,11.5625,11.75,26100,3.69855
2000-02-03,11.75,12.0625,11.75,12.0625,25600,3.79691
2000-02-04,12.00,12.125,11.9375,11.9375,16400,3.75757
2000-02-07,12.0625,12.0625,11.625,11.75,20600,3.69855
2000-02-08,11.75,12.00,11.75,12.00,27500,3.79955
2000-02-09,12.00,12.00,11.75,11.9375,9100,3.77976
2000-02-10,11.8125,11.9375,11.75,11.9375,20600,3.77976
2000-02-11,12.00,12.00,11.8125,11.8125,18700,3.74018
2000-02-14,11.875,11.9375,11.50,11.50,66900,3.64124
2000-02-15,11.6875,11.75,11.625,11.75,9500,3.72039
2000-02-16,11.625,11.75,11.625,11.75,12100,3.72039
2000-02-17,11.75,11.75,11.50,11.6875,28600,3.70060
2000-02-18,11.75,11.875,11.75,11.8125,18900,3.74018
2000-02-22,11.8125,11.875,11.50,11.50,17400,3.64124
2000-02-23,11.50,11.875,11.375,11.6875,36200,3.70060
2000-02-24,11.8125,11.875,11.6875,11.8125,11200,3.74018
2000-02-25,11.9375,11.9375,11.6875,11.75,41800,3.72039
2000-02-28,11.625,11.6875,11.50,11.5625,28100,3.66103
2000-02-29,11.5625,11.6875,11.50,11.6875,31500,3.70060
2000-03-01,11.6875,11.6875,11.625,11.625,15300,3.6808
2000-03-02,11.50,11.625,11.50,11.5625,14900,3.66103
2000-03-03,11.4375,11.5625,11.4375,11.50,17200,3.64124
2000-03-06,11.4375,11.5625,11.375,11.50,15900,3.64124
2000-03-07,11.5625,11.5625,11.3125,11.375,20400,3.60166
2000-03-08,11.25,11.25,11.00,11.0625,39700,3.52409
2000-03-09,11.00,11.125,10.875,11.0625,33800,3.52409
2000-03-10,11.00,11.125,10.875,11.0625,53800,3.52409
2000-03-13,10.9375,11.00,10.6875,10.75,40500,3.42454
2000-03-14,10.6875,10.8125,10.5625,10.5625,37300,3.36481
2000-03-15,10.625,10.625,10.50,10.625,25700,3.38472
2000-03-16,10.6875,10.75,10.6875,10.75,11300,3.42454
2000-03-17,10.8125,10.875,10.75,10.75,19800,3.42454
2000-03-20,10.875,11.00,10.75,10.875,36300,3.46436
2000-03-21,10.875,11.00,10.8125,10.875,14700,3.46436
2000-03-22,10.875,11.00,10.875,11.00,6400,3.50418
2000-03-23,11.00,11.00,10.8125,10.8125,26200,3.44445
2000-03-24,10.875,11.0625,10.875,11.0625,14800,3.52409
2000-03-27,11.125,11.125,11.00,11.00,17700,3.50418
2000-03-28,11.0625,11.25,11.00,11.25,21100,3.58382
2000-03-29,11.125,11.25,11.125,11.125,4800,3.54400
2000-03-30,11.125,11.3125,11.0625,11.1875,14700,3.56391
2000-03-31,11.25,11.375,11.1875,11.375,11500,3.62364
2000-04-03,11.375,11.375,11.125,11.3125,20500,3.60373
2000-04-04,11.3125,11.50,11.3125,11.4375,41500,3.64355
2000-04-05,11.50,11.5625,11.4375,11.50,29200,3.66346
2000-04-06,11.50,11.5625,11.50,11.50,23900,3.68557
2000-04-07,11.4375,11.6875,11.4375,11.6875,42700,3.74566
2000-04-10,11.625,11.6875,11.5625,11.625,10800,3.72563
2000-04-11,11.6875,11.6875,11.50,11.50,11700,3.68557
2000-04-12,11.625,11.6875,11.50,11.50,18300,3.68557
2000-04-13,11.5625,11.875,11.50,11.875,70400,3.80575
2000-04-14,11.8125,12.00,11.75,11.75,98000,3.76569
2000-04-17,11.8125,11.8125,11.375,11.375,45000,3.64551
2000-04-18,11.4375,11.4375,11.25,11.375,21100,3.64551
2000-04-19,11.4375,11.4375,11.3125,11.3125,27700,3.62548
2000-04-20,11.5625,11.625,11.50,11.50,33000,3.68557
2000-04-24,11.4375,11.625,11.4375,11.625,21000,3.72563
2000-04-25,11.5625,11.6875,11.4375,11.50,15800,3.68557
2000-04-26,11.50,11.6875,11.375,11.375,13300,3.64551
2000-04-27,11.375,11.375,11.25,11.25,18400,3.60545
2000-04-28,11.3125,11.3125,11.00,11.0625,20100,3.54536
2000-05-01,11.0625,11.3125,11.0625,11.1875,19500,3.58542
2000-05-02,11.125,11.3125,11.125,11.3125,20000,3.62548
2000-05-03,11.3125,11.3125,11.0625,11.25,53800,3.60545
2000-05-04,11.1875,11.1875,11.00,11.125,22100,3.58739
2000-05-05,11.125,11.1875,11.0625,11.1875,13000,3.60755
2000-05-08,11.1875,11.1875,11.00,11.125,17000,3.58739
2000-05-09,11.125,11.3125,11.125,11.3125,69300,3.6478
2000-05-10,11.125,11.3125,11.125,11.25,25300,3.62770
2000-05-11,11.25,11.3125,11.1875,11.25,7500,3.62770
2000-05-12,11.3125,11.3125,11.125,11.125,24000,3.58739
2000-05-15,11.25,11.25,11.125,11.125,8900,3.58739
2000-05-16,11.25,11.3125,11.00,11.00,65800,3.5470
2000-05-17,11.00,11.00,10.8125,10.875,12300,3.50678
2000-05-18,10.875,10.875,10.75,10.8125,13400,3.48662
2000-05-19,10.75,10.75,10.375,10.375,56900,3.34555
2000-05-22,10.375,10.625,10.3125,10.5625,98800,3.40601
2000-05-23,10.4375,10.50,10.25,10.4375,138500,3.36570
2000-05-24,10.375,10.50,10.375,10.375,21200,3.34555
2000-05-25,10.3125,10.50,10.125,10.1875,167700,3.28508
2000-05-26,10.25,10.3125,10.125,10.3125,23100,3.32539
2000-05-30,10.375,10.50,10.25,10.4375,54900,3.36570
2000-05-31,10.4375,10.625,10.3125,10.5625,62700,3.40601
2000-06-01,10.4375,10.5625,10.125,10.4375,89800,3.36570
2000-06-02,10.375,10.50,10.3125,10.375,60700,3.34555
2000-06-05,10.3125,10.50,10.1875,10.50,42700,3.38585
2000-06-06,10.50,10.9375,10.50,10.875,57200,3.50678
2000-06-07,10.875,11.125,10.875,11.125,43600,3.60796
2000-06-08,11.0625,11.25,11.00,11.0625,24800,3.58769
2000-06-09,11.0625,11.25,11.00,11.0625,32700,3.58769
2000-06-12,11.0625,11.125,10.875,10.875,63200,3.5268
2000-06-13,10.9375,10.9375,10.5625,10.625,38700,3.44581
2000-06-14,10.6875,10.75,10.4375,10.4375,28900,3.38500
2000-06-15,10.50,10.625,10.4375,10.5625,26200,3.42554
2000-06-16,10.6875,10.875,10.625,10.8125,24500,3.5066
2000-06-19,10.875,10.9375,10.75,10.9375,10900,3.54715
2000-06-20,10.9375,10.9375,10.8125,10.8125,9000,3.5066
2000-06-21,10.8125,10.8125,10.50,10.50,34100,3.40527
2000-06-22,10.5625,10.5625,10.3125,10.375,46200,3.36473
2000-06-23,10.4375,10.4375,10.1875,10.25,25200,3.32419
2000-06-26,10.3125,10.5625,10.3125,10.5625,69200,3.42554
2000-06-27,10.5625,10.75,10.50,10.75,35600,3.48635
2000-06-28,10.8125,10.875,10.8125,10.8125,19500,3.5066
2000-06-29,10.75,10.875,10.625,10.75,29600,3.48635
2000-06-30,10.875,10.9375,10.875,10.875,14800,3.5268
2000-07-03,10.875,10.875,10.875,10.875,000,3.5268
2000-07-05,10.9375,11.25,10.875,11.0625,23900,3.58769
2000-07-06,11.00,11.125,11.00,11.00,17800,3.58753
2000-07-07,11.00,11.125,10.9375,11.00,26100,3.58753
2000-07-10,10.9375,11.25,10.9375,11.25,36300,3.6690
2000-07-11,11.25,11.25,11.00,11.00,22400,3.58753
2000-07-12,11.00,11.375,11.00,11.25,46800,3.6690
2000-07-13,11.3125,11.4375,11.3125,11.375,26700,3.70983
2000-07-14,11.4375,11.4375,11.25,11.25,24900,3.6690
2000-07-17,11.375,11.4375,11.25,11.375,14500,3.70983
2000-07-18,11.4375,11.5625,11.3125,11.5625,21600,3.77098
2000-07-19,11.5625,11.5625,11.4375,11.4375,16900,3.73022
2000-07-20,11.375,11.5625,11.375,11.375,22200,3.70983
2000-07-21,11.50,11.50,11.25,11.4375,39200,3.73022
2000-07-24,11.4375,11.4375,11.25,11.25,42200,3.6690
2000-07-25,11.25,11.375,11.1875,11.3125,59000,3.68945
2000-07-26,11.3125,11.4375,11.25,11.375,30700,3.70983
2000-07-27,11.375,11.4375,11.375,11.375,12400,3.70983
2000-07-28,11.375,11.4375,11.375,11.4375,8700,3.73022
2000-07-31,11.375,11.50,11.375,11.4375,11300,3.73022
2000-08-01,11.50,11.50,11.25,11.25,26800,3.6690
2000-08-02,11.4375,11.50,11.25,11.25,16700,3.6690
2000-08-03,11.375,11.5625,11.3125,11.5625,10600,3.77098
2000-08-04,11.5625,11.5625,11.50,11.50,4300,3.75060
2000-08-07,11.375,11.50,11.375,11.50,25300,3.75060
2000-08-08,11.4375,11.50,11.375,11.4375,10000,3.75044
2000-08-09,11.375,11.4375,11.1875,11.1875,62900,3.66846
2000-08-10,11.1875,11.375,11.1875,11.375,18600,3.72994
2000-08-11,11.25,11.50,11.1875,11.50,21900,3.77093
2000-08-14,11.4375,11.5625,11.4375,11.5625,23000,3.79142
2000-08-15,11.4375,11.625,11.375,11.5625,16900,3.79142
2000-08-16,11.5625,11.625,11.50,11.625,11200,3.81192
2000-08-17,11.625,11.625,11.375,11.375,20300,3.72994
2000-08-18,11.625,11.75,11.50,11.625,14600,3.81192
2000-08-21,11.75,11.75,11.375,11.4375,65800,3.75044
2000-08-22,11.50,11.625,11.375,11.50,25000,3.77093
2000-08-23,11.5625,11.5625,11.50,11.5625,1800,3.79142
2000-08-24,11.50,11.625,11.375,11.50,59300,3.77093
2000-08-25,11.4375,11.625,11.4375,11.625,44000,3.81192
2000-08-28,11.5625,11.75,11.5625,11.6875,37200,3.83241
2000-08-29,11.625,11.8125,11.5625,11.75,44200,3.85291
2000-08-30,11.75,11.875,11.75,11.75,16900,3.85291
2000-08-31,11.875,12.0625,11.875,12.00,41800,3.93488
2000-09-01,11.9375,12.00,11.875,11.9375,29200,3.91439
2000-09-05,11.8125,11.875,11.625,11.78125,32700,3.86315
2000-09-06,11.8125,11.8125,11.625,11.6875,25700,3.83241
2000-09-07,11.6875,11.6875,11.375,11.4375,31700,3.77044
2000-09-08,11.375,11.50,11.375,11.4375,33400,3.77044
2000-09-11,11.4375,11.625,11.4375,11.625,49400,3.83225
2000-09-12,11.5625,11.625,11.50,11.625,36100,3.83225
2000-09-13,11.625,11.6875,11.50,11.50,41400,3.79104
2000-09-14,11.625,11.625,11.50,11.50,30900,3.79104
2000-09-15,11.5625,11.5625,11.4375,11.50,10600,3.79104
2000-09-18,11.50,11.5625,11.375,11.4375,43500,3.77044
2000-09-19,11.4375,11.5625,11.4375,11.5625,48700,3.81164
2000-09-20,11.4375,11.5625,11.25,11.375,50500,3.74983
2000-09-21,11.375,11.375,11.1875,11.1875,43300,3.68802
2000-09-22,11.3125,11.375,11.125,11.25,21100,3.70863
2000-09-25,11.1875,11.3125,11.125,11.25,32000,3.70863
2000-09-26,11.1875,11.3125,11.1875,11.25,76100,3.70863
2000-09-27,11.3125,11.375,11.25,11.25,25700,3.70863
2000-09-28,11.3125,11.3125,11.1875,11.3125,10100,3.72923
2000-09-29,11.375,11.625,11.375,11.625,23900,3.83225
2000-10-02,11.625,11.625,11.5625,11.5625,31000,3.81164
2000-10-03,11.625,11.8125,11.625,11.8125,38000,3.89406
2000-10-04,11.6875,11.875,11.6875,11.6875,9100,3.87318
2000-10-05,11.6875,11.875,11.1875,11.1875,34400,3.70748
2000-10-06,11.1875,11.5625,11.1875,11.3125,35000,3.74891
2000-10-09,11.1875,11.25,11.125,11.25,9700,3.728
2000-10-10,11.25,11.5625,11.1875,11.25,37000,3.728
2000-10-11,11.25,11.375,11.125,11.375,47700,3.76962
2000-10-12,11.375,11.4375,11.25,11.25,21300,3.728
2000-10-13,11.25,11.50,11.25,11.375,20000,3.76962
2000-10-16,11.4375,11.50,11.375,11.50,33200,3.81104
2000-10-17,11.50,11.625,11.50,11.5625,30100,3.83176
2000-10-18,11.50,11.5625,11.4375,11.50,23200,3.81104
2000-10-19,11.4375,11.50,11.375,11.375,37000,3.76962
2000-10-20,11.3125,11.375,11.3125,11.375,28400,3.76962
2000-10-23,11.375,11.5625,11.3125,11.375,24500,3.76962
2000-10-24,11.50,11.50,11.25,11.3125,24100,3.74891
2000-10-25,11.25,11.3125,11.0625,11.1875,31400,3.70748
2000-10-26,11.0625,11.125,11.00,11.00,22000,3.64535
2000-10-27,11.0625,11.125,11.00,11.0625,8300,3.66606
2000-10-30,11.125,11.25,11.0625,11.25,10500,3.728
2000-10-31,11.125,11.25,11.00,11.0625,16900,3.66606
2000-11-01,11.125,11.1875,11.00,11.0625,30200,3.66606
2000-11-02,11.125,11.125,10.8125,10.875,56400,3.60392
2000-11-03,10.9375,10.9375,10.625,10.75,48700,3.56250
2000-11-06,10.8125,10.8125,10.625,10.75,48200,3.56250
2000-11-07,10.625,11.1875,10.625,11.125,63600,3.68677
2000-11-08,11.125,11.25,11.0625,11.125,49500,3.70743
2000-11-09,11.125,11.25,10.9375,10.9375,53600,3.64495
2000-11-10,10.875,10.875,10.625,10.8125,28200,3.60329
2000-11-13,10.75,10.9375,10.75,10.75,10600,3.58246
2000-11-14,10.6875,11.0625,10.6875,11.00,47900,3.66578
2000-11-15,11.0625,11.1875,10.875,11.125,45300,3.70743
2000-11-16,11.125,11.25,11.0625,11.1875,22600,3.72826
2000-11-17,11.25,11.3125,11.125,11.125,35100,3.70743
2000-11-20,11.25,11.3125,11.0625,11.3125,50700,3.76992
2000-11-21,11.25,11.25,11.00,11.1875,28100,3.72826
2000-11-22,11.25,11.3125,11.125,11.125,27300,3.70743
2000-11-24,11.125,11.125,11.125,11.125,1400,3.70743
2000-11-27,11.1875,11.25,11.0625,11.1875,33400,3.72826
2000-11-28,11.0625,11.1875,11.00,11.125,77100,3.70743
2000-11-29,11.00,11.125,10.875,11.00,31100,3.66578
2000-11-30,11.00,11.1875,10.9375,11.125,52200,3.70743
2000-12-01,11.25,11.25,11.125,11.125,36600,3.70743
2000-12-04,11.125,11.1875,11.00,11.125,42600,3.70743
2000-12-05,11.125,11.375,11.125,11.3125,51600,3.76992
2000-12-06,11.25,11.4375,11.25,11.25,47800,3.74909
2000-12-07,11.25,11.4375,11.25,11.375,42200,3.81175
2000-12-08,11.375,11.5625,11.375,11.4375,54000,3.83270
2000-12-11,11.3125,11.50,11.25,11.50,50600,3.85364
2000-12-12,11.375,11.625,11.375,11.375,120900,3.81175
2000-12-13,11.50,11.50,11.3125,11.375,58400,3.81175
2000-12-14,11.4375,11.50,11.3125,11.375,61800,3.81175
2000-12-15,11.375,11.625,11.3125,11.5625,66900,3.87458
2000-12-18,11.625,11.9375,11.625,11.9375,101400,4.00025
2000-12-19,12.0625,12.25,11.9375,12.1875,63400,4.08402
2000-12-20,12.25,12.375,12.1875,12.1875,45800,4.08402
2000-12-21,12.125,12.1875,12.00,12.125,67900,4.06308
