Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,39.00,39.00,36.5625,36.87501,65400,9.11475
2000-01-04,36.75,36.75,35.68749,35.75001,87600,8.84867
2000-01-05,35.75001,35.75001,35.18751,35.18751,24900,8.70945
2000-01-06,35.18751,35.18751,34.50,34.74999,74400,8.60115
2000-01-07,34.74999,35.37501,34.74999,35.37501,86700,8.7558
2000-01-10,35.25,35.25,34.125,34.56249,822600,8.55474
2000-01-11,34.50,35.18751,34.37499,35.12499,70500,8.69397
2000-01-12,35.12499,35.625,35.12499,35.49999,46800,8.78679
2000-01-13,35.49999,36.5625,35.4375,36.31251,117300,8.98790
2000-01-14,36.50001,36.50001,35.37501,35.37501,195300,8.7558
2000-01-18,35.37501,35.625,35.37501,35.56251,16200,8.80226
2000-01-19,35.49999,35.625,35.49999,35.56251,98700,8.80226
2000-01-20,35.625,35.75001,35.49999,35.75001,53700,8.84867
2000-01-21,35.625,35.625,35.00001,35.0625,48900,8.67850
2000-01-24,35.00001,35.37501,35.00001,35.12499,59400,8.69397
2000-01-25,35.12499,35.18751,34.875,34.875,151200,8.632
2000-01-26,34.875,35.25,34.74999,34.81251,51900,8.61663
2000-01-27,34.875,34.93749,34.62501,34.74999,155400,8.60115
2000-01-28,34.875,34.875,33.50001,33.99999,127500,8.41552
2000-01-31,33.81249,33.87501,32.25,32.37501,161700,8.01331
2000-02-01,32.18751,32.18751,30.87501,31.37499,167700,7.76579
2000-02-02,31.3125,32.00001,30.75,31.50,85800,7.79673
2000-02-03,31.43751,31.50,29.25,29.87499,303000,7.3945
2000-02-04,29.625,30.00,29.625,29.625,171000,7.33264
2000-02-07,29.49999,29.8125,29.00001,29.25,657000,7.23982
2000-02-08,29.25,29.56251,29.18751,29.56251,573900,7.31717
2000-02-09,29.8125,30.12501,29.75001,29.87499,224400,7.3945
2000-02-10,30.00,30.00,29.49999,29.625,139200,7.33264
2000-02-11,29.625,29.625,29.37501,29.37501,73200,7.27076
2000-02-14,29.18751,29.4375,29.00001,29.25,69300,7.23982
2000-02-15,29.4375,29.4375,29.0625,29.12499,45600,7.20888
2000-02-16,29.25,29.25,28.62501,28.62501,115500,7.08513
2000-02-17,28.62501,28.74999,26.49999,27.24999,305100,6.74479
2000-02-18,27.50001,27.50001,27.00,27.06249,228900,6.69838
2000-02-22,26.8125,26.93751,26.49999,26.625,68400,6.59009
2000-02-23,26.8125,27.24999,26.75001,26.75001,32100,6.62103
2000-02-24,26.625,26.625,24.87501,25.81251,199800,6.38899
2000-02-25,26.00001,26.00001,25.74999,25.81251,45300,6.38899
2000-02-28,25.37499,25.37499,23.56251,23.56251,170100,5.83208
2000-02-29,23.8125,23.93751,23.25,23.25,147000,5.75473
2000-03-01,23.49999,23.49999,22.6875,22.6875,210300,5.61550
2000-03-02,22.6875,23.25,22.65624,23.18751,245100,5.73926
2000-03-03,23.4375,23.56251,23.31249,23.37501,110400,5.78567
2000-03-06,23.37501,23.8125,23.37501,23.49999,270000,5.8166
2000-03-07,23.49999,23.75001,23.4375,23.68749,293700,5.86301
2000-03-08,23.625,23.75001,23.18751,23.18751,100200,5.73926
2000-03-09,23.18751,23.18751,22.62501,22.6875,469200,5.61550
2000-03-10,22.6875,23.00001,22.6875,23.00001,282900,5.69285
2000-03-13,23.25,23.49999,23.12499,23.25,192600,5.75473
2000-03-14,23.4375,24.00,23.4375,23.75001,96900,5.87849
2000-03-15,23.75001,24.06249,23.37501,24.06249,120300,5.95583
2000-03-16,24.1875,26.87499,24.1875,26.625,194400,6.59009
2000-03-17,26.56251,27.00,26.18751,26.37501,227700,6.52822
2000-03-20,26.625,27.00,26.625,26.75001,80400,6.62103
2000-03-21,26.75001,27.00,25.875,26.00001,62700,6.43540
2000-03-22,26.25,26.25,26.12499,26.25,124800,6.49727
2000-03-23,26.25,27.87501,26.25,27.87501,216300,6.89949
2000-03-24,27.99999,28.62501,27.87501,28.62501,222600,7.08513
2000-03-27,28.81251,30.31251,28.81251,30.31251,199200,7.50281
2000-03-28,30.50001,30.50001,29.37501,29.37501,72900,7.27076
2000-03-29,29.37501,29.93751,29.37501,29.625,355800,7.33264
2000-03-30,29.625,29.625,29.25,29.25,49200,7.23982
2000-03-31,29.18751,29.25,26.25,26.25,206400,6.50840
2000-04-03,26.49999,27.75,26.37501,27.62499,97800,6.84932
2000-04-04,27.81249,27.87501,26.87499,27.5625,145800,6.83382
2000-04-05,27.62499,27.62499,27.06249,27.31251,42000,6.77184
2000-04-06,27.375,27.62499,27.00,27.1875,94500,6.7408
2000-04-07,27.375,27.62499,27.375,27.43749,76500,6.80283
2000-04-10,27.68751,28.74999,27.5625,28.56249,194400,7.08176
2000-04-11,28.81251,29.31249,28.74999,29.12499,55500,7.2212
2000-04-12,29.00001,29.4375,29.00001,29.12499,59700,7.2212
2000-04-13,29.25,29.56251,29.18751,29.49999,53100,7.31420
2000-04-14,29.56251,29.68749,28.74999,29.56251,75900,7.32970
2000-04-17,29.56251,29.625,29.37501,29.56251,129300,7.32970
2000-04-18,29.625,29.625,28.74999,28.81251,59100,7.14375
2000-04-19,28.62501,29.75001,28.50,29.75001,139200,7.37619
2000-04-20,29.75001,30.24999,29.68749,29.75001,57300,7.37619
2000-04-24,30.00,30.00,28.62501,29.625,96000,7.34520
2000-04-25,29.75001,30.50001,29.25,30.50001,100500,7.56215
2000-04-26,30.375,30.9375,30.1875,30.24999,68700,7.50016
2000-04-27,30.24999,30.375,30.06249,30.24999,38100,7.50016
2000-04-28,30.12501,30.87501,30.12501,30.87501,61500,7.65512
2000-05-01,30.87501,31.37499,30.75,31.125,55800,7.71711
2000-05-02,31.125,31.3125,30.99999,30.99999,35400,7.68611
2000-05-03,31.06251,31.125,29.87499,29.93751,61200,7.42268
2000-05-04,29.8125,30.12501,29.75001,30.12501,33600,7.46917
2000-05-05,30.375,30.375,30.24999,30.375,21300,7.53115
2000-05-08,30.50001,30.75,30.40626,30.75,42000,7.62413
2000-05-09,30.87501,31.18749,30.62499,31.18749,57000,7.73260
2000-05-10,31.3125,31.3125,30.81249,30.87501,29100,7.65512
2000-05-11,30.87501,31.25001,30.50001,31.06251,117600,7.70161
2000-05-12,31.25001,31.62501,31.125,31.56249,23400,7.82558
2000-05-15,31.62501,31.62501,31.37499,31.56249,29700,7.82558
2000-05-16,31.6875,31.875,31.62501,31.74999,18000,7.87207
2000-05-17,31.875,32.12499,31.62501,31.93749,33000,7.91855
2000-05-18,31.875,32.00001,31.6875,31.74999,60000,7.87207
2000-05-19,31.875,31.875,31.50,31.56249,32700,7.82558
2000-05-22,31.6875,31.875,31.56249,31.875,27300,7.90306
2000-05-23,32.00001,32.00001,31.81251,31.81251,27600,7.88757
2000-05-24,31.93749,31.93749,30.99999,31.25001,47700,7.74810
2000-05-25,31.18749,31.74999,30.81249,30.87501,55500,7.65512
2000-05-26,30.99999,30.99999,30.375,30.375,32700,7.53115
2000-05-30,30.375,30.5625,30.24999,30.50001,23400,7.56215
2000-05-31,30.24999,30.375,30.00,30.00,56400,7.43817
2000-06-01,30.00,30.31251,30.00,30.31251,17400,7.51566
2000-06-02,30.50001,30.9375,30.43749,30.75,63900,7.62413
2000-06-05,30.87501,31.25001,30.87501,31.25001,49800,7.74810
2000-06-06,31.37499,31.37499,30.50001,30.5625,65400,7.57764
2000-06-07,30.75,30.75,30.31251,30.375,36000,7.53115
2000-06-08,30.24999,30.43749,29.8125,29.8125,129300,7.39169
2000-06-09,29.8125,29.8125,29.12499,29.49999,27600,7.31420
2000-06-12,29.68749,29.68749,28.93749,29.18751,53400,7.23673
2000-06-13,29.18751,29.18751,28.50,28.81251,27000,7.14375
2000-06-14,29.00001,29.00001,27.375,27.99999,140100,6.94229
2000-06-15,27.99999,27.99999,26.56251,26.56251,50400,6.5858
2000-06-16,26.68749,26.68749,25.74999,26.37501,118200,6.53940
2000-06-19,26.625,26.625,25.25001,25.3125,84300,6.27596
2000-06-20,25.18749,25.18749,24.00,24.5625,71700,6.09000
2000-06-21,24.62499,24.62499,23.31249,23.56251,65400,5.84207
2000-06-22,23.56251,23.68749,23.25,23.25,73500,5.76458
2000-06-23,23.25,23.25,21.99999,22.875,156900,5.68383
2000-06-26,23.00001,23.00001,22.25001,22.50,240300,5.5906
2000-06-27,22.37499,22.50,21.75,22.18749,424800,5.5130
2000-06-28,22.125,23.00001,22.125,22.93749,141600,5.69936
2000-06-29,22.875,22.93749,22.62501,22.81251,342300,5.66831
2000-06-30,22.81251,23.18751,22.6875,22.6875,131400,5.63724
2000-07-03,22.6875,23.31249,22.6875,23.31249,16200,5.79254
2000-07-05,23.4375,23.49999,23.12499,23.25,90600,5.77701
2000-07-06,23.25,23.25,22.74999,22.93749,182100,5.69936
2000-07-07,22.93749,22.93749,22.50,22.81251,84000,5.66831
2000-07-10,22.875,23.00001,22.43751,22.56249,54000,5.60618
2000-07-11,22.6875,23.0625,22.125,22.50,158400,5.5906
2000-07-12,22.56249,22.56249,22.43751,22.43751,207600,5.57513
2000-07-13,22.50,22.56249,22.125,22.50,84900,5.5906
2000-07-14,22.56249,22.62501,22.37499,22.56249,231900,5.60618
2000-07-17,22.74999,23.56251,22.74999,23.0625,109800,5.73042
2000-07-18,23.18751,23.18751,22.74999,22.93749,196800,5.69936
2000-07-19,22.93749,23.00001,22.6875,22.6875,101100,5.63724
2000-07-20,22.6875,22.81251,22.6875,22.74999,129600,5.65277
2000-07-21,22.93749,23.00001,22.81251,22.81251,51000,5.66831
2000-07-24,22.81251,23.18751,22.74999,22.74999,612000,5.65277
2000-07-25,22.875,23.25,22.74999,22.81251,134400,5.66831
