Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,3.375,3.375,3.25,3.3125,4800,3.08986
2000-01-04,3.25,3.25,3.25,3.25,27100,3.03156
2000-01-05,3.25,3.25,3.0625,3.0625,9300,2.8566
2000-01-06,3.1875,3.1875,3.0625,3.0625,14700,2.8566
2000-01-07,3.0625,3.25,3.0625,3.25,8400,3.03156
2000-01-10,3.1875,3.375,3.125,3.375,15800,3.14816
2000-01-11,3.375,3.375,3.25,3.25,6900,3.03156
2000-01-12,3.3125,3.3125,3.3125,3.3125,10800,3.08986
2000-01-13,3.25,3.25,3.25,3.25,13200,3.03156
2000-01-14,3.25,3.3125,3.25,3.25,14700,3.03156
2000-01-18,3.3125,3.3125,3.25,3.25,13800,3.03156
2000-01-19,3.25,3.3125,3.25,3.25,20700,3.03156
2000-01-20,3.3125,3.3125,3.25,3.3125,15800,3.08986
2000-01-21,3.25,3.25,3.25,3.25,3200,3.03156
2000-01-24,3.375,3.375,3.1875,3.25,49300,3.03156
2000-01-25,3.25,3.3125,3.1875,3.25,2100,3.03156
2000-01-26,3.25,3.25,3.25,3.25,12600,3.03156
2000-01-27,3.3125,3.3125,3.00,3.3125,127200,3.08986
2000-01-28,3.25,3.25,3.25,3.25,12000,3.03156
2000-01-31,3.375,3.375,3.25,3.3125,10500,3.08986
2000-02-01,3.4375,3.4375,3.375,3.375,6200,3.14816
2000-02-02,3.4375,3.4375,3.375,3.375,4700,3.14816
2000-02-03,3.375,3.375,3.375,3.375,2200,3.14816
2000-02-04,3.375,3.50,3.375,3.50,9700,3.26476
2000-02-07,3.50,3.625,3.50,3.5625,10400,3.32306
2000-02-08,3.5625,3.625,3.50,3.625,11000,3.38136
2000-02-09,3.5625,3.625,3.50,3.5625,24900,3.32306
2000-02-10,3.50,3.625,3.50,3.5625,4000,3.32306
2000-02-11,3.6875,3.6875,3.625,3.625,7100,3.38136
2000-02-14,3.5625,3.6875,3.5625,3.625,21500,3.38136
2000-02-15,3.625,3.625,3.625,3.625,6100,3.38136
2000-02-16,3.625,3.6875,3.50,3.5625,18600,3.32306
2000-02-17,3.5625,3.625,3.5625,3.625,8800,3.38136
2000-02-18,3.6875,3.6875,3.5625,3.625,5700,3.38136
2000-02-22,3.6875,3.6875,3.5625,3.5625,6100,3.32306
2000-02-23,3.5625,3.625,3.5625,3.625,27300,3.38136
2000-02-24,3.5625,3.625,3.4375,3.5625,48000,3.32306
2000-02-25,3.50,3.625,3.50,3.5625,6600,3.32306
2000-02-28,3.625,3.625,3.5625,3.5625,6600,3.32306
2000-02-29,3.50,3.50,3.50,3.50,7300,3.26476
2000-03-01,3.50,3.50,3.50,3.50,6700,3.26476
2000-03-02,3.4375,3.50,3.4375,3.50,3500,3.26476
2000-03-03,3.50,3.625,3.50,3.625,12400,3.38136
2000-03-06,3.625,3.625,3.50,3.50,18000,3.26476
2000-03-07,3.5625,3.5625,3.4375,3.50,9300,3.26476
2000-03-08,3.5625,3.5625,3.4375,3.50,7100,3.26476
2000-03-09,3.4375,3.5625,3.4375,3.50,13600,3.26476
2000-03-10,3.5625,3.5625,3.50,3.50,4100,3.26476
2000-03-13,3.5625,3.5625,3.50,3.50,5800,3.26476
2000-03-14,3.50,3.5625,3.375,3.375,17000,3.14816
2000-03-15,3.375,3.625,3.375,3.625,98600,3.38136
2000-03-16,3.5625,3.625,3.50,3.50,34300,3.26476
2000-03-17,3.50,3.50,3.50,3.50,600,3.26476
2000-03-20,3.5625,3.5625,3.50,3.50,5900,3.26476
2000-03-21,3.625,3.625,3.375,3.50,3900,3.26476
2000-03-22,3.375,3.4375,3.375,3.375,7700,3.14816
2000-03-23,3.50,3.50,3.3125,3.375,8200,3.14816
2000-03-24,3.3125,3.4375,3.3125,3.375,4800,3.14816
2000-03-27,3.375,3.375,3.375,3.375,3000,3.14816
2000-03-28,3.375,3.375,3.375,3.375,500,3.14816
2000-03-29,3.50,3.50,3.3125,3.3125,18900,3.08986
2000-03-30,3.4375,3.4375,3.4375,3.4375,1200,3.20646
2000-03-31,3.3125,3.4375,3.3125,3.4375,12100,3.20646
2000-04-03,3.25,3.50,3.25,3.375,3800,3.14816
2000-04-04,3.25,3.3125,3.1875,3.25,25700,3.03156
2000-04-05,3.1875,3.25,3.125,3.1875,6100,2.97326
2000-04-06,3.25,3.3125,3.25,3.3125,600,3.08986
2000-04-07,3.3125,3.3125,3.1875,3.25,6700,3.03156
2000-04-10,3.25,3.25,3.125,3.125,5200,2.91496
2000-04-11,3.25,3.25,3.25,3.25,2700,3.03156
2000-04-12,3.3125,3.3125,3.3125,3.3125,400,3.08986
2000-04-13,3.25,3.375,3.25,3.3125,5300,3.08986
2000-04-14,3.25,3.3125,3.25,3.25,18000,3.03156
2000-04-17,3.3125,3.3125,3.125,3.25,5200,3.03156
2000-04-18,3.1875,3.25,3.0625,3.25,6000,3.03156
2000-04-19,3.1875,3.3125,3.1875,3.3125,1200,3.08986
2000-04-20,3.50,3.625,3.375,3.375,47700,3.14816
2000-04-24,3.375,3.375,3.25,3.375,18000,3.14816
2000-04-25,3.25,3.25,3.125,3.1875,65800,2.97326
2000-04-26,3.1875,3.25,3.1875,3.25,1200,3.03156
2000-04-27,3.1875,3.3125,3.1875,3.25,37100,3.03156
2000-04-28,3.25,3.25,3.1875,3.1875,1300,2.97326
2000-05-01,3.1875,3.1875,3.1875,3.1875,1400,2.97326
2000-05-02,3.125,3.125,3.125,3.125,500,2.91496
2000-05-03,3.1875,3.1875,3.125,3.1875,6200,2.97326
2000-05-04,3.125,3.125,3.125,3.125,300,2.91496
2000-05-05,3.125,3.125,3.125,3.125,000,2.91496
2000-05-08,3.1875,3.3125,3.125,3.125,2700,2.91496
2000-05-09,3.25,3.25,3.125,3.125,1500,2.91496
2000-05-10,3.0625,3.1875,3.0625,3.1875,6500,2.97326
2000-05-11,3.0625,3.1875,3.0625,3.125,27300,2.91496
2000-05-12,3.0625,3.0625,3.0625,3.0625,15000,2.8566
2000-05-15,3.0625,3.0625,3.00,3.00,58700,2.7983
2000-05-16,3.00,3.00,3.00,3.00,2200,2.7983
2000-05-17,3.00,3.0625,3.00,3.00,8500,2.7983
2000-05-18,3.125,3.1875,3.0625,3.125,2300,2.91496
2000-05-19,3.125,3.125,3.0625,3.0625,16900,2.8566
2000-05-22,3.0625,3.0625,3.00,3.00,5300,2.7983
2000-05-23,3.00,3.125,3.00,3.00,700,2.7983
2000-05-24,3.00,3.00,3.00,3.00,1000,2.7983
2000-05-25,3.00,3.00,2.875,3.00,34400,2.7983
2000-05-26,3.00,3.00,2.875,2.9375,32300,2.74007
2000-05-30,2.9375,2.9375,2.9375,2.9375,24800,2.74007
2000-05-31,2.875,2.875,2.875,2.875,40000,2.68177
2000-06-01,2.9375,2.9375,2.875,2.875,600,2.68177
2000-06-02,2.875,2.875,2.875,2.875,200,2.68177
2000-06-05,2.9375,2.9375,2.9375,2.9375,4900,2.74007
2000-06-06,2.875,3.00,2.875,2.9375,5800,2.74007
2000-06-07,2.9375,2.9375,2.9375,2.9375,700,2.74007
2000-06-08,2.9375,2.9375,2.9375,2.9375,8700,2.74007
2000-06-09,2.9375,3.00,2.9375,3.00,34700,2.7983
2000-06-12,3.00,3.00,2.875,2.9375,2000,2.74007
2000-06-13,2.9375,2.9375,2.9375,2.9375,200,2.74007
2000-06-14,2.9375,2.9375,2.9375,2.9375,1700,2.74007
2000-06-15,3.00,3.00,2.875,2.875,25100,2.68177
2000-06-16,2.875,2.9375,2.8125,2.875,8000,2.77241
2000-06-19,2.9375,2.9375,2.875,2.875,2300,2.77241
2000-06-20,2.875,2.875,2.875,2.875,8000,2.77241
2000-06-21,2.8125,2.8125,2.8125,2.8125,5000,2.71214
2000-06-22,2.8125,2.8125,2.8125,2.8125,3400,2.71214
2000-06-23,2.8125,2.8125,2.8125,2.8125,000,2.71214
2000-06-26,2.9375,2.9375,2.9375,2.9375,2100,2.83268
2000-06-27,3.00,3.0625,3.00,3.0625,27400,2.95322
2000-06-28,3.0625,3.0625,3.00,3.00,9600,2.89295
2000-06-29,3.00,3.00,3.00,3.00,10000,2.89295
2000-06-30,3.00,3.1875,3.00,3.1875,4000,3.07376
2000-07-03,3.1875,3.1875,3.1875,3.1875,100,3.07376
2000-07-05,3.125,3.125,3.0625,3.0625,3800,2.95322
2000-07-06,3.0625,3.0625,3.0625,3.0625,500,2.95322
2000-07-07,3.00,3.00,2.9375,3.00,19800,2.89295
2000-07-10,3.00,3.00,3.00,3.00,300,2.89295
2000-07-11,3.00,3.125,3.00,3.125,1000,3.01349
2000-07-12,3.125,3.125,3.0625,3.0625,1100,2.95322
2000-07-13,3.00,3.125,3.00,3.00,11300,2.89295
2000-07-14,3.00,3.00,3.00,3.00,000,2.89295
2000-07-17,3.0625,3.0625,3.00,3.00,4200,2.89295
2000-07-18,3.00,3.00,3.00,3.00,45600,2.89295
2000-07-19,3.00,3.00,3.00,3.00,400,2.89295
2000-07-20,3.00,3.125,3.00,3.0625,5400,2.95322
2000-07-21,3.00,3.00,3.00,3.00,14800,2.89295
2000-07-24,3.0625,3.0625,3.00,3.00,3400,2.89295
2000-07-25,3.00,3.00,3.00,3.00,1400,2.89295
2000-07-26,3.00,3.00,3.00,3.00,200,2.89295
2000-07-27,3.00,3.00,3.00,3.00,3100,2.89295
2000-07-28,3.00,3.00,3.00,3.00,13100,2.89295
2000-07-31,3.00,3.00,3.00,3.00,100,2.89295
2000-08-01,3.0625,3.0625,3.00,3.00,5500,2.89295
2000-08-02,3.00,3.00,3.00,3.00,10000,2.89295
2000-08-03,3.00,3.00,3.00,3.00,2700,2.89295
2000-08-04,3.00,3.00,3.00,3.00,000,2.89295
2000-08-07,3.00,3.0625,3.00,3.0625,4900,2.95322
2000-08-08,3.00,3.00,3.00,3.00,1300,2.89295
2000-08-09,3.00,3.00,3.00,3.00,3700,2.89295
2000-08-10,3.00,3.00,3.00,3.00,5600,2.89295
2000-08-11,3.00,3.125,3.00,3.0625,12900,2.95322
2000-08-14,3.0625,3.0625,3.00,3.00,1000,2.89295
2000-08-15,3.0625,3.0625,3.0625,3.0625,400,2.95322
2000-08-16,3.00,3.0625,3.00,3.00,7400,2.89295
2000-08-17,3.00,3.00,3.00,3.00,10600,2.89295
2000-08-18,3.00,3.00,3.00,3.00,5300,2.89295
2000-08-21,3.0625,3.0625,3.00,3.00,4200,2.89295
2000-08-22,3.00,3.0625,3.00,3.0625,4500,2.95322
2000-08-23,3.00,3.00,3.00,3.00,11600,2.89295
2000-08-24,3.00,3.00,3.00,3.00,400,2.89295
2000-08-25,3.00,3.00,3.00,3.00,000,2.89295
2000-08-28,3.00,3.00,3.00,3.00,1900,2.89295
2000-08-29,3.00,3.00,3.00,3.00,200,2.89295
2000-08-30,3.0625,3.125,3.0625,3.125,3700,3.01349
2000-08-31,3.0625,3.125,3.0625,3.125,3200,3.01349
2000-09-01,3.0625,3.0625,3.0625,3.0625,500,2.95322
2000-09-05,3.0625,3.125,3.0625,3.125,2300,3.01349
2000-09-06,3.0625,3.0625,3.00,3.0625,700,2.95322
2000-09-07,3.1875,3.1875,3.00,3.125,11000,3.01349
2000-09-08,3.0625,3.125,3.0625,3.125,10600,3.01349
2000-09-11,3.0625,3.0625,3.0625,3.0625,200,2.95322
2000-09-12,3.00,3.0625,3.00,3.0625,6800,2.95322
2000-09-13,3.0625,3.0625,3.0625,3.0625,2600,2.95322
2000-09-14,3.0625,3.125,3.0625,3.125,21500,3.01349
2000-09-15,3.00,3.00,3.00,3.00,200,2.89295
2000-09-18,3.00,3.00,3.00,3.00,4000,2.89295
2000-09-19,3.00,3.0625,3.00,3.00,44600,2.89295
2000-09-20,3.00,3.00,3.00,3.00,7200,2.89295
2000-09-21,3.00,3.00,3.00,3.00,100,2.89295
2000-09-22,3.0625,3.0625,3.00,3.00,1900,2.89295
2000-09-25,3.125,3.125,3.00,3.00,12600,2.89295
2000-09-26,3.125,3.125,3.00,3.00,500,2.89295
2000-09-27,3.00,3.00,3.00,3.00,000,2.89295
2000-09-28,3.00,3.00,3.00,3.00,36800,2.89295
2000-09-29,3.00,3.125,3.00,3.125,3800,3.01349
2000-10-02,3.125,3.125,3.00,3.0625,2500,2.95322
2000-10-03,3.0625,3.0625,3.00,3.00,2300,2.89295
2000-10-04,3.0625,3.0625,3.00,3.00,19800,2.89295
2000-10-05,3.00,3.0625,3.00,3.00,15800,2.89295
2000-10-06,3.00,3.00,3.00,3.00,17300,2.89295
2000-10-09,3.00,3.00,3.00,3.00,1900,2.89295
2000-10-10,3.00,3.00,3.00,3.00,14600,2.89295
2000-10-11,3.00,3.00,2.9375,2.9375,16400,2.83268
2000-10-12,2.9375,3.00,2.9375,2.9375,22600,2.83268
2000-10-13,3.00,3.00,2.9375,3.00,1100,2.89295
2000-10-16,3.00,3.00,2.9375,2.9375,14200,2.83268
2000-10-17,2.9375,2.9375,2.9375,2.9375,4700,2.83268
2000-10-18,2.9375,2.9375,2.875,2.9375,60100,2.83268
2000-10-19,2.9375,2.9375,2.875,2.9375,3000,2.83268
2000-10-20,2.9375,2.9375,2.9375,2.9375,1300,2.83268
2000-10-23,2.9375,2.9375,2.875,2.875,113600,2.77241
2000-10-24,2.875,2.9375,2.875,2.875,488800,2.77241
2000-10-25,2.875,3.0625,2.875,3.00,45500,2.89295
2000-10-26,3.00,3.00,2.9375,3.00,24200,2.89295
2000-10-27,3.00,3.00,3.00,3.00,5600,2.89295
2000-10-30,3.00,3.0625,3.00,3.0625,75100,2.95322
2000-10-31,3.0625,3.125,3.0625,3.125,10300,3.01349
2000-11-01,3.0625,3.0625,3.0625,3.0625,9800,2.95322
2000-11-02,3.0625,3.0625,3.0625,3.0625,3200,2.95322
2000-11-03,3.0625,3.0625,3.00,3.00,20100,2.89295
2000-11-06,3.00,3.00,2.9375,3.00,14900,2.89295
2000-11-07,2.9375,3.00,2.9375,3.00,31300,2.89295
2000-11-08,3.00,3.00,3.00,3.00,5300,2.89295
2000-11-09,3.00,3.00,3.00,3.00,600,2.89295
2000-11-10,3.00,3.00,2.9375,3.00,1700,2.89295
2000-11-13,2.9375,3.00,2.9375,3.00,6500,2.89295
2000-11-14,3.125,3.125,3.00,3.00,201100,2.89295
2000-11-15,3.00,3.0625,3.00,3.00,1400,2.89295
2000-11-16,3.00,3.00,2.9375,3.00,3700,2.89295
2000-11-17,3.00,3.00,3.00,3.00,1000,2.89295
2000-11-20,3.00,3.00,3.00,3.00,900,2.89295
2000-11-21,3.00,3.00,2.9375,2.9375,5300,2.83268
2000-11-22,2.9375,3.00,2.9375,3.00,700,2.89295
2000-11-24,3.00,3.00,3.00,3.00,1100,2.89295
2000-11-27,3.00,3.00,3.00,3.00,2800,2.89295
2000-11-28,2.9375,3.0625,2.9375,3.00,9900,2.89295
2000-11-29,3.00,3.00,2.9375,2.9375,2300,2.83268
2000-11-30,3.00,3.1875,3.00,3.1875,5600,3.07376
2000-12-01,3.00,3.00,2.9375,3.00,7200,2.89295
2000-12-04,3.00,3.125,3.00,3.0625,11800,2.95322
2000-12-05,3.0625,3.0625,3.00,3.00,3200,2.89295
2000-12-06,3.00,3.0625,2.9375,2.9375,9300,2.83268
2000-12-07,2.9375,2.9375,2.9375,2.9375,2400,2.83268
2000-12-08,3.00,3.00,2.9375,2.9375,100300,2.83268
2000-12-11,2.9375,3.00,2.9375,3.00,2700,2.89295
2000-12-12,3.00,3.00,2.9375,3.00,5600,2.89295
2000-12-13,2.9375,3.0625,2.9375,3.00,4100,2.89295
2000-12-14,3.125,3.125,3.125,3.125,1300,3.01349
2000-12-15,3.0625,3.0625,2.9375,3.00,5900,2.89295
2000-12-18,3.00,3.00,2.9375,3.00,3300,2.89295
2000-12-19,2.9375,2.9375,2.9375,2.9375,500,2.83268
2000-12-20,2.9375,3.00,2.9375,3.00,20100,2.89295
2000-12-21,2.9375,3.00,2.8125,3.00,32700,2.89295
2000-12-22,2.9375,2.9375,2.8125,2.875,17200,2.77241
2000-12-26,2.9375,2.9375,2.875,2.9375,8800,2.83268
2000-12-27,2.8125,2.9375,2.8125,2.8125,27100,2.71214
2000-12-28,2.6875,2.875,2.6875,2.875,38100,2.77241
2000-12-29,2.8125,2.9375,2.8125,2.9375,10700,2.83268
2001-01-02,2.875,3.00,2.875,3.00,17800,2.89295
2001-01-03,3.00,3.00,2.9375,3.00,5400,2.89295
2001-01-04,3.00,3.00,2.9375,3.00,2700,2.89295
2001-01-05,3.0625,3.0625,3.00,3.00,2400,2.89295
2001-01-08,3.00,3.00,3.00,3.00,1500,2.89295
2001-01-09,3.00,3.00,2.9375,2.9375,600,2.83268
2001-01-10,2.9375,2.9375,2.9375,2.9375,400,2.83268
2001-01-11,3.00,3.00,2.9375,3.00,26600,2.89295
2001-01-12,3.125,3.125,3.0625,3.0625,800,2.95322
2001-01-16,3.0625,3.25,3.0625,3.125,10700,3.01349
2001-01-17,3.125,3.125,3.0625,3.125,12800,3.01349
2001-01-18,3.125,3.25,3.125,3.125,15900,3.01349
2001-01-19,3.125,3.125,3.125,3.125,12800,3.01349
2001-01-22,3.125,3.125,3.125,3.125,9700,3.01349
2001-01-23,3.125,3.1875,3.125,3.125,9900,3.01349
2001-01-24,3.125,3.125,3.125,3.125,500,3.01349
2001-01-25,3.125,3.125,3.125,3.125,2200,3.01349
2001-01-26,3.125,3.125,3.125,3.125,300,3.01349
2001-01-29,3.13,3.13,3.00,3.07,6700,2.9604
2001-01-30,3.06,3.06,3.06,3.06,100,2.95081
2001-01-31,3.05,3.05,2.98,2.98,33300,2.87367
2001-02-01,3.00,3.00,3.00,3.00,30000,2.89295
2001-02-02,3.00,3.00,3.00,3.00,30000,2.89295
2001-02-05,3.19,3.19,2.99,3.07,23300,2.9604
2001-02-06,3.06,3.06,3.05,3.05,1200,2.94117
2001-02-07,3.06,3.06,3.06,3.06,100,2.95081
2001-02-08,3.10,3.10,3.10,3.10,3000,2.98938
2001-02-09,3.06,3.06,3.06,3.06,100,2.95081
2001-02-12,3.06,3.06,3.06,3.06,200,2.95081
2001-02-13,3.12,3.12,3.12,3.12,100,3.00867
2001-02-14,3.12,3.12,3.12,3.12,100,3.00867
2001-02-15,3.10,3.10,3.06,3.10,20400,2.98938
2001-02-16,3.10,3.10,3.10,3.10,000,2.98938
2001-02-20,3.08,3.08,3.08,3.08,4400,2.97010
2001-02-21,3.05,3.18,3.05,3.06,1600,2.95081
2001-02-22,3.15,3.18,3.15,3.15,1300,3.03760
2001-02-23,3.15,3.15,3.05,3.12,4100,3.00867
2001-02-26,3.10,3.10,3.07,3.10,3900,2.98938
2001-02-27,3.14,3.14,3.13,3.13,11000,3.01831
2001-02-28,3.13,3.14,3.10,3.14,7100,3.02796
2001-03-01,3.07,3.10,3.07,3.10,10800,2.98938
2001-03-02,3.08,3.08,3.06,3.06,1700,2.95081
2001-03-05,3.06,3.06,3.06,3.06,400,2.95081
2001-03-06,3.04,3.05,3.04,3.05,6000,2.94117
2001-03-07,3.05,3.05,3.05,3.05,000,2.94117
2001-03-08,3.10,3.10,3.06,3.08,1400,2.97010
2001-03-09,3.08,3.08,3.08,3.08,000,2.97010
2001-03-12,3.13,3.13,3.13,3.13,300,3.01831
2001-03-13,3.13,3.13,3.13,3.13,000,3.01831
2001-03-14,3.02,3.02,3.02,3.02,300,2.91224
2001-03-15,3.07,3.07,3.07,3.07,200,2.9604
2001-03-16,3.07,3.07,3.07,3.07,200,2.9604
2001-03-19,3.07,3.07,3.07,3.07,300,2.9604
2001-03-20,3.07,3.07,3.07,3.07,000,2.9604
2001-03-21,3.07,3.07,3.07,3.07,500,2.9604
2001-03-22,3.05,3.05,3.05,3.05,5000,2.94117
2001-03-23,3.05,3.05,3.05,3.05,4200,2.94117
2001-03-26,3.04,3.04,3.04,3.04,700,2.9315
2001-03-27,3.04,3.15,3.04,3.15,2400,3.03760
2001-03-28,3.10,3.12,3.00,3.12,6800,3.00867
2001-03-29,3.05,3.05,3.05,3.05,500,2.94117
2001-03-30,3.04,3.20,3.04,3.20,8900,3.08582
2001-04-02,3.18,3.18,3.10,3.10,1300,2.98938
2001-04-03,3.15,3.15,3.10,3.10,500,2.98938
2001-04-04,3.10,3.10,3.10,3.10,000,2.98938
2001-04-05,3.10,3.10,3.10,3.10,000,2.98938
2001-04-06,3.07,3.07,3.07,3.07,600,2.9604
2001-04-09,3.07,3.07,3.07,3.07,000,2.9604
2001-04-10,3.04,3.06,3.04,3.04,1900,2.9315
2001-04-11,3.05,3.05,3.05,3.05,500,2.94117
2001-04-12,3.05,3.05,3.05,3.05,000,2.94117
2001-04-16,3.05,3.05,3.05,3.05,000,2.94117
2001-04-17,3.05,3.10,3.05,3.10,1100,2.98938
2001-04-18,3.10,3.10,3.10,3.10,5000,2.98938
2001-04-19,3.06,3.06,3.06,3.06,900,2.95081
2001-04-20,3.07,3.07,3.04,3.04,10300,2.9315
2001-04-23,3.05,3.10,3.05,3.10,4100,2.98938
2001-04-24,3.08,3.08,3.08,3.08,600,2.97010
2001-04-25,3.05,3.05,3.03,3.05,3900,2.94117
2001-04-26,3.04,3.04,3.03,3.03,700,2.92188
2001-04-27,3.01,3.03,3.01,3.03,1800,2.92188
2001-04-30,3.03,3.05,3.03,3.05,4400,2.94117
2001-05-01,3.10,3.10,3.06,3.06,10400,2.95081
2001-05-02,3.04,3.04,3.04,3.04,300,2.9315
2001-05-03,3.04,3.04,3.04,3.04,600,2.9315
2001-05-04,3.02,3.06,3.02,3.06,400,2.95081
2001-05-07,3.06,3.06,3.06,3.06,000,2.95081
2001-05-08,3.12,3.15,3.12,3.15,1200,3.03760
2001-05-09,3.07,3.10,3.05,3.10,11500,2.98938
2001-05-10,3.05,3.05,3.05,3.05,2000,2.94117
2001-05-11,3.05,3.05,3.05,3.05,100,2.94117
2001-05-14,3.05,3.05,3.00,3.02,11800,2.91224
2001-05-15,3.00,3.01,3.00,3.01,300,2.90260
2001-05-16,3.02,3.03,3.02,3.03,200,2.92188
2001-05-17,3.01,3.05,3.01,3.01,6100,2.90260
2001-05-18,3.10,3.10,3.10,3.10,10000,2.98938
2001-05-21,3.10,3.10,3.10,3.10,000,2.98938
2001-05-22,3.05,3.10,3.03,3.10,24000,2.98938
2001-05-23,3.10,3.10,3.10,3.10,600,2.98938
2001-05-24,3.10,3.25,3.10,3.25,6300,3.13403
2001-05-25,3.25,3.25,3.25,3.25,000,3.13403
2001-05-29,3.20,3.26,3.05,3.26,4100,3.1436
2001-05-30,3.17,3.20,3.10,3.12,46600,3.00867
2001-05-31,3.14,4.00,3.14,4.00,18200,3.85727
2001-06-01,3.95,3.95,3.65,3.75,9600,3.61619
2001-06-04,3.80,3.80,3.70,3.75,1900,3.61619
2001-06-05,3.70,3.70,3.61,3.61,600,3.48119
