Date,Open,High,Low,Close,Volume,Adj Clos
2002-07-25,22.00,22.00,22.00,22.00,000,22.0
2002-10-30,22.25,22.25,22.25,22.25,000,22.2
2002-10-31,22.65,22.65,22.65,22.65,000,22.6
2002-11-01,22.80,22.80,22.80,22.80,000,22.8
2002-11-08,23.11,23.11,23.11,23.11,000,23.1
2002-11-11,22.71,22.71,22.71,22.71,000,22.7
2002-11-12,22.41,22.41,22.41,22.41,000,22.4
2002-11-13,23.01,23.01,23.01,23.01,000,23.0
2002-11-14,23.01,23.01,23.01,23.01,000,23.0
2002-11-15,24.11,24.11,24.11,24.11,000,24.1
2003-02-26,17.36,17.36,17.36,17.36,000,17.3
2003-03-04,17.16,17.16,17.16,17.16,000,17.1
2003-03-05,16.76,16.76,16.76,16.76,000,16.7
2003-03-06,17.16,17.16,17.16,17.16,000,17.1
2003-03-10,17.31,17.31,17.31,17.31,000,17.3
2003-03-11,16.91,16.91,16.91,16.91,000,16.9
2003-03-13,16.66,16.66,16.66,16.66,000,16.6
2003-03-28,18.71,18.71,18.71,18.71,000,18.7
2003-04-14,18.43,18.43,18.43,18.43,000,18.4
2003-04-17,18.36,18.36,18.36,18.36,000,18.3
2003-04-25,19.43,19.43,19.43,19.43,000,19.4
2003-04-28,19.23,19.23,19.23,19.23,000,19.2
2003-11-28,19.23,19.23,19.23,19.23,000,19.2
2003-12-01,19.23,19.23,19.23,19.23,000,19.2
2003-12-02,19.23,19.23,19.23,19.23,000,19.2
2003-12-03,19.23,19.23,19.23,19.23,000,19.2
2003-12-04,19.23,19.23,19.23,19.23,000,19.2
2003-12-05,19.23,19.23,19.23,19.23,000,19.2
2003-12-08,19.23,19.23,19.23,19.23,000,19.2
2003-12-09,19.23,19.23,19.23,19.23,000,19.2
2003-12-10,19.23,19.23,19.23,19.23,000,19.2
2003-12-11,19.23,19.23,19.23,19.23,000,19.2
2003-12-12,19.23,19.23,19.23,19.23,000,19.2
2003-12-15,19.23,19.23,19.23,19.23,000,19.2
2003-12-16,19.23,19.23,19.23,19.23,000,19.2
2003-12-17,19.23,19.23,19.23,19.23,000,19.2
2003-12-18,19.23,19.23,19.23,19.23,000,19.2
2003-12-19,19.23,19.23,19.23,19.23,000,19.2
2003-12-22,19.23,19.23,19.23,19.23,000,19.2
2003-12-23,19.23,19.23,19.23,19.23,000,19.2
2003-12-24,19.23,19.23,19.23,19.23,000,19.2
2003-12-25,19.23,19.23,19.23,19.23,000,19.2
2003-12-26,19.23,19.23,19.23,19.23,000,19.2
2003-12-29,19.23,19.23,19.23,19.23,000,19.2
2003-12-30,19.23,19.23,19.23,19.23,000,19.2
2003-12-31,19.23,19.23,19.23,19.23,000,19.2
2004-01-01,19.23,19.23,19.23,19.23,000,19.2
2004-01-02,19.23,19.23,19.23,19.23,000,19.2
2004-01-05,19.23,19.23,19.23,19.23,000,19.2
2004-01-06,19.23,19.23,19.23,19.23,000,19.2
2004-01-07,19.23,19.23,19.23,19.23,000,19.2
2004-01-08,19.23,19.23,19.23,19.23,000,19.2
2004-01-09,19.23,19.23,19.23,19.23,000,19.2
2004-01-12,19.23,19.23,19.23,19.23,000,19.2
2004-01-13,19.23,19.23,19.23,19.23,000,19.2
2004-01-14,19.23,19.23,19.23,19.23,000,19.2
2004-01-15,19.23,19.23,19.23,19.23,000,19.2
2004-01-16,19.23,19.23,19.23,19.23,000,19.2
2004-01-19,19.23,19.23,19.23,19.23,000,19.2
2004-01-20,19.23,19.23,19.23,19.23,000,19.2
2004-01-21,19.23,19.23,19.23,19.23,000,19.2
2004-01-22,19.23,19.23,19.23,19.23,000,19.2
2004-01-23,19.23,19.23,19.23,19.23,000,19.2
2004-01-26,19.23,19.23,19.23,19.23,000,19.2
2004-01-27,19.23,19.23,19.23,19.23,000,19.2
2004-01-28,19.23,19.23,19.23,19.23,000,19.2
2004-01-29,19.23,19.23,19.23,19.23,000,19.2
2004-01-30,19.23,19.23,19.23,19.23,000,19.2
2004-02-02,19.23,19.23,19.23,19.23,000,19.2
2004-02-03,19.23,19.23,19.23,19.23,000,19.2
2004-02-04,19.23,19.23,19.23,19.23,000,19.2
2004-02-05,19.23,19.23,19.23,19.23,000,19.2
2004-02-06,19.23,19.23,19.23,19.23,000,19.2
2004-02-09,19.23,19.23,19.23,19.23,000,19.2
2004-02-10,19.23,19.23,19.23,19.23,000,19.2
2004-02-11,19.23,19.23,19.23,19.23,000,19.2
2004-02-12,19.23,19.23,19.23,19.23,000,19.2
2004-02-13,19.23,19.23,19.23,19.23,000,19.2
2004-02-16,19.23,19.23,19.23,19.23,000,19.2
2004-02-17,19.23,19.23,19.23,19.23,000,19.2
2004-02-18,19.23,19.23,19.23,19.23,000,19.2
2004-02-19,19.23,19.23,19.23,19.23,000,19.2
2004-02-20,19.23,19.23,19.23,19.23,000,19.2
2004-02-23,19.23,19.23,19.23,19.23,000,19.2
2004-02-24,19.23,19.23,19.23,19.23,000,19.2
2004-02-25,19.23,19.23,19.23,19.23,000,19.2
2004-02-26,19.23,19.23,19.23,19.23,000,19.2
2004-02-27,19.23,19.23,19.23,19.23,000,19.2
2004-03-01,19.23,19.23,19.23,19.23,000,19.2
2004-03-02,19.23,19.23,19.23,19.23,000,19.2
2004-03-03,19.23,19.23,19.23,19.23,000,19.2
2004-03-04,19.23,19.23,19.23,19.23,000,19.2
2004-03-05,19.23,19.23,19.23,19.23,000,19.2
2004-03-08,19.23,19.23,19.23,19.23,000,19.2
2004-03-09,19.23,19.23,19.23,19.23,000,19.2
2004-03-10,19.23,19.23,19.23,19.23,000,19.2
2004-03-11,19.23,19.23,19.23,19.23,000,19.2
2004-03-12,19.23,19.23,19.23,19.23,000,19.2
2004-03-15,19.23,19.23,19.23,19.23,000,19.2
2004-03-16,19.23,19.23,19.23,19.23,000,19.2
2004-03-17,19.23,19.23,19.23,19.23,000,19.2
2004-03-18,19.23,19.23,19.23,19.23,000,19.2
2004-03-19,19.23,19.23,19.23,19.23,000,19.2
2004-03-22,19.23,19.23,19.23,19.23,000,19.2
2004-03-23,19.23,19.23,19.23,19.23,000,19.2
2004-03-24,19.23,19.23,19.23,19.23,000,19.2
2004-03-25,19.23,19.23,19.23,19.23,000,19.2
2004-03-26,19.23,19.23,19.23,19.23,000,19.2
2004-03-29,19.23,19.23,19.23,19.23,000,19.2
2004-03-30,19.23,19.23,19.23,19.23,000,19.2
2004-03-31,19.23,19.23,19.23,19.23,000,19.2
2004-04-01,19.23,19.23,19.23,19.23,000,19.2
2004-04-02,19.23,19.23,19.23,19.23,000,19.2
2004-04-05,19.23,19.23,19.23,19.23,000,19.2
2004-04-06,19.23,19.23,19.23,19.23,000,19.2
2004-04-07,19.23,19.23,19.23,19.23,000,19.2
2004-04-08,19.23,19.23,19.23,19.23,000,19.2
2004-04-09,19.23,19.23,19.23,19.23,000,19.2
2004-04-12,19.23,19.23,19.23,19.23,000,19.2
2004-04-13,19.23,19.23,19.23,19.23,000,19.2
2004-04-14,19.23,19.23,19.23,19.23,000,19.2
2004-04-15,19.23,19.23,19.23,19.23,000,19.2
2004-04-16,19.23,19.23,19.23,19.23,000,19.2
2004-04-19,19.23,19.23,19.23,19.23,000,19.2
2004-04-20,19.23,19.23,19.23,19.23,000,19.2
2004-04-21,19.23,19.23,19.23,19.23,000,19.2
2004-04-22,19.23,19.23,19.23,19.23,000,19.2
2004-04-23,19.23,19.23,19.23,19.23,000,19.2
2004-04-26,19.23,19.23,19.23,19.23,000,19.2
2004-04-27,19.23,19.23,19.23,19.23,000,19.2
2004-04-28,19.23,19.23,19.23,19.23,000,19.2
2004-04-29,19.23,19.23,19.23,19.23,000,19.2
2004-04-30,19.23,19.23,19.23,19.23,000,19.2
2004-05-03,19.23,19.23,19.23,19.23,000,19.2
2004-05-04,19.23,19.23,19.23,19.23,000,19.2
2004-05-05,19.23,19.23,19.23,19.23,000,19.2
2004-05-06,19.23,19.23,19.23,19.23,000,19.2
2004-05-07,19.23,19.23,19.23,19.23,000,19.2
2004-05-10,19.23,19.23,19.23,19.23,000,19.2
2004-05-11,19.23,19.23,19.23,19.23,000,19.2
2004-05-12,19.23,19.23,19.23,19.23,000,19.2
2004-05-13,19.23,19.23,19.23,19.23,000,19.2
2004-05-14,19.23,19.23,19.23,19.23,000,19.2
2004-05-17,19.23,19.23,19.23,19.23,000,19.2
2004-05-18,19.23,19.23,19.23,19.23,000,19.2
2004-05-19,19.23,19.23,19.23,19.23,000,19.2
2004-05-20,19.23,19.23,19.23,19.23,000,19.2
2004-05-21,19.23,19.23,19.23,19.23,000,19.2
2004-05-24,19.23,19.23,19.23,19.23,000,19.2
2004-05-25,19.23,19.23,19.23,19.23,000,19.2
2004-05-26,19.23,19.23,19.23,19.23,000,19.2
2004-05-27,19.23,19.23,19.23,19.23,000,19.2
2004-05-28,19.23,19.23,19.23,19.23,000,19.2
2004-05-31,19.23,19.23,19.23,19.23,000,19.2
2004-06-01,19.23,19.23,19.23,19.23,000,19.2
2004-06-02,19.23,19.23,19.23,19.23,000,19.2
2004-06-03,19.23,19.23,19.23,19.23,000,19.2
2004-06-04,19.23,19.23,19.23,19.23,000,19.2
2004-06-07,19.23,19.23,19.23,19.23,000,19.2
2004-06-08,19.23,19.23,19.23,19.23,000,19.2
2004-06-09,19.23,19.23,19.23,19.23,000,19.2
2004-06-10,19.23,19.23,19.23,19.23,000,19.2
2004-06-11,19.23,19.23,19.23,19.23,000,19.2
2004-06-14,19.23,19.23,19.23,19.23,000,19.2
2004-06-15,19.23,19.23,19.23,19.23,000,19.2
2004-06-16,19.23,19.23,19.23,19.23,000,19.2
2004-06-17,19.23,19.23,19.23,19.23,000,19.2
2004-06-18,19.23,19.23,19.23,19.23,000,19.2
2004-06-21,19.23,19.23,19.23,19.23,000,19.2
2004-06-22,19.23,19.23,19.23,19.23,000,19.2
2004-06-23,19.23,19.23,19.23,19.23,000,19.2
2004-06-24,19.23,19.23,19.23,19.23,000,19.2
2004-06-25,19.23,19.23,19.23,19.23,000,19.2
2004-06-28,19.23,19.23,19.23,19.23,000,19.2
2004-06-29,19.23,19.23,19.23,19.23,000,19.2
2004-06-30,19.23,19.23,19.23,19.23,000,19.2
2004-07-01,19.23,19.23,19.23,19.23,000,19.2
2004-07-02,19.23,19.23,19.23,19.23,000,19.2
2004-07-05,19.23,19.23,19.23,19.23,000,19.2
2004-07-06,19.23,19.23,19.23,19.23,000,19.2
2004-07-07,19.23,19.23,19.23,19.23,000,19.2
2004-07-08,19.23,19.23,19.23,19.23,000,19.2
2004-07-09,19.23,19.23,19.23,19.23,000,19.2
2004-07-12,19.23,19.23,19.23,19.23,000,19.2
2004-07-13,19.23,19.23,19.23,19.23,000,19.2
2004-07-14,19.23,19.23,19.23,19.23,000,19.2
2004-07-15,19.23,19.23,19.23,19.23,000,19.2
2004-07-16,19.23,19.23,19.23,19.23,000,19.2
2004-07-19,19.23,19.23,19.23,19.23,000,19.2
2004-07-20,19.23,19.23,19.23,19.23,000,19.2
2004-07-21,19.23,19.23,19.23,19.23,000,19.2
2004-07-22,19.23,19.23,19.23,19.23,000,19.2
2004-07-23,19.23,19.23,19.23,19.23,000,19.2
2004-07-26,19.23,19.23,19.23,19.23,000,19.2
2004-07-27,19.23,19.23,19.23,19.23,000,19.2
2004-07-28,19.23,19.23,19.23,19.23,000,19.2
2004-07-29,19.23,19.23,19.23,19.23,000,19.2
2004-07-30,19.23,19.23,19.23,19.23,000,19.2
2004-08-02,19.23,19.23,19.23,19.23,000,19.2
2004-08-03,19.23,19.23,19.23,19.23,000,19.2
2004-08-04,19.23,19.23,19.23,19.23,000,19.2
2004-08-05,19.23,19.23,19.23,19.23,000,19.2
2004-08-06,19.23,19.23,19.23,19.23,000,19.2
2004-08-09,19.23,19.23,19.23,19.23,000,19.2
2004-08-10,19.23,19.23,19.23,19.23,000,19.2
2004-08-11,19.23,19.23,19.23,19.23,000,19.2
2004-08-12,19.23,19.23,19.23,19.23,000,19.2
2004-08-13,19.23,19.23,19.23,19.23,000,19.2
2004-08-16,19.23,19.23,19.23,19.23,000,19.2
2004-08-17,19.23,19.23,19.23,19.23,000,19.2
2004-08-18,19.23,19.23,19.23,19.23,000,19.2
2004-08-19,19.23,19.23,19.23,19.23,000,19.2
2004-08-20,19.23,19.23,19.23,19.23,000,19.2
2004-08-23,19.23,19.23,19.23,19.23,000,19.2
2004-08-24,19.23,19.23,19.23,19.23,000,19.2
2004-08-25,19.23,19.23,19.23,19.23,000,19.2
2004-08-26,19.23,19.23,19.23,19.23,000,19.2
2004-08-27,19.23,19.23,19.23,19.23,000,19.2
2004-08-30,19.23,19.23,19.23,19.23,000,19.2
2004-08-31,19.23,19.23,19.23,19.23,000,19.2
2004-09-01,19.23,19.23,19.23,19.23,000,19.2
2004-09-02,19.23,19.23,19.23,19.23,000,19.2
2004-09-03,19.23,19.23,19.23,19.23,000,19.2
2004-09-06,19.23,19.23,19.23,19.23,000,19.2
2004-09-07,19.23,19.23,19.23,19.23,000,19.2
2004-09-08,19.23,19.23,19.23,19.23,000,19.2
