Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,69.75,70.00,69.0625,69.0625,5900,60.67758
2000-01-04,69.00,69.00,68.375,68.375,3700,60.07355
2000-01-05,68.25,68.25,67.375,67.375,2400,59.19496
2000-01-06,65.50,66.25,64.125,65.25,10000,57.32796
2000-01-07,65.00,66.00,65.00,65.5625,2100,57.60252
2000-01-10,65.5625,68.125,65.5625,68.125,6200,59.8539
2000-01-11,68.125,69.875,62.875,63.00,28200,55.35113
2000-01-12,62.6875,64.00,62.375,62.375,3200,54.80202
2000-01-13,60.50,63.00,60.00,60.75,14600,53.37431
2000-01-14,62.50,65.125,61.125,64.75,37300,56.88867
2000-01-18,65.3125,66.00,62.375,66.00,6400,57.98690
2000-01-19,63.375,67.00,63.375,63.50,3000,55.79043
2000-01-20,62.00,64.25,62.00,63.25,3400,55.57078
2000-01-21,62.1875,64.25,61.9375,62.00,9500,54.4725
2000-01-24,61.9375,67.00,61.9375,63.625,9100,55.90025
2000-01-25,62.75,64.78125,62.75,64.375,3100,56.559
2000-01-26,62.00,63.00,62.00,62.50,5400,54.91184
2000-01-27,62.50,62.50,61.50,62.3125,6400,54.74710
2000-01-28,62.25,62.25,62.00,62.00,3500,54.4725
2000-01-31,61.00,61.6875,60.875,60.875,3800,53.48413
2000-02-01,60.75,61.50,60.00,61.50,13700,54.03325
2000-02-02,60.00,62.00,60.00,61.875,4100,54.36272
2000-02-03,62.00,62.50,62.00,62.50,800,54.91184
2000-02-04,60.50,61.875,60.50,61.75,6500,54.25290
2000-02-07,61.8125,63.75,61.75,63.3125,2500,55.62569
2000-02-08,60.375,62.0625,60.375,61.00,1000,53.5939
2000-02-09,60.9375,66.00,60.9375,65.75,4600,57.7672
2000-02-10,67.00,67.00,64.75,65.25,7300,57.32796
2000-02-11,66.5625,66.5625,61.625,61.625,3000,54.14307
2000-02-14,61.625,63.6875,61.625,62.75,5300,55.13149
2000-02-15,62.75,62.875,61.25,62.00,25600,54.4725
2000-02-16,62.25,63.625,62.25,62.625,12000,55.02166
2000-02-17,63.625,63.625,62.25,63.00,6700,55.35113
2000-02-18,62.25,63.625,62.25,63.375,5200,55.6806
2000-02-22,63.00,63.00,62.00,62.50,7000,54.91184
2000-02-23,62.75,64.625,62.625,64.625,4800,56.77884
2000-02-24,62.625,64.50,61.50,61.50,1900,54.03325
2000-02-25,62.25,63.50,62.125,62.25,28100,54.69219
2000-02-28,61.75,64.50,61.75,64.50,1100,56.66902
2000-02-29,64.50,64.50,62.50,64.50,3700,56.66902
2000-03-01,62.625,64.25,61.50,61.50,10900,54.03325
2000-03-02,62.0625,62.0625,61.625,61.625,1100,54.14307
2000-03-03,61.625,62.125,61.625,62.00,1500,54.4725
2000-03-06,64.00,64.75,61.625,63.25,2800,55.57078
2000-03-07,63.00,63.125,62.00,63.125,6900,55.46096
2000-03-08,61.75,63.00,61.625,61.9375,2600,54.41763
2000-03-09,61.9375,62.25,61.625,62.25,7400,54.69219
2000-03-10,61.625,61.625,61.625,61.625,1200,54.14307
2000-03-13,61.640621,61.640621,61.625,61.625,2300,54.14307
2000-03-14,61.9375,62.50,61.50,61.50,12600,54.03325
2000-03-15,61.50,63.00,61.50,62.125,1900,54.58237
2000-03-16,63.75,64.00,61.515621,64.00,2300,56.45692
2000-03-17,61.00,63.50,61.00,63.50,5600,56.01585
2000-03-20,61.50,64.00,61.50,61.625,2600,54.3618
2000-03-21,62.00,63.75,62.00,63.4375,9400,55.96071
2000-03-22,61.50,63.25,61.50,62.875,4500,55.46451
2000-03-23,62.25,62.25,60.9375,61.5625,6000,54.30670
2000-03-24,63.00,63.75,61.25,62.00,5700,54.69264
2000-03-27,62.00,63.00,62.00,62.00,1400,54.69264
2000-03-28,61.5625,62.3125,61.50,62.3125,5600,54.9683
2000-03-29,61.5625,61.78125,60.875,60.875,7800,53.70023
2000-03-30,61.00,61.1875,58.875,59.25,7800,52.26675
2000-03-31,59.0625,60.75,55.875,56.46875,58400,49.81330
2000-04-03,55.875,59.50,55.875,59.50,10400,52.48729
2000-04-04,59.50,60.75,58.00,60.75,10500,53.58996
2000-04-05,60.25,63.50,60.25,63.25,8100,55.79531
2000-04-06,61.50,62.0625,59.875,60.6875,23200,53.53483
2000-04-07,60.75,65.00,60.6875,65.00,3800,57.3390
2000-04-10,62.00,64.00,59.50,60.25,13300,53.14889
2000-04-11,60.00,63.00,59.25,60.50,9300,53.36943
2000-04-12,60.00,61.75,60.00,60.125,2600,53.03863
2000-04-13,59.75,61.25,59.75,60.375,6400,53.25916
2000-04-14,60.375,62.25,59.765621,61.00,3600,53.81050
2000-04-17,57.5625,60.9375,57.50,59.1875,10600,52.21162
2000-04-18,59.50,61.00,59.50,60.875,700,53.70023
2000-04-19,59.75,63.25,59.75,62.50,13800,55.13371
2000-04-20,61.00,61.00,61.00,61.00,3300,53.81050
2000-04-24,60.875,62.375,59.75,60.00,12000,52.92836
2000-04-25,60.00,63.00,60.00,61.75,6500,54.47210
2000-04-26,61.75,63.375,61.00,61.00,11800,53.81050
2000-04-27,60.984379,63.50,60.00,60.25,9000,53.14889
2000-04-28,60.25,63.125,60.25,63.125,1100,55.68504
2000-05-01,62.3125,64.125,59.9375,64.125,2000,56.56718
2000-05-02,64.125,65.4375,61.25,64.00,5000,56.45692
2000-05-03,62.75,62.75,61.50,62.00,500,54.69264
2000-05-04,62.00,62.00,62.00,62.00,000,54.69264
2000-05-05,62.625,62.625,62.125,62.125,3700,54.80290
2000-05-08,64.125,65.875,62.25,62.25,3500,54.91317
2000-05-09,62.375,62.5625,60.50,60.50,1700,53.36943
