Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,15.6875,16.25,14.375,14.875,50000,14.27629
2000-01-04,14.40625,14.40625,13.25,13.75,74300,13.19657
2000-01-05,13.6875,14.00,13.50,13.5625,64700,13.01661
2000-01-06,13.50,14.1875,13.25,14.00,137600,13.43650
2000-01-07,14.00,15.0625,14.00,14.375,102500,13.79641
2000-01-10,14.375,15.25,14.375,14.75,69000,14.15632
2000-01-11,14.625,15.00,14.375,14.75,105000,14.15632
2000-01-12,14.625,16.25,14.50,16.125,224300,15.47597
2000-01-13,16.125,16.25,15.25,15.375,73400,14.75616
2000-01-14,15.50,15.875,15.50,15.50,67400,14.87613
2000-01-18,15.6875,16.25,15.625,16.1875,177300,15.53596
2000-01-19,16.25,17.50,16.1875,17.125,224300,16.4357
2000-01-20,17.125,18.1875,17.125,18.125,194900,17.39548
2000-01-21,17.9375,18.1875,17.125,17.6875,90000,16.9755
2000-01-24,17.8125,18.375,17.75,18.375,157100,17.63541
2000-01-25,18.00,18.375,16.125,17.25,76500,16.55569
2000-01-26,17.00,17.25,16.625,17.25,40000,16.55569
2000-01-27,17.0625,17.25,16.875,17.125,445400,16.4357
2000-01-28,17.0625,17.125,16.50,16.5625,102700,15.8958
2000-01-31,16.50,16.75,16.25,16.375,99700,15.71591
2000-02-01,16.375,16.625,16.25,16.4375,63200,15.77590
2000-02-02,16.40625,17.875,16.40625,17.375,102700,16.67566
2000-02-03,17.25,17.75,16.375,17.25,136500,16.55569
2000-02-04,17.375,20.125,17.25,18.00,299200,17.27551
2000-02-07,18.00,18.375,17.625,18.00,98300,17.27551
2000-02-08,18.375,18.50,17.625,17.9375,76300,17.21552
2000-02-09,17.875,18.125,17.00,17.625,37900,16.91560
2000-02-10,17.625,17.625,16.875,16.9375,45800,16.25577
2000-02-11,16.875,17.00,16.50,16.875,66400,16.19579
2000-02-14,16.53125,16.9375,16.375,16.8125,121600,16.13580
2000-02-15,16.50,16.6875,16.375,16.50,43400,15.83588
2000-02-16,16.50,16.75,16.375,16.6875,104600,16.01583
2000-02-17,16.59375,18.625,16.50,18.50,235200,17.75538
2000-02-18,18.3125,18.50,16.50,16.6875,83600,16.01583
2000-02-22,16.50,17.375,16.4375,17.375,44900,16.67566
2000-02-23,17.00,17.375,16.4375,16.50,33500,15.83588
2000-02-24,16.4375,17.00,16.4375,16.75,40100,16.07582
2000-02-25,17.00,18.25,16.6875,18.00,137800,17.27551
2000-02-28,18.25,20.00,18.00,19.875,284500,19.07504
2000-02-29,19.9375,20.375,19.875,20.125,463100,19.31498
2000-03-01,20.25,23.375,20.00,22.4375,567300,21.53440
2000-03-02,22.3125,24.75,22.25,24.00,650200,23.03401
2000-03-03,24.875,25.125,24.25,24.50,389000,23.51389
2000-03-06,24.50,25.50,24.50,25.25,263600,24.23370
2000-03-07,25.1875,26.625,24.00,26.625,709500,25.55336
2000-03-08,26.375,28.00,26.3125,27.25,1064200,26.15320
2000-03-09,27.65625,29.50,27.625,28.625,833800,27.47286
2000-03-10,28.6875,29.50,28.25,29.50,265200,28.31264
2000-03-13,29.25,30.75,28.00,30.50,669700,29.27239
2000-03-14,30.375,31.75,30.00,30.125,947600,28.91248
2000-03-15,30.84375,30.9375,27.25,27.25,386100,26.15320
2000-03-16,27.25,27.25,20.625,22.75,658700,21.83432
2000-03-17,22.875,24.25,21.50,24.0625,158200,23.09
2000-03-20,24.375,25.25,23.75,23.875,80300,22.91404
2000-03-21,24.125,25.125,24.125,25.00,96300,23.99376
2000-03-22,25.00,27.625,24.3125,26.50,142100,25.43339
2000-03-23,26.875,30.125,26.875,29.9375,279400,28.73253
2000-03-24,30.125,34.50,29.8125,34.00,646700,32.63152
2000-03-27,34.00,34.00,31.00,32.875,429700,31.55180
2000-03-28,32.50,33.00,31.50,31.6875,150500,30.41209
