Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,30.000001,31.00,29.124999,29.750001,128600,2.92643
2000-01-04,29.750001,30.125001,28.562501,30.125001,136200,2.96332
2000-01-05,29.249999,29.499999,28.749999,29.499999,30000,2.90184
2000-01-06,28.999999,28.999999,28.375,28.375,92600,2.79118
2000-01-07,28.375,28.375,26.750001,28.375,247800,2.79118
2000-01-10,28.50,28.50,27.75,27.75,50600,2.72970
2000-01-11,27.75,28.375,27.562499,28.312501,61200,2.78503
2000-01-12,28.00,29.499999,28.00,28.999999,28800,2.85266
2000-01-13,29.6875,29.6875,29.6875,29.6875,2400,2.9202
2000-01-14,28.999999,29.624999,28.749999,29.624999,30000,2.91414
2000-01-18,28.999999,29.124999,28.00,28.999999,32400,2.85266
2000-01-19,28.999999,28.999999,28.937501,28.937501,36200,2.84651
2000-01-20,28.999999,29.249999,28.999999,29.249999,16200,2.87725
2000-01-21,28.625,28.999999,28.156251,28.375,31200,2.79118
2000-01-24,28.999999,28.999999,28.749999,28.999999,18000,2.85266
2000-01-25,28.999999,28.999999,28.00,28.187501,20600,2.77273
2000-01-26,28.125,29.249999,28.125,28.999999,36200,2.85266
2000-01-27,28.874999,29.4375,28.25,28.375,38600,2.79118
2000-01-28,28.375,28.50,28.312501,28.437501,55200,2.7973
2000-01-31,28.375,28.375,28.125,28.125,32400,2.7665
2000-02-01,28.00,28.00,27.71875,27.75,25200,2.72970
2000-02-02,27.000001,27.46875,26.750001,27.156249,24600,2.67129
2000-02-03,26.750001,28.00,26.750001,28.00,48000,2.75429
2000-02-04,27.125001,28.00,27.125001,28.00,10200,2.75429
2000-02-07,27.937499,28.999999,27.937499,28.999999,158600,2.85266
2000-02-08,28.937501,28.999999,27.500001,28.999999,5000,2.85266
2000-02-09,28.999999,28.999999,27.500001,28.00,3800,2.75429
2000-02-10,28.50,28.50,28.00,28.00,3800,2.75429
2000-02-11,28.00,28.999999,27.250001,28.999999,17000,2.85266
2000-02-14,27.015626,28.999999,27.000001,28.50,14600,2.80347
2000-02-15,28.50,28.749999,27.000001,28.749999,30200,2.8280
2000-02-16,28.00,28.749999,28.00,28.50,15000,2.80347
2000-02-17,27.250001,28.50,27.250001,28.50,7800,2.80347
2000-02-18,28.50,28.50,27.000001,28.50,44600,2.80347
2000-02-22,27.000001,28.50,27.000001,28.50,13800,2.80347
2000-02-23,27.250001,28.00,26.499999,28.00,39800,2.75429
2000-02-24,27.250001,27.250001,26.6875,27.250001,13800,2.68051
2000-02-25,26.5625,27.531251,26.5625,26.625001,28200,2.61903
2000-02-28,26.5625,26.5625,25.999999,26.0625,50400,2.56370
2000-02-29,26.124999,26.374999,25.999999,25.999999,108600,2.55755
2000-03-01,26.499999,26.499999,26.499999,26.499999,20400,2.60674
2000-03-02,26.750001,26.9375,26.249999,26.9375,23000,2.64977
2000-03-03,26.499999,27.000001,26.4375,26.9375,6000,2.64977
2000-03-06,25.999999,27.000001,25.749999,25.999999,124800,2.55755
2000-03-07,25.999999,26.499999,25.50,25.749999,37200,2.53296
2000-03-08,26.499999,26.750001,25.999999,26.750001,36200,2.63133
2000-03-09,25.999999,26.750001,25.999999,26.750001,27800,2.63133
2000-03-10,26.750001,26.750001,25.25,25.25,30600,2.48378
2000-03-13,26.499999,26.499999,24.75,25.187501,18000,2.47763
2000-03-14,25.999999,25.999999,25.00,25.00,33800,2.45919
2000-03-15,25.00,25.999999,24.875,25.749999,60600,2.56373
2000-03-16,25.00,25.968751,25.00,25.749999,20400,2.56373
2000-03-17,25.093749,28.50,25.093749,28.50,99800,2.83752
2000-03-20,27.75,28.00,25.00,25.00,42600,2.4890
2000-03-21,25.00,27.000001,25.00,25.50,22800,2.53884
2000-03-22,25.00,26.499999,25.00,26.499999,15800,2.63840
2000-03-23,25.624999,26.499999,25.187501,26.499999,21000,2.63840
2000-03-24,26.499999,26.499999,25.999999,25.999999,3000,2.58862
2000-03-27,25.999999,26.249999,25.375,25.375,15000,2.52639
2000-03-28,25.999999,26.249999,25.999999,25.999999,15000,2.58862
2000-03-29,26.124999,26.124999,25.00,25.50,60200,2.53884
2000-03-30,25.562501,26.249999,25.50,25.65625,16200,2.55439
2000-03-31,26.499999,26.499999,25.749999,26.249999,55200,2.61351
2000-04-03,25.999999,26.1875,25.375,25.375,9800,2.52639
2000-04-04,25.50,26.249999,23.9375,26.249999,180000,2.61351
2000-04-05,26.249999,26.249999,25.50,26.1875,28200,2.60729
2000-04-06,26.249999,27.000001,25.00,27.000001,70200,2.68818
2000-04-07,26.750001,26.750001,25.999999,26.750001,18600,2.66329
2000-04-10,25.874999,25.874999,25.50,25.562501,30000,2.54506
2000-04-11,25.562501,25.999999,25.562501,25.749999,48600,2.56373
2000-04-12,25.999999,25.999999,25.50,25.50,27800,2.53884
2000-04-13,25.50,27.500001,25.25,25.749999,45800,2.56373
2000-04-14,26.499999,26.499999,26.249999,26.249999,17000,2.61351
2000-04-17,26.249999,27.000001,25.50,27.000001,65000,2.68818
2000-04-18,25.999999,27.75,25.999999,27.75,27000,2.76285
2000-04-19,25.999999,27.625,25.999999,27.000001,12200,2.68818
2000-04-20,27.000001,27.625,25.50,25.624999,68400,2.55128
2000-04-24,25.50,26.374999,25.50,25.999999,6200,2.58862
2000-04-25,25.50,27.250001,25.50,27.250001,42600,2.71307
2000-04-26,27.375001,27.375001,26.499999,26.499999,7800,2.63840
2000-04-27,27.375001,27.75,26.499999,27.500001,74600,2.73796
2000-04-28,27.500001,27.500001,27.000001,27.000001,14600,2.68818
2000-05-01,27.000001,27.125001,26.9375,27.125001,20400,2.7006
2000-05-02,27.000001,28.874999,26.875001,27.500001,100800,2.73796
2000-05-03,27.500001,27.500001,27.125001,27.250001,3000,2.71307
