Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,23.2502,23.2502,22.75036,22.99969,14900,8.8856
2000-01-05,22.62459,22.62459,22.62459,22.62459,3500,8.7407
2000-01-06,22.75036,22.99969,22.75036,22.99969,36800,8.8856
2000-01-07,22.62459,22.62459,22.62459,22.62459,2600,8.7407
2000-01-10,22.62459,22.62459,22.62459,22.62459,100,8.7407
2000-01-11,23.50056,23.93862,23.50056,23.93862,3900,9.248
2000-01-12,23.34449,23.34449,23.34449,23.34449,700,9.0188
2000-01-13,22.99969,22.99969,22.99969,22.99969,2400,8.8856
2000-01-18,24.37551,24.37551,23.3748,24.37551,8600,9.4171
2000-01-20,22.75036,22.75036,22.75036,22.75036,100,8.7893
2000-01-21,22.75036,22.75036,22.75036,22.75036,1700,8.7893
2000-01-25,22.50,22.50,22.50,22.50,200,8.6926
2000-01-27,22.50,22.50,22.50,22.50,2900,8.6926
2000-01-28,22.50,22.50,22.50,22.50,5100,8.6926
2000-01-31,22.24949,22.24949,20.99959,20.99959,5200,8.1129
2000-02-01,20.75025,21.74979,20.75025,21.74979,2100,8.4027
2000-02-04,20.999,20.99959,20.75025,20.75025,4300,8.0166
2000-02-08,20.49974,20.49974,20.49974,20.49974,400,7.9198
2000-02-11,22.00015,22.00015,22.00015,22.00015,500,8.499
2000-02-16,22.00001,22.00015,20.00005,20.00005,1100,7.7267
2000-02-18,20.00005,20.00005,20.00005,20.00005,100,7.7267
2000-02-29,20.999,20.99959,20.87485,20.87485,2900,8.0647
2000-03-01,20.81321,20.81321,20.81321,20.81321,200,8.0409
2000-03-03,20.87792,22.00015,20.87485,22.00015,4900,8.499
2000-03-06,20.24938,20.24938,19.6879,19.81381,3300,7.6548
2000-03-09,18.87474,18.87474,18.87474,18.87474,2300,7.2920
2000-03-14,18.87474,18.87474,18.87474,18.87474,500,7.6447
2000-03-15,18.87474,18.87474,18.87474,18.87474,100,7.6447
2000-03-16,18.87474,18.87474,18.87474,18.87474,3500,7.6447
2000-03-21,19.49918,19.49918,19.49918,19.49918,700,7.8976
2000-03-22,20.00005,20.00005,20.00005,20.00005,95000,8.100
2000-03-27,19.19494,20.00005,19.1882,19.75086,2700,7.9995
2000-03-28,22.00001,22.00015,18.6885,18.6885,15900,7.569
2000-03-29,16.99498,17.50024,16.75004,17.50024,19000,7.0880
2000-03-30,17.75397,18.49964,17.74943,18.25045,20200,7.3918
2000-03-31,18.99699,20.62448,17.00054,17.24973,110900,6.9865
2000-04-03,17.99994,18.49964,17.99994,18.12453,10300,7.3408
2000-04-04,18.25045,18.25045,18.25045,18.25045,2900,7.3918
2000-04-05,18.31501,19.00065,17.99994,19.00065,10300,7.6957
2000-04-06,19.38205,19.75086,19.37575,19.75086,20900,7.9995
2000-04-07,19.87428,19.87428,19.87428,19.87428,1400,8.0495
2000-04-11,20.00005,20.00005,20.00005,20.00005,100,8.100
2000-04-12,19.50298,20.00005,19.49918,19.49918,7600,7.8976
2000-04-13,20.00005,20.00005,20.00005,20.00005,100,8.100
2000-04-17,20.12479,20.12479,20.00005,20.00005,1300,8.100
2000-04-18,19.87706,20.49974,19.87428,20.37515,4900,8.2524
2000-04-19,20.49974,20.49974,20.49974,20.49974,100,8.3028
2000-04-20,20.00005,20.00005,20.00005,20.00005,1100,8.100
2000-04-24,20.00005,20.12479,20.00005,20.12479,6000,8.1510
2000-05-01,20.12479,20.12479,20.12479,20.12479,100,8.1510
2000-05-02,20.12479,20.12479,20.12479,20.12479,100,8.1510
