Date,Open,High,Low,Close,Volume,Adj Clos
2007-05-25,20.01,20.10,20.00,20.00,61200,7.44938
2007-05-29,20.08,20.299999,20.08,20.190001,22800,7.52015
2007-05-30,20.219999,20.299999,20.15,20.299999,17100,7.56112
2007-05-31,20.299999,20.49,20.209999,20.49,10100,7.63189
2007-06-01,20.700001,20.719999,20.40,20.60,22000,7.67286
2007-06-04,20.50,20.50,20.299999,20.48,20900,7.62816
2007-06-05,20.48,20.49,20.40,20.41,11800,7.60209
2007-06-06,20.459999,20.49,20.200001,20.200001,20700,7.52387
2007-06-07,20.299999,20.40,20.200001,20.40,10800,7.59837
2007-06-08,20.40,20.40,20.209999,20.26,23800,7.54622
2007-06-11,20.26,20.26,20.200001,20.25,6200,7.54250
2007-06-12,20.25,20.389999,20.25,20.389999,12800,7.59464
2007-06-13,20.299999,20.299999,20.049999,20.200001,15300,7.52387
2007-06-14,20.299999,20.40,20.15,20.16,9000,7.50897
2007-06-15,20.10,20.200001,20.01,20.200001,4400,7.52387
2007-06-18,20.299999,20.299999,20.10,20.15,4500,7.50525
2007-06-19,20.25,20.25,20.15,20.15,5400,7.50525
2007-06-20,20.25,20.299999,20.25,20.299999,8000,7.56112
2007-06-21,20.35,20.50,20.35,20.50,8100,7.63561
2007-06-22,20.50,20.50,20.059999,20.10,9600,7.48663
2007-06-25,20.110001,20.110001,19.459999,19.469999,48900,7.25197
2007-06-26,19.450001,19.74,19.450001,19.709999,46500,7.34136
2007-06-27,19.700001,19.75,19.690001,19.709999,25500,7.34136
2007-06-28,19.75,19.90,19.75,19.90,14100,7.41213
2007-06-29,19.870001,19.90,19.85,19.90,9300,7.41213
2007-07-02,19.75,19.75,19.35,19.60,20000,7.30039
2007-07-03,19.60,19.700001,19.60,19.700001,4200,7.33764
2007-07-05,19.60,19.75,19.60,19.75,9600,7.35626
2007-07-06,19.65,19.700001,19.60,19.620001,11000,7.30784
2007-07-09,19.60,19.85,19.60,19.65,17200,7.3190
2007-07-10,19.620001,19.700001,19.59,19.68,29100,7.33019
2007-07-11,19.620001,19.700001,19.610001,19.66,8500,7.32274
2007-07-12,19.67,20.049999,19.620001,19.75,15500,7.35626
2007-07-13,20.00,20.00,19.719999,19.91,8200,7.41586
2007-07-16,19.90,19.90,19.75,19.76,14400,7.35999
2007-07-17,19.700001,19.799999,19.629999,19.629999,12100,7.3115
2007-07-18,19.60,19.639999,19.00,19.10,28600,7.11416
2007-07-19,19.10,19.10,18.549999,18.75,19900,6.98379
2007-07-20,18.700001,18.700001,18.26,18.41,13600,6.85715
2007-07-23,18.50,18.50,18.25,18.459999,13500,6.87578
2007-07-24,18.459999,18.65,17.68,17.76,41200,6.61505
2007-07-25,17.799999,17.799999,16.75,17.15,43500,6.38784
2007-07-26,17.15,17.49,16.200001,17.49,36500,6.51448
2007-07-27,17.450001,17.76,16.450001,16.99,25900,6.32825
2007-07-30,17.00,17.00,15.48,16.60,52900,6.18298
2007-07-31,16.450001,17.25,16.40,16.85,46700,6.27610
2007-08-01,16.75,17.35,16.10,16.41,43700,6.1122
2007-08-02,16.41,16.450001,15.01,16.049999,59100,5.97813
2007-08-03,16.25,16.25,15.53,15.85,32500,5.90363
2007-08-06,15.80,16.15,15.35,16.10,49000,5.99675
2007-08-07,16.00,16.83,15.85,16.83,38600,6.26865
2007-08-08,17.50,17.60,16.90,17.280001,42800,6.43626
2007-08-09,17.450001,17.450001,16.65,17.209999,26900,6.41019
2007-08-10,17.17,17.17,16.40,16.40,23500,6.10849
2007-08-13,16.60,17.24,16.030001,16.440001,37700,6.12339
2007-08-14,16.59,16.700001,14.69,15.00,36900,5.58703
2007-08-15,14.80,15.75,13.50,14.25,82800,5.30768
2007-08-16,13.50,14.10,12.99,13.46,105900,5.01343
2007-08-17,14.25,15.70,14.25,15.67,77900,5.83659
2007-08-20,15.61,16.10,15.25,16.00,33700,5.95950
2007-08-21,16.00,16.42,15.30,16.32,33600,6.07869
2007-08-22,16.00,16.040001,15.02,15.86,48200,6.03682
2007-08-23,15.80,16.35,15.09,16.24,44100,6.18146
2007-08-24,16.190001,16.24,15.51,15.64,22800,5.95308
2007-08-27,15.68,15.70,15.01,15.30,53300,5.82367
2007-08-28,15.55,15.60,15.00,15.50,59500,5.899
2007-08-29,15.60,15.65,15.16,15.55,51300,5.91883
2007-08-30,15.75,16.00,14.97,15.58,78300,5.93025
2007-08-31,15.75,16.49,15.46,16.450001,71800,6.26140
2007-09-04,16.35,17.23,16.35,17.00,37400,6.47074
2007-09-05,16.90,17.00,16.50,17.00,35000,6.47074
2007-09-06,16.90,17.10,16.67,17.00,18300,6.47074
2007-09-07,16.700001,16.700001,16.15,16.16,34600,6.15101
2007-09-10,16.15,16.15,15.00,15.49,42800,5.89599
2007-09-11,15.26,15.66,15.26,15.40,21900,5.86173
2007-09-12,15.50,15.70,14.51,14.74,59600,5.6105
2007-09-13,14.70,15.80,14.55,15.10,47200,5.74754
2007-09-14,15.00,15.20,14.80,15.00,29000,5.70948
2007-09-17,14.85,15.20,14.48,15.18,39100,5.77799
2007-09-18,15.06,16.25,14.95,15.70,54700,5.97592
2007-09-19,15.85,16.389999,15.50,15.80,55400,6.0139
2007-09-20,15.70,16.389999,15.70,15.85,39700,6.03302
2007-09-21,16.049999,16.549999,15.77,15.80,32900,6.0139
2007-09-24,15.80,15.80,14.61,15.30,58200,5.82367
2007-09-25,15.20,15.30,14.97,15.06,68400,5.73232
2007-09-26,15.15,15.30,14.69,15.00,54700,5.70948
2007-09-27,15.10,15.71,15.05,15.59,50200,5.93405
2007-09-28,15.35,15.95,15.18,15.84,60400,6.02921
2007-10-01,15.71,15.97,15.40,15.75,34600,5.99495
2007-10-02,15.85,16.190001,15.54,16.049999,36800,6.10914
2007-10-03,16.15,16.18,15.70,15.90,40000,6.05205
2007-10-04,15.70,15.96,15.41,15.95,38100,6.07108
2007-10-05,15.85,16.190001,15.85,15.85,40800,6.03302
2007-10-08,15.95,16.35,15.80,16.17,36800,6.15482
2007-10-09,16.15,16.15,15.82,16.049999,34200,6.10914
2007-10-10,15.95,16.07,15.88,16.02,37400,6.09772
2007-10-11,16.09,16.139999,15.81,15.81,27200,6.01779
2007-10-12,15.81,15.82,15.55,15.62,28300,5.94547
2007-10-15,15.65,15.68,15.05,15.19,63200,5.78180
2007-10-16,15.16,15.25,14.77,14.90,52300,5.67142
2007-10-17,14.83,15.10,14.51,14.74,48900,5.6105
2007-10-18,14.64,14.70,14.44,14.63,60000,5.5686
2007-10-19,14.50,14.65,14.11,14.31,78200,5.44684
2007-10-22,14.20,14.29,14.02,14.10,30600,5.36691
2007-10-23,14.25,14.25,13.85,14.00,64700,5.32885
2007-10-24,13.90,14.00,13.70,13.85,59300,5.27175
2007-10-25,13.90,14.05,13.70,13.97,42600,5.31743
2007-10-26,13.87,14.13,13.65,14.07,59100,5.35549
2007-10-29,14.10,14.49,13.91,14.48,38900,5.51155
2007-10-30,14.38,14.53,13.86,14.09,72900,5.36310
2007-10-31,14.16,14.45,13.86,14.28,107300,5.43542
2007-11-01,14.24,14.24,13.67,14.10,67600,5.36691
2007-11-02,14.20,14.45,13.56,14.10,69200,5.36691
2007-11-05,13.95,14.06,13.42,13.91,69400,5.29459
2007-11-06,13.90,14.03,13.26,13.70,77400,5.21466
2007-11-07,13.50,13.55,12.94,13.11,104400,4.99008
2007-11-08,13.04,13.65,12.94,13.44,95000,5.11569
2007-11-09,13.44,14.20,13.25,14.07,58800,5.35549
2007-11-12,13.92,14.40,13.78,14.35,72700,5.46207
2007-11-13,14.20,14.59,14.07,14.58,52700,5.54961
2007-11-14,14.55,14.62,14.43,14.56,24900,5.54200
2007-11-15,14.50,14.50,13.99,14.27,54000,5.43162
2007-11-16,14.12,14.13,13.56,14.01,67200,5.33265
2007-11-19,13.85,14.35,13.81,13.96,56600,5.31362
2007-11-20,13.90,14.80,13.80,14.55,81500,5.538
2007-11-21,14.00,14.00,13.40,13.75,54000,5.36647
2007-11-23,13.80,14.00,13.48,13.90,14500,5.42501
2007-11-26,13.90,14.12,13.75,13.75,87900,5.36647
2007-11-27,13.65,14.27,13.21,14.27,126600,5.56942
2007-11-28,14.20,14.40,13.91,14.10,68000,5.50307
2007-11-29,14.00,14.10,13.45,13.84,71900,5.40159
2007-11-30,13.93,14.44,13.65,14.23,72200,5.55381
2007-12-03,14.15,14.44,13.81,13.92,47300,5.43282
2007-12-04,13.75,13.99,13.34,13.49,60800,5.26499
2007-12-05,13.75,13.82,13.20,13.52,92400,5.27670
2007-12-06,13.20,13.60,13.19,13.38,87700,5.22206
2007-12-07,13.48,13.68,13.28,13.49,81400,5.26499
2007-12-10,13.40,14.00,13.30,13.60,55200,5.30792
2007-12-11,13.59,13.81,13.36,13.45,65600,5.24938
2007-12-12,13.53,13.73,13.02,13.15,85900,5.13229
2007-12-13,13.02,13.11,12.60,12.83,83300,5.00740
2007-12-14,12.55,12.80,12.50,12.68,77100,4.94886
2007-12-17,12.72,12.72,11.81,11.97,90700,4.67175
2007-12-18,12.00,12.10,11.41,11.64,82500,4.54296
2007-12-19,11.66,11.89,11.53,11.60,88900,4.52735
2007-12-20,11.60,11.77,11.50,11.55,110500,4.50783
2007-12-21,11.65,11.95,11.59,11.85,144300,4.62492
2007-12-24,11.81,12.45,11.81,12.34,65600,4.81616
2007-12-26,12.40,12.97,12.36,12.67,111600,4.94496
2007-12-27,12.61,12.64,12.40,12.44,148500,4.85519
2007-12-28,12.10,12.40,12.02,12.10,194000,4.72249
2007-12-31,11.95,12.24,11.86,12.01,282700,4.6873
2008-01-02,12.09,12.24,12.01,12.09,38300,4.71859
2008-01-03,12.07,12.50,12.07,12.39,38100,4.8356
2008-01-04,12.32,12.32,12.08,12.09,41600,4.71859
2008-01-07,12.09,12.09,11.79,11.87,52500,4.63272
2008-01-08,11.90,12.09,11.72,11.72,43400,4.57418
2008-01-09,11.72,11.84,11.43,11.56,58500,4.5117
2008-01-10,11.51,11.98,11.40,11.90,59500,4.64443
2008-01-11,11.90,12.17,11.84,12.08,47900,4.7146
2008-01-14,12.08,12.12,11.71,11.86,52300,4.62882
2008-01-15,11.74,11.79,11.54,11.57,39100,4.51564
2008-01-16,11.57,11.94,11.57,11.81,41500,4.60931
2008-01-17,11.78,11.90,11.20,11.36,59800,4.43368
2008-01-18,11.41,11.61,11.03,11.24,45700,4.38684
2008-01-22,10.75,11.38,10.36,11.24,72200,4.38684
2008-01-23,11.05,12.16,10.73,12.09,80600,4.71859
2008-01-24,12.19,12.38,12.12,12.38,55100,4.83177
2008-01-25,12.48,12.68,12.22,12.32,67300,4.80835
2008-01-28,12.38,12.70,12.32,12.60,52100,4.91764
2008-01-29,12.70,13.03,12.70,13.00,59800,5.07375
2008-01-30,13.10,13.18,12.80,12.80,70200,4.99569
2008-01-31,12.80,13.18,12.69,13.18,48800,5.14400
2008-02-01,13.19,13.49,13.10,13.48,48200,5.26109
2008-02-04,13.48,13.54,13.17,13.22,36500,5.1596
2008-02-05,13.10,13.16,12.86,13.00,27900,5.07375
2008-02-06,13.10,13.10,12.97,13.02,35800,5.08156
2008-02-07,12.90,13.35,12.90,13.01,35300,5.07765
2008-02-08,13.00,13.48,13.00,13.23,28900,5.16352
2008-02-11,13.13,13.24,13.05,13.24,19900,5.16742
2008-02-12,13.37,13.40,13.18,13.21,22300,5.15571
2008-02-13,13.26,13.38,13.04,13.24,31600,5.16742
2008-02-14,13.20,13.27,12.84,12.85,41000,5.01521
2008-02-15,12.89,13.16,12.40,12.54,57400,4.89422
2008-02-19,12.70,13.07,12.67,12.96,31300,5.05814
2008-02-20,12.87,13.67,12.86,13.44,85600,5.24548
2008-02-21,13.16,13.49,13.01,13.25,27300,5.31772
2008-02-22,13.40,13.42,13.00,13.35,30200,5.35785
2008-02-25,13.50,13.59,13.19,13.39,44600,5.37391
2008-02-26,13.27,13.50,13.27,13.50,36200,5.41805
2008-02-27,13.30,13.64,13.30,13.58,44800,5.45016
2008-02-28,13.70,13.89,13.33,13.75,33200,5.51839
2008-02-29,13.60,13.99,13.40,13.67,53000,5.48628
2008-03-03,13.60,13.60,13.14,13.15,24400,5.2775
2008-03-04,13.10,13.35,12.91,12.95,30400,5.19732
2008-03-05,12.90,13.01,12.71,12.80,37400,5.13712
2008-03-06,12.75,12.75,11.79,11.90,64600,4.77591
2008-03-07,11.50,12.20,11.46,11.84,74900,4.75183
2008-03-10,11.86,11.96,11.50,11.76,21500,4.71973
2008-03-11,11.85,12.50,11.85,12.50,21100,5.0167
2008-03-12,12.54,12.87,12.47,12.48,30800,5.00869
2008-03-13,12.18,12.45,11.86,12.45,37800,4.99665
2008-03-14,12.50,12.70,12.17,12.19,13900,4.89230
2008-03-17,11.80,12.22,11.60,12.17,35800,4.88427
2008-03-18,12.40,12.99,12.32,12.69,68500,5.09297
2008-03-19,12.74,12.99,12.52,12.60,18900,5.05685
2008-03-20,12.40,12.61,12.03,12.61,45400,5.06086
2008-03-24,12.55,12.91,12.54,12.62,27500,5.06488
2008-03-25,12.52,12.70,12.40,12.57,26600,5.04481
2008-03-26,12.58,12.66,12.45,12.57,26900,5.04481
2008-03-27,12.55,12.70,12.55,12.70,14100,5.09698
2008-03-28,12.65,13.05,12.64,13.05,18800,5.23745
2008-03-31,13.00,13.05,12.63,12.93,31100,5.18929
2008-04-01,13.08,13.25,13.05,13.24,28200,5.3137
2008-04-02,13.10,13.25,12.99,13.06,23400,5.2414
2008-04-03,12.96,13.14,12.93,13.10,22300,5.25752
2008-04-04,13.04,13.14,13.02,13.02,22300,5.22541
2008-04-07,13.00,13.15,12.95,13.00,17000,5.21738
2008-04-08,12.96,13.02,12.82,12.85,20500,5.15718
2008-04-09,12.81,12.95,12.80,12.92,22000,5.18528
2008-04-10,12.92,12.93,12.80,12.91,10700,5.18126
2008-04-11,12.86,13.07,12.60,12.69,19700,5.09297
2008-04-14,12.62,12.63,12.38,12.38,9700,4.9685
2008-04-15,12.28,12.34,12.00,12.00,36100,4.81605
2008-04-16,11.97,12.37,11.97,12.25,37500,4.91638
2008-04-17,12.25,12.49,12.11,12.43,28700,4.98862
2008-04-18,12.57,12.72,12.43,12.51,22300,5.02073
2008-04-21,12.47,12.60,12.47,12.60,15900,5.05685
2008-04-22,12.64,12.68,12.23,12.45,31700,4.99665
2008-04-23,12.41,12.74,12.33,12.54,28500,5.03277
2008-04-24,12.50,13.07,12.50,13.00,38500,5.21738
2008-04-25,13.05,13.25,12.92,13.25,31400,5.31772
2008-04-28,13.40,13.40,13.14,13.14,24800,5.27357
2008-04-29,13.02,13.38,13.00,13.15,42400,5.2775
2008-04-30,13.06,13.53,13.06,13.28,44200,5.32976
2008-05-01,13.29,13.42,12.91,13.28,48500,5.32976
2008-05-02,13.40,13.67,13.35,13.53,42000,5.43009
2008-05-05,13.50,13.68,13.43,13.68,27000,5.49029
2008-05-06,13.50,13.71,13.43,13.63,23200,5.47023
2008-05-07,13.65,13.69,13.43,13.55,26700,5.43812
2008-05-08,13.57,13.74,13.45,13.50,36000,5.41805
2008-05-09,13.46,13.83,13.45,13.77,31400,5.52641
2008-05-12,13.79,14.03,13.79,13.91,38100,5.58260
2008-05-13,14.00,14.22,13.97,14.10,33600,5.65886
2008-05-14,14.05,14.14,13.91,14.08,39800,5.65083
2008-05-15,14.04,14.05,13.90,13.99,35400,5.61471
2008-05-16,14.01,14.05,13.99,14.03,15500,5.63076
2008-05-19,14.10,14.14,13.95,14.06,24300,5.64280
2008-05-20,13.81,13.88,13.32,13.32,39300,5.49029
2008-05-21,13.32,13.32,12.77,12.88,34300,5.30893
2008-05-22,12.78,12.80,12.50,12.66,38700,5.21825
2008-05-23,12.60,12.63,12.48,12.57,23700,5.1811
2008-05-27,12.57,12.69,12.47,12.61,50300,5.19764
2008-05-28,12.60,12.61,12.43,12.49,33000,5.14818
2008-05-29,12.51,12.55,12.40,12.47,42600,5.13994
2008-05-30,12.54,12.55,12.42,12.46,39500,5.1358
