Date,Open,High,Low,Close,Volume,Adj Clos
2007-02-09,35.00,37.00,30.299999,31.00,26752600,21.07827
2007-02-12,30.57,31.549999,28.309999,30.25,7720900,20.56831
2007-02-13,30.25,30.74,28.67,28.90,3211000,19.65039
2007-02-14,29.15,29.469999,28.01,29.440001,2620200,20.01756
2007-02-15,29.00,29.09,28.389999,28.52,1564600,19.39201
2007-02-16,28.50,28.50,27.74,27.950001,3231000,19.00444
2007-02-20,28.01,28.950001,27.10,28.190001,2871300,19.16763
2007-02-21,28.440001,29.299999,28.049999,28.35,1555100,19.27642
2007-02-22,28.59,28.889999,28.299999,28.66,614300,19.48720
2007-02-23,28.92,29.809999,28.709999,29.68,1516000,20.18074
2007-02-26,29.93,31.889999,29.75,31.34,2953000,21.30945
2007-02-27,30.08,30.40,29.049999,30.129999,3127100,20.48672
2007-02-28,30.10,30.68,29.32,30.17,2055500,20.51392
2007-03-01,29.50,29.65,28.700001,29.07,2540400,19.76598
2007-03-02,28.59,29.00,27.16,27.75,1423200,18.86845
2007-03-05,27.299999,27.299999,26.48,26.75,1493400,18.18851
2007-03-06,27.40,28.01,27.049999,27.799999,1406600,18.90245
2007-03-07,27.799999,27.90,27.40,27.50,748500,18.69846
2007-03-08,27.99,28.799999,27.77,28.08,1381300,19.09283
2007-03-09,28.43,28.629999,26.379999,26.889999,1724500,18.28370
2007-03-12,27.110001,27.110001,25.77,25.969999,1573500,17.65815
2007-03-13,25.969999,25.969999,23.34,24.25,5564700,16.4886
2007-03-14,24.00,25.790001,23.50,25.139999,2691500,17.093
2007-03-15,25.110001,26.280001,24.49,26.110001,2269500,17.75334
2007-03-16,26.360001,26.92,25.700001,25.74,1076400,17.50176
2007-03-19,25.85,26.34,25.219999,25.74,1058600,17.50176
2007-03-20,25.610001,26.90,25.59,26.82,534300,18.23610
2007-03-21,28.200001,29.120001,28.00,28.530001,3427600,19.39881
2007-03-22,28.700001,28.700001,27.43,27.959999,1962400,19.01124
2007-03-23,28.00,29.15,27.940001,28.74,1005500,19.541
2007-03-26,29.09,29.10,28.059999,28.379999,605400,19.2968
2007-03-27,28.629999,29.059999,28.15,28.27,502500,19.22202
2007-03-28,27.879999,27.93,26.870001,27.18,870900,18.56164
2007-03-29,27.43,29.85,27.389999,29.719999,1501300,20.29625
2007-03-30,29.50,29.719999,28.530001,28.68,529400,19.5860
2007-04-02,29.00,29.27,28.58,28.73,238100,19.62016
2007-04-03,29.049999,29.35,28.889999,28.99,452100,19.79772
2007-04-04,28.67,28.959999,27.790001,28.049999,520600,19.15578
2007-04-05,28.200001,28.66,27.91,28.25,291900,19.29236
2007-04-09,28.50,28.93,28.299999,28.370001,179100,19.37431
2007-04-10,28.40,28.50,27.360001,28.299999,292700,19.32651
2007-04-11,28.299999,28.940001,27.799999,28.76,310700,19.64065
2007-04-12,28.75,29.360001,28.40,29.10,402400,19.87284
