Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,8.125009,8.125009,7.999992,7.999992,11000,1.66531
2000-01-04,7.999992,7.999992,7.999992,7.999992,14800,1.66531
2000-01-05,7.999992,7.999992,7.999992,7.999992,3300,1.66531
2000-01-06,7.999992,7.999992,7.875,7.875,5000,1.63929
2000-01-07,7.875,7.875,7.875,7.875,000,1.63929
2000-01-10,7.875,8.125009,7.875,8.125009,11700,1.6913
2000-01-11,8.125009,8.125009,8.125009,8.125009,000,1.6913
2000-01-12,8.062512,8.062512,7.999992,7.999992,3300,1.66531
2000-01-13,7.999992,7.999992,7.875,7.875,9100,1.63929
2000-01-14,7.875,7.875,7.875,7.875,6000,1.63929
2000-01-18,7.750009,7.875,7.750009,7.875,3600,1.63929
2000-01-19,7.875,7.875,7.812504,7.875,48700,1.63929
2000-01-20,7.750009,7.875,7.750009,7.875,1600,1.63929
2000-01-21,7.750009,7.750009,7.750009,7.750009,4000,1.61327
2000-01-24,7.750009,7.750009,7.624992,7.750009,14400,1.61327
2000-01-25,7.687488,7.687488,7.624992,7.687488,3800,1.60026
2000-01-26,7.687488,7.687488,7.687488,7.687488,000,1.60026
2000-01-27,7.687488,7.687488,7.687488,7.687488,000,1.60026
2000-01-28,7.624992,7.624992,7.437504,7.437504,5200,1.54822
2000-01-31,7.437504,7.437504,7.125,7.125,14400,1.48317
2000-02-01,7.375008,7.50,7.375008,7.50,52000,1.56123
2000-02-02,7.437504,7.437504,7.437504,7.437504,7600,1.54822
2000-02-03,7.437504,7.687488,7.437504,7.624992,10000,1.58725
2000-02-04,7.624992,7.624992,7.624992,7.624992,000,1.58725
2000-02-07,7.624992,7.624992,7.624992,7.624992,200,1.58725
2000-02-08,7.750009,7.750009,7.750009,7.750009,200,1.61327
2000-02-09,7.624992,7.624992,7.50,7.50,10300,1.56123
2000-02-10,7.437504,7.437504,7.437504,7.437504,3300,1.54822
2000-02-11,7.437504,7.437504,7.437504,7.437504,000,1.54822
2000-02-14,7.437504,7.437504,7.437504,7.437504,000,1.54822
2000-02-15,7.437504,7.437504,7.437504,7.437504,4300,1.54822
2000-02-16,7.562496,7.562496,7.562496,7.562496,2800,1.57424
2000-02-17,7.437504,7.437504,7.437504,7.437504,2100,1.54822
2000-02-18,7.437504,7.437504,7.437504,7.437504,2800,1.54822
2000-02-22,7.50,7.50,7.375008,7.375008,3800,1.53521
2000-02-23,7.562496,7.562496,7.50,7.50,1600,1.56123
2000-02-24,7.375008,7.50,7.375008,7.50,63600,1.56123
2000-02-25,7.437504,7.50,7.375008,7.50,6200,1.56123
2000-02-28,7.375008,7.375008,7.375008,7.375008,11200,1.53521
2000-02-29,7.375008,7.375008,7.375008,7.375008,5200,1.53521
2000-03-01,7.50,7.624992,7.50,7.624992,1900,1.58725
2000-03-02,7.437504,7.437504,7.375008,7.375008,14800,1.53521
2000-03-03,7.375008,7.375008,7.375008,7.375008,900,1.53521
2000-03-06,7.249992,7.624992,7.249992,7.624992,16800,1.58725
2000-03-07,7.50,7.50,7.437504,7.437504,2100,1.54822
2000-03-08,7.437504,7.437504,7.437504,7.437504,2100,1.54822
2000-03-09,7.624992,7.624992,7.375008,7.375008,9100,1.53521
2000-03-10,7.375008,7.875,7.375008,7.624992,67400,1.58725
2000-03-13,7.624992,8.500009,7.624992,8.500009,28300,1.76940
2000-03-14,8.374992,9.124992,8.374992,8.625,39800,1.79542
2000-03-15,8.374992,8.374992,8.374992,8.374992,4500,1.74337
2000-03-16,8.374992,8.374992,8.374992,8.374992,000,1.74337
2000-03-17,8.625,8.625,8.625,8.625,3100,1.79542
2000-03-20,8.500009,8.500009,8.25,8.25,13200,1.71735
2000-03-21,8.125009,8.125009,8.125009,8.125009,1200,1.6913
2000-03-22,8.125009,8.125009,8.125009,8.125009,1200,1.6913
2000-03-23,8.25,8.25,8.25,8.25,900,1.71735
2000-03-24,8.187504,8.187504,8.187504,8.187504,3800,1.7043
2000-03-27,8.187504,8.187504,8.187504,8.187504,000,1.7043
2000-03-28,8.437488,8.625,8.437488,8.625,17500,1.79542
2000-03-29,8.625,9.250009,8.625,8.875009,34300,1.84746
2000-03-30,8.749992,8.749992,7.999992,7.999992,12400,1.66531
2000-03-31,7.999992,7.999992,7.875,7.999992,5700,1.66531
2000-04-03,8.125009,8.25,7.875,7.999992,13200,1.66531
2000-04-04,8.125009,8.374992,7.750009,7.999992,26600,1.66531
2000-04-05,8.125009,8.500009,8.125009,8.25,15600,1.71735
2000-04-06,8.374992,9.00,8.374992,9.00,19900,1.87348
2000-04-07,9.00,9.00,9.00,9.00,000,1.87348
2000-04-10,8.875009,9.00,8.749992,9.00,5700,1.87348
2000-04-11,8.875009,8.875009,8.875009,8.875009,700,1.84746
2000-04-12,8.749992,8.875009,8.749992,8.875009,3800,1.84746
2000-04-13,8.749992,8.749992,8.749992,8.749992,200,1.8214
2000-04-14,8.625,8.625,8.625,8.625,2600,1.79542
2000-04-17,8.374992,8.374992,8.125009,8.125009,16800,1.6913
2000-04-18,7.999992,8.25,7.999992,8.25,3600,1.71735
2000-04-19,7.999992,8.500009,7.999992,8.500009,16300,1.76940
2000-04-20,8.625,8.625,8.500009,8.500009,5000,1.76940
2000-04-24,8.25,8.374992,8.125009,8.125009,10800,1.6913
2000-04-25,8.374992,8.374992,8.312497,8.312497,10000,1.73036
2000-04-26,8.125009,8.187504,8.125009,8.187504,3800,1.7043
2000-04-27,7.937497,8.312497,7.937497,8.312497,16800,1.73036
