Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,15.99992,15.99992,15.249963,15.374918,4413300,0.95220
2000-01-04,15.249963,15.374918,14.874985,14.999939,6381600,0.92897
2000-01-05,14.999939,15.312498,14.874985,15.062475,3984000,0.93285
2000-01-06,14.999939,14.999939,14.562427,14.749916,10412700,0.91349
2000-01-07,14.687496,14.749916,14.187448,14.312517,12133800,0.88640
2000-01-10,14.749916,14.749916,13.749935,14.374937,5303700,0.8902
2000-01-11,14.249982,14.624961,14.124913,14.124913,3745000,0.87478
2000-01-12,14.249982,14.437472,13.749935,14.187448,8068900,0.87865
2000-01-13,14.187448,14.187448,13.875004,14.062494,4189000,0.8709
2000-01-14,14.124913,14.187448,13.500025,13.562446,5962500,0.83995
2000-01-18,14.249982,14.249982,13.749935,13.875004,7201800,0.85930
2000-01-19,13.875004,13.937425,13.374956,13.875004,4369900,0.85930
2000-01-20,13.437491,13.500025,12.937444,12.999978,8424100,0.80511
2000-01-21,12.999978,12.999978,12.312441,12.624999,14131800,0.78189
2000-01-24,12.875023,12.937444,12.562465,12.562465,5228700,0.7780
2000-01-25,12.749954,12.749954,12.374977,12.43751,3294000,0.77028
2000-01-26,12.499931,12.624999,12.25002,12.43751,5369100,0.77028
2000-01-27,12.624999,12.68742,12.25002,12.374977,5501200,0.76640
2000-01-28,12.25002,12.749954,12.187487,12.312441,4681900,0.76253
2000-01-31,12.312441,12.312441,12.062418,12.187487,5401900,0.75479
2000-02-01,12.124953,12.25002,11.999998,12.062418,5973700,0.74705
2000-02-02,12.062418,12.062418,11.687439,11.812508,5953500,0.73157
2000-02-03,12.124953,12.812489,11.749974,11.749974,9446800,0.72770
2000-02-04,12.187487,12.624999,12.124953,12.374977,5385300,0.76640
2000-02-07,12.25002,12.312441,12.062418,12.187487,6265300,0.75479
2000-02-08,12.25002,12.499931,11.999998,12.499931,6623100,0.77414
2000-02-09,12.312441,12.812489,12.312441,12.374977,7724700,0.76640
2000-02-10,12.68742,12.812489,12.062418,12.124953,4599000,0.75092
2000-02-11,12.124953,12.312441,11.999998,11.999998,4239100,0.74318
2000-02-14,12.374977,12.374977,11.812508,11.937463,2814000,0.73931
2000-02-15,11.999998,12.43751,11.812508,12.374977,2232900,0.76640
2000-02-16,12.25002,12.312441,11.812508,12.312441,2852100,0.76253
2000-02-17,12.43751,12.43751,12.062418,12.43751,3300700,0.77028
2000-02-18,12.499931,12.499931,12.124953,12.312441,2050200,0.76253
2000-02-22,12.312441,12.499931,12.312441,12.43751,3049800,0.77028
2000-02-23,12.499931,12.562465,12.124953,12.43751,8336200,0.77028
2000-02-24,12.312441,12.68742,12.187487,12.25002,5654700,0.7586
2000-02-25,12.374977,12.875023,12.25002,12.68742,4274100,0.78575
2000-02-28,12.68742,12.68742,12.374977,12.68742,2465200,0.78575
2000-02-29,12.937444,12.937444,12.68742,12.937444,2954400,0.80124
2000-03-01,12.812489,13.124932,12.812489,13.124932,2410600,0.81285
2000-03-02,13.062513,13.250001,12.875023,12.999978,2991700,0.80511
2000-03-03,12.999978,13.250001,12.749954,12.999978,2032300,0.80511
2000-03-06,13.500025,13.500025,12.374977,12.624999,2403000,0.78189
2000-03-07,12.499931,12.624999,12.187487,12.499931,1578300,0.77414
