Date,Open,High,Low,Close,Volume,Adj Clos
2010-03-16,15.00,17.360001,14.90,17.25,9992800,16.86820
2010-03-17,17.120001,17.25,16.58,16.690001,915500,16.32059
2010-03-18,16.959999,17.75,16.65,17.049999,622300,16.67262
2010-03-19,17.18,18.15,17.01,17.60,513900,17.21045
2010-03-22,17.610001,18.91,17.08,18.549999,215800,18.13942
2010-03-23,18.889999,18.959999,18.00,18.049999,361200,17.65049
2010-03-24,17.90,18.10,17.200001,17.389999,188600,17.00510
2010-03-25,17.65,17.969999,16.90,17.00,210000,16.62373
2010-03-26,17.190001,17.49,16.780001,17.280001,182800,16.89753
2010-03-29,17.16,17.50,16.950001,17.030001,184100,16.65307
2010-03-30,17.110001,17.33,16.809999,17.08,228500,16.70196
2010-03-31,17.219999,17.27,16.780001,16.90,175700,16.52594
2010-04-01,16.879999,16.91,16.40,16.57,158600,16.20325
2010-04-05,16.549999,16.60,16.08,16.25,122000,15.89033
2010-04-06,16.17,16.50,16.10,16.200001,102700,15.84144
2010-04-07,16.17,16.49,16.17,16.40,106000,16.03701
2010-04-08,16.299999,16.84,16.290001,16.73,173700,16.35971
2010-04-09,16.74,16.879999,16.35,16.67,56400,16.30103
2010-04-12,16.559999,17.25,16.40,17.18,103200,16.79975
2010-04-13,17.059999,17.27,16.60,17.219999,70000,16.83886
2010-04-14,17.290001,17.290001,16.43,16.50,103600,16.13480
2010-04-15,16.42,16.799999,16.25,16.50,117600,16.13480
2010-04-16,16.60,16.60,15.61,15.93,304200,15.57741
2010-04-19,15.81,16.16,15.31,16.07,119500,15.71431
2010-04-20,16.24,16.24,15.69,16.17,267500,15.81210
2010-04-21,16.120001,16.32,15.50,15.51,290000,15.16671
2010-04-22,15.53,15.82,15.31,15.60,237200,15.25472
2010-04-23,15.64,16.77,15.27,16.76,136700,16.38904
2010-04-26,16.549999,16.99,15.79,16.74,148000,16.36948
2010-04-27,16.50,16.50,16.110001,16.24,38300,15.88055
2010-04-28,16.27,16.32,16.00,16.01,100400,15.65564
2010-04-29,16.00,16.75,15.91,16.66,75200,16.2912
2010-04-30,16.639999,16.870001,15.85,15.92,77300,15.56763
2010-05-03,15.93,16.18,15.77,16.120001,38200,15.76321
2010-05-04,16.00,16.24,15.50,15.52,27500,15.17649
2010-05-05,15.51,15.99,15.50,15.59,114100,15.24494
2010-05-06,15.50,15.84,14.80,15.57,75100,15.22538
2010-05-07,15.71,15.71,15.01,15.52,113100,15.17649
2010-05-10,15.71,15.99,15.50,15.64,132400,15.29383
2010-05-11,15.52,15.86,15.30,15.65,117000,15.30361
2010-05-12,15.90,15.95,15.55,15.85,49900,15.49918
2010-05-13,15.75,15.96,15.55,15.69,80400,15.34272
2010-05-14,15.55,15.67,15.50,15.54,24900,15.1960
2010-05-17,15.85,15.85,15.50,15.76,24200,15.41118
2010-05-18,15.91,15.96,15.66,15.82,28900,15.46985
2010-05-19,15.64,15.80,15.37,15.50,51800,15.15693
2010-05-20,15.50,15.66,15.15,15.30,102300,14.96136
2010-05-21,15.50,15.87,15.50,15.66,149400,15.31339
2010-05-24,15.63,15.81,15.50,15.50,11300,15.15693
2010-05-25,15.43,15.43,15.05,15.13,84300,14.79512
2010-05-26,15.30,15.57,14.71,14.96,56900,14.62888
2010-05-27,15.15,15.36,14.80,15.22,66600,14.88313
2010-05-28,15.34,15.40,15.10,15.24,34500,14.90268
2010-06-01,15.18,15.40,14.81,14.96,16800,14.62888
2010-06-02,15.00,15.15,14.65,15.00,39200,14.66800
2010-06-03,14.90,16.09,14.44,15.25,153800,14.91246
2010-06-04,15.07,15.25,14.80,14.82,147700,14.49198
2010-06-07,14.88,15.12,14.38,14.60,75700,14.27685
2010-06-08,14.55,14.67,13.70,13.92,219500,13.61190
2010-06-09,14.14,14.62,13.09,13.41,124400,13.11319
2010-06-10,13.53,14.00,13.50,13.97,134300,13.66079
2010-06-11,14.00,14.15,13.52,13.92,203600,13.61190
