Date,Open,High,Low,Close,Volume,Adj Clos
2003-10-23,15.80,16.10,15.50,16.10,1191100,7.78453
2003-10-24,16.10,16.35,15.81,15.95,150400,7.71200
2003-10-27,15.95,15.96,15.85,15.94,144200,7.70717
2003-10-28,15.95,16.00,15.81,15.85,83200,7.66365
2003-10-29,15.85,15.90,15.77,15.82,119000,7.6491
2003-10-30,15.76,15.90,15.76,15.82,85200,7.6491
2003-10-31,15.92,16.18,15.80,16.18,97200,7.82321
2003-11-03,16.15,16.40,16.15,16.40,209600,7.92958
2003-11-04,16.40,16.700001,16.299999,16.65,63400,8.05046
2003-11-05,16.60,16.75,16.52,16.700001,142900,8.07464
2003-11-06,16.690001,17.700001,16.60,16.65,47400,8.05046
2003-11-07,16.709999,16.90,16.60,16.85,70700,8.14716
2003-11-10,16.90,16.90,16.700001,16.74,28800,8.09398
2003-11-11,16.74,16.799999,16.700001,16.799999,61800,8.12299
2003-11-12,16.799999,16.85,16.700001,16.799999,23000,8.12299
2003-11-13,16.75,16.799999,16.700001,16.75,21500,8.09881
2003-11-14,16.799999,16.90,16.60,16.74,75900,8.09398
2003-11-17,16.75,16.799999,16.700001,16.790001,35800,8.11815
2003-11-18,16.85,16.85,16.60,16.700001,20400,8.07464
2003-11-19,16.700001,16.84,16.65,16.799999,29300,8.12299
2003-11-20,16.809999,17.00,16.75,16.790001,51300,8.11815
2003-11-21,16.84,16.84,16.73,16.75,24200,8.09881
2003-11-24,16.799999,16.799999,16.700001,16.799999,23000,8.12299
2003-11-25,16.799999,17.049999,16.790001,17.00,55800,8.21969
2003-11-26,17.00,17.15,16.950001,17.15,68900,8.2922
2003-11-28,17.200001,17.200001,17.00,17.00,19200,8.21969
2003-12-01,17.10,17.35,17.049999,17.299999,45000,8.36474
2003-12-02,17.25,17.469999,17.25,17.450001,43000,8.43727
2003-12-03,17.40,17.799999,17.40,17.75,73700,8.58232
2003-12-04,17.75,17.959999,17.75,17.799999,105900,8.60650
2003-12-05,17.780001,17.90,17.700001,17.860001,87500,8.63551
2003-12-08,17.91,18.01,17.889999,17.969999,19100,8.68869
2003-12-09,17.98,18.120001,17.959999,18.00,31900,8.70320
2003-12-10,17.99,18.15,17.90,18.00,60500,8.70320
2003-12-11,18.00,18.08,18.00,18.030001,116400,8.71771
2003-12-12,18.040001,18.120001,18.01,18.059999,26700,8.73221
2003-12-15,18.07,18.15,18.00,18.030001,50100,8.71771
2003-12-16,18.040001,18.10,18.00,18.08,41100,8.74188
2003-12-17,18.10,18.10,17.83,17.85,39300,8.63067
2003-12-18,17.85,17.90,17.75,17.860001,119600,8.63551
2003-12-19,17.870001,17.91,17.85,17.90,164500,8.65485
2003-12-22,17.85,18.00,17.799999,17.84,33000,8.62584
2003-12-23,17.84,17.969999,17.84,17.90,231100,8.65485
2003-12-24,17.90,17.92,17.90,17.90,27400,8.65485
2003-12-26,17.91,18.01,17.889999,17.889999,16000,8.65001
2003-12-29,17.91,18.200001,17.90,18.200001,29800,8.79990
2003-12-30,18.40,18.51,18.33,18.51,22900,8.94979
2003-12-31,18.60,18.85,18.60,18.74,40700,9.06100
2004-01-02,18.68,18.809999,18.50,18.50,31100,8.94496
2004-01-05,18.450001,18.950001,18.41,18.950001,46800,9.16254
2004-01-06,18.959999,18.959999,18.83,18.90,22300,9.13836
2004-01-07,18.90,18.93,18.799999,18.83,28200,9.10451
2004-01-08,18.82,19.200001,18.799999,19.200001,24100,9.28341
2004-01-09,19.17,19.17,19.02,19.02,42000,9.19638
2004-01-12,19.059999,19.09,18.870001,18.93,19100,9.15287
2004-01-13,18.950001,18.98,18.809999,18.83,24800,9.10451
2004-01-14,18.93,19.10,18.870001,19.01,32100,9.19155
2004-01-15,19.040001,19.08,19.00,19.00,17300,9.18671
2004-01-16,18.959999,19.299999,18.959999,19.299999,26000,9.33176
2004-01-20,19.379999,19.41,19.280001,19.32,14600,9.3414
2004-01-21,19.35,19.66,19.34,19.57,41900,9.46231
2004-01-22,19.950001,20.50,19.90,20.25,51400,9.79110
2004-01-23,20.299999,20.40,20.049999,20.200001,24500,9.7669
2004-01-26,20.200001,20.33,20.049999,20.08,38100,9.70890
2004-01-27,20.10,20.200001,20.02,20.049999,39100,9.69440
2004-01-28,19.969999,20.10,19.940001,20.040001,84900,9.73813
2004-01-29,20.030001,20.139999,19.98,19.98,40700,9.70898
2004-01-30,20.00,20.10,20.00,20.049999,82200,9.74299
2004-02-02,20.15,20.200001,20.10,20.120001,58500,9.77701
2004-02-03,20.15,20.200001,20.110001,20.15,40200,9.7915
2004-02-04,20.16,20.25,20.049999,20.10,49300,9.76729
2004-02-05,20.10,20.110001,19.959999,20.00,46100,9.718
2004-02-06,20.02,20.07,20.00,20.02,41900,9.72841
2004-02-09,20.049999,20.10,20.00,20.049999,71800,9.74299
2004-02-10,20.049999,20.08,20.00,20.02,20800,9.72841
2004-02-11,20.049999,20.049999,20.00,20.049999,40500,9.74299
2004-02-12,20.01,20.049999,20.00,20.00,22700,9.718
2004-02-13,20.049999,20.200001,20.030001,20.15,71700,9.7915
2004-02-17,20.209999,20.290001,20.10,20.120001,12700,9.77701
2004-02-18,20.07,20.15,20.049999,20.049999,37400,9.74299
2004-02-19,20.059999,20.10,20.00,20.00,18200,9.718
2004-02-20,20.02,20.10,20.00,20.08,111200,9.75757
2004-02-23,20.030001,20.15,20.030001,20.15,13500,9.7915
2004-02-24,20.15,20.35,20.15,20.35,21300,9.88877
2004-02-25,20.299999,20.40,20.25,20.40,16400,9.91307
2004-02-26,20.370001,20.51,20.360001,20.50,22900,9.96166
2004-02-27,20.530001,20.57,20.50,20.540001,19200,9.98110
2004-03-01,20.60,20.799999,20.549999,20.75,64700,10.08315
2004-03-02,20.75,21.09,20.75,21.09,59400,10.24836
2004-03-03,21.190001,21.190001,21.049999,21.09,98000,10.24836
2004-03-04,21.049999,21.27,21.00,21.27,113600,10.33583
2004-03-05,21.24,21.389999,21.200001,21.370001,20900,10.38443
2004-03-08,21.35,21.40,21.209999,21.40,26000,10.39900
2004-03-09,21.35,21.40,21.00,21.030001,64400,10.21921
2004-03-10,20.799999,20.83,20.50,20.50,85000,9.96166
2004-03-11,20.450001,20.65,20.40,20.50,19000,9.96166
2004-03-12,20.40,20.450001,20.25,20.290001,99900,9.85962
2004-03-15,20.309999,20.309999,20.049999,20.049999,25600,9.74299
2004-03-16,20.10,20.10,19.799999,19.90,90300,9.67010
2004-03-17,19.950001,20.139999,19.950001,20.02,32900,9.72841
2004-03-18,20.049999,20.25,19.959999,19.959999,27200,9.69926
2004-03-19,19.959999,20.049999,19.90,20.040001,21200,9.73813
2004-03-22,19.940001,20.10,19.90,20.08,26100,9.75757
2004-03-23,20.049999,20.129999,20.00,20.129999,20900,9.78187
2004-03-24,20.10,20.120001,20.00,20.00,254100,9.718
2004-03-25,20.00,20.049999,19.959999,20.00,77400,9.718
2004-03-26,20.040001,20.10,19.950001,20.00,177800,9.718
2004-03-29,20.030001,20.08,19.93,20.08,26400,9.75757
2004-03-30,20.049999,20.35,20.049999,20.299999,17000,9.8644
2004-03-31,20.25,20.950001,20.25,20.90,63200,10.15604
2004-04-01,20.85,20.90,20.549999,20.65,21200,10.03455
2004-04-02,20.950001,20.950001,20.790001,20.790001,124400,10.10258
2004-04-05,20.75,20.75,20.200001,20.24,23400,9.83532
2004-04-06,20.200001,20.200001,19.75,19.90,126000,9.67010
2004-04-07,19.85,20.10,19.049999,19.18,85800,9.32023
2004-04-08,19.25,19.32,18.190001,18.559999,87100,9.01895
2004-04-12,16.700001,18.360001,16.33,16.92,98100,8.2220
2004-04-13,16.969999,17.379999,16.60,17.15,74000,8.33378
2004-04-14,17.15,17.65,17.10,17.65,28400,8.57675
2004-04-15,17.639999,18.459999,17.629999,18.459999,30300,8.9703
2004-04-16,18.51,19.42,18.50,19.35,53500,9.40284
2004-04-19,19.299999,19.35,18.60,19.049999,57100,9.25706
2004-04-20,18.950001,19.18,18.90,19.00,54200,9.23276
2004-04-21,18.950001,18.950001,18.68,18.85,24600,9.15987
2004-04-22,18.82,19.15,18.82,19.00,14100,9.23276
2004-04-23,19.02,19.02,18.85,18.940001,20200,9.20360
2004-04-26,18.870001,18.950001,18.860001,18.90,10100,9.18417
2004-04-27,19.00,19.200001,19.00,19.09,11200,9.27649
2004-04-28,18.950001,19.00,18.780001,18.780001,30600,9.22248
