Date,Open,High,Low,Close,Volume,Adj Clos
2010-09-28,20.00,20.01,20.00,20.00,579600,12.52905
2010-09-29,20.00,20.01,20.00,20.01,68400,12.5353
2010-09-30,20.040001,20.120001,20.00,20.110001,87500,12.59796
2010-10-01,20.120001,20.200001,20.09,20.15,50200,12.62302
2010-10-04,20.15,20.18,20.00,20.00,73100,12.52905
2010-10-05,20.049999,20.200001,20.01,20.15,90500,12.62302
2010-10-06,20.18,20.190001,20.030001,20.08,37700,12.57917
2010-10-07,20.049999,20.110001,20.049999,20.08,16800,12.57917
2010-10-08,20.10,20.10,20.01,20.02,31900,12.54158
2010-10-11,20.08,20.15,20.00,20.040001,44200,12.55411
2010-10-12,20.049999,20.32,20.030001,20.280001,29200,12.70446
2010-10-13,20.25,20.25,20.00,20.030001,48900,12.54784
2010-10-14,20.049999,20.25,20.01,20.059999,46200,12.56664
2010-10-15,20.16,20.18,20.040001,20.10,41800,12.591
2010-10-18,20.139999,20.200001,20.07,20.139999,33900,12.61675
2010-10-19,20.139999,20.200001,20.040001,20.18,44900,12.64181
2010-10-20,20.190001,20.190001,20.02,20.02,34300,12.54158
2010-10-21,20.48,20.48,20.02,20.030001,39900,12.54784
2010-10-22,20.09,20.190001,20.02,20.02,44500,12.54158
2010-10-25,20.049999,20.15,20.02,20.049999,85400,12.56037
2010-10-26,20.09,20.15,20.049999,20.120001,44000,12.6042
2010-10-27,20.09,20.129999,20.00,20.01,94400,12.5353
2010-10-28,20.01,20.040001,20.00,20.00,78000,12.52905
2010-10-29,20.00,20.049999,20.00,20.01,63200,12.5353
2010-11-01,20.00,20.02,20.00,20.00,620400,12.52905
2010-11-02,20.01,20.01,20.00,20.00,227800,12.52905
2010-11-03,20.01,20.07,20.00,20.049999,103800,12.56037
2010-11-04,20.030001,20.190001,20.01,20.02,115900,12.54158
2010-11-05,20.07,20.139999,20.02,20.059999,73300,12.56664
2010-11-08,20.09,20.139999,19.879999,20.139999,124500,12.61675
2010-11-09,20.09,20.10,20.01,20.10,99500,12.591
2010-11-10,20.139999,20.139999,20.00,20.030001,79800,12.54784
2010-11-11,20.01,20.120001,20.01,20.049999,69500,12.56037
2010-11-12,20.049999,20.07,19.559999,19.639999,28000,12.30353
2010-11-15,19.700001,19.879999,18.620001,18.969999,86000,11.88380
2010-11-16,18.25,18.98,17.73,18.82,317000,11.7898
2010-11-17,18.90,19.110001,18.74,19.01,133800,11.90886
2010-11-18,19.50,19.50,18.809999,18.90,163100,11.83995
2010-11-19,19.10,19.23,18.959999,19.23,94900,12.04668
2010-11-22,19.40,19.40,18.76,19.00,162900,11.90260
2010-11-23,19.02,19.07,18.51,18.85,154600,11.80863
2010-11-24,19.00,19.18,18.700001,19.110001,88800,11.97151
2010-11-26,19.120001,19.190001,19.030001,19.10,22000,11.96524
2010-11-29,19.10,19.10,18.700001,18.77,136600,11.75851
2010-11-30,18.799999,19.27,18.65,19.27,29200,12.07174
2010-12-01,19.190001,19.190001,18.77,18.950001,135200,11.95440
2010-12-02,19.00,19.459999,18.559999,19.34,243400,12.20043
2010-12-03,19.25,19.280001,18.99,19.10,97400,12.04903
2010-12-06,19.15,19.16,18.77,18.780001,134900,11.84716
2010-12-07,18.809999,18.969999,18.60,18.82,180500,11.87239
2010-12-08,18.67,18.91,18.40,18.76,234000,11.83454
2010-12-09,18.67,18.90,18.40,18.629999,195300,11.75253
2010-12-10,18.709999,18.709999,18.26,18.559999,238400,11.7083
2010-12-13,18.52,18.540001,18.25,18.41,202100,11.61375
2010-12-14,18.379999,18.559999,18.290001,18.299999,216100,11.54436
2010-12-15,18.379999,18.42,18.049999,18.200001,277400,11.48127
2010-12-16,18.290001,18.360001,18.01,18.209999,271400,11.48758
2010-12-17,18.23,18.290001,18.040001,18.16,201900,11.45604
2010-12-20,18.26,18.379999,17.950001,18.049999,354300,11.38665
2010-12-21,18.700001,18.700001,18.01,18.120001,230700,11.43081
2010-12-22,18.15,18.34,18.049999,18.18,204000,11.46866
2010-12-23,18.27,18.639999,18.139999,18.629999,174600,11.75253
2010-12-27,18.700001,18.73,18.299999,18.41,192900,11.61375
2010-12-28,18.50,18.57,18.17,18.280001,281800,11.53174
2010-12-29,18.200001,18.41,18.00,18.26,290900,11.60419
2010-12-30,18.18,18.379999,18.110001,18.120001,245800,11.51522
2010-12-31,18.110001,18.27,18.09,18.17,321000,11.54699
2011-01-03,18.25,18.25,17.959999,18.049999,202800,11.47073
2011-01-04,18.15,18.51,18.07,18.48,181300,11.74400
2011-01-05,18.52,18.719999,18.35,18.639999,160400,11.84568
2011-01-06,18.68,18.870001,18.57,18.799999,157100,11.94736
