Date,Open,High,Low,Close,Volume,Adj Clos
2010-09-02,9.00,9.00,8.85,8.90,18300,4.4546
2010-09-03,8.90,8.90,8.75,8.81,18300,4.40959
2010-09-07,8.75,8.95,8.75,8.88,17800,4.4446
2010-09-08,8.88,8.90,8.76,8.87,26600,4.43962
2010-09-09,8.82,8.93,8.75,8.75,11700,4.37956
2010-09-10,8.75,8.79,8.65,8.65,16500,4.3295
2010-09-13,8.65,8.65,8.50,8.51,19600,4.25943
2010-09-14,8.73,8.74,8.45,8.45,39200,4.22940
2010-09-15,8.42,8.55,8.31,8.50,39400,4.25443
2010-09-16,8.75,8.75,8.40,8.52,12800,4.26444
2010-09-17,8.70,8.70,8.45,8.45,5800,4.22940
2010-09-20,8.54,8.89,8.50,8.89,6900,4.44963
2010-09-21,8.86,8.86,8.50,8.57,7800,4.28946
2010-09-22,8.81,8.81,8.70,8.71,8900,4.35954
2010-09-23,8.83,8.83,8.59,8.60,12300,4.30448
2010-09-24,8.59,8.70,8.33,8.66,11700,4.33451
2010-09-27,8.69,8.70,8.56,8.56,8200,4.28446
2010-09-28,8.65,8.90,8.60,8.82,11700,4.45414
2010-09-29,8.82,8.82,8.82,8.82,000,4.45414
2010-09-30,8.63,8.63,8.41,8.61,2900,4.34809
2010-10-01,8.38,8.50,8.38,8.50,5200,4.29254
2010-10-04,8.44,8.50,8.40,8.41,5600,4.24709
2010-10-05,8.50,8.50,8.37,8.37,1800,4.22689
2010-10-06,8.26,8.46,8.26,8.32,6900,4.20164
2010-10-07,8.32,8.32,8.32,8.32,000,4.20164
2010-10-08,8.31,8.43,8.30,8.43,2000,4.25719
2010-10-11,8.41,8.47,8.38,8.45,12300,4.26729
2010-10-12,8.72,8.75,8.51,8.58,6800,4.33294
2010-10-13,8.42,8.55,8.41,8.55,9500,4.31779
2010-10-14,8.55,8.55,8.55,8.55,000,4.31779
2010-10-15,8.55,8.55,8.40,8.50,6600,4.29254
2010-10-18,8.71,8.72,8.56,8.67,17800,4.37839
2010-10-19,8.56,8.72,8.40,8.72,14600,4.40364
2010-10-20,8.71,8.71,8.56,8.62,600,4.35314
2010-10-21,8.41,8.72,8.40,8.68,16500,4.38344
2010-10-22,8.52,8.73,8.40,8.40,19700,4.24204
2010-10-25,8.74,8.74,8.47,8.55,3800,4.31779
2010-10-26,8.69,8.70,8.41,8.41,4400,4.24709
2010-10-27,8.45,8.45,8.40,8.40,15900,4.24204
2010-10-28,8.40,8.40,8.40,8.40,000,4.24204
2010-10-29,8.26,8.57,8.00,8.42,3500,4.25214
2010-11-01,8.37,8.42,8.35,8.35,13700,4.21679
2010-11-02,8.35,8.35,8.35,8.35,000,4.21679
2010-11-03,8.50,8.71,8.50,8.66,3200,4.37334
2010-11-04,8.29,8.45,8.28,8.41,8000,4.24709
2010-11-05,8.31,8.40,8.30,8.40,12600,4.24204
2010-11-08,8.63,8.63,8.41,8.41,4900,4.24709
2010-11-09,8.35,8.35,8.35,8.35,1000,4.21679
2010-11-10,8.42,8.42,8.40,8.40,1000,4.24204
2010-11-11,8.40,8.48,8.35,8.48,6400,4.28244
