Date,Open,High,Low,Close,Volume,Adj Clos
2010-10-28,20.01,20.01,20.00,20.01,103300,13.1237
2010-10-29,20.01,20.040001,20.00,20.01,42300,13.1237
2010-11-01,20.02,20.040001,20.00,20.01,23000,13.1237
2010-11-02,20.030001,20.030001,19.99,20.030001,23800,13.13683
2010-11-03,20.040001,20.049999,20.00,20.049999,18600,13.14995
2010-11-04,20.049999,20.09,20.01,20.09,22600,13.17618
2010-11-05,20.07,20.07,20.00,20.01,27600,13.1237
2010-11-08,20.01,20.01,20.00,20.00,29000,13.11716
2010-11-09,20.059999,20.059999,20.00,20.00,21000,13.11716
2010-11-10,20.01,20.01,20.00,20.00,18800,13.11716
2010-11-11,20.00,20.01,20.00,20.01,23200,13.1237
2010-11-12,20.01,20.01,20.00,20.00,72000,13.11716
2010-11-15,20.00,20.00,20.00,20.00,57700,13.11716
2010-11-16,20.00,20.01,20.00,20.00,120400,13.11716
2010-11-17,20.01,20.01,20.00,20.00,53100,13.11716
2010-11-18,20.00,20.01,20.00,20.00,62000,13.11716
2010-11-19,20.00,20.01,20.00,20.01,27200,13.1237
2010-11-22,20.00,20.01,20.00,20.00,29000,13.11716
2010-11-23,20.00,20.00,20.00,20.00,58200,13.11716
2010-11-24,20.00,20.01,20.00,20.00,30400,13.11716
2010-11-26,20.01,20.01,20.00,20.00,15500,13.11716
2010-11-29,19.99,20.049999,19.99,20.00,950500,13.11716
2010-11-30,20.00,20.049999,20.00,20.00,63500,13.11716
2010-12-01,20.00,20.01,20.00,20.00,115900,13.11716
2010-12-02,20.00,20.01,20.00,20.00,55100,13.11716
2010-12-03,20.00,20.00,20.00,20.00,75100,13.11716
2010-12-06,20.00,20.01,20.00,20.00,107400,13.11716
2010-12-07,20.00,20.01,20.00,20.00,188900,13.11716
2010-12-08,20.00,20.01,20.00,20.00,213700,13.11716
2010-12-09,19.75,19.889999,18.84,19.00,135300,12.46130
2010-12-10,19.23,19.23,18.799999,19.02,44700,12.4744
2010-12-13,19.15,19.190001,18.870001,18.950001,49200,12.4285
2010-12-14,18.879999,19.02,18.190001,18.41,70700,12.07434
2010-12-15,18.299999,18.299999,17.719999,18.040001,132500,11.8316
2010-12-16,17.59,17.84,17.35,17.709999,212700,11.61524
2010-12-17,17.65,18.65,17.549999,18.65,217900,12.23175
2010-12-20,18.49,18.49,17.790001,17.809999,108300,11.68083
2010-12-21,17.700001,17.98,17.65,17.790001,93100,11.66771
2010-12-22,17.709999,18.129999,17.709999,17.93,116600,11.75953
2010-12-23,17.780001,18.09,17.73,17.799999,75500,11.67427
2010-12-27,17.99,18.00,17.559999,17.75,235500,11.6414
2010-12-28,17.709999,17.85,17.610001,17.629999,287800,11.56277
2010-12-29,17.65,17.93,17.65,17.92,132800,11.75297
2010-12-30,17.889999,17.940001,17.780001,17.82,139800,11.6873
2010-12-31,17.76,18.18,17.75,18.18,327600,11.92349
2011-01-03,18.24,18.24,18.02,18.17,63200,11.91694
2011-01-04,18.25,18.370001,18.15,18.370001,61100,12.04811
2011-01-05,18.299999,18.440001,18.24,18.360001,57300,12.04155
2011-01-06,18.379999,18.41,18.190001,18.35,67600,12.03499
2011-01-07,18.42,18.42,18.110001,18.379999,46900,12.0546
2011-01-10,18.40,18.40,18.200001,18.309999,42300,12.0087
2011-01-11,18.389999,18.389999,18.280001,18.290001,49400,11.99564
2011-01-12,18.219999,18.23,18.049999,18.10,62100,11.94745
2011-01-13,18.10,18.10,18.02,18.07,43000,11.92765
2011-01-14,18.049999,18.190001,17.98,18.10,69200,11.94745
2011-01-18,18.02,18.129999,17.969999,18.00,62200,11.8814
2011-01-19,18.08,18.08,17.959999,17.98,64900,11.86824
2011-01-20,18.040001,18.09,17.93,18.07,63300,11.92765
2011-01-21,18.110001,18.16,18.00,18.01,45100,11.88805
2011-01-24,18.16,18.219999,18.030001,18.15,38500,11.98046
2011-01-25,18.190001,18.280001,18.139999,18.27,57800,12.05967
2011-01-26,18.24,18.32,18.17,18.25,56400,12.0464
2011-01-27,18.200001,18.299999,18.120001,18.27,32100,12.05967
2011-01-28,18.290001,18.290001,18.02,18.17,61400,11.99366
2011-01-31,18.24,18.290001,18.10,18.200001,55200,12.01346
2011-02-01,18.25,18.299999,18.120001,18.24,71600,12.03986
2011-02-02,18.24,18.290001,18.200001,18.26,42500,12.05307
2011-02-03,18.26,18.34,18.25,18.309999,55000,12.08607
2011-02-04,18.309999,18.309999,18.15,18.26,38400,12.05307
2011-02-07,18.290001,18.299999,18.15,18.299999,33600,12.07947
2011-02-08,18.379999,18.50,18.25,18.48,77600,12.19828
2011-02-09,18.35,18.49,18.35,18.42,59100,12.15868
2011-02-10,18.450001,18.65,18.370001,18.58,98200,12.26429
2011-02-11,18.33,18.549999,18.26,18.540001,45700,12.31544
2011-02-14,18.530001,18.57,18.450001,18.52,60400,12.3021
2011-02-15,18.540001,18.67,18.450001,18.57,53600,12.33537
2011-02-16,18.57,18.639999,18.15,18.450001,83000,12.25566
2011-02-17,18.48,18.610001,18.35,18.59,62100,12.34865
2011-02-18,18.620001,18.799999,18.52,18.709999,52300,12.42836
2011-02-22,18.690001,18.73,18.040001,18.290001,135500,12.1493
2011-02-23,18.43,18.43,17.93,18.309999,69200,12.16266
2011-02-24,18.33,18.459999,18.16,18.26,89100,12.12945
2011-02-25,18.370001,18.50,18.25,18.299999,35700,12.15602
2011-02-28,18.370001,18.49,18.360001,18.389999,54500,12.21580
2011-03-01,18.42,18.440001,18.309999,18.370001,58600,12.20252
2011-03-02,18.41,18.59,18.35,18.440001,66400,12.24901
2011-03-03,18.32,18.450001,18.25,18.40,63500,12.22244
2011-03-04,18.219999,18.530001,18.219999,18.35,102800,12.18923
2011-03-07,18.42,18.49,18.280001,18.389999,41600,12.21580
2011-03-08,18.35,18.469999,18.27,18.459999,47200,12.26230
2011-03-09,18.379999,18.48,18.309999,18.34,72100,12.18259
2011-03-10,18.299999,18.379999,18.299999,18.35,46900,12.18923
2011-03-11,18.209999,18.33,18.15,18.17,37200,12.14711
2011-03-14,18.23,18.34,18.129999,18.219999,55500,12.18054
2011-03-15,18.16,18.299999,17.91,18.18,69900,12.15380
2011-03-16,18.200001,18.309999,18.110001,18.209999,62100,12.17385
2011-03-17,18.280001,18.370001,18.16,18.34,54300,12.26076
2011-03-18,18.43,18.51,18.299999,18.450001,51600,12.33430
2011-03-21,18.540001,18.540001,18.129999,18.290001,100800,12.22734
2011-03-22,18.360001,18.40,17.92,18.139999,173400,12.12706
2011-03-23,18.120001,18.280001,18.120001,18.280001,79400,12.22065
2011-03-24,18.219999,18.35,18.15,18.16,105700,12.14043
2011-03-25,18.24,18.24,18.00,18.059999,103600,12.07357
2011-03-28,18.10,18.190001,18.08,18.18,86100,12.15380
2011-03-29,18.200001,18.32,18.120001,18.32,183900,12.24739
2011-03-30,18.32,18.32,18.24,18.27,65600,12.2139
2011-03-31,18.33,18.50,18.190001,18.50,101600,12.36773
2011-04-01,18.540001,18.540001,18.34,18.49,75000,12.36104
2011-04-04,18.469999,18.530001,18.35,18.370001,89900,12.28082
2011-04-05,18.450001,18.450001,18.299999,18.309999,78600,12.24071
2011-04-06,18.42,18.440001,18.370001,18.440001,68100,12.3276
2011-04-07,18.43,18.559999,18.32,18.459999,80000,12.34098
2011-04-08,18.42,18.440001,18.32,18.35,57900,12.26745
2011-04-11,18.43,18.43,18.209999,18.35,88300,12.26745
2011-04-12,18.33,18.440001,18.219999,18.290001,107600,12.22734
2011-04-13,18.18,18.219999,18.040001,18.110001,80700,12.18495
2011-04-14,18.110001,18.120001,18.040001,18.08,91000,12.16476
2011-04-15,18.07,18.16,18.07,18.129999,61400,12.19840
2011-04-18,18.139999,18.16,18.07,18.110001,57600,12.18495
2011-04-19,18.110001,18.290001,18.110001,18.200001,50600,12.24550
2011-04-20,18.34,18.34,18.17,18.190001,126600,12.23877
2011-04-21,18.27,18.379999,18.209999,18.33,117600,12.33297
2011-04-25,18.360001,18.360001,18.219999,18.35,102000,12.34643
2011-04-26,18.34,18.440001,18.290001,18.43,155200,12.40025
2011-04-27,18.440001,18.49,18.370001,18.49,80400,12.44062
2011-04-28,18.549999,18.809999,18.48,18.629999,226200,12.53482
2011-04-29,18.719999,18.82,18.65,18.700001,49000,12.58192
2011-05-02,18.799999,18.799999,18.60,18.620001,87000,12.52809
2011-05-03,18.67,18.68,18.610001,18.629999,64000,12.53482
2011-05-04,18.67,18.85,18.629999,18.77,83000,12.6290
2011-05-05,18.75,18.82,18.700001,18.82,67600,12.66266
2011-05-06,18.82,18.950001,18.790001,18.889999,63500,12.70975
2011-05-09,18.91,19.01,18.90,18.92,61000,12.72994
2011-05-10,19.02,19.059999,18.90,19.02,89300,12.79722
2011-05-11,18.969999,19.00,18.780001,18.99,74400,12.85612
