Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,0.6875,0.6875,0.6875,0.6875,000,6.87
2000-01-04,0.6875,0.6875,0.6875,0.6875,000,6.87
2000-01-05,0.6875,0.6875,0.6875,0.6875,400,6.87
2000-01-06,0.75,0.75,0.6875,0.6875,200,6.87
2000-01-07,0.75,0.75,0.75,0.75,200,7.5
2000-01-10,0.9375,0.9375,0.9375,0.9375,000,9.37
2000-01-11,0.9375,0.9375,0.9375,0.9375,000,9.37
2000-01-12,0.9375,1.25,0.9375,1.25,400,12.5
2000-01-13,1.125,1.25,1.125,1.25,000,12.5
2000-01-14,1.00,1.00,1.00,1.00,000,10.0
2000-01-18,1.0625,1.0625,1.0625,1.0625,200,10.62
2000-01-19,1.00,1.00,1.00,1.00,000,10.0
2000-01-20,1.00,1.00,1.00,1.00,000,10.0
2000-01-21,1.00,1.0625,1.00,1.0625,000,10.62
2000-01-24,1.0625,1.0625,1.00,1.00,000,10.0
2000-01-25,1.00,1.00,1.00,1.00,000,10.0
2000-01-26,1.1875,1.1875,1.00,1.00,200,10.0
2000-01-27,1.125,1.1875,1.125,1.1875,000,11.87
2000-01-28,1.1875,1.1875,1.1875,1.1875,000,11.87
2000-01-31,1.1875,1.1875,1.1875,1.1875,600,11.87
2000-02-01,1.25,1.25,1.25,1.25,000,12.5
2000-02-02,1.25,1.25,1.25,1.25,200,12.5
2000-02-03,1.375,1.375,1.375,1.375,000,13.7
2000-02-04,1.125,1.25,1.125,1.25,200,12.5
2000-02-07,1.25,1.25,1.25,1.25,000,12.5
2000-02-08,1.25,1.25,1.25,1.25,000,12.5
2000-02-09,1.375,1.50,1.375,1.50,400,15.0
2000-02-10,1.6875,1.75,1.50,1.6875,400,16.87
2000-02-11,1.6875,1.6875,1.6875,1.6875,000,16.87
2000-02-14,1.25,1.50,1.25,1.50,600,15.0
2000-02-15,1.50,1.50,1.50,1.50,000,15.0
2000-02-16,1.375,1.50,1.375,1.375,000,13.7
2000-02-17,1.50,1.50,1.50,1.50,000,15.0
2000-02-18,1.50,1.50,1.50,1.50,000,15.0
2000-02-22,1.50,1.50,1.375,1.375,400,13.7
2000-02-23,1.625,1.625,1.50,1.50,000,15.0
2000-02-24,1.50,1.625,1.50,1.625,200,16.2
2000-02-25,1.625,1.625,1.625,1.625,000,16.2
2000-02-28,1.50,1.625,1.50,1.625,000,16.2
2000-02-29,1.375,1.4375,1.375,1.4375,000,14.37
2000-03-01,1.4375,3.00,1.4375,2.625,2200,26.2
2000-03-02,2.875,4.00,2.875,3.375,4000,33.75000
2000-03-03,3.625,3.625,3.00,3.00,2000,30.0
2000-03-06,3.00,3.375,3.00,3.125,600,31.2
2000-03-07,3.25,3.375,3.125,3.125,400,31.2
2000-03-08,3.25,3.25,3.00,3.00,000,30.0
2000-03-09,2.875,2.9375,2.6875,2.6875,200,26.87
2000-03-10,2.5625,2.5625,2.00,2.00,600,20.0
2000-03-13,2.25,2.25,2.0625,2.125,000,21.2
2000-03-14,2.25,2.375,2.125,2.125,400,21.2
2000-03-15,2.00,2.375,2.00,2.3125,000,23.12
2000-03-16,2.125,2.125,2.125,2.125,000,21.2
2000-03-17,2.1875,2.50,2.1875,2.50,200,25.0
2000-03-20,2.625,2.625,2.3125,2.375,200,23.7
2000-03-21,2.375,2.375,2.375,2.375,000,23.7
2000-03-22,2.375,2.375,2.375,2.375,000,23.7
2000-03-23,2.1875,2.25,2.1875,2.25,000,22.5
2000-03-24,2.1875,2.25,2.1875,2.25,000,22.5
2000-03-27,2.125,2.25,2.125,2.125,200,21.2
2000-03-28,2.125,2.3125,2.125,2.25,400,22.5
2000-03-29,2.1875,2.1875,2.1875,2.1875,000,21.87
2000-03-30,2.375,2.375,2.125,2.125,200,21.2
2000-03-31,2.125,2.1875,1.75,1.8125,600,18.12
2000-04-03,1.75,1.75,1.50,1.50,2000,15.0
2000-04-04,1.625,1.625,1.625,1.625,000,16.2
2000-04-05,1.75,1.75,1.50,1.50,000,15.0
2000-04-06,1.625,1.625,1.625,1.625,000,16.2
2000-04-07,1.625,1.75,1.625,1.625,000,16.2
2000-04-10,1.625,1.625,1.625,1.625,000,16.2
2000-04-11,1.625,1.625,1.625,1.625,000,16.2
2000-04-12,1.625,1.625,1.625,1.625,000,16.2
2000-04-13,1.625,1.625,1.625,1.625,000,16.2
2000-04-14,1.625,1.625,1.50,1.50,000,15.0
2000-04-17,1.375,1.50,1.375,1.50,400,15.0
2000-04-18,1.625,1.625,1.125,1.125,200,11.2
2000-04-19,1.25,1.375,1.25,1.375,000,13.7
2000-04-20,1.25,1.375,1.125,1.375,400,13.7
2000-04-24,1.375,1.375,1.375,1.375,000,13.7
2000-04-25,1.4375,1.4375,1.375,1.375,200,13.7
2000-04-26,1.625,1.625,1.25,1.25,000,12.5
2000-04-27,1.25,1.25,1.25,1.25,000,12.5
2000-04-28,1.25,1.25,1.25,1.25,000,12.5
2000-05-01,1.25,1.25,1.25,1.25,000,12.5
2000-05-02,1.375,1.5625,1.375,1.5625,000,15.62
2000-05-03,1.375,1.50,1.375,1.50,000,15.0
2000-05-04,1.50,1.50,1.50,1.50,000,15.0
2000-05-05,1.50,1.50,1.50,1.50,000,15.0
2000-05-08,1.625,1.625,1.50,1.50,000,15.0
2000-05-09,1.50,1.50,1.50,1.50,000,15.0
2000-05-10,1.50,1.50,1.50,1.50,000,15.0
2000-05-11,1.625,1.625,1.625,1.625,000,16.2
2000-05-12,1.50,1.50,1.50,1.50,000,15.0
2000-05-15,1.50,1.50,1.50,1.50,000,15.0
2000-05-16,1.50,1.50,1.50,1.50,000,15.0
2000-05-17,1.50,1.50,1.50,1.50,000,15.0
2000-05-18,1.50,1.50,1.50,1.50,000,15.0
2000-05-19,1.50,1.50,1.50,1.50,000,15.0
2000-05-22,1.375,1.375,1.375,1.375,000,13.7
2000-05-23,1.625,1.625,1.625,1.625,000,16.2
2000-05-24,1.625,1.625,1.625,1.625,000,16.2
2000-05-25,1.625,1.625,1.625,1.625,000,16.2
2000-05-26,1.375,1.375,1.375,1.375,000,13.7
2000-05-30,1.375,1.375,1.375,1.375,000,13.7
2000-05-31,1.50,1.50,1.50,1.50,22200,15.0
2000-06-01,1.375,1.375,1.375,1.375,000,13.7
2000-06-02,1.375,1.375,1.375,1.375,000,13.7
2000-06-05,1.375,1.375,1.375,1.375,000,13.7
2000-06-06,1.25,1.25,1.25,1.25,000,12.5
2000-06-07,1.25,1.375,1.25,1.375,000,13.7
2000-06-08,1.375,1.375,1.375,1.375,000,13.7
2000-06-09,1.25,1.25,1.25,1.25,000,12.5
2000-06-12,1.125,1.25,1.125,1.25,000,12.5
2000-06-13,1.375,1.375,1.125,1.125,000,11.2
2000-06-14,1.125,1.125,1.125,1.125,000,11.2
2000-06-15,1.125,1.125,1.125,1.125,000,11.2
2000-06-16,1.125,1.125,1.125,1.125,000,11.2
2000-06-19,1.25,1.25,1.25,1.25,000,12.5
2000-06-20,1.1875,1.1875,1.125,1.125,000,11.2
2000-06-21,1.125,1.125,1.00,1.00,000,10.0
2000-06-22,1.00,1.25,1.00,1.125,200,11.2
2000-06-23,1.25,1.25,1.25,1.25,000,12.5
2000-06-26,1.25,1.25,1.25,1.25,000,12.5
2000-06-27,1.25,1.25,1.25,1.25,000,12.5
2000-06-28,1.25,1.25,1.25,1.25,000,12.5
2000-06-29,1.25,1.25,1.25,1.25,000,12.5
2000-06-30,1.125,1.125,1.125,1.125,000,11.2
2000-07-03,1.3125,1.3125,1.3125,1.3125,400,13.12
2000-07-05,1.125,1.125,1.125,1.125,000,11.2
2000-07-06,1.125,1.125,1.125,1.125,000,11.2
2000-07-07,1.00,1.00,1.00,1.00,000,10.0
2000-07-10,1.00,1.00,1.00,1.00,000,10.0
2000-07-11,1.00,1.0625,1.00,1.00,000,10.0
2000-07-12,0.875,0.875,0.875,0.875,200,8.7
2000-07-13,1.00,1.00,1.00,1.00,000,10.0
2000-07-14,1.00,1.00,1.00,1.00,000,10.0
2000-07-17,1.00,1.00,1.00,1.00,000,10.0
2000-07-18,1.00,1.00,1.00,1.00,000,10.0
2000-07-19,1.00,1.00,1.00,1.00,000,10.0
2000-07-20,1.00,1.00,1.00,1.00,000,10.0
2000-07-21,1.00,1.00,0.9375,0.9375,000,9.37
2000-07-24,0.9375,0.9375,0.9375,0.9375,000,9.37
2000-07-25,0.9375,0.9375,0.9375,0.9375,000,9.37
2000-07-26,0.9375,0.9375,0.9375,0.9375,000,9.37
2000-07-27,0.875,0.9375,0.875,0.9375,000,9.37
2000-07-28,0.875,0.875,0.875,0.875,000,8.7
2000-07-31,0.9375,1.0625,0.9375,1.00,200,10.0
2000-08-01,1.00,1.00,1.00,1.00,000,10.0
2000-08-02,1.00,1.00,1.00,1.00,000,10.0
2000-08-03,1.00,1.00,1.00,1.00,000,10.0
2000-08-04,1.00,1.00,1.00,1.00,000,10.0
2000-08-07,1.00,1.00,1.00,1.00,000,10.0
2000-08-08,1.00,1.00,1.00,1.00,000,10.0
2000-08-09,1.00,1.00,1.00,1.00,000,10.0
2000-08-10,1.00,1.00,1.00,1.00,000,10.0
2000-08-11,0.75,0.875,0.625,0.625,000,6.2
2000-08-14,0.625,0.875,0.625,0.875,000,8.7
2000-08-15,0.75,0.75,0.75,0.75,000,7.5
2000-08-16,0.75,0.75,0.75,0.75,000,7.5
2000-08-17,0.75,0.75,0.75,0.75,000,7.5
2000-08-18,0.625,0.8125,0.625,0.8125,000,8.12
2000-08-21,0.75,0.75,0.75,0.75,000,7.5
2000-08-22,0.8125,0.8125,0.8125,0.8125,000,8.12
2000-08-23,0.8125,0.8125,0.8125,0.8125,000,8.12
2000-08-24,0.8125,0.8125,0.8125,0.8125,000,8.12
2000-08-25,0.8125,0.8125,0.8125,0.8125,000,8.12
2000-08-28,0.8125,0.8125,0.8125,0.8125,000,8.12
2000-08-29,0.8125,0.8125,0.8125,0.8125,000,8.12
2000-08-30,0.8125,0.8125,0.8125,0.8125,000,8.12
2000-08-31,0.75,0.75,0.75,0.75,000,7.5
2000-09-01,0.75,0.75,0.75,0.75,000,7.5
2000-09-05,1.00,1.00,1.00,1.00,200,10.0
2000-09-06,0.9375,0.9375,0.9375,0.9375,000,9.37
2000-09-07,0.9375,0.9375,0.9375,0.9375,000,9.37
2000-09-08,0.9375,0.9375,0.9375,0.9375,000,9.37
2000-09-11,0.9375,0.9375,0.9375,0.9375,000,9.37
2000-09-12,0.9375,0.9375,0.9375,0.9375,000,9.37
2000-09-13,0.9375,0.9375,0.9375,0.9375,000,9.37
2000-09-14,0.9375,0.9375,0.9375,0.9375,000,9.37
2000-09-15,0.8125,0.8125,0.8125,0.8125,000,8.12
2000-09-18,0.8125,0.8125,0.8125,0.8125,000,8.12
2000-09-19,0.8125,0.8125,0.8125,0.8125,000,8.12
2000-09-20,0.8125,0.8125,0.8125,0.8125,000,8.12
2000-09-21,0.6875,0.6875,0.6875,0.6875,000,6.87
2000-09-22,0.6875,0.6875,0.6875,0.6875,000,6.87
2000-09-25,0.6875,0.6875,0.6875,0.6875,000,6.87
2000-09-26,0.6875,0.6875,0.6875,0.6875,000,6.87
2000-09-27,0.6875,0.6875,0.6875,0.6875,000,6.87
2000-09-28,0.8125,0.8125,0.8125,0.8125,000,8.12
2000-09-29,0.8125,0.8125,0.8125,0.8125,000,8.12
2000-10-02,0.875,0.875,0.875,0.875,000,8.7
2000-10-03,0.875,0.875,0.875,0.875,000,8.7
2000-10-04,0.75,0.75,0.6875,0.6875,200,6.87
2000-10-05,0.6875,0.6875,0.6875,0.6875,000,6.87
2000-10-06,0.6875,0.6875,0.6875,0.6875,000,6.87
2000-10-09,0.6875,0.6875,0.6875,0.6875,000,6.87
2000-10-10,0.6875,0.6875,0.6875,0.6875,000,6.87
2000-10-11,0.8125,0.8125,0.8125,0.8125,000,8.12
2000-10-12,0.8125,0.8125,0.6875,0.6875,000,6.87
2000-10-13,0.6875,0.6875,0.6875,0.6875,000,6.87
2000-10-16,0.8125,0.8125,0.8125,0.8125,000,8.12
2000-10-17,0.8125,0.8125,0.8125,0.8125,000,8.12
2000-10-18,0.6875,0.6875,0.6875,0.6875,000,6.87
2000-10-19,0.6875,0.6875,0.6875,0.6875,000,6.87
2000-10-20,0.6875,0.6875,0.6875,0.6875,000,6.87
2000-10-23,0.625,0.6875,0.625,0.6875,000,6.87
2000-10-24,0.6875,0.6875,0.6875,0.6875,000,6.87
2000-10-25,0.6875,0.6875,0.6875,0.6875,000,6.87
2000-10-26,0.75,0.75,0.75,0.75,000,7.5
2000-10-27,0.75,0.75,0.75,0.75,000,7.5
2000-10-30,0.8125,0.8125,0.625,0.75,1000,7.5
2000-10-31,0.75,0.75,0.75,0.75,000,7.5
2000-11-01,0.625,0.625,0.625,0.625,000,6.2
2000-11-02,0.625,0.625,0.625,0.625,000,6.2
2000-11-03,0.5625,0.5625,0.4375,0.4375,600,4.37
2000-11-06,0.50,0.50,0.50,0.50,200,5.0
2000-11-07,0.50,0.50,0.50,0.50,000,5.0
2000-11-08,0.50,0.50,0.50,0.50,000,5.0
2000-11-09,0.50,0.50,0.50,0.50,000,5.0
2000-11-10,0.50,0.50,0.50,0.50,000,5.0
2000-11-13,0.50,0.5625,0.375,0.5625,000,5.62
2000-11-14,0.5625,0.5625,0.5625,0.5625,000,5.62
2000-11-15,0.50,0.50,0.50,0.50,000,5.0
2000-11-16,0.50,0.50,0.50,0.50,000,5.0
2000-11-17,0.50,0.50,0.50,0.50,000,5.0
2000-11-20,0.375,0.4375,0.375,0.4375,400,4.37
2000-11-21,0.375,0.375,0.375,0.375,000,3.7
2000-11-22,0.375,0.375,0.375,0.375,200,3.7
2000-11-24,0.375,0.375,0.375,0.375,000,3.7
2000-11-27,0.375,0.375,0.375,0.375,400,3.7
2000-11-28,0.375,0.375,0.375,0.375,000,3.7
2000-11-29,0.50,0.50,0.50,0.50,000,5.0
2000-11-30,0.50,0.50,0.50,0.50,000,5.0
2000-12-01,0.50,0.50,0.50,0.50,000,5.0
2000-12-04,0.50,0.50,0.50,0.50,000,5.0
2000-12-05,0.375,0.375,0.375,0.375,000,3.7
2000-12-06,0.375,0.375,0.375,0.375,000,3.7
2000-12-07,0.375,0.375,0.375,0.375,000,3.7
2000-12-08,0.50,0.50,0.50,0.50,000,5.0
2000-12-11,0.25,0.5625,0.25,0.5625,000,5.62
2000-12-12,0.5625,0.5625,0.5625,0.5625,000,5.62
2000-12-13,0.4375,0.4375,0.4375,0.4375,000,4.37
2000-12-14,0.4375,0.4375,0.4375,0.4375,000,4.37
2000-12-15,0.4375,0.4375,0.4375,0.4375,000,4.37
2000-12-18,0.4375,0.4375,0.4375,0.4375,000,4.37
2000-12-19,0.4375,0.4375,0.4375,0.4375,000,4.37
2000-12-20,0.4375,0.4375,0.4375,0.4375,000,4.37
2000-12-21,0.375,0.375,0.3125,0.3125,200,3.12
2000-12-22,0.3125,0.3125,0.3125,0.3125,000,3.12
2000-12-26,0.3125,0.3125,0.25,0.25,000,2.5
2000-12-27,0.25,0.3125,0.25,0.3125,000,3.12
2000-12-28,0.25,0.3125,0.25,0.25,200,2.5
2000-12-29,0.3125,0.375,0.3125,0.375,000,3.7
2001-01-02,0.375,0.375,0.375,0.375,000,3.7
2001-01-03,0.375,0.375,0.375,0.375,000,3.7
2001-01-04,0.375,0.375,0.375,0.375,000,3.7
2001-01-05,0.375,0.375,0.375,0.375,000,3.7
2001-01-08,0.375,0.375,0.375,0.375,000,3.7
2001-01-09,0.375,0.375,0.375,0.375,000,3.7
2001-01-10,0.50,0.5625,0.50,0.5625,200,5.62
2001-01-11,0.4375,0.4375,0.4375,0.4375,000,4.37
2001-01-12,0.375,0.375,0.375,0.375,000,3.7
2001-01-16,0.375,0.375,0.375,0.375,000,3.7
2001-01-17,0.50,0.50,0.50,0.50,000,5.0
2001-01-18,0.50,0.50,0.50,0.50,1000,5.0
2001-01-19,0.50,0.50,0.375,0.50,200,5.0
2001-01-22,0.50,0.50,0.50,0.50,000,5.0
2001-01-23,0.3125,0.375,0.3125,0.375,000,3.7
2001-01-24,0.375,0.375,0.375,0.375,000,3.7
2001-01-25,0.375,0.375,0.375,0.375,000,3.7
2001-01-26,0.375,0.5625,0.375,0.50,200,5.0
2001-01-29,0.50,0.50,0.50,0.50,000,5.0
2001-01-30,0.50,0.59,0.45,0.45,200,4.5
2001-01-31,0.45,0.45,0.45,0.45,000,4.5
2001-02-01,0.45,0.45,0.45,0.45,000,4.5
2001-02-02,0.45,0.45,0.45,0.45,000,4.5
2001-02-05,0.55,0.55,0.55,0.55,000,5.5
2001-02-06,0.55,0.55,0.55,0.55,000,5.5
2001-02-07,0.59,0.59,0.59,0.59,000,5.9
2001-02-08,0.59,0.59,0.59,0.59,000,5.9
2001-02-09,0.59,0.59,0.59,0.59,000,5.9
2001-02-12,0.50,0.50,0.40,0.40,200,4.0
2001-02-13,0.45,0.45,0.40,0.40,200,4.0
2001-02-14,0.40,0.40,0.40,0.40,000,4.0
2001-02-15,0.40,0.40,0.40,0.40,000,4.0
2001-02-16,0.40,0.40,0.40,0.40,000,4.0
2001-02-20,0.40,0.40,0.40,0.40,000,4.0
2001-02-21,0.40,0.40,0.40,0.40,000,4.0
2001-02-22,0.40,0.40,0.40,0.40,000,4.0
2001-02-23,0.38,0.38,0.38,0.38,000,3.8
2001-02-26,0.38,0.38,0.38,0.38,000,3.8
2001-02-27,0.38,0.38,0.38,0.38,000,3.8
2001-02-28,0.38,0.38,0.38,0.38,000,3.8
2001-03-01,0.35,0.35,0.35,0.35,000,3.5
2001-03-02,0.35,0.35,0.35,0.35,000,3.5
2001-03-05,0.40,0.40,0.40,0.40,000,4.0
2001-03-06,0.40,0.40,0.40,0.40,000,4.0
2001-03-07,0.40,0.40,0.40,0.40,000,4.0
2001-03-08,0.40,0.40,0.40,0.40,000,4.0
2001-03-09,0.40,0.40,0.40,0.40,000,4.0
2001-03-12,0.40,0.40,0.40,0.40,000,4.0
2001-03-13,0.40,0.40,0.40,0.40,000,4.0
2001-03-14,0.30,0.30,0.30,0.30,000,3.0
2001-03-15,0.30,0.30,0.30,0.30,000,3.0
2001-03-16,0.30,0.30,0.30,0.30,000,3.0
2001-03-19,0.30,0.30,0.30,0.30,000,3.0
2001-03-20,0.30,0.30,0.30,0.30,000,3.0
2001-03-21,0.30,0.30,0.30,0.30,000,3.0
2001-03-22,0.30,0.30,0.30,0.30,000,3.0
2001-03-23,0.30,0.30,0.30,0.30,000,3.0
2001-03-26,0.30,0.30,0.30,0.30,000,3.0
2001-03-27,0.30,0.30,0.30,0.30,000,3.0
2001-03-28,0.30,0.30,0.30,0.30,000,3.0
2001-03-29,0.31,0.31,0.31,0.31,200,3.1
2001-03-30,0.26,0.26,0.26,0.26,000,2.6
2001-04-02,0.26,0.26,0.26,0.26,000,2.6
2001-04-03,0.25,0.25,0.25,0.25,200,2.5
2001-04-04,0.25,0.25,0.25,0.25,000,2.5
2001-04-05,0.25,0.25,0.25,0.25,000,2.5
2001-04-06,0.25,0.25,0.25,0.25,000,2.5
2001-04-09,0.25,0.25,0.25,0.25,000,2.5
2001-04-10,0.25,0.25,0.25,0.25,000,2.5
2001-04-11,0.25,0.25,0.25,0.25,000,2.5
2001-04-12,0.25,0.25,0.25,0.25,000,2.5
2001-04-16,0.25,0.25,0.25,0.25,000,2.5
2001-04-17,0.25,0.25,0.25,0.25,000,2.5
2001-04-18,0.25,0.25,0.25,0.25,000,2.5
2001-04-19,0.25,0.25,0.25,0.25,000,2.5
2001-04-20,0.25,0.25,0.25,0.25,000,2.5
2001-04-23,0.25,0.25,0.25,0.25,000,2.5
2001-04-24,0.35,0.45,0.35,0.45,000,4.5
2001-04-25,0.43,0.49,0.43,0.49,000,4.9
2001-04-26,0.49,0.49,0.49,0.49,000,4.9
2001-04-27,0.49,0.49,0.49,0.49,000,4.9
2001-04-30,0.49,0.49,0.49,0.49,400,4.9
2001-05-01,0.40,0.40,0.40,0.40,000,4.0
2001-05-02,0.49,0.49,0.49,0.49,000,4.9
2001-05-03,0.39,0.39,0.39,0.39,000,3.9
2001-05-04,0.29,0.29,0.29,0.29,000,2.9
2001-05-07,0.39,0.50,0.39,0.50,000,5.0
2001-05-08,0.50,0.50,0.50,0.50,000,5.0
2001-05-09,0.40,0.40,0.40,0.40,000,4.0
2001-05-10,0.45,0.45,0.40,0.40,000,4.0
2001-05-11,0.40,0.40,0.40,0.40,000,4.0
2001-05-14,0.40,0.40,0.40,0.40,000,4.0
