Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,16.688,16.688,16.00,16.063,41400,4.3907
2000-01-04,16.06,16.188,16.00,16.063,94200,4.3907
2000-01-05,16.13,16.25,16.063,16.188,28600,4.4249
2000-01-06,16.19,16.313,16.125,16.313,39000,4.4591
2000-01-07,16.31,17.125,16.188,17.063,73200,4.6641
2000-01-10,17.06,17.063,16.938,16.938,85800,4.6299
2000-01-11,16.94,17.125,16.938,17.00,75800,4.6469
2000-01-12,17.00,17.188,16.938,16.938,34800,4.6299
2000-01-13,17.00,17.50,16.938,17.50,51400,4.7835
2000-01-14,17.38,17.50,17.25,17.50,45800,4.7835
2000-01-18,17.38,17.50,17.188,17.50,80000,4.7835
2000-01-19,17.38,17.625,17.25,17.625,38200,4.8177
2000-01-20,18.25,18.25,17.75,17.813,61200,4.8691
2000-01-21,17.69,17.875,17.50,17.75,96800,4.8519
2000-01-24,17.75,18.00,17.563,17.688,42200,4.8349
2000-01-25,17.625,17.625,17.50,17.625,16800,4.8177
2000-01-26,17.688,17.688,16.938,16.938,81200,4.6299
2000-01-27,17.06,17.438,16.938,17.375,131200,4.7494
2000-01-28,17.38,17.75,17.375,17.688,15600,4.8349
2000-01-31,17.63,17.688,17.50,17.625,50200,4.8177
2000-02-01,17.50,17.563,17.375,17.438,102800,4.7666
2000-02-02,17.44,17.563,17.438,17.438,32400,4.7666
2000-02-03,17.44,17.75,17.438,17.75,26600,4.8519
2000-02-04,17.63,17.875,17.625,17.813,50200,4.8691
2000-02-07,17.88,18.00,17.75,17.813,27200,4.8691
2000-02-08,17.88,18.125,17.813,17.875,46200,4.886
2000-02-09,18.00,18.00,17.75,17.813,22800,4.8691
2000-02-10,17.50,18.625,17.50,18.625,107000,5.0911
2000-02-11,18.50,19.125,18.00,19.00,95600,5.1936
2000-02-14,19.13,20.50,19.00,20.25,185200,5.535
2000-02-15,20.125,20.125,19.50,20.00,82800,5.4669
2000-02-16,19.88,20.00,19.75,19.875,51800,5.4327
2000-02-17,19.75,20.75,19.75,20.50,182200,5.6036
2000-02-18,20.625,20.625,20.375,20.375,48000,5.5694
2000-02-22,20.31,20.438,20.063,20.25,241600,5.535
2000-02-23,20.25,20.406,19.188,19.188,196600,5.24
2000-02-24,19.125,19.125,18.438,18.50,14800,5.0569
2000-02-25,18.00,18.313,18.00,18.25,55200,4.988
2000-02-28,18.25,18.25,18.125,18.25,8600,4.988
2000-02-29,18.19,19.00,18.125,19.00,62600,5.1936
2000-03-01,19.00,19.00,18.50,18.50,32400,5.0569
2000-03-02,18.375,18.375,17.25,17.25,56200,4.7152
2000-03-03,17.25,18.125,17.25,17.875,40000,4.886
2000-03-06,17.75,17.75,17.50,17.625,5600,4.8177
2000-03-07,17.56,17.688,17.50,17.688,27800,4.8349
2000-03-08,17.63,17.688,17.438,17.438,3600,4.7666
2000-03-09,17.375,17.375,17.125,17.375,40400,4.7494
2000-03-10,17.38,17.50,17.25,17.25,19400,4.7152
2000-03-13,17.25,17.25,17.00,17.00,15600,4.6469
2000-03-14,17.00,17.25,17.00,17.188,16800,4.6983
2000-03-15,17.188,17.188,16.813,16.938,235400,4.6299
2000-03-16,16.94,17.188,16.938,17.188,42400,4.6983
2000-03-17,17.13,17.625,17.125,17.438,82600,4.7666
2000-03-20,17.313,17.375,17.313,17.313,14600,4.7324
2000-03-21,17.25,17.25,17.00,17.125,46400,4.6810
2000-03-22,17.06,17.188,16.938,17.125,37400,4.6810
2000-03-23,17.063,17.75,17.063,17.563,97200,4.8008
2000-03-24,17.63,17.938,17.063,17.313,51000,4.7324
2000-03-27,17.25,17.50,17.063,17.438,28600,4.7666
2000-03-28,17.313,17.75,17.313,17.563,93800,4.8008
2000-03-29,17.63,17.938,17.625,17.875,35200,4.886
2000-03-30,17.813,18.313,17.813,18.25,58000,4.988
2000-03-31,18.25,18.875,18.25,18.813,68000,5.142
2000-04-03,18.56,18.625,18.375,18.625,72800,5.0911
2000-04-04,18.50,18.688,18.375,18.438,56800,5.0399
2000-04-05,18.44,18.625,18.375,18.563,33400,5.0741
2000-04-06,18.63,18.938,18.50,18.938,43400,5.1766
