Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,0.03,0.03,0.03,0.03,000,0.4
2000-01-04,0.03,0.03,0.03,0.03,000,0.4
2000-01-05,0.03,0.03,0.03,0.03,000,0.4
2000-01-06,0.03,0.03,0.03,0.03,000,0.4
2000-01-07,0.03,0.03,0.03,0.03,000,0.4
2000-01-10,0.03,0.03,0.03,0.03,000,0.4
2000-01-11,0.03,0.03,0.03,0.03,000,0.4
2000-01-12,0.03,0.03,0.03,0.03,000,0.4
2000-01-13,0.03,0.03,0.03,0.03,000,0.4
2000-01-14,0.03,0.03,0.03,0.03,000,0.4
2000-01-17,0.03,0.03,0.03,0.03,000,0.4
2000-01-18,0.05,0.07,0.05,0.07,3600,1.0
2000-01-19,0.05,0.05,0.05,0.05,1000,0.7
2000-01-20,0.05,0.05,0.05,0.05,000,0.7
2000-01-21,0.05,0.05,0.05,0.05,000,0.7
2000-01-24,0.05,0.05,0.05,0.05,000,0.7
2000-01-25,0.05,0.05,0.05,0.05,000,0.7
2000-01-26,0.05,0.05,0.05,0.05,000,0.7
2000-01-27,0.05,0.05,0.05,0.05,300,0.7
2000-01-28,0.05,0.05,0.05,0.05,000,0.7
2000-01-31,0.05,0.05,0.05,0.05,000,0.7
2000-02-01,0.05,0.06,0.05,0.06,2000,0.9
2000-02-02,0.06,0.06,0.06,0.06,000,0.9
2000-02-03,0.06,0.06,0.06,0.06,000,0.9
2000-02-04,0.06,0.06,0.06,0.06,000,0.9
2000-02-07,0.06,0.06,0.06,0.06,000,0.9
2000-02-08,0.06,0.06,0.06,0.06,000,0.9
2000-02-09,0.06,0.06,0.06,0.06,000,0.9
2000-02-10,0.07,0.07,0.07,0.07,600,1.0
2000-02-11,0.07,0.07,0.07,0.07,600,1.0
2000-02-14,0.07,0.07,0.07,0.07,000,1.0
2000-02-15,0.07,0.07,0.07,0.07,600,1.0
2000-02-16,0.07,0.08,0.07,0.08,1300,1.2
2000-02-17,0.08,0.08,0.08,0.08,000,1.2
2000-02-18,0.08,0.08,0.08,0.08,000,1.2
2000-02-21,0.08,0.08,0.08,0.08,000,1.2
2000-02-22,0.08,0.08,0.08,0.08,000,1.2
2000-02-23,0.08,0.08,0.08,0.08,000,1.2
2000-02-24,0.08,0.08,0.08,0.08,000,1.2
2000-02-25,0.08,0.08,0.08,0.08,000,1.2
2000-02-28,0.08,0.08,0.08,0.08,000,1.2
2000-02-29,0.08,0.08,0.08,0.08,000,1.2
2000-03-01,0.08,0.08,0.08,0.08,000,1.2
2000-03-02,0.07,0.07,0.07,0.07,800,1.0
2000-03-03,0.07,0.15,0.07,0.15,1400,2.2
2000-03-06,0.20,0.24,0.20,0.20,3700,3.0
2000-03-07,0.20,0.20,0.20,0.20,000,3.0
2000-03-08,0.20,0.20,0.20,0.20,000,3.0
2000-03-09,0.20,0.20,0.20,0.20,000,3.0
2000-03-10,0.20,0.20,0.20,0.20,000,3.0
2000-03-13,0.15,0.15,0.15,0.15,2200,2.2
