Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,2.75,2.75,2.50,2.50,5200,1.18588
2000-01-04,2.50,2.50,2.50,2.50,1000,1.18588
2000-01-05,2.50,2.50,2.50,2.50,5000,1.18588
2000-01-06,2.50,2.50,2.50,2.50,600,1.18588
2000-01-07,2.75,3.125,2.625,2.96875,64900,1.40824
2000-01-10,3.00,3.25,2.875,3.0625,18800,1.45271
2000-01-11,3.25,3.25,3.0625,3.0625,7900,1.45271
2000-01-12,3.0625,3.1875,3.0625,3.1875,1100,1.54222
2000-01-13,3.0625,3.1875,3.0625,3.1875,300,1.54222
2000-01-14,3.1875,3.1875,3.00,3.00,300,1.45150
2000-01-18,3.0625,3.1875,3.0625,3.0625,2000,1.48174
2000-01-19,3.0625,3.0625,2.9375,2.9375,2900,1.42126
2000-01-20,3.1875,3.1875,3.125,3.125,1800,1.51198
2000-01-21,3.1875,4.00,3.125,3.375,12100,1.63294
2000-01-24,3.375,3.375,3.375,3.375,800,1.63294
2000-01-25,3.3125,3.3125,3.3125,3.3125,500,1.60270
2000-01-26,3.375,4.00,3.375,3.50,10200,1.69342
2000-01-27,3.625,3.625,3.3125,3.3125,6500,1.60270
2000-01-28,3.3125,3.3125,3.3125,3.3125,400,1.60270
2000-01-31,3.3125,3.4375,3.3125,3.3125,600,1.60270
2000-02-01,3.375,3.375,3.3125,3.3125,1400,1.60270
2000-02-02,3.3125,3.3125,3.3125,3.3125,9900,1.60270
2000-02-03,3.375,3.375,3.28125,3.28125,2400,1.58758
2000-02-04,3.25,3.25,3.25,3.25,2500,1.57246
2000-02-07,3.0625,3.0625,3.0625,3.0625,1200,1.48174
2000-02-08,3.15625,3.15625,3.0625,3.15625,3000,1.52710
2000-02-09,3.25,3.25,3.25,3.25,1000,1.57246
2000-02-10,3.375,3.375,3.25,3.25,1000,1.57246
2000-02-11,3.1875,3.1875,3.00,3.00,13500,1.45150
2000-02-14,3.125,3.125,3.125,3.125,2000,1.51198
2000-02-15,3.25,3.50,3.25,3.50,9700,1.69342
