Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,54.50,55.00,53.50,53.75,5200,0.933
2000-01-04,53.00,53.50,53.00,53.50,1400,0.929
2000-01-05,53.75,54.75,53.625,54.75,5500,0.951
2000-01-06,54.563,56.00,54.563,55.50,3900,0.964
2000-01-07,55.75,55.75,55.375,55.625,4700,0.966
2000-01-10,55.688,55.688,55.125,55.125,900,0.957
2000-01-11,55.38,55.50,55.00,55.125,2000,0.957
2000-01-12,55.13,55.625,55.125,55.313,1700,0.960
2000-01-13,55.438,55.438,55.063,55.063,1500,0.956
2000-01-14,55.25,55.25,55.00,55.00,2300,0.955
2000-01-18,55.00,55.25,55.00,55.00,1000,0.955
2000-01-19,55.188,55.188,54.75,54.813,2300,0.952
2000-01-20,54.69,54.875,53.50,54.00,3700,0.938
2000-01-21,53.875,53.875,52.50,52.938,5000,0.919
2000-01-24,52.50,53.375,52.00,52.50,4700,0.91
2000-01-25,52.75,53.25,52.00,52.00,3100,0.903
2000-01-26,52.13,52.75,51.00,52.00,8800,0.903
2000-01-27,52.25,52.75,52.25,52.50,2300,0.91
2000-01-28,52.50,52.75,52.375,52.625,1600,0.914
2000-01-31,52.88,53.00,52.50,52.688,6000,0.915
2000-02-01,52.938,52.938,52.25,52.563,6400,0.913
2000-02-02,52.81,52.813,51.00,51.00,4200,0.88
2000-02-03,50.75,51.125,50.00,50.00,9600,0.868
2000-02-04,50.00,50.50,49.75,50.00,6400,0.868
2000-02-07,49.75,50.25,49.50,50.00,2500,0.868
2000-02-08,49.94,50.375,49.938,50.375,3100,0.875
2000-02-09,50.63,51.75,50.50,51.50,6200,0.894
2000-02-10,52.00,52.75,52.00,52.625,2400,0.914
2000-02-11,52.88,53.50,52.875,53.00,2200,0.920
2000-02-14,53.00,53.00,53.00,53.00,400,0.920
2000-02-16,53.25,53.50,53.25,53.50,1200,0.929
2000-02-17,53.25,53.438,53.125,53.188,3300,0.92
2000-02-22,53.31,53.50,52.75,52.75,3200,0.916
2000-02-23,52.75,53.00,52.50,52.50,2200,0.91
2000-02-24,52.313,52.875,52.313,52.375,1600,0.909
2000-02-25,52.125,52.125,52.00,52.00,2000,0.903
2000-02-28,52.25,52.375,52.00,52.375,1200,0.909
2000-02-29,52.63,53.25,52.375,53.00,1300,0.920
2000-03-01,52.875,52.875,52.00,52.25,700,0.907
2000-03-02,52.25,52.438,52.00,52.438,1800,0.91
2000-03-03,52.31,52.438,52.00,52.188,1600,0.906
2000-03-06,52.31,52.438,52.188,52.25,1500,0.907
2000-03-07,52.13,52.50,52.00,52.00,3000,0.903
2000-03-08,51.75,52.25,51.75,52.25,1500,0.907
2000-03-09,52.438,52.438,52.00,52.25,1300,0.907
2000-03-10,52.44,53.25,52.438,53.00,2700,0.920
2000-03-13,53.25,53.25,52.00,52.00,5500,0.903
2000-03-14,52.00,52.50,52.00,52.438,4100,0.91
2000-03-15,52.50,52.50,52.00,52.375,1100,0.909
2000-03-16,52.625,52.625,51.50,51.50,1500,0.894
2000-03-17,52.00,52.375,52.00,52.313,2100,0.908
2000-03-20,52.44,52.50,51.75,51.875,6900,0.901
2000-03-21,51.88,52.50,51.875,52.00,3000,0.903
2000-03-22,51.88,52.00,51.875,52.00,2700,0.903
2000-03-23,52.00,52.50,52.00,52.00,2400,0.903
2000-03-24,52.88,53.375,52.875,53.125,700,0.922
2000-03-27,53.50,53.625,53.25,53.50,1800,0.929
2000-03-28,53.25,53.438,53.25,53.25,3800,0.925
2000-03-29,52.19,52.438,52.00,52.438,5200,0.930
2000-03-30,52.25,52.25,52.125,52.25,900,0.926
2000-03-31,52.00,52.50,52.00,52.25,4400,0.926
2000-04-03,52.00,52.00,52.00,52.00,2800,0.922
2000-04-04,52.00,52.188,52.00,52.125,1900,0.924
