Date,Open,High,Low,Close,Volume,Adj Clos
2007-07-27,20.00,20.01,20.00,20.00,1478300,7.47093
2007-07-30,20.00,20.01,20.00,20.00,51000,7.47093
2007-07-31,20.01,20.01,20.00,20.01,9200,7.47467
2007-08-01,20.00,20.049999,20.00,20.00,29300,7.47093
2007-08-02,20.00,20.049999,19.75,19.75,105100,7.37755
2007-08-03,19.75,19.790001,19.58,19.629999,78400,7.33272
2007-08-06,19.549999,19.57,19.35,19.450001,73800,7.26548
2007-08-07,19.40,19.50,19.360001,19.360001,7600,7.23186
2007-08-08,19.40,19.450001,19.35,19.379999,7400,7.23933
2007-08-09,19.200001,19.75,19.200001,19.690001,8600,7.35513
2007-08-10,19.60,19.700001,19.25,19.25,9600,7.19077
2007-08-13,19.379999,19.40,19.200001,19.25,8300,7.19077
2007-08-14,19.40,19.73,19.00,19.00,32100,7.09739
2007-08-15,19.200001,19.200001,19.00,19.120001,39200,7.14221
2007-08-16,19.299999,19.299999,16.75,17.85,54100,6.66781
2007-08-17,18.00,18.09,17.91,17.940001,6700,6.70143
2007-08-20,18.09,18.84,18.049999,18.799999,27800,7.02268
2007-08-21,18.799999,18.82,18.60,18.799999,16300,7.02268
2007-08-22,18.90,19.10,18.90,19.049999,16400,7.11606
2007-08-23,19.049999,19.24,19.040001,19.10,11100,7.13474
2007-08-24,19.00,19.15,19.00,19.129999,10800,7.14595
2007-08-27,19.129999,19.15,19.049999,19.15,14500,7.15342
2007-08-28,19.10,19.10,18.190001,18.209999,30900,6.80228
2007-08-29,18.25,18.75,18.25,18.60,16000,6.94797
2007-08-30,18.58,18.58,18.290001,18.40,17600,6.87326
2007-08-31,18.50,18.50,18.10,18.120001,33200,6.7686
2007-09-04,17.700001,18.040001,17.700001,17.700001,108200,6.6117
2007-09-05,17.700001,17.85,17.50,17.799999,73500,6.64913
2007-09-06,17.889999,18.200001,17.75,18.08,50900,6.75372
2007-09-07,18.00,18.299999,18.00,18.200001,34900,6.79855
2007-09-10,18.299999,18.40,18.200001,18.27,30400,6.82470
2007-09-11,18.299999,18.49,18.299999,18.40,23000,6.87326
2007-09-12,18.17,18.35,18.15,18.299999,21900,6.88907
2007-09-13,18.280001,18.299999,18.00,18.110001,16000,6.81754
2007-09-14,18.110001,18.389999,17.85,18.290001,23000,6.8853
2007-09-17,18.290001,18.290001,18.00,18.01,19200,6.77990
2007-09-18,17.91,18.25,17.66,18.16,16900,6.8363
2007-09-19,18.15,18.200001,17.950001,18.200001,34700,6.85142
2007-09-20,18.299999,18.299999,17.950001,18.25,23200,6.87025
2007-09-21,18.23,18.379999,18.209999,18.25,21500,6.87025
2007-09-24,18.200001,18.34,18.200001,18.280001,12400,6.88154
2007-09-25,18.35,18.370001,17.709999,17.90,42900,6.73849
2007-09-26,17.99,18.290001,17.99,18.059999,29500,6.79872
2007-09-27,18.309999,18.309999,17.73,17.91,57000,6.74225
2007-09-28,17.90,18.18,17.90,18.139999,23800,6.82884
2007-10-01,18.00,18.299999,17.959999,18.25,39100,6.87025
2007-10-02,18.27,18.389999,18.209999,18.26,32100,6.87401
2007-10-03,18.299999,18.299999,18.00,18.10,41200,6.81378
2007-10-04,18.10,18.299999,17.959999,18.25,42200,6.87025
2007-10-05,18.049999,18.299999,17.950001,18.200001,65100,6.85142
2007-10-08,18.26,18.379999,17.809999,17.99,98200,6.77237
2007-10-09,18.049999,18.07,17.870001,17.99,37800,6.77237
2007-10-10,18.08,18.08,17.85,18.030001,43400,6.78743
2007-10-11,17.950001,18.00,17.76,17.950001,34400,6.81095
2007-10-12,17.950001,18.049999,17.90,17.950001,17800,6.81095
2007-10-15,17.92,17.99,17.700001,17.75,55800,6.73506
2007-10-16,17.77,17.879999,17.549999,17.700001,39100,6.71609
2007-10-17,17.799999,17.799999,17.50,17.530001,71800,6.65159
2007-10-18,17.50,17.68,17.440001,17.67,40500,6.70471
2007-10-19,17.58,17.60,17.43,17.52,37800,6.64779
2007-10-22,17.50,17.549999,17.41,17.459999,30400,6.62503
2007-10-23,17.60,17.66,17.42,17.610001,25800,6.68194
2007-10-24,17.50,17.52,17.17,17.450001,56100,6.62123
2007-10-25,17.50,17.50,17.129999,17.389999,24300,6.5984
2007-10-26,17.60,17.700001,17.469999,17.68,47400,6.70850
2007-10-29,17.68,17.68,17.50,17.59,31700,6.67435
2007-10-30,17.629999,17.799999,17.51,17.75,41400,6.73506
2007-10-31,17.780001,17.84,17.52,17.67,49100,6.70471
2007-11-01,17.799999,17.799999,17.530001,17.549999,32700,6.65918
2007-11-02,17.559999,17.639999,17.35,17.540001,52000,6.65538
