Date,Open,High,Low,Close,Volume,Adj Clos
2003-08-14,15.15,15.15,14.65,14.90,1176700,5.20035
2003-08-15,15.00,15.25,14.95,15.25,259600,5.32251
2003-08-18,15.28,15.28,15.20,15.25,47900,5.32251
2003-08-19,15.25,15.25,15.10,15.15,64800,5.28761
2003-08-20,15.20,15.34,15.10,15.21,86300,5.30855
2003-08-21,15.25,15.25,15.13,15.20,12500,5.30506
2003-08-22,15.20,15.20,15.10,15.10,54200,5.27016
2003-08-25,15.20,15.20,15.10,15.20,27000,5.30506
2003-08-26,15.16,15.38,15.16,15.25,15700,5.32251
2003-08-27,15.31,15.31,15.10,15.15,86600,5.28761
2003-08-28,15.15,15.20,15.10,15.20,36400,5.30506
2003-08-29,15.20,15.20,15.01,15.05,35200,5.2527
2003-09-02,15.20,15.30,15.05,15.25,13200,5.32251
2003-09-03,15.25,15.25,15.11,15.25,30800,5.32251
2003-09-04,15.27,15.27,15.14,15.20,56500,5.30506
2003-09-05,15.13,15.15,15.00,15.02,57400,5.24223
2003-09-08,15.15,15.15,14.80,14.98,148100,5.22827
2003-09-09,15.00,15.00,14.85,14.86,61700,5.18639
2003-09-10,14.86,15.00,14.86,15.00,17300,5.23525
2003-09-11,15.00,15.00,14.93,15.00,56400,5.23525
2003-09-12,15.00,15.00,14.90,14.98,18200,5.22827
2003-09-15,14.99,15.00,14.93,14.99,42200,5.23176
2003-09-16,15.00,15.00,14.90,14.90,165000,5.20035
2003-09-17,14.90,15.00,14.90,14.95,53300,5.21780
2003-09-18,14.95,15.00,14.93,14.95,31500,5.21780
2003-09-19,14.97,14.97,14.93,14.95,8600,5.21780
2003-09-22,14.95,14.97,14.94,14.95,28000,5.21780
2003-09-23,15.07,15.25,14.85,14.94,89500,5.21431
2003-09-24,14.95,15.00,14.83,14.84,22300,5.17941
2003-09-25,14.85,14.95,14.75,14.76,48200,5.15149
2003-09-26,14.93,14.94,14.80,14.85,23900,5.18290
2003-09-29,14.89,14.90,14.77,14.80,57300,5.16545
2003-09-30,14.80,14.80,14.46,14.75,44300,5.14800
2003-10-01,14.75,15.02,14.71,14.90,27600,5.20035
2003-10-02,14.89,14.95,14.81,14.86,36000,5.18639
2003-10-03,14.95,14.95,14.83,14.85,66500,5.18290
2003-10-06,14.89,14.90,14.80,14.87,48300,5.18988
2003-10-07,14.90,14.99,14.80,14.85,90900,5.18290
2003-10-08,14.90,15.00,14.85,14.93,122000,5.21082
2003-10-09,15.04,15.04,14.85,14.90,26200,5.20035
2003-10-10,14.94,15.00,14.90,15.00,25700,5.23525
2003-10-13,15.00,15.05,14.91,14.93,99000,5.21082
2003-10-14,15.02,15.05,14.90,15.05,26400,5.2527
2003-10-15,14.98,15.08,14.98,15.00,8600,5.23525
2003-10-16,15.09,15.10,15.00,15.10,18900,5.27016
2003-10-17,15.10,15.68,15.00,15.68,35200,5.47259
2003-10-20,15.68,15.68,15.06,15.40,33200,5.37486
2003-10-21,15.30,15.40,15.08,15.14,90300,5.28412
2003-10-22,15.15,15.34,15.15,15.20,8100,5.30506
2003-10-23,15.37,15.41,15.23,15.35,13800,5.35741
2003-10-24,15.30,15.30,15.20,15.30,1800,5.33996
2003-10-27,15.25,15.29,15.12,15.14,21900,5.28412
2003-10-28,15.19,15.35,15.19,15.30,14300,5.33996
2003-10-29,15.20,15.29,15.11,15.24,3900,5.31902
2003-10-30,15.13,15.40,15.10,15.23,19300,5.31553
2003-10-31,15.36,15.36,15.03,15.03,5800,5.24572
2003-11-03,15.29,15.36,15.16,15.34,43200,5.35392
2003-11-04,15.36,15.36,15.20,15.35,6600,5.35741
2003-11-05,15.28,15.40,15.28,15.35,21400,5.35741
2003-11-06,15.40,15.40,15.25,15.35,96200,5.35741
2003-11-07,15.35,16.059999,15.00,15.94,47000,5.56333
2003-11-10,15.90,15.90,15.64,15.72,20300,5.48655
2003-11-11,15.61,15.80,15.55,15.69,29400,5.47608
2003-11-12,15.69,15.93,15.69,15.75,47600,5.49702
2003-11-13,15.73,15.90,15.70,15.70,21300,5.47957
2003-11-14,15.75,15.90,15.66,15.90,12800,5.54937
2003-11-17,15.85,15.90,15.79,15.81,24200,5.51796
2003-11-18,15.85,15.95,15.76,15.90,63700,5.54937
2003-11-19,15.95,16.08,15.80,15.95,14400,5.56682
2003-11-20,15.95,16.00,15.75,15.81,49600,5.51796
2003-11-21,15.95,16.040001,15.81,15.94,75600,5.56333
2003-11-24,16.27,16.68,16.16,16.50,51700,5.75878
2003-11-25,16.209999,16.50,16.10,16.450001,39300,5.74133
2003-11-26,16.120001,16.450001,16.120001,16.299999,40000,5.68898
2003-11-28,16.450001,16.450001,16.209999,16.209999,4900,5.6575
2003-12-01,16.40,16.450001,16.209999,16.450001,36000,5.74133
2003-12-02,16.450001,16.52,16.41,16.52,28400,5.76576
2003-12-03,16.40,16.549999,16.33,16.50,14000,5.75878
2003-12-04,16.52,16.75,16.450001,16.75,17400,5.84603
2003-12-05,16.73,16.73,16.299999,16.40,18000,5.72388
2003-12-08,16.43,16.719999,16.309999,16.65,20500,5.81113
2003-12-09,16.299999,17.15,16.299999,16.530001,19800,5.76925
2003-12-10,16.50,16.65,16.41,16.50,55800,5.75878
