Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,4.125,4.125,4.125,4.125,1100,3.63667
2000-01-04,4.125,4.125,4.125,4.125,500,3.63667
2000-01-05,4.125,4.875,4.125,4.25,4000,3.74687
2000-01-06,4.125,5.00,4.125,4.28125,800,3.77442
2000-01-07,4.625,4.625,4.625,4.625,5400,4.07747
2000-01-10,5.00,5.00,4.25,4.76562,6300,4.20145
2000-01-11,4.375,4.75,4.375,4.75,6400,4.18768
2000-01-12,4.75,4.875,4.75,4.75,600,4.18768
2000-01-13,4.4375,5.125,4.4375,5.125,7700,4.51828
2000-01-14,4.90625,5.375,4.90625,5.25,13900,4.6284
2000-01-18,4.75,4.75,4.75,4.75,500,4.18768
2000-01-19,4.625,4.625,4.375,4.5625,8200,4.02237
2000-01-20,4.5625,4.5625,4.5625,4.5625,000,4.02237
2000-01-21,4.5625,4.96875,4.5625,4.96875,1300,4.38053
2000-01-24,5.00,5.00,4.5625,4.5625,1100,4.02237
2000-01-25,4.875,5.00,4.50,4.50,4700,3.96727
2000-01-26,4.92188,5.00,4.92188,5.00,3500,4.40808
2000-01-27,4.375,4.375,4.375,4.375,500,3.85707
2000-01-28,4.3125,4.3125,4.25,4.25,1700,3.74687
2000-01-31,4.625,4.75,4.625,4.625,3600,4.07747
2000-02-01,4.625,4.625,4.625,4.625,000,4.07747
2000-02-02,4.75,4.75,4.75,4.75,6100,4.18768
2000-02-03,4.75,4.75,4.75,4.75,000,4.18768
2000-02-04,4.625,5.00,4.625,4.75,16500,4.18768
2000-02-07,4.75,4.75,4.75,4.75,000,4.18768
2000-02-08,4.50,4.50,4.50,4.50,8500,3.96727
2000-02-09,4.125,4.4375,4.125,4.4375,3200,3.91217
2000-02-10,4.50,4.6875,4.50,4.6875,900,4.13258
2000-02-11,4.6875,4.6875,4.6875,4.6875,1000,4.13258
2000-02-14,4.5625,4.5625,4.00,4.00,3700,3.52646
2000-02-15,4.00,4.4375,4.00,4.4375,1800,3.91217
2000-02-16,4.4375,4.4375,3.95312,4.125,7200,3.63667
2000-02-17,4.125,4.125,4.125,4.125,000,3.63667
2000-02-18,4.4375,4.75,4.00,4.50,8900,3.96727
