Date,Open,High,Low,Close,Volume,Adj Clos
2005-11-21,23.26,23.26,23.25,23.25,5100,14.03407
2005-11-22,23.450001,23.610001,23.450001,23.450001,12700,14.15479
2005-11-23,23.450001,23.450001,23.450001,23.450001,000,14.15479
2005-11-25,23.450001,23.450001,23.450001,23.450001,900,14.15479
2005-11-28,23.450001,23.450001,23.450001,23.450001,000,14.15479
2005-11-29,23.450001,23.450001,23.450001,23.450001,000,14.15479
2005-11-30,23.549999,23.549999,23.549999,23.549999,1900,14.21515
2005-12-01,23.41,23.59,23.41,23.59,7900,14.23930
2005-12-02,23.42,23.42,23.42,23.42,400,14.13668
2005-12-05,23.42,23.42,23.41,23.41,6700,14.1306
2005-12-06,23.16,23.40,23.16,23.40,4000,14.12461
2005-12-07,23.370001,23.370001,23.370001,23.370001,1000,14.10650
2005-12-08,23.530001,23.530001,23.530001,23.530001,100,14.20308
2005-12-09,23.40,23.40,23.40,23.40,2000,14.12461
2005-12-12,23.200001,23.200001,23.01,23.01,6100,14.06106
2005-12-13,23.00,23.120001,22.799999,22.799999,17300,13.93273
2005-12-14,22.799999,22.99,22.799999,22.799999,8600,13.93273
2005-12-15,22.90,22.90,21.85,22.280001,60600,13.6149
2005-12-16,22.280001,22.280001,22.00,22.00,23400,13.44386
2005-12-19,22.379999,22.379999,21.90,22.00,19600,13.44386
2005-12-20,22.10,22.10,21.85,21.98,15000,13.43164
2005-12-21,21.99,21.99,21.85,21.85,7700,13.35220
2005-12-22,21.90,22.00,21.90,21.91,10400,13.38886
2005-12-23,21.99,22.00,21.85,21.85,6500,13.35220
2005-12-27,21.90,21.90,21.40,21.51,6800,13.14443
2005-12-28,21.76,22.09,21.50,21.60,9500,13.19943
2005-12-29,21.50,21.59,21.00,21.26,23000,12.99166
2005-12-30,21.549999,21.60,21.290001,21.60,22100,13.19943
2006-01-03,21.60,21.60,21.60,21.60,16800,13.19943
2006-01-04,21.60,21.700001,21.52,21.700001,32900,13.26054
2006-01-05,21.549999,21.700001,21.50,21.549999,23600,13.16887
2006-01-06,21.549999,21.65,21.549999,21.65,1700,13.22998
2006-01-09,21.65,21.65,21.65,21.65,000,13.22998
2006-01-10,21.65,21.75,21.639999,21.75,35400,13.29109
2006-01-11,21.65,21.90,21.65,21.85,16000,13.35220
2006-01-12,22.129999,22.129999,22.129999,22.129999,500,13.52330
2006-01-13,21.809999,22.040001,21.75,21.85,32900,13.35220
2006-01-17,21.85,22.190001,21.74,21.74,6200,13.28498
2006-01-18,21.65,22.18,21.65,22.18,4600,13.55386
2006-01-19,21.950001,21.950001,21.950001,21.950001,2200,13.41331
2006-01-20,21.940001,21.950001,21.940001,21.950001,2000,13.41331
2006-01-23,21.950001,21.950001,21.950001,21.950001,30000,13.41331
2006-01-24,22.00,22.01,21.950001,21.950001,11100,13.41331
2006-01-25,21.90,21.99,21.90,21.950001,20600,13.41331
2006-01-26,22.00,22.00,22.00,22.00,1400,13.44386
2006-01-27,21.85,22.00,21.85,22.00,5500,13.44386
2006-01-30,22.049999,22.17,21.92,22.00,3300,13.44386
2006-01-31,22.00,22.00,21.91,21.91,4200,13.38886
2006-02-01,22.00,22.00,22.00,22.00,2000,13.44386
2006-02-02,22.00,22.00,21.99,22.00,1600,13.44386
