Date,Open,High,Low,Close,Volume,Adj Clos
2008-10-08,11.00,11.00,10.69,10.90,70600,10.61561
2008-10-09,11.00,11.00,10.35,10.35,104300,10.07996
2008-10-10,10.35,10.55,10.00,10.25,83000,9.98257
2008-10-13,10.49,10.90,10.49,10.86,7600,10.57665
2008-10-14,11.00,11.00,10.80,10.90,52600,10.61561
2008-10-15,10.85,10.85,10.32,10.32,26600,10.05074
2008-10-16,10.26,10.40,10.26,10.31,19700,10.04100
2008-10-17,10.35,10.45,10.29,10.43,44600,10.15787
2008-10-20,10.71,10.79,10.36,10.45,6000,10.17735
2008-10-21,10.45,10.55,10.45,10.55,10400,10.27474
2008-10-22,10.55,10.55,10.45,10.45,9900,10.17735
2008-10-23,10.45,10.45,10.30,10.35,80500,10.07996
2008-10-24,10.30,10.35,10.15,10.24,34100,9.97283
2008-10-27,10.24,10.30,10.21,10.29,41200,10.02153
2008-10-28,10.30,10.30,10.00,10.22,49900,9.95335
2008-10-29,10.22,10.22,10.05,10.19,47800,9.92413
2008-10-30,10.22,10.32,10.20,10.24,51500,9.97283
2008-10-31,10.24,10.45,10.22,10.31,103400,10.04100
2008-11-03,10.35,10.37,10.32,10.35,38900,10.07996
2008-11-04,10.41,10.45,10.30,10.30,63700,10.0312
2008-11-05,10.40,10.42,10.31,10.31,10300,10.04100
2008-11-06,10.30,10.30,10.18,10.18,39100,9.91440
2008-11-07,10.17,10.30,10.15,10.30,18500,10.0312
2008-11-10,10.35,10.35,10.20,10.30,9200,10.0312
2008-11-11,10.18,10.38,10.18,10.30,10000,10.0312
2008-11-12,10.18,10.25,10.10,10.10,13400,9.83648
2008-11-13,10.05,10.25,10.05,10.25,5700,9.98257
2008-11-14,10.00,10.11,10.00,10.11,2300,9.84622
2008-11-17,10.00,10.28,10.00,10.25,6000,9.98257
2008-11-18,9.93,10.14,9.93,10.14,4900,9.87544
2008-11-19,9.90,10.24,9.90,10.00,7100,9.73909
2008-11-20,10.00,10.00,9.91,9.91,7900,9.65144
2008-11-21,9.90,9.99,9.82,9.92,38700,9.66118
2008-11-24,9.80,9.95,9.80,9.85,5400,9.59301
2008-11-25,9.84,9.85,9.80,9.80,51600,9.54431
