Date,Open,High,Low,Close,Volume,Adj Clos
2007-01-17,12.25,13.00,12.20,12.82,1064700,11.678
2007-01-18,12.80,12.90,12.61,12.70,265700,11.568
2007-01-19,12.742,12.75,12.60,12.60,148700,11.477
2007-01-22,12.56,12.60,12.45,12.50,112600,11.386
2007-01-23,12.47,12.526,12.45,12.45,145200,11.341
2007-01-24,12.45,12.50,12.27,12.50,176800,11.386
2007-01-25,12.42,12.476,12.42,12.46,189600,11.350
2007-01-26,12.45,12.50,12.36,12.50,96500,11.386
2007-01-29,12.40,12.40,12.31,12.33,266800,11.231
2007-01-30,12.32,12.59,12.32,12.40,201000,11.295
2007-01-31,12.40,12.40,12.394,12.40,111300,11.295
2007-02-01,12.33,12.40,12.33,12.40,96100,11.295
2007-02-02,12.37,12.42,12.37,12.37,54000,11.268
2007-02-05,12.34,12.37,12.33,12.35,110700,11.2
2007-02-06,12.35,12.45,12.35,12.45,86800,11.341
2007-02-07,12.45,12.50,12.40,12.48,62600,11.368
2007-02-08,12.48,12.48,12.45,12.48,27800,11.368
2007-02-09,12.46,12.47,12.41,12.47,95100,11.359
2007-02-12,12.45,12.47,12.40,12.46,27400,11.350
2007-02-13,12.40,12.50,12.40,12.50,43700,11.386
2007-02-14,12.421,12.421,12.40,12.40,27400,11.295
2007-02-15,12.40,12.40,12.33,12.34,61800,11.240
2007-02-16,12.36,12.39,12.34,12.39,25200,11.286
2007-02-20,12.34,12.42,12.34,12.35,38500,11.2
2007-02-21,12.35,12.40,12.32,12.36,17800,11.259
2007-02-22,12.36,12.39,12.35,12.39,28800,11.286
2007-02-23,12.39,12.45,12.30,12.45,75500,11.341
2007-02-26,12.41,12.51,12.35,12.50,120400,11.386
2007-02-27,12.48,12.48,12.35,12.35,9400,11.2
2007-02-28,12.37,12.40,12.35,12.40,8600,11.295
2007-03-01,12.35,12.40,12.32,12.33,27600,11.231
2007-03-02,12.32,12.36,12.32,12.36,65300,11.259
2007-03-05,12.33,12.35,12.18,12.23,116300,11.140
2007-03-06,12.26,12.32,12.248,12.32,87000,11.222
2007-03-07,12.25,12.26,12.20,12.26,54800,11.16
2007-03-08,12.22,12.412,12.22,12.412,31500,11.306
2007-03-09,12.30,12.31,12.30,12.31,9400,11.213
2007-03-12,12.25,12.34,12.25,12.25,123500,11.158
2007-03-13,12.15,12.30,12.15,12.25,28300,11.158
2007-03-14,12.20,12.25,12.20,12.25,77700,11.158
2007-03-15,12.20,12.25,12.15,12.15,46900,11.067
2007-03-16,12.18,12.19,12.15,12.17,29700,11.08
2007-03-19,12.15,12.25,12.00,12.25,117500,11.158
2007-03-20,12.25,12.25,12.08,12.25,16300,11.158
2007-03-21,12.07,12.20,12.07,12.20,43500,11.113
2007-03-22,12.10,12.15,12.09,12.11,10700,11.031
2007-03-23,12.12,12.153,12.12,12.153,4500,11.070
2007-03-26,12.17,12.17,12.02,12.03,19000,10.958
2007-03-27,12.01,12.066,12.01,12.066,7400,10.991
2007-03-28,12.10,12.10,11.50,11.95,11800,10.885
2007-03-29,11.87,11.95,11.76,11.84,17400,10.785
2007-03-30,11.90,12.00,11.56,12.00,43800,10.931
2007-04-02,11.885,11.885,11.75,11.75,2600,10.703
2007-04-03,11.65,11.86,11.65,11.80,36100,10.74
2007-04-04,11.80,11.80,11.66,11.74,9900,10.694
2007-04-05,11.65,12.00,11.551,11.95,66600,10.885
2007-04-09,11.84,11.94,11.63,11.94,9800,10.876
2007-04-10,11.62,11.63,11.30,11.52,32700,10.493
2007-04-11,11.56,11.60,11.35,11.35,38500,10.339
2007-04-12,11.35,11.58,11.31,11.43,37500,10.411
2007-04-13,11.46,11.76,11.46,11.76,28400,10.712
2007-04-16,11.59,12.19,11.52,11.79,26800,10.739
2007-04-17,11.85,12.01,11.85,12.01,52400,10.940
2007-04-18,11.90,12.01,11.90,12.01,9300,10.940
2007-04-19,11.99,11.99,11.99,11.99,400,10.922
2007-04-20,11.93,11.96,11.75,11.96,2700,10.894
2007-04-23,12.00,12.00,11.84,11.90,10100,10.840
2007-04-24,11.80,11.99,11.80,11.99,3400,10.922
2007-04-25,11.99,11.99,11.80,11.88,8900,10.821
2007-04-26,11.90,11.90,11.85,11.85,1100,10.794
2007-04-27,11.98,11.98,11.76,11.769,18200,10.720
2007-04-30,11.75,11.75,11.50,11.75,6800,10.703
2007-05-01,11.57,11.92,11.54,11.55,32500,10.521
2007-05-02,11.50,11.58,11.50,11.56,4800,10.530
2007-05-03,11.55,11.66,11.55,11.64,7600,10.603
2007-05-04,11.70,11.70,11.65,11.65,2100,10.612
2007-05-07,11.65,11.87,11.65,11.85,5900,10.794
2007-05-08,11.90,11.90,11.75,11.751,1300,10.704
2007-05-09,11.63,11.90,11.63,11.78,10200,10.730
2007-05-10,11.33,11.98,11.33,11.98,21600,10.940
2007-05-11,11.44,11.798,11.44,11.798,500,10.774
2007-05-14,11.47,11.57,11.47,11.55,600,10.548
2007-05-15,11.80,11.80,11.53,11.53,300,10.529
2007-05-16,11.60,11.60,11.60,11.60,100,10.593
2007-05-17,11.60,11.80,11.60,11.80,300,10.776
2007-05-18,11.61,11.70,11.60,11.60,7300,10.593
2007-05-21,11.55,11.57,11.55,11.55,5000,10.548
2007-05-22,11.60,11.70,11.60,11.70,4200,10.685
2007-05-23,11.70,11.70,11.60,11.63,5700,10.621
2007-05-24,11.55,11.592,11.55,11.592,15000,10.586
2007-05-25,11.52,11.60,11.52,11.60,2600,10.593
2007-05-29,11.60,11.60,11.60,11.60,100,10.593
2007-05-30,11.75,11.75,11.65,11.65,1000,10.639
2007-05-31,11.55,11.80,11.55,11.60,11400,10.593
2007-06-01,11.75,11.75,11.59,11.60,1700,10.593
2007-06-04,11.55,11.70,11.55,11.70,1200,10.685
2007-06-05,11.70,11.70,11.55,11.55,4100,10.548
2007-06-06,11.60,11.65,11.60,11.65,400,10.639
2007-06-07,11.70,11.70,11.55,11.55,5500,10.548
2007-06-08,11.673,11.673,11.52,11.60,4400,10.593
2007-06-11,11.57,11.57,11.55,11.55,1500,10.548
2007-06-12,11.50,11.57,11.50,11.50,3500,10.502
2007-06-13,11.50,11.50,11.50,11.50,200,10.502
2007-06-14,11.45,11.46,11.30,11.35,8700,10.365
2007-06-15,11.45,11.45,11.35,11.36,10800,10.374
2007-06-18,11.49,11.50,11.30,11.30,10100,10.319
2007-06-19,11.30,11.55,11.30,11.55,12100,10.548
2007-06-20,11.60,11.60,11.60,11.60,11200,10.593
2007-06-21,11.60,11.60,11.60,11.60,000,10.593
2007-06-22,11.50,11.50,11.50,11.50,600,10.502
2007-06-25,11.30,11.32,11.30,11.32,2500,10.338
2007-06-26,11.28,11.31,11.27,11.28,7500,10.301
2007-06-27,11.27,11.49,11.26,11.49,27100,10.493
2007-06-28,11.26,11.28,11.26,11.26,10500,10.283
2007-06-29,11.25,11.25,11.25,11.25,11300,10.274
2007-07-02,11.24,11.25,11.23,11.24,1500,10.26
2007-07-03,11.18,11.19,11.18,11.18,700,10.210
2007-07-05,11.06,11.16,11.06,11.09,3600,10.12
2007-07-06,11.28,11.31,11.12,11.21,2100,10.237
2007-07-09,11.20,11.21,11.06,11.06,12800,10.100
2007-07-10,11.05,11.05,10.95,11.05,46500,10.091
2007-07-11,11.00,11.006,10.96,10.96,19400,10.009
2007-07-12,10.96,10.97,10.91,10.91,29000,9.963
2007-07-13,10.93,10.96,10.00,10.84,78000,9.899
2007-07-16,10.79,10.799,10.48,10.74,29600,9.808
2007-07-17,10.68,10.72,10.40,10.61,23100,9.689
2007-07-18,10.50,10.60,10.50,10.60,73300,9.680
2007-07-19,10.50,10.59,10.45,10.45,51300,9.543
