Date,Open,High,Low,Close,Volume,Adj Clos
2011-03-28,10.15,10.15,10.15,10.15,500,8.82718
2011-03-29,10.15,10.15,10.15,10.15,000,8.82718
2011-03-30,10.15,10.15,10.15,10.15,000,8.82718
2011-03-31,10.00,10.00,10.00,10.00,2000,8.69673
2011-04-01,10.00,10.00,10.00,10.00,000,8.69673
2011-04-04,10.00,10.00,10.00,10.00,3500,8.69673
2011-04-05,10.00,12.00,10.00,10.00,13900,8.69673
2011-04-06,10.00,10.00,10.00,10.00,000,8.69673
2011-04-07,10.00,10.00,10.00,10.00,000,8.69673
2011-04-08,10.40,10.40,10.40,10.40,2700,9.04460
2011-04-11,10.40,10.40,10.40,10.40,500,9.04460
2011-04-12,10.40,10.40,10.40,10.40,000,9.04460
2011-04-13,10.40,10.40,10.40,10.40,2700,9.04460
2011-04-14,10.40,10.40,10.40,10.40,000,9.04460
2011-04-15,10.00,10.00,10.00,10.00,10800,8.69673
2011-04-18,10.00,10.00,9.80,10.00,3400,8.69673
2011-04-19,10.00,10.00,9.95,10.00,2200,8.69673
2011-04-20,9.88,9.88,9.85,9.85,500,8.56628
2011-04-21,9.85,9.85,9.85,9.85,000,8.56628
2011-04-25,9.85,9.85,9.85,9.85,000,8.56628
2011-04-26,9.85,9.85,9.85,9.85,000,8.56628
2011-04-27,10.00,10.00,10.00,10.00,1000,8.69673
2011-04-28,10.00,10.00,10.00,10.00,000,8.69673
2011-04-29,10.40,10.40,10.25,10.25,800,8.91415
2011-05-02,10.25,10.25,10.25,10.25,000,8.91415
2011-05-03,10.19,10.19,10.19,10.19,200,8.86197
2011-05-04,10.20,10.20,10.20,10.20,400,8.87067
2011-05-05,10.20,10.20,10.20,10.20,000,8.87067
2011-05-06,10.01,10.01,10.01,10.01,300,8.70543
2011-05-09,10.20,10.20,10.20,10.20,500,8.87067
2011-05-10,10.20,10.20,10.20,10.20,000,8.87067
2011-05-11,9.91,9.91,9.91,9.91,1000,8.61846
2011-05-12,9.90,9.90,9.90,9.90,1000,8.60976
2011-05-13,9.90,9.90,9.90,9.90,000,8.60976
2011-05-16,10.05,10.05,10.00,10.00,200,8.69673
2011-05-17,10.00,10.00,10.00,10.00,300,8.69673
2011-05-18,10.00,10.00,10.00,10.00,000,8.69673
2011-05-19,10.00,10.00,10.00,10.00,000,8.69673
2011-05-20,9.82,9.82,9.82,9.82,1000,8.54019
2011-05-23,10.15,10.15,10.15,10.15,200,8.82718
2011-05-24,9.57,9.57,9.56,9.56,1000,8.31408
2011-05-25,9.60,9.60,9.54,9.55,1500,8.30538
2011-05-26,9.55,9.55,9.55,9.55,000,8.30538
2011-05-27,9.55,9.55,9.55,9.55,000,8.41821
2011-05-31,10.00,10.00,10.00,10.00,700,8.81488
2011-06-01,10.00,10.00,10.00,10.00,000,8.81488
2011-06-02,9.50,9.50,9.45,9.45,300,8.33006
2011-06-03,9.65,9.65,9.60,9.60,1600,8.46228
2011-06-06,9.60,9.60,9.60,9.60,000,8.46228
2011-06-07,9.80,9.80,9.80,9.80,700,8.63858
2011-06-08,9.80,9.80,9.80,9.80,000,8.63858
2011-06-09,9.80,9.80,9.80,9.80,000,8.63858
2011-06-10,9.01,9.75,9.01,9.75,2500,8.59451
2011-06-13,9.75,9.75,9.75,9.75,000,8.59451
2011-06-14,9.80,9.80,9.75,9.75,900,8.59451
2011-06-15,9.06,9.11,9.06,9.11,1600,8.03035
2011-06-16,9.60,9.60,9.35,9.35,1800,8.24191
2011-06-17,9.49,9.49,9.45,9.45,1700,8.33006
2011-06-20,9.73,10.40,9.73,9.89,3300,8.7179
2011-06-21,9.89,9.89,9.89,9.89,000,8.7179
2011-06-22,9.90,9.95,9.90,9.95,1500,8.77080
2011-06-23,9.95,9.95,9.95,9.95,000,8.77080
2011-06-24,9.95,9.95,9.95,9.95,500,8.77080
2011-06-27,9.95,9.95,9.95,9.95,000,8.77080
2011-06-28,10.40,10.40,10.00,10.00,1100,8.81488
2011-06-29,10.00,10.00,10.00,10.00,000,8.86630
2011-06-30,9.48,9.48,9.15,9.40,4200,8.33432
2011-07-01,9.01,9.30,9.01,9.30,1200,8.24566
2011-07-05,9.17,9.24,9.13,9.13,1100,8.0949
2011-07-06,9.13,9.13,9.13,9.13,000,8.0949
2011-07-07,9.13,9.13,9.13,9.13,000,8.0949
2011-07-08,9.13,9.13,9.13,9.13,000,8.0949
2011-07-11,9.13,9.13,9.13,9.13,000,8.0949
2011-07-12,9.11,9.11,9.00,9.08,400,8.05060
2011-07-13,9.39,9.41,8.75,8.80,5300,7.80235
2011-07-14,9.00,9.10,9.00,9.10,800,8.06834
2011-07-15,8.76,9.39,8.75,9.39,6900,8.32546
2011-07-18,9.39,9.39,9.39,9.39,000,8.32546
