Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,68.625,69.1875,63.8125,65.1875,12030800,47.65857
2000-01-04,64.00,64.3125,61.25,61.75,8774500,45.14541
2000-01-05,61.75,63.00,61.00,63.00,6931400,46.05929
2000-01-06,61.625,62.00,60.00,60.00,6603400,43.86599
2000-01-07,61.75,63.50,60.75,63.50,6201600,46.42484
2000-01-10,62.00,63.5625,62.00,63.1875,5453000,46.19637
2000-01-11,63.4375,63.625,61.25,61.5625,4371500,45.00833
2000-01-12,61.5625,62.0625,60.6875,61.0625,4599400,44.64278
2000-01-13,62.125,62.50,61.50,62.125,4538900,45.41958
2000-01-14,62.375,62.4375,61.1875,61.9375,4578000,45.282
2000-01-18,61.25,61.25,60.125,60.50,5322000,44.23154
2000-01-19,60.125,62.4375,60.125,61.875,5176400,45.23680
2000-01-20,61.5625,61.75,59.875,60.8125,7213400,44.46001
2000-01-21,61.50,61.50,59.4375,60.00,6682900,43.86599
2000-01-24,60.9375,60.9375,56.6875,58.00,7339600,42.40379
2000-01-25,57.00,57.125,54.875,56.125,10252400,41.03298
2000-01-26,55.9375,57.6875,55.0625,57.375,8468400,41.94685
2000-01-27,57.875,59.50,56.1875,58.25,6915900,42.58656
2000-01-28,57.00,57.4375,55.50,55.625,7425100,40.66743
2000-01-31,56.50,56.8125,55.0625,56.625,5958600,41.39853
2000-02-01,56.9375,62.00,56.8125,62.00,10950500,45.32819
2000-02-02,61.00,61.50,59.625,60.75,5862100,44.41431
2000-02-03,60.50,60.625,59.00,60.50,4008800,44.23154
2000-02-04,61.00,61.50,60.3125,61.125,4063900,44.68848
2000-02-07,61.00,61.00,59.00,59.00,3796600,43.13489
2000-02-08,59.75,61.4375,59.5625,61.00,4501700,44.59709
2000-02-09,61.3125,61.3125,58.75,58.75,5289700,42.95211
2000-02-10,59.00,59.9375,58.375,59.5625,3644900,43.54613
2000-02-11,59.50,60.50,59.1875,60.0625,4647100,43.91168
2000-02-14,59.50,60.50,59.4375,60.3125,3173900,44.09446
2000-02-15,60.0625,60.1875,59.0625,59.75,3531100,43.68321
2000-02-16,58.75,59.375,55.75,57.25,6829800,41.85546
2000-02-17,57.25,57.4375,53.5625,54.50,10785700,39.84494
2000-02-18,54.5625,55.8125,52.8125,53.75,10402700,39.2966
2000-02-22,54.125,55.5625,53.125,53.625,8019200,39.20523
2000-02-23,54.1875,55.00,52.875,54.8125,6533700,40.07341
2000-02-24,54.9375,55.1875,52.625,53.0625,7763600,38.79398
2000-02-25,53.50,54.25,52.75,53.00,6155600,38.74829
2000-02-28,53.75,56.875,52.9375,56.8125,8120100,41.53561
2000-02-29,57.4375,58.4375,56.8125,57.50,7119900,42.03824
2000-03-01,57.8125,58.3125,54.3125,55.625,6504000,40.66743
2000-03-02,55.5625,56.25,54.1875,55.125,5352000,40.30188
2000-03-03,55.50,55.8125,54.375,54.50,5832800,39.84494
2000-03-06,54.375,54.6875,53.125,53.875,4821800,39.38800
2000-03-07,55.00,55.00,51.00,52.375,8491900,38.31980
2000-03-08,52.3125,53.75,51.6875,52.50,6631400,38.41126
2000-03-09,53.3125,55.50,51.75,55.3125,5736400,40.46900
2000-03-10,55.625,55.8125,53.375,53.50,4456000,39.14290
2000-03-13,52.625,53.1875,51.8125,53.00,4412500,38.77708
2000-03-14,52.75,53.3125,51.875,52.3125,5094600,38.27407
2000-03-15,52.625,57.25,51.875,57.00,8097100,41.70365
2000-03-16,59.00,61.875,58.625,61.50,12165000,44.99604
2000-03-17,61.50,64.5625,61.50,63.1875,13587500,46.23069
2000-03-20,63.4375,64.125,61.9375,63.625,5350300,46.55079
2000-03-21,63.625,64.6875,61.8125,63.50,5552300,46.45933
2000-03-22,62.375,63.9375,61.125,63.0625,4746500,46.13924
2000-03-23,63.0625,64.3125,62.1875,64.125,5540300,46.91661
2000-03-24,64.00,65.3125,63.50,64.375,5903600,47.09952
2000-03-27,64.375,64.625,63.00,64.375,3828000,47.09952
2000-03-28,63.0625,65.75,63.00,64.00,4848400,46.82515
2000-03-29,64.875,68.5625,64.875,68.50,6944300,50.11755
2000-03-30,68.00,69.5625,65.9375,67.00,7934300,49.02008
2000-03-31,67.00,67.3125,64.25,64.50,5169700,47.19097
2000-04-03,65.50,68.0625,65.4375,68.00,5898500,49.75172
2000-04-04,67.75,68.625,63.4375,64.625,8188500,47.28243
2000-04-05,63.50,64.625,63.00,64.00,5348300,46.82515
2000-04-06,63.9375,67.00,63.25,65.9375,4234800,48.24271
2000-04-07,66.125,67.3125,64.125,64.125,3425100,46.91661
2000-04-10,65.125,67.25,64.25,66.6875,3992300,48.79144
2000-04-11,65.6875,67.375,65.625,67.375,3714600,49.29445
2000-04-12,68.1875,70.00,66.00,66.00,7081600,48.28844
2000-04-13,66.3125,66.3125,60.00,62.50,7953100,45.72769
2000-04-14,60.00,60.25,56.9375,60.25,7695600,44.08149
2000-04-17,56.375,58.1875,55.3125,57.25,8667000,41.88656
2000-04-18,57.00,59.3125,56.0625,58.75,7233700,42.98403
2000-04-19,58.6875,60.00,57.625,58.75,5078400,42.98403
2000-04-20,58.125,59.125,57.25,58.625,4111100,42.89257
2000-04-24,58.00,61.75,57.875,59.5625,4850200,43.57849
2000-04-25,60.25,60.3125,58.6875,59.00,5227700,43.16694
2000-04-26,59.50,60.875,59.4375,60.50,4469400,44.26440
2000-04-27,60.00,60.00,58.25,58.8125,4940000,43.02975
2000-04-28,58.25,58.875,55.50,56.50,6475300,41.33783
2000-05-01,56.50,57.875,56.125,56.125,4360000,41.06346
2000-05-02,57.25,57.9375,56.0625,56.8125,3961700,41.56647
2000-05-03,55.50,55.5625,52.5625,54.00,6666000,39.50872
2000-05-04,53.75,53.8125,51.8125,52.50,6863800,38.41126
2000-05-05,51.8125,53.50,51.1875,53.3125,6345700,39.00572
2000-05-08,53.125,54.125,52.00,53.5625,5133800,39.18863
2000-05-09,53.5625,54.625,51.75,52.50,4821700,38.41126
2000-05-10,52.50,54.25,51.6875,54.00,6547300,39.50872
2000-05-11,54.50,55.25,53.0625,53.875,4413300,39.41727
2000-05-12,53.75,55.25,53.625,54.00,3683400,39.50872
2000-05-15,53.50,56.875,53.50,56.50,5611300,41.33783
2000-05-16,56.50,56.50,52.00,53.4375,13052500,39.09717
2000-05-17,52.75,53.4375,51.50,52.25,7027500,38.22835
2000-05-18,51.875,53.4375,51.3125,51.50,6951400,37.67961
2000-05-19,51.1875,52.25,51.0625,51.5625,5682600,37.72534
2000-05-22,51.6875,52.00,50.00,50.375,5313500,36.8565
2000-05-23,50.625,51.125,48.1875,49.75,6293100,36.39924
2000-05-24,48.00,48.00,44.125,46.75,17769300,34.20431
2000-05-25,48.00,49.8125,46.3125,46.50,8621100,34.02140
2000-05-26,48.50,48.75,46.25,46.875,4711400,34.29576
2000-05-30,47.50,47.8125,46.625,47.25,4767600,34.57013
2000-05-31,46.75,49.125,46.625,49.00,6583700,35.85051
2000-06-01,49.00,50.0625,48.50,49.875,6049000,36.49069
2000-06-02,52.75,54.00,52.00,53.625,8388800,39.2343
2000-06-05,53.50,53.625,52.25,52.375,3858000,38.31980
2000-06-06,52.0625,52.0625,50.0625,50.375,6753000,36.8565
2000-06-07,51.25,51.8125,49.875,50.5625,4581800,36.99370
2000-06-08,51.4375,51.50,49.50,49.875,5036400,36.49069
2000-06-09,50.375,51.25,47.625,48.1875,5466100,35.25605
2000-06-12,47.5625,47.5625,45.00,46.00,12584100,33.65558
2000-06-13,46.125,49.6875,45.9375,49.375,9177000,36.15631
2000-06-14,49.75,51.00,49.0625,51.00,8827700,37.34627
2000-06-15,50.9375,51.25,50.25,50.875,5048400,37.25473
2000-06-16,50.875,51.00,49.5625,49.8125,7158700,36.47668
2000-06-19,49.375,50.00,48.75,50.00,5058600,36.61399
2000-06-20,49.125,49.75,48.375,48.875,5080900,35.79017
2000-06-21,48.875,48.875,47.6875,48.5625,3773900,35.5613
2000-06-22,47.625,48.1875,46.9375,47.875,5537600,35.05789
2000-06-23,48.0625,48.125,47.0625,48.00,3631600,35.14943
2000-06-26,47.625,48.375,47.0625,47.125,3663400,34.50868
2000-06-27,47.625,50.125,47.50,49.5625,6641200,36.29361
2000-06-28,49.8125,49.9375,48.125,48.125,5233400,35.24096
2000-06-29,48.125,48.25,47.125,47.875,5339200,35.05789
2000-06-30,48.0625,50.046879,47.625,49.9375,5055500,36.56822
2000-07-03,49.6875,49.875,48.625,49.6875,1885300,36.38515
2000-07-05,49.9375,50.875,49.625,50.25,4063400,36.79706
2000-07-06,50.375,52.125,50.00,51.25,4646900,37.52934
2000-07-07,53.00,55.875,52.375,55.50,10254800,40.64153
2000-07-10,55.3125,58.125,54.75,57.50,9340900,42.10609
2000-07-11,57.375,58.5625,57.0625,57.625,7711000,42.19762
2000-07-12,57.6875,58.0625,56.375,57.375,5062400,42.01455
2000-07-13,57.625,57.6875,55.75,56.1875,3751500,41.14497
2000-07-14,56.6875,56.6875,55.375,56.4375,3456600,41.32804
2000-07-17,56.875,57.00,55.625,56.875,3686600,41.64841
2000-07-18,56.875,58.1875,56.75,57.375,4019800,42.01455
2000-07-19,57.5625,57.625,56.8125,57.125,2794900,41.83148
2000-07-20,57.125,58.50,57.00,58.0625,4664500,42.51799
2000-07-21,58.375,58.75,57.125,57.125,3611700,41.83148
2000-07-24,56.50,56.6875,54.8125,56.00,3839900,41.00767
2000-07-25,55.75,55.8125,54.125,55.00,4115200,40.27539
2000-07-26,54.50,55.875,53.5625,53.5625,5031400,39.22273
2000-07-27,54.3125,54.8125,53.75,54.75,3319300,40.09232
2000-07-28,54.8125,54.9375,52.25,52.6875,3639900,38.58199
2000-07-31,52.875,52.9375,51.375,51.75,3888800,37.89548
2000-08-01,51.9375,52.50,51.00,52.00,3623600,38.07855
2000-08-02,52.375,53.50,51.875,53.125,3331100,38.90236
2000-08-03,53.1875,53.875,51.4375,51.75,3913800,37.89548
2000-08-04,51.8125,54.00,51.625,54.00,4235200,39.54311
2000-08-07,52.625,55.50,52.625,55.00,4122900,40.27539
2000-08-08,55.00,58.4375,54.9375,57.00,6870100,41.73995
2000-08-09,57.3125,58.00,55.75,58.00,4782800,42.47223
2000-08-10,57.375,57.4375,55.125,55.125,4227000,40.36692
2000-08-11,55.00,56.50,55.00,55.9375,2719500,40.96190
2000-08-14,56.8125,60.00,56.8125,59.00,5011300,43.2045
2000-08-15,56.00,56.0625,53.00,53.50,16307100,39.17697
2000-08-16,52.1875,52.25,49.75,51.00,20874900,37.34627
2000-08-17,51.125,51.50,50.4375,51.3125,6989900,37.57510
2000-08-18,51.125,52.125,50.75,51.375,6392800,37.62087
2000-08-21,51.125,51.4375,49.9375,50.875,5822700,37.25473
2000-08-22,50.9375,52.00,50.5625,51.1875,4724000,37.48357
2000-08-23,51.21875,51.375,50.50,51.375,5202900,37.62087
2000-08-24,50.625,50.9375,49.875,50.4375,5200800,36.93436
2000-08-25,50.4375,50.6875,50.125,50.50,3784300,36.98013
2000-08-28,50.625,50.8125,50.00,50.00,4950400,36.61399
2000-08-29,49.9375,50.3125,49.0625,49.6875,5433100,36.41428
2000-08-30,49.25,49.3125,48.00,48.375,8329200,35.45240
2000-08-31,48.1875,49.375,48.00,48.0625,8541200,35.2233
2000-09-01,49.00,49.00,48.0625,48.5625,5517300,35.58981
2000-09-05,48.9375,51.00,48.625,50.125,5492500,36.73491
2000-09-06,50.625,51.125,50.50,50.625,5266700,37.1013
2000-09-07,50.625,51.00,50.0625,50.50,5109900,37.00974
2000-09-08,50.875,53.4375,50.75,52.9375,7810500,38.79610
2000-09-11,53.00,54.875,52.9375,54.25,5222000,39.7579
2000-09-12,54.6875,55.9375,54.25,55.875,6328100,40.94889
2000-09-13,55.25,56.125,53.875,54.75,7056100,40.12442
2000-09-14,55.875,56.1875,54.75,55.50,5346800,40.67407
2000-09-15,55.9375,55.9375,54.25,54.25,6577700,39.7579
2000-09-18,54.625,55.8125,53.6875,55.0625,4399500,40.35344
2000-09-19,55.00,55.125,52.75,53.00,4102400,38.84190
2000-09-20,53.50,53.8125,52.5625,53.00,3739300,38.84190
2000-09-21,53.125,56.00,53.00,55.00,5001200,40.30763
2000-09-22,54.75,55.9375,54.25,55.9375,5557600,40.99470
2000-09-25,55.9375,55.9375,53.6875,54.625,4601800,40.03281
2000-09-26,54.4375,54.50,52.1875,53.375,5580200,39.11673
2000-09-27,54.9375,54.9375,53.625,54.75,5173100,40.12442
2000-09-28,54.25,55.00,53.8125,55.00,3416400,40.30763
2000-09-29,54.125,54.75,52.875,52.9375,4396400,38.79610
2000-10-02,53.9375,53.9375,52.5625,52.5625,3095900,38.52127
2000-10-03,52.9375,54.75,52.75,53.8125,4093700,39.43736
2000-10-04,53.8125,56.8125,53.8125,55.5625,5747000,40.71987
2000-10-05,54.00,55.75,53.125,53.75,7223900,39.39155
2000-10-06,51.25,51.6875,50.125,51.0625,9449800,37.42197
2000-10-09,51.0625,51.8125,50.625,50.875,2754300,37.28456
2000-10-10,51.125,51.50,50.25,50.6875,3018200,37.14715
2000-10-11,50.1875,51.25,48.9375,48.9375,5142600,35.86463
2000-10-12,37.25,38.00,34.6875,34.875,66652300,25.55870
2000-10-13,35.4375,36.4375,34.875,36.3125,43718200,26.61220
