Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,21.874995,21.874995,20.312505,20.687505,149400,9.0888
2000-01-04,20.687505,20.687505,20.312505,20.562495,124200,9.03393
2000-01-05,20.562495,20.562495,20.125005,20.312505,215400,8.92410
2000-01-06,20.312505,20.312505,20.0625,20.0625,100200,8.8142
2000-01-07,19.999995,20.374995,19.999995,20.374995,162000,8.95156
2000-01-10,20.500005,21.00,20.500005,21.00,43600,9.22615
2000-01-11,20.875005,21.124995,20.749995,20.8125,100300,9.14377
2000-01-12,20.8125,20.8125,20.562495,20.562495,158200,9.03393
2000-01-13,20.687505,23.4375,20.687505,23.312505,262300,10.24212
2000-01-14,23.374995,26.749995,23.374995,25.000005,507100,10.98351
2000-01-18,25.000005,25.999995,25.000005,25.249995,306600,11.09334
2000-01-19,25.187505,25.187505,24.437505,24.625005,290800,10.81876
2000-01-20,24.499995,24.75,24.124995,24.124995,70000,10.59908
2000-01-21,24.375,24.375,23.312505,23.312505,76300,10.24212
2000-01-24,23.312505,23.4375,22.999995,23.125005,89400,10.15975
2000-01-25,23.0625,23.687505,23.0625,23.687505,72000,10.40688
2000-01-26,23.625,24.250005,23.312505,23.562495,151900,10.3519
2000-01-27,23.8125,24.375,23.187495,23.25,144900,10.21466
2000-01-28,23.374995,23.562495,23.125005,23.374995,249000,10.26958
2000-01-31,23.374995,24.00,23.125005,23.8125,113400,10.46179
2000-02-01,23.875005,24.1875,23.749995,24.124995,131800,10.59908
2000-02-02,24.1875,25.624995,24.124995,24.874995,190600,10.92859
2000-02-03,24.75,25.000005,24.499995,24.75,222400,10.87367
2000-02-04,24.75,24.781245,24.499995,24.687495,44100,10.84621
2000-02-07,24.625005,25.249995,24.250005,25.000005,72100,10.98351
2000-02-08,24.874995,26.374995,24.499995,26.187495,254800,11.50522
2000-02-09,25.937505,25.937505,25.375005,25.375005,60700,11.14826
2000-02-10,25.50,25.562505,24.9375,25.562505,222300,11.23064
2000-02-11,25.562505,25.6875,24.499995,24.687495,109600,10.84621
2000-02-14,24.499995,24.499995,23.749995,24.375,73600,10.70892
2000-02-15,24.499995,24.687495,24.062505,24.5625,196300,10.79130
2000-02-16,24.250005,24.499995,23.875005,24.124995,60600,10.59908
2000-02-17,24.250005,24.312495,23.625,23.8125,108000,10.46179
2000-02-18,23.500005,23.500005,22.249995,22.6875,355300,9.96753
2000-02-22,22.937505,23.25,22.562505,22.750005,80700,9.99
2000-02-23,22.624995,23.687505,22.375005,23.687505,194400,10.40688
2000-02-24,23.625,23.687505,22.437495,22.624995,108900,9.94007
2000-02-25,22.375005,22.437495,21.874995,22.000005,138900,9.66549
2000-02-28,21.687495,22.000005,21.5625,21.9375,262200,9.64
2000-02-29,22.000005,22.000005,21.75,21.812505,209100,9.59402
2000-03-01,21.812505,22.750005,21.625005,21.9375,189900,9.64
2000-03-02,21.9375,22.000005,21.5625,21.625005,183400,9.51155
2000-03-03,21.625005,22.125,21.625005,21.874995,267900,9.62150
2000-03-06,22.000005,22.000005,21.1875,21.1875,92400,9.31911
2000-03-07,20.687505,21.1875,20.500005,21.062505,246400,9.26414
2000-03-08,21.00,21.00,20.374995,20.8125,185700,9.15417
2000-03-09,20.8125,20.8125,19.937505,20.25,110700,8.90676
2000-03-10,20.25,21.00,19.999995,20.312505,59100,8.93426
2000-03-13,20.0625,20.0625,19.624995,19.937505,137700,8.76932
2000-03-14,19.999995,20.0625,19.937505,20.0625,179400,8.82429
2000-03-15,20.0625,20.500005,19.999995,20.374995,671100,8.96174
2000-03-16,20.374995,21.375,20.374995,20.937495,338800,9.20915
2000-03-17,20.25,21.9375,20.25,21.437505,186000,9.42908
2000-03-20,21.499995,21.75,21.312495,21.437505,76600,9.42908
2000-03-21,21.687495,21.687495,21.062505,21.437505,79900,9.42908
2000-03-22,21.437505,21.75,21.375,21.375,99300,9.40158
2000-03-23,21.625005,22.000005,21.437505,21.874995,54700,9.62150
2000-03-24,21.9375,22.125,21.5625,21.625005,203200,9.51155
2000-03-27,21.625005,21.625005,21.250005,21.312495,342300,9.37409
2000-03-28,21.312495,22.125,21.312495,22.000005,1067200,9.67649
2000-03-29,21.874995,22.062495,21.874995,21.9375,138000,9.64
2000-03-30,21.9375,22.624995,21.874995,22.437495,394000,9.86891
2000-03-31,22.437495,22.750005,22.375005,22.6875,480600,9.9788
2000-04-03,22.624995,23.187495,22.375005,22.437495,233400,9.86891
2000-04-04,22.375005,23.625,21.437505,21.625005,117300,9.51155
2000-04-05,21.75,21.75,21.00,21.625005,123300,9.51155
2000-04-06,21.687495,22.249995,21.499995,22.249995,79500,9.78644
2000-04-07,22.437495,22.750005,22.3125,22.750005,96100,10.00637
2000-04-10,22.875,22.875,22.000005,22.624995,109200,9.95138
2000-04-11,22.875,23.500005,22.875,23.0625,180600,10.1438
2000-04-12,22.999995,23.500005,22.999995,23.374995,178200,10.28126
2000-04-13,23.25,23.749995,22.999995,23.187495,131100,10.19879
2000-04-14,22.937505,22.999995,22.125,22.437495,119800,9.86891
2000-04-17,22.187505,22.249995,21.375,21.9375,169600,9.64
2000-04-18,22.062495,23.187495,22.062495,22.812495,169800,10.03385
2000-04-19,22.812495,22.812495,22.000005,22.000005,92800,9.67649
2000-04-20,22.000005,22.249995,21.874995,22.249995,136600,9.78644
2000-04-24,22.375005,22.375005,21.75,21.812505,29400,9.59402
2000-04-25,21.9375,22.437495,21.874995,22.437495,36300,9.86891
2000-04-26,22.812495,24.499995,22.812495,23.625,155200,10.3912
2000-04-27,23.625,24.00,23.125005,24.00,98500,10.5561
2000-04-28,23.875005,24.812505,23.749995,24.75,147000,10.88605
2000-05-01,24.625005,25.249995,24.625005,25.062495,127500,11.02349
2000-05-02,24.9375,25.375005,24.75,24.812505,87400,10.91354
2000-05-03,24.75,24.75,24.00,24.062505,46500,10.58366
2000-05-04,24.062505,24.9375,24.062505,24.499995,268500,10.77608
2000-05-05,24.625005,24.874995,24.499995,24.75,69400,10.88605
2000-05-08,24.75,24.75,24.375,24.437505,60700,10.74860
2000-05-09,24.437505,25.000005,24.375,24.499995,108100,10.77608
2000-05-10,24.499995,24.874995,24.250005,24.375,444100,10.72111
2000-05-11,24.250005,24.5625,24.124995,24.5625,79000,10.80358
2000-05-12,24.5625,24.9375,24.5625,24.687495,69600,10.85855
2000-05-15,24.9375,25.249995,24.5625,25.249995,44400,11.10596
2000-05-16,25.249995,25.249995,23.937495,24.5625,105300,10.80358
2000-05-17,24.5625,25.6875,24.499995,25.6875,166300,11.29840
2000-05-18,25.3125,25.375005,24.625005,24.687495,98400,10.85855
2000-05-19,24.5625,24.5625,24.250005,24.375,31900,10.72111
