Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,10.25,10.3125,10.25,10.3125,32100,2.00402
2000-01-04,10.375,10.5625,10.3125,10.5625,14900,2.05261
2000-01-05,10.4375,10.625,10.4375,10.625,16700,2.06475
2000-01-06,10.75,10.75,10.6875,10.75,15400,2.08904
2000-01-07,10.6875,10.75,10.6875,10.6875,20200,2.07690
2000-01-10,10.75,10.75,10.6875,10.75,14700,2.08904
2000-01-11,10.6875,10.75,10.5625,10.625,21900,2.06475
2000-01-12,10.625,10.625,10.50,10.50,19800,2.04046
2000-01-13,10.4375,10.4375,10.375,10.375,11000,2.01617
2000-01-14,10.4375,10.4375,10.375,10.4375,12900,2.0283
2000-01-18,10.375,10.4375,10.3125,10.375,18700,2.01617
2000-01-19,10.3125,10.4375,10.3125,10.4375,12100,2.0283
2000-01-20,10.375,10.4375,10.375,10.4375,12000,2.0283
2000-01-21,10.4375,10.50,10.375,10.4375,18400,2.0283
2000-01-24,10.375,10.50,10.375,10.50,14000,2.04046
2000-01-25,10.4375,10.4375,10.3125,10.4375,18300,2.0283
2000-01-26,10.4375,10.625,10.375,10.625,43900,2.06475
2000-01-27,10.4375,10.625,10.4375,10.625,22700,2.08834
2000-01-28,10.625,10.625,10.50,10.50,12100,2.06377
2000-01-31,10.5625,10.625,10.50,10.625,18700,2.08834
2000-02-01,10.625,10.6875,10.5625,10.625,22400,2.08834
2000-02-02,10.625,10.625,10.5625,10.625,11500,2.08834
2000-02-03,10.5625,10.625,10.5625,10.5625,15600,2.07605
2000-02-04,10.5625,10.625,10.5625,10.625,15700,2.08834
2000-02-07,10.625,10.625,10.50,10.5625,18100,2.07605
2000-02-08,10.50,10.6875,10.50,10.6875,19400,2.10062
2000-02-09,10.625,10.75,10.625,10.6875,8200,2.10062
2000-02-10,10.6875,10.6875,10.625,10.625,4800,2.08834
2000-02-11,10.6875,10.6875,10.50,10.50,27700,2.06377
2000-02-14,10.5625,10.5625,10.4375,10.5625,26400,2.07605
2000-02-15,10.50,10.50,10.4375,10.4375,20100,2.05148
2000-02-16,10.50,10.50,10.375,10.50,21700,2.06377
2000-02-17,10.4375,10.50,10.4375,10.50,2400,2.06377
2000-02-18,10.4375,10.50,10.4375,10.50,14700,2.06377
2000-02-22,10.4375,10.50,10.4375,10.50,6300,2.06377
2000-02-23,10.4375,10.50,10.4375,10.50,11800,2.06377
2000-02-24,10.4375,10.50,10.4375,10.50,22100,2.06377
2000-02-25,10.50,10.50,10.125,10.125,51300,2.01307
2000-02-28,10.1875,10.375,10.125,10.25,25900,2.03792
2000-02-29,10.25,10.3125,10.1875,10.25,7900,2.03792
2000-03-01,10.1875,10.25,10.125,10.1875,30400,2.02550
2000-03-02,10.1875,10.1875,10.125,10.125,8300,2.01307
2000-03-03,10.125,10.1875,10.125,10.1875,3900,2.02550
2000-03-06,10.125,10.1875,10.0625,10.125,8700,2.01307
2000-03-07,10.1875,10.1875,10.00,10.00,31100,1.98822
2000-03-08,10.0625,10.125,10.00,10.0625,10100,2.00064
2000-03-09,10.00,10.125,10.00,10.0625,11900,2.00064
2000-03-10,10.125,10.125,10.00,10.0625,14500,2.00064
2000-03-13,10.0625,10.0625,9.9375,9.9375,21800,1.97579
2000-03-14,10.00,10.00,9.9375,9.9375,20900,1.97579
2000-03-15,9.9375,10.00,9.9375,10.00,6600,1.98822
2000-03-16,10.00,10.0625,9.9375,10.00,15200,1.98822
2000-03-17,10.00,10.0625,9.9375,10.00,25800,1.98822
2000-03-20,10.0625,10.0625,9.9375,10.00,9600,1.98822
2000-03-21,10.00,10.0625,10.00,10.0625,18500,2.00064
2000-03-22,10.0625,10.0625,10.00,10.0625,4300,2.00064
2000-03-23,10.00,10.0625,10.00,10.00,23000,1.98822
