Date,Open,High,Low,Close,Volume,Adj Clos
2004-12-16,14.00,14.89,14.00,14.72,12120000,6.30084
2004-12-17,14.60,14.73,14.36,14.70,954400,6.29228
2004-12-20,14.60,15.20,14.60,14.60,338400,6.24947
2004-12-21,14.60,15.61,14.40,15.60,897800,6.67752
2004-12-22,15.35,16.10,14.90,15.95,609600,6.82734
2004-12-23,16.200001,16.85,16.10,16.50,1009800,7.06276
2004-12-27,16.719999,16.75,15.75,15.98,703600,6.84018
2004-12-28,15.93,16.24,15.85,15.98,312800,6.84018
2004-12-29,16.00,16.08,15.55,15.71,106600,6.7246
2004-12-30,15.75,15.79,15.07,15.75,434200,6.74173
2004-12-31,15.85,16.40,15.75,16.25,863400,6.95575
2005-01-03,16.25,16.450001,15.60,16.030001,207800,6.86158
2005-01-04,16.35,16.35,15.80,15.99,203800,6.84446
2005-01-05,16.15,16.15,15.55,15.60,230600,6.67752
2005-01-06,15.50,15.80,15.40,15.65,602800,6.69892
2005-01-07,15.95,15.95,15.65,15.65,142600,6.69892
2005-01-10,15.65,16.01,15.65,16.00,144000,6.84874
2005-01-11,16.049999,16.049999,15.85,15.90,126600,6.80593
2005-01-12,15.90,16.00,15.60,15.75,228000,6.74173
2005-01-13,15.90,16.08,15.80,15.96,362600,6.83162
2005-01-14,16.00,16.10,15.90,16.00,107200,6.84874
2005-01-18,16.15,16.200001,15.95,16.08,156200,6.88298
2005-01-19,16.200001,16.40,16.15,16.15,234000,6.9129
2005-01-20,16.299999,16.32,16.10,16.10,203000,6.89154
2005-01-21,16.25,16.27,16.00,16.10,140800,6.89154
2005-01-24,16.219999,16.24,16.049999,16.10,169800,6.89154
2005-01-25,16.200001,16.25,16.049999,16.10,368000,6.89154
2005-01-26,16.10,16.16,15.75,15.80,932000,6.76313
2005-01-27,15.90,16.049999,15.70,15.80,749000,6.76313
2005-01-28,15.90,15.99,15.40,15.80,1410000,6.76313
2005-01-31,15.90,16.049999,15.82,16.049999,64200,6.87014
2005-02-01,16.049999,16.35,15.80,16.35,135000,6.99855
2005-02-02,16.35,16.35,16.10,16.129999,249400,6.90438
2005-02-03,16.10,16.15,15.85,16.00,132200,6.84874
2005-02-04,16.00,16.200001,15.95,16.10,600000,6.89154
2005-02-07,16.15,16.299999,16.15,16.299999,60600,6.97715
2005-02-08,16.299999,16.65,16.299999,16.629999,92400,7.11841
2005-02-09,16.629999,16.65,16.25,16.440001,31800,7.03708
2005-02-10,16.440001,16.60,16.370001,16.51,85200,7.06704
2005-02-11,16.450001,16.67,16.40,16.48,77600,7.05420
2005-02-14,16.48,16.48,15.90,15.90,183200,6.80593
2005-02-15,15.95,16.10,15.30,15.86,155200,6.78881
2005-02-16,15.80,16.00,15.72,16.00,279200,6.84874
2005-02-17,16.049999,16.50,16.00,16.50,78200,7.06276
2005-02-18,16.450001,16.700001,16.40,16.50,106800,7.06276
2005-02-22,16.60,16.700001,16.360001,16.40,143200,7.01996
2005-02-23,16.40,16.40,16.200001,16.25,98400,6.95575
2005-02-24,16.24,16.24,15.91,15.95,106600,6.82734
2005-02-25,15.95,15.97,15.75,15.76,109200,6.74601
2005-02-28,15.75,15.82,15.66,15.78,68000,6.75457
