Date,Open,High,Low,Close,Volume,Adj Clos
2001-11-06,25.25,25.25,25.25,25.25,1900,9.547
2001-11-07,25.25,25.34,25.15,25.15,11000,9.509
2001-11-08,25.15,25.15,24.99,24.99,2400,9.449
2001-11-09,24.90,25.20,24.75,25.15,4900,9.509
2001-11-12,25.25,25.25,25.25,25.25,100,9.547
2001-11-13,25.00,25.22,24.88,25.20,253500,9.528
2001-11-14,25.10,25.21,24.90,25.00,11500,9.453
2001-11-15,25.00,25.03,25.00,25.00,3900,9.453
2001-11-16,25.00,25.05,24.95,25.05,5800,9.472
2001-11-19,25.00,25.00,24.90,24.92,10500,9.42
2001-11-20,24.65,25.00,24.65,25.00,9000,9.453
2001-11-21,24.92,25.10,24.80,24.80,30700,9.377
2001-11-23,24.80,24.80,24.80,24.80,000,9.377
2001-11-26,25.00,25.05,25.00,25.05,900,9.472
2001-11-27,25.07,25.07,24.80,25.00,2900,9.453
2001-11-28,25.00,25.11,25.00,25.11,1200,9.494
2001-11-29,25.00,25.18,24.88,25.00,11700,9.453
2001-11-30,25.10,25.19,25.00,25.15,4900,9.509
2001-12-03,25.05,25.24,24.90,25.15,6900,9.509
2001-12-04,25.00,25.00,25.00,25.00,1000,9.453
2001-12-05,25.05,25.05,25.05,25.05,400,9.472
2001-12-06,25.10,25.40,25.10,25.40,900,9.604
2001-12-07,25.40,25.40,25.40,25.40,400,9.604
2001-12-10,25.40,25.40,25.40,25.40,000,9.604
2001-12-11,25.00,25.00,25.00,25.00,1600,9.453
2001-12-12,25.39,25.39,25.39,25.39,1300,9.600
2001-12-13,25.25,25.40,25.00,25.40,22300,9.604
2001-12-14,25.00,25.00,25.00,25.00,5600,9.453
2001-12-17,25.00,25.40,24.80,24.80,12800,9.377
2001-12-18,24.65,24.80,24.65,24.80,500,9.377
2001-12-19,24.80,25.20,24.80,25.20,1200,9.545
2001-12-20,25.15,25.15,25.00,25.00,5200,9.469
2001-12-21,25.00,25.00,25.00,25.00,500,9.469
2001-12-24,25.00,25.05,25.00,25.05,1500,9.488
2001-12-26,25.08,25.31,25.00,25.18,13100,9.537
2001-12-27,25.05,25.05,24.90,24.90,1000,9.431
2001-12-28,25.10,25.10,24.90,24.90,2700,9.431
2001-12-31,24.90,24.90,24.90,24.90,000,9.431
2002-01-02,25.23,25.23,24.90,24.90,2400,9.431
2002-01-03,25.00,25.25,24.90,25.25,3500,9.564
2002-01-04,25.15,25.15,25.00,25.00,1700,9.469
2002-01-07,25.00,25.00,25.00,25.00,000,9.469
2002-01-08,25.00,25.50,25.00,25.00,14400,9.469
2002-01-09,25.00,25.15,25.00,25.15,800,9.526
2002-01-10,25.14,25.25,25.02,25.15,7100,9.526
2002-01-11,25.10,25.15,25.00,25.15,4300,9.526
2002-01-14,25.05,25.30,24.90,25.02,7700,9.477
2002-01-15,25.02,25.30,25.02,25.15,13600,9.526
2002-01-16,25.05,25.30,25.05,25.11,5100,9.511
2002-01-17,25.30,25.30,25.20,25.30,900,9.583
2002-01-18,25.30,25.40,25.20,25.40,3900,9.62
2002-01-22,25.45,25.75,25.20,25.75,36200,9.753
2002-01-23,25.25,25.85,25.20,25.20,7300,9.545
2002-01-24,25.30,25.85,25.20,25.85,4500,9.791
2002-01-25,25.25,25.35,25.20,25.20,6400,9.545
2002-01-28,25.50,25.50,25.25,25.25,12200,9.564
2002-01-29,25.25,25.25,25.25,25.25,100,9.564
2002-01-30,25.26,25.85,25.26,25.35,2900,9.602
2002-01-31,25.50,25.50,25.15,25.20,6600,9.545
2002-02-01,25.15,25.40,25.15,25.15,2500,9.526
2002-02-04,25.14,25.14,25.13,25.13,300,9.518
2002-02-05,25.10,25.40,25.10,25.40,1400,9.62
2002-02-06,25.40,25.40,25.15,25.38,1800,9.613
2002-02-07,25.85,25.85,25.00,25.09,5200,9.503
2002-02-08,25.50,25.51,25.50,25.50,800,9.658
2002-02-11,25.50,25.50,25.50,25.50,200,9.658
2002-02-12,25.05,25.35,25.05,25.35,1700,9.602
2002-02-13,25.10,25.40,25.10,25.40,2100,9.62
2002-02-14,25.10,25.20,25.05,25.05,7800,9.488
2002-02-15,25.00,25.25,24.99,24.99,4300,9.465
2002-02-19,25.20,25.21,25.20,25.21,3600,9.549
2002-02-20,24.99,25.50,24.99,25.50,1800,9.658
2002-02-21,25.45,25.45,24.82,24.87,4700,9.420
2002-02-22,25.00,25.25,25.00,25.25,600,9.564
2002-02-25,24.85,25.25,24.85,25.25,400,9.564
2002-02-26,24.81,25.25,24.81,25.25,300,9.564
2002-02-27,24.93,25.20,24.93,25.20,1100,9.545
2002-02-28,25.20,25.20,24.93,24.93,2300,9.44
