Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,14.75,15.00,13.50,15.00,550300,15.0
2000-01-04,14.25,14.75,14.063,14.25,287400,14.2
2000-01-05,14.34,14.375,13.875,14.25,157200,14.2
2000-01-06,14.00,14.25,13.25,13.938,90300,13.93
2000-01-07,13.97,14.313,13.50,13.50,119800,13.5
2000-01-10,13.47,13.563,12.438,13.00,94900,13.0
2000-01-11,12.81,13.00,12.75,12.75,90200,12.7
2000-01-12,14.00,15.781,13.375,13.563,182200,13.56
2000-01-13,14.00,14.00,13.125,13.813,166100,13.81
2000-01-14,13.75,16.125,13.75,16.00,213900,16.0
2000-01-18,16.50,18.50,16.313,17.375,206900,17.37
2000-01-19,17.69,17.75,17.00,17.00,64500,17.0
2000-01-20,17.31,18.938,17.00,18.375,145200,18.37
2000-01-21,18.81,21.00,18.625,20.563,176000,20.56
2000-01-24,20.66,20.813,18.25,18.25,152300,18.2
2000-01-25,18.19,19.063,18.125,18.75,154200,18.7
2000-01-26,18.66,19.00,18.563,18.938,53100,18.93
2000-01-27,18.88,19.438,18.75,18.75,233300,18.7
2000-01-28,18.38,18.50,14.625,15.00,384900,15.0
2000-01-31,15.625,15.625,14.50,15.125,252100,15.12
2000-02-01,14.81,15.125,14.125,14.875,114700,14.87
2000-02-02,15.06,16.188,14.875,16.125,467900,16.12
2000-02-03,15.25,16.125,15.219,15.813,79000,15.81
2000-02-04,15.69,16.125,15.50,15.50,104700,15.5
2000-02-07,15.59,16.125,15.125,16.125,62200,16.12
2000-02-08,15.69,17.375,15.688,17.00,213600,17.0
2000-02-09,16.94,18.50,16.875,18.188,263100,18.18
2000-02-10,18.59,18.625,17.00,17.00,84600,17.0
2000-02-11,18.06,18.063,16.063,16.063,27300,16.06
2000-02-14,16.94,17.50,15.625,15.75,290900,15.7
2000-02-15,15.313,16.875,15.313,15.50,106300,15.5
2000-02-16,15.59,15.75,15.438,15.625,88200,15.62
2000-02-17,16.44,17.25,15.813,16.438,27000,16.43
2000-02-18,16.50,16.50,15.813,15.813,133800,15.81
2000-02-22,16.72,16.75,14.75,15.00,278000,15.0
2000-02-23,14.91,15.625,14.00,14.25,440600,14.2
2000-02-24,14.50,14.938,14.00,14.00,104000,14.0
2000-02-25,14.19,14.375,13.875,13.938,16300,13.93
2000-02-28,14.188,14.188,13.00,13.313,37600,13.31
2000-02-29,13.88,14.00,9.50,9.75,169500,9.7
2000-03-01,11.31,12.313,10.313,10.75,741700,10.7
2000-03-02,11.75,11.75,10.625,11.375,186700,11.37
2000-03-03,11.31,11.75,11.063,11.625,230000,11.62
2000-03-06,11.56,12.00,10.00,10.969,239500,10.96
2000-03-07,10.938,10.938,10.125,10.75,169900,10.7
2000-03-08,10.84,11.00,10.50,10.50,85600,10.5
2000-03-09,10.38,10.813,9.875,10.375,110500,10.37
2000-03-10,10.50,10.625,9.75,9.75,403500,9.7
2000-03-13,10.00,10.125,9.75,10.063,77300,10.06
2000-03-14,10.03,10.063,9.25,9.938,80800,9.93
2000-03-15,10.03,10.063,8.50,9.125,142300,9.12
2000-03-16,9.06,9.50,8.25,9.00,304500,9.0
2000-03-17,9.38,9.438,8.063,8.25,313100,8.2
2000-03-20,8.38,8.438,7.438,7.875,153500,7.87
2000-03-21,8.06,8.188,7.00,7.375,371600,7.37
2000-03-22,7.38,8.469,7.313,8.031,221100,8.03
2000-03-23,8.063,8.875,8.063,8.594,154400,8.59
2000-03-24,8.94,9.219,8.188,8.25,140400,8.2
2000-03-27,8.53,8.625,7.75,8.00,100200,8.0
2000-03-28,7.88,7.938,6.75,7.00,245800,7.0
2000-03-29,7.47,7.50,6.50,7.063,210000,7.06
2000-03-30,7.00,7.063,6.50,6.50,161600,6.5
2000-03-31,7.06,7.063,6.00,6.50,251000,6.5
2000-04-03,6.75,6.75,5.50,5.625,139300,5.62
2000-04-04,5.88,7.00,5.00,7.00,176700,7.0
2000-04-05,6.78,7.875,6.50,7.00,109600,7.0
2000-04-06,7.125,7.125,6.50,6.875,76300,6.87
2000-04-07,6.63,6.938,6.563,6.75,31800,6.7
2000-04-10,6.84,7.063,5.00,5.25,90400,5.2
2000-04-11,5.75,5.906,5.375,5.906,46500,5.90
2000-04-12,5.938,5.938,5.438,5.531,54200,5.53
2000-04-13,5.72,5.75,5.00,5.00,133500,5.0
2000-04-14,4.97,5.031,4.125,4.50,186800,4.5
2000-04-17,4.19,4.50,3.875,4.25,214900,4.2
2000-04-18,4.50,4.75,4.031,4.375,90800,4.37
2000-04-19,5.00,5.00,4.188,4.438,60000,4.43
2000-04-20,4.31,4.813,3.00,3.375,266100,3.37
2000-04-24,3.56,4.375,3.531,4.063,381700,4.06
2000-04-25,4.22,4.25,4.00,4.031,151500,4.03
2000-04-26,4.38,4.50,3.00,3.313,483100,3.31
2000-04-27,3.50,4.50,3.438,4.375,315100,4.37
2000-04-28,5.19,5.375,4.438,4.563,245500,4.56
2000-05-01,5.00,5.00,4.375,4.563,130900,4.56
2000-05-02,4.94,5.063,3.688,3.75,181800,3.7
2000-05-03,4.34,4.813,4.25,4.625,138600,4.62
2000-05-04,4.63,4.875,4.50,4.75,130200,4.7
2000-05-05,4.66,4.813,4.375,4.625,149500,4.62
2000-05-08,4.81,4.813,4.50,4.531,58200,4.53
2000-05-09,4.66,4.813,4.313,4.375,37400,4.37
2000-05-10,4.31,4.563,4.188,4.25,71600,4.2
2000-05-11,4.50,4.50,4.25,4.50,63500,4.5
2000-05-12,4.38,4.75,4.375,4.375,32300,4.37
2000-05-15,4.53,4.625,4.438,4.50,28300,4.5
2000-05-16,4.50,4.75,4.25,4.50,28400,4.5
2000-05-17,4.25,4.50,4.125,4.375,19200,4.37
2000-05-18,4.34,4.375,4.00,4.063,201900,4.06
2000-05-19,4.125,4.125,3.875,4.00,85400,4.0
2000-05-22,4.00,4.00,3.75,3.875,72400,3.87
2000-05-23,3.88,4.00,3.50,3.844,245900,3.84
2000-05-24,3.75,3.875,3.625,3.75,87900,3.7
2000-05-25,3.84,4.00,3.75,3.75,92700,3.7
2000-05-26,3.88,4.625,3.875,4.00,165600,4.0
2000-05-30,4.188,4.188,4.00,4.188,50500,4.18
