Date,Open,High,Low,Close,Volume,Adj Clos
2003-06-17,25.00,25.25,25.00,25.10,201000,7.96206
2003-06-18,25.15,25.35,25.049999,25.200001,106900,7.99378
2003-06-19,25.200001,25.40,25.200001,25.280001,79700,8.01916
2003-06-20,25.35,25.450001,25.200001,25.26,76000,8.01281
2003-06-23,25.26,25.34,25.15,25.219999,49900,8.0001
2003-06-24,25.35,25.40,25.15,25.35,56700,8.04136
2003-06-25,25.299999,25.299999,25.10,25.139999,78300,7.97475
2003-06-26,25.10,25.25,25.049999,25.25,85200,8.00964
2003-06-27,25.299999,25.35,25.10,25.290001,48000,8.02233
2003-06-30,25.27,25.33,25.15,25.200001,61000,7.99378
2003-07-01,25.26,25.450001,25.16,25.309999,63600,8.0286
2003-07-02,25.34,25.43,25.25,25.40,44600,8.05722
2003-07-03,25.43,25.43,25.25,25.33,24200,8.03502
2003-07-07,25.23,25.40,25.10,25.389999,75000,8.05405
2003-07-08,25.43,25.440001,25.219999,25.26,59700,8.01281
2003-07-09,25.26,25.40,25.15,25.370001,84200,8.04771
2003-07-10,25.27,25.41,25.16,25.24,59400,8.00647
2003-07-11,25.42,25.42,25.200001,25.33,23600,8.03502
2003-07-14,25.42,25.43,25.200001,25.299999,34000,8.02550
2003-07-15,25.35,25.35,25.200001,25.25,29200,8.00964
2003-07-16,25.280001,25.299999,25.01,25.02,57200,7.93668
2003-07-17,25.10,25.200001,25.00,25.09,79600,7.95889
2003-07-18,25.08,25.15,25.00,25.129999,38400,7.97158
2003-07-21,25.09,25.10,25.00,25.00,89000,7.93034
2003-07-22,25.02,25.10,25.00,25.00,93900,7.93034
2003-07-23,25.01,25.059999,25.00,25.02,70200,7.93668
2003-07-24,25.049999,25.049999,25.00,25.00,55800,7.93034
2003-07-25,25.10,25.10,25.00,25.01,18300,7.93351
2003-07-28,25.00,25.00,24.75,24.76,197800,7.85421
2003-07-29,24.75,24.90,24.75,24.75,77500,7.8510
2003-07-30,24.75,24.76,24.75,24.76,39900,7.85421
2003-07-31,24.75,24.76,24.75,24.75,43300,7.8510
2003-08-01,24.700001,24.709999,23.40,23.620001,109500,7.49258
2003-08-04,23.870001,23.950001,23.700001,23.84,49900,7.56237
2003-08-05,23.85,24.00,23.58,23.84,58000,7.56237
2003-08-06,23.950001,23.969999,23.700001,23.959999,69500,7.60044
2003-08-07,24.00,24.40,23.99,24.299999,50700,7.70829
2003-08-08,24.200001,24.639999,24.190001,24.639999,32500,7.81614
2003-08-11,24.440001,24.639999,24.440001,24.549999,27900,7.78759
2003-08-12,24.559999,24.629999,24.50,24.50,45500,7.77173
2003-08-13,24.50,24.60,24.379999,24.379999,53900,7.73367
2003-08-14,24.10,24.10,23.75,23.90,57500,7.63779
2003-08-15,23.809999,23.950001,23.76,23.879999,38800,7.63140
2003-08-18,23.799999,23.93,23.309999,23.35,84400,7.46203
2003-08-19,23.35,23.629999,22.870001,23.299999,110200,7.44605
2003-08-20,23.50,23.700001,23.26,23.50,67100,7.50996
2003-08-21,23.530001,23.85,23.35,23.42,55400,7.48440
2003-08-22,23.42,23.60,23.16,23.440001,37100,7.49079
2003-08-25,23.299999,23.35,22.950001,23.00,66400,7.35018
2003-08-26,22.75,23.049999,22.65,22.940001,98100,7.33100
2003-08-27,22.799999,23.120001,22.799999,23.00,56100,7.35018
2003-08-28,22.950001,23.02,22.870001,23.02,52500,7.35657
2003-08-29,23.02,23.35,23.02,23.219999,46700,7.42048
2003-09-02,23.299999,23.370001,23.209999,23.25,37700,7.43007
2003-09-03,23.25,23.33,23.049999,23.15,58700,7.39811
2003-09-04,23.25,23.540001,23.15,23.540001,72100,7.52275
2003-09-05,23.48,23.77,23.48,23.65,38600,7.55790
2003-09-08,23.719999,24.00,23.719999,23.85,57100,7.6218
2003-09-09,23.85,24.139999,23.799999,24.08,54500,7.69532
2003-09-10,24.049999,24.190001,23.85,23.91,52600,7.64099
2003-09-11,23.83,24.00,23.60,23.870001,40100,7.68607
2003-09-12,23.969999,24.200001,23.90,23.959999,62000,7.71505
2003-09-15,23.799999,23.950001,23.25,23.25,91700,7.48643
2003-09-16,23.25,23.450001,23.25,23.40,271200,7.53473
2003-09-17,23.48,23.48,23.309999,23.48,68900,7.56049
2003-09-18,23.40,23.65,23.32,23.57,80400,7.58947
2003-09-19,23.469999,23.620001,23.40,23.50,64700,7.56693
2003-09-22,23.610001,23.610001,23.00,23.02,131900,7.41237
2003-09-23,23.129999,23.15,22.950001,23.049999,86200,7.42203
2003-09-24,23.120001,23.18,22.950001,23.110001,61600,7.44135
2003-09-25,23.02,23.299999,23.02,23.299999,63600,7.50253
2003-09-26,23.24,23.40,23.190001,23.389999,51700,7.53151
2003-09-29,23.389999,23.440001,23.209999,23.440001,63100,7.54761
2003-09-30,23.379999,23.98,23.379999,23.809999,71300,7.66675
2003-10-01,23.90,24.23,23.889999,24.059999,82400,7.74725
2003-10-02,24.15,24.24,24.049999,24.10,48300,7.76013
2003-10-03,24.200001,24.25,23.950001,24.049999,48800,7.74403
2003-10-06,24.00,24.299999,23.950001,24.190001,35300,7.78911
2003-10-07,24.139999,24.32,24.10,24.17,66800,7.78267
2003-10-08,24.18,24.299999,24.049999,24.15,63200,7.77623
2003-10-09,23.85,24.290001,23.85,24.01,54800,7.7892
2003-10-10,24.00,24.299999,24.00,24.27,48400,7.87355
2003-10-13,24.290001,24.450001,24.25,24.25,48000,7.86706
2003-10-14,24.200001,24.299999,24.110001,24.299999,50300,7.8832
2003-10-15,24.15,24.40,23.91,24.02,88500,7.79245
2003-10-16,24.200001,24.24,24.01,24.01,65200,7.7892
2003-10-17,23.940001,24.15,23.82,23.879999,59800,7.74703
2003-10-20,23.950001,24.18,23.700001,23.950001,58800,7.76974
2003-10-21,24.00,24.129999,23.940001,24.09,58400,7.81516
2003-10-22,24.00,24.18,24.00,24.16,51300,7.83787
2003-10-23,24.17,24.299999,24.049999,24.139999,56600,7.83138
2003-10-24,24.299999,24.40,24.15,24.299999,48800,7.8832
2003-10-27,24.450001,24.530001,24.16,24.18,76600,7.84436
2003-10-28,24.24,24.40,24.10,24.120001,74000,7.82489
2003-10-29,24.200001,24.25,24.10,24.24,43500,7.86382
2003-10-30,24.25,24.50,24.139999,24.35,77800,7.89951
2003-10-31,24.450001,24.540001,24.25,24.299999,47500,7.8832
2003-11-03,24.49,24.639999,24.299999,24.40,79200,7.91573
2003-11-04,24.450001,24.700001,24.33,24.629999,64600,7.99034
2003-11-05,24.60,24.74,24.41,24.74,59000,8.02603
2003-11-06,24.700001,24.74,24.540001,24.700001,41000,8.01305
2003-11-07,24.65,24.85,24.629999,24.75,64200,8.02927
2003-11-10,24.77,24.780001,24.530001,24.65,66900,7.99683
2003-11-11,24.60,24.780001,24.60,24.60,48600,7.98061
2003-11-12,24.629999,24.85,24.629999,24.67,73000,8.00332
2003-11-13,24.700001,24.709999,24.360001,24.440001,59500,7.98698
2003-11-14,24.440001,24.50,24.32,24.50,63300,8.00659
