Date,Open,High,Low,Close,Volume,Adj Clos
2010-10-29,16.00,16.049999,15.11,15.59,2113300,8.64081
2010-11-01,15.51,15.60,14.62,14.95,598700,8.28609
2010-11-02,14.95,14.96,14.52,14.72,523400,8.15861
2010-11-03,15.00,15.38,14.05,15.30,443200,8.48008
2010-11-04,15.30,15.51,14.60,15.01,304100,8.31935
2010-11-05,14.75,14.99,14.60,14.85,163700,8.23067
2010-11-08,14.66,14.84,14.25,14.45,333500,8.00896
2010-11-09,14.41,14.42,13.87,14.00,624300,7.75955
2010-11-10,13.78,14.17,13.78,13.83,211700,7.66533
2010-11-11,13.75,14.49,13.75,14.29,267400,7.92028
2010-11-12,14.02,14.76,14.02,14.50,109800,8.03668
2010-11-15,14.30,14.65,13.67,14.07,345600,7.79835
2010-11-16,13.76,14.37,13.76,14.24,145300,7.89257
2010-11-17,14.08,14.46,14.06,14.40,125000,7.98125
2010-11-18,14.21,14.48,14.16,14.48,251800,8.02559
2010-11-19,14.55,14.75,14.38,14.55,90000,8.06439
2010-11-22,14.54,14.81,14.33,14.76,146900,8.18078
2010-11-23,14.69,14.95,14.65,14.80,139400,8.20295
2010-11-24,14.85,15.02,14.67,15.01,97900,8.31935
2010-11-26,14.79,14.98,14.61,14.81,26200,8.20850
2010-11-29,14.70,14.80,14.57,14.80,90300,8.20295
2010-11-30,14.76,14.91,14.70,14.86,87800,8.23621
2010-12-01,14.85,14.95,14.66,14.73,159100,8.1641
2010-12-02,14.70,14.88,14.60,14.65,70000,8.1198
2010-12-03,14.58,14.58,14.25,14.36,213900,7.95908
2010-12-06,14.37,14.60,14.25,14.40,99200,7.98125
2010-12-07,14.50,14.70,14.11,14.33,164100,7.94245
2010-12-08,14.40,14.96,14.40,14.73,197900,8.1641
2010-12-09,14.71,14.89,14.50,14.80,238700,8.20295
2010-12-10,14.65,15.17,14.59,15.14,151000,8.39140
2010-12-13,15.14,15.40,14.92,15.17,154700,8.40803
2010-12-14,15.25,15.33,15.14,15.21,140100,8.43020
2010-12-15,15.14,15.24,14.87,15.07,82400,8.35260
2010-12-16,15.18,15.34,15.00,15.21,70900,8.43020
2010-12-17,15.24,15.25,15.00,15.03,42800,8.33043
2010-12-20,15.14,15.33,15.00,15.24,67800,8.4468
2010-12-21,15.25,15.45,15.16,15.35,60900,8.50779
2010-12-22,15.45,15.45,15.15,15.15,105100,8.39694
2010-12-23,15.15,15.20,14.91,15.04,43700,8.45881
2010-12-27,15.12,15.16,14.83,14.95,47000,8.40819
2010-12-28,14.90,15.00,14.70,14.75,69400,8.29571
2010-12-29,14.80,14.84,14.55,14.59,79400,8.20572
2010-12-30,14.56,14.66,14.50,14.60,73900,8.21134
2010-12-31,14.75,14.75,14.44,14.44,144000,8.1213
2011-01-03,14.55,14.90,14.47,14.90,39600,8.38007
2011-01-04,15.03,15.74,15.03,15.33,128500,8.62191
2011-01-05,15.38,15.75,15.38,15.64,91200,8.79626
2011-01-06,15.32,15.71,15.32,15.71,74900,8.83563
2011-01-07,15.48,15.74,15.48,15.50,53100,8.71752
2011-01-10,15.56,15.60,15.31,15.60,39600,8.77376
2011-01-11,15.61,15.78,15.45,15.59,49700,8.76814
2011-01-12,15.66,15.73,15.47,15.59,74900,8.76814
2011-01-13,15.53,15.85,15.53,15.74,116200,8.85250
2011-01-14,15.65,15.80,15.61,15.75,63200,8.85813
2011-01-18,15.70,15.89,15.65,15.74,61600,8.85250
2011-01-19,15.60,15.74,15.30,15.33,98900,8.62191
2011-01-20,15.21,15.33,14.93,15.10,58900,8.49255
2011-01-21,15.13,15.59,15.10,15.47,34600,8.70065
2011-01-24,15.59,15.84,15.28,15.46,50100,8.6950
2011-01-25,15.55,15.75,15.42,15.48,64000,8.70627
2011-01-26,15.45,15.69,15.45,15.63,95000,8.79064
2011-01-27,15.69,15.95,15.63,15.95,89200,8.97061
2011-01-28,15.90,15.95,15.72,15.89,74500,8.93687
2011-01-31,15.95,15.95,15.60,15.73,71200,8.84688
2011-02-01,15.84,15.94,15.53,15.80,73300,8.88625
2011-02-02,15.79,15.95,15.50,15.92,62300,8.95374
2011-02-03,15.85,16.00,15.72,16.00,60300,8.99873
2011-02-04,15.94,16.01,15.84,15.97,69600,8.98186
2011-02-07,15.88,16.09,15.88,15.97,92000,8.98186
2011-02-08,15.76,16.040001,15.76,16.00,77000,8.99873
2011-02-09,15.85,15.98,15.60,15.90,37000,8.94249
2011-02-10,15.90,15.99,15.73,15.91,49800,8.94811
2011-02-11,15.99,16.02,15.84,15.95,37700,8.97061
2011-02-14,15.92,16.08,15.78,16.02,60000,9.00998
2011-02-15,16.040001,16.040001,15.86,15.99,62100,8.99311
2011-02-16,15.91,16.059999,15.90,15.95,85700,8.97061
2011-02-17,16.17,16.17,15.96,16.00,39200,8.99873
2011-02-18,15.90,16.110001,15.86,15.95,76300,8.97061
2011-02-22,15.95,16.00,15.57,15.70,57200,8.83001
2011-02-23,15.50,15.76,15.40,15.72,29100,8.8412
2011-02-24,15.63,15.80,15.49,15.68,15400,8.81876
2011-02-25,15.81,15.94,15.76,15.81,37100,8.89187
2011-02-28,16.08,16.09,15.87,15.99,40900,8.99311
2011-03-01,15.90,15.95,15.75,15.79,44400,8.88062
2011-03-02,15.70,16.049999,15.58,15.93,34400,8.95936
2011-03-03,15.88,16.040001,15.70,16.01,38400,9.00436
2011-03-04,16.049999,16.23,15.89,15.93,32200,8.95936
2011-03-07,15.93,15.93,15.69,15.88,29100,8.93124
2011-03-08,15.88,15.93,15.55,15.92,51500,8.95374
2011-03-09,15.81,16.25,15.81,15.99,143600,8.99311
2011-03-10,15.90,16.200001,15.83,16.110001,66700,9.06060
2011-03-11,15.97,16.110001,15.92,16.049999,38600,9.02685
2011-03-14,16.040001,16.059999,15.86,15.90,12100,8.94249
2011-03-15,15.84,16.120001,15.55,16.10,27100,9.0549
2011-03-16,16.10,16.190001,15.34,15.85,134600,8.91437
2011-03-17,15.79,15.93,15.67,15.90,22800,8.94249
2011-03-18,16.110001,16.25,15.83,16.25,44700,9.13934
2011-03-21,16.26,16.26,16.049999,16.23,52500,9.12809
2011-03-22,16.209999,16.450001,16.00,16.07,37500,9.03810
2011-03-23,16.00,16.129999,15.68,15.79,57000,8.88062
2011-03-24,15.75,16.01,15.69,15.99,30600,8.99311
2011-03-25,15.97,16.23,15.97,16.00,28200,8.99873
2011-03-28,16.110001,16.40,15.93,16.01,43000,9.00436
2011-03-29,16.01,16.049999,15.81,15.96,22800,8.97624
2011-03-30,16.110001,16.110001,15.88,15.95,12300,8.97061
2011-03-31,15.80,16.10,15.76,16.07,25200,9.03810
2011-04-01,15.97,16.139999,15.70,16.07,16300,9.03810
2011-04-04,15.81,16.10,15.81,15.99,30800,8.99311
2011-04-05,15.84,16.01,15.84,15.95,30500,8.97061
2011-04-06,15.97,16.17,15.86,16.059999,26200,9.03248
2011-04-07,16.129999,16.24,15.84,16.139999,22600,9.07747
2011-04-08,16.120001,16.120001,15.76,15.99,32600,8.99311
2011-04-11,15.91,16.040001,15.85,16.040001,13900,9.02123
2011-04-12,15.91,16.040001,15.68,15.86,25100,8.91999
2011-04-13,15.84,16.00,15.61,15.87,19300,8.92562
2011-04-14,15.90,15.97,15.72,15.79,9000,8.88062
2011-04-15,15.78,15.98,15.78,15.87,20700,8.92562
2011-04-18,15.79,15.86,15.62,15.73,8500,8.84688
