Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,31.5625,31.625,30.3125,30.375,145000,9.35050
2000-01-04,30.1875,30.5625,29.875,29.9375,123800,9.2158
2000-01-05,29.9375,31.1875,29.875,30.00,161800,9.2350
2000-01-06,30.0625,30.4375,29.9375,30.0625,248800,9.2543
2000-01-07,30.125,30.25,30.125,30.25,243800,9.31202
2000-01-10,30.375,30.625,30.00,30.5625,139000,9.40822
2000-01-11,30.3125,30.3125,29.8125,29.8125,201200,9.17735
2000-01-12,29.625,29.625,29.1875,29.375,98800,9.11451
2000-01-13,29.375,30.50,29.125,29.5625,145000,9.17269
2000-01-14,29.6875,30.00,29.0625,29.0625,206200,9.01755
2000-01-18,28.8125,29.1875,28.375,29.00,135000,8.99816
2000-01-19,29.00,29.625,28.8125,29.625,124200,9.19208
2000-01-20,29.75,29.75,29.00,29.1875,202800,9.05634
2000-01-21,29.25,29.4375,28.4375,29.0625,130000,9.01755
2000-01-24,29.50,29.9375,28.0625,28.0625,88200,8.70727
2000-01-25,28.00,28.1875,27.75,28.00,164400,8.68788
2000-01-26,28.00,28.125,27.9375,28.00,91200,8.68788
2000-01-27,28.00,28.4375,27.9375,28.00,148400,8.68788
2000-01-28,28.00,28.25,27.50,27.50,134600,8.53274
2000-01-31,27.625,27.6875,26.625,26.9375,153400,8.35820
2000-02-01,26.8125,27.00,26.6875,26.875,191600,8.33881
2000-02-02,26.75,26.9375,26.375,26.4375,215400,8.20306
2000-02-03,26.625,26.6875,26.3125,26.5625,352000,8.24185
2000-02-04,26.50,26.75,26.375,26.6875,274200,8.28063
2000-02-07,26.5625,26.75,26.375,26.75,482400,8.3000
2000-02-08,26.9375,27.00,26.25,26.3125,146000,8.16428
2000-02-09,26.25,26.5625,25.8125,25.875,113800,8.02853
2000-02-10,26.00,26.00,25.25,25.5625,129800,7.9315
2000-02-11,26.125,26.25,25.6875,25.6875,199200,7.97035
2000-02-14,25.6875,26.5625,25.625,26.125,182800,8.10610
2000-02-15,26.25,26.50,25.9375,26.3125,115800,8.16428
2000-02-16,26.3125,26.625,25.625,25.6875,124400,7.97035
2000-02-17,25.9375,26.4375,25.75,26.0625,78400,8.08671
2000-02-18,26.0625,26.0625,25.25,25.25,100000,7.83460
2000-02-22,25.25,25.5625,24.875,25.4375,174400,7.89278
2000-02-23,25.50,25.75,25.25,25.5625,118000,7.9315
2000-02-24,25.50,25.50,24.3125,24.6875,56000,7.66007
2000-02-25,24.75,25.25,24.75,24.875,123200,7.71825
2000-02-28,24.75,25.125,24.50,24.8125,257600,7.69885
2000-02-29,24.5625,25.00,24.00,24.8125,224400,7.69885
2000-03-01,24.8125,25.6875,24.8125,25.50,269800,7.91217
2000-03-02,25.875,26.3125,25.4375,25.4375,104200,7.89278
2000-03-03,25.375,25.875,25.3125,25.6875,180800,7.97035
2000-03-06,25.5625,25.5625,25.00,25.1875,113000,7.81521
2000-03-07,25.25,25.5625,24.75,24.75,80000,7.67946
2000-03-08,24.8125,25.5625,24.6875,25.5625,82600,7.9315
2000-03-09,25.75,26.1875,25.1875,26.125,127800,8.10610
2000-03-10,26.125,26.4375,25.9375,26.125,132400,8.10610
2000-03-13,25.875,26.125,25.625,25.6875,108200,7.97035
2000-03-14,25.6875,26.00,25.375,25.50,137600,7.91217
2000-03-15,25.50,26.75,25.0625,26.6875,280200,8.28063
2000-03-16,26.625,27.50,26.4375,27.50,320000,8.53274
2000-03-17,27.00,27.5625,26.1875,26.4375,203600,8.20306
2000-03-20,26.3125,27.50,26.3125,27.3125,156400,8.47456
2000-03-21,27.375,28.00,27.375,28.00,291600,8.68788
2000-03-22,28.25,28.9375,28.1875,28.9375,335400,8.9787
2000-03-23,28.6875,29.75,28.50,29.625,279200,9.19208
2000-03-24,29.375,29.4375,28.8125,29.125,176800,9.03694
2000-03-27,28.4375,28.5625,27.9375,27.9375,126400,8.66848
2000-03-28,28.0625,28.375,27.6875,27.875,88600,8.64909
2000-03-29,28.125,28.375,27.875,28.1875,164800,8.74605
2000-03-30,27.75,28.6875,27.6875,28.50,240200,8.84302
2000-03-31,28.625,29.00,28.50,28.9375,319800,8.9787
2000-04-03,28.9375,29.4375,28.625,28.875,175600,8.95937
2000-04-04,29.125,29.125,27.625,28.375,198200,8.80423
2000-04-05,28.25,28.4375,27.5625,27.9375,164400,8.66848
2000-04-06,27.9375,28.375,27.9375,28.1875,118800,8.74605
2000-04-07,28.3125,28.3125,28.00,28.125,164600,8.72666
2000-04-10,28.00,28.4375,27.875,28.125,118600,8.72666
2000-04-11,28.6875,29.4375,28.50,28.75,398400,8.92059
2000-04-12,28.25,29.4375,28.25,28.875,193600,9.03321
2000-04-13,28.875,29.375,28.6875,29.00,139000,9.0723
2000-04-14,28.75,28.75,28.125,28.125,250600,8.79858
2000-04-17,27.875,28.875,27.875,28.1875,217800,8.81813
2000-04-18,28.125,28.875,28.00,28.8125,177200,9.01366
2000-04-19,28.8125,28.9375,28.125,28.9375,245800,9.05276
2000-04-20,28.9375,29.00,28.125,28.875,103600,9.03321
2000-04-24,28.625,29.4375,28.0625,29.4375,342200,9.20918
2000-04-25,29.4375,29.4375,29.00,29.3125,111000,9.17008
2000-04-26,29.0625,30.00,29.0625,29.6875,551800,9.28739
2000-04-27,29.8125,30.00,28.875,29.50,138400,9.22873
2000-04-28,29.75,29.8125,29.4375,29.6875,147800,9.28739
2000-05-01,29.6875,29.6875,28.9375,29.1875,108800,9.13097
2000-05-02,29.0625,29.1875,28.3125,28.625,114800,8.95500
2000-05-03,28.6875,28.6875,28.1875,28.1875,138200,8.81813
2000-05-04,28.375,29.75,28.1875,28.6875,168600,8.97455
2000-05-05,28.75,29.4375,28.75,29.25,123600,9.15052
2000-05-08,29.1875,29.6875,28.3125,28.50,80200,8.915
2000-05-09,28.625,29.75,28.125,28.9375,252800,9.05276
2000-05-10,28.875,29.50,28.4375,28.75,121600,8.9941
2000-05-11,28.875,29.50,28.50,29.00,199600,9.0723
2000-05-12,29.00,29.625,28.75,29.125,117200,9.11142
2000-05-15,29.00,29.4375,28.9375,29.3125,180200,9.17008
2000-05-16,29.3125,29.50,29.0625,29.4375,181000,9.20918
2000-05-17,29.25,29.3125,28.6875,28.875,83600,9.03321
2000-05-18,29.125,29.1875,28.6875,28.6875,96800,8.97455
2000-05-19,28.5625,28.9375,28.3125,28.3125,83200,8.85724
2000-05-22,28.4375,28.75,28.4375,28.6875,109600,8.97455
2000-05-23,28.9375,28.9375,28.0625,28.125,111800,8.79858
2000-05-24,28.0625,28.50,28.00,28.25,99200,8.83769
2000-05-25,28.375,28.50,27.50,27.5625,128400,8.62261
2000-05-26,27.8125,27.9375,26.75,26.875,139000,8.40753
2000-05-30,26.875,27.0625,26.625,26.8125,169400,8.38798
2000-05-31,27.0625,27.4375,26.875,26.875,172600,8.40753
2000-06-01,27.00,27.75,26.875,27.75,609000,8.68127
2000-06-02,28.375,28.8125,27.9375,28.8125,133800,9.01366
2000-06-05,28.6875,29.125,28.00,28.5625,190600,8.93545
2000-06-06,28.625,29.4375,28.375,29.1875,97800,9.13097
2000-06-07,29.1875,29.1875,28.00,28.625,133600,8.95500
2000-06-08,28.4375,28.50,28.00,28.0625,54000,8.77903
2000-06-09,28.1875,28.1875,27.375,27.50,112600,8.60306
2000-06-12,27.5625,27.75,27.375,27.5625,165400,8.62261
2000-06-13,27.50,27.75,27.1875,27.75,73000,8.68127
2000-06-14,27.625,27.875,27.50,27.50,65400,8.60306
2000-06-15,27.625,28.25,27.625,28.25,127200,8.83769
2000-06-16,27.75,28.00,27.6875,27.8125,211200,8.70082
2000-06-19,27.8125,27.875,27.5625,27.875,73200,8.72037
2000-06-20,27.75,27.9375,27.25,27.625,174200,8.64216
2000-06-21,27.625,27.625,27.375,27.5625,175400,8.62261
2000-06-22,27.5625,27.75,27.1875,27.3125,163800,8.54440
2000-06-23,27.1875,27.625,27.0625,27.1875,51200,8.505
