Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,8.47464,8.61986,8.25274,8.326,995800,33.0913
2000-01-04,8.25132,8.3507,8.05684,8.25274,979100,32.8002
2000-01-05,8.42372,8.47294,8.08112,8.15478,1270200,32.4108
2000-01-06,8.03216,8.326,8.03216,8.20376,900100,32.6055
2000-01-07,8.27874,8.30172,8.08112,8.1301,1173600,32.3127
2000-01-10,8.30226,8.326,8.05684,8.05684,1020900,32.0216
2000-01-11,7.95888,8.17908,7.95888,8.1301,1341700,32.3127
2000-01-12,7.9849,8.1301,7.78726,7.83624,1418800,31.1448
2000-01-13,7.85952,7.98318,7.81196,7.83624,1019000,31.1448
2000-01-14,8.22782,8.25274,7.88522,7.88522,1555600,31.3395
2000-01-18,7.88694,7.9342,7.64034,7.78726,1637200,30.9501
2000-01-19,7.73806,7.9099,7.68932,7.714,1358300,30.6590
2000-01-20,7.76158,7.78726,7.42014,7.4934,1335300,29.7822
2000-01-21,7.6166,7.66502,7.32218,7.37116,1127200,29.296
2000-01-24,7.44422,7.56706,7.27322,7.27322,965800,28.9071
2000-01-25,7.27182,7.34648,7.0773,7.12628,1075700,28.3231
2000-01-26,7.2248,7.42014,7.1016,7.37116,1092800,29.296
2000-01-27,7.44422,7.54238,7.0773,7.22424,1136800,28.7124
2000-01-28,7.19954,7.19954,6.93038,7.12628,1520300,28.3231
2000-01-31,7.10334,7.32218,7.0773,7.22424,1434600,28.7124
2000-02-01,7.24832,7.2975,7.12628,7.17526,1334200,28.517
2000-02-02,7.15036,7.19954,6.95466,7.15058,1922400,28.4197
2000-02-03,7.10334,7.27322,7.00364,7.27322,1288100,28.9071
2000-02-04,7.2013,7.22424,7.05262,7.1016,1275300,28.2250
2000-02-07,7.0054,7.12628,6.97936,7.12628,890500,28.3231
2000-02-08,7.15036,7.19954,7.00364,7.1016,1100000,28.2250
2000-02-09,6.95446,7.00364,6.85672,6.8814,1432500,27.3498
2000-02-10,7.05242,7.12628,6.8814,6.93038,1357900,27.5445
2000-02-11,6.88002,7.00364,6.85672,6.8814,1007300,27.3498
2000-02-14,6.8095,6.83242,6.41592,6.58754,1706100,26.1819
2000-02-15,6.58618,6.6608,6.41592,6.53856,2113800,25.9872
2000-02-16,6.46472,6.48958,6.2447,6.31798,2015000,25.1105
2000-02-17,6.36694,6.63652,6.36694,6.61184,1547700,26.2785
2000-02-18,6.56266,6.61184,6.31798,6.39164,1512100,25.4033
2000-02-22,6.31974,6.63652,6.31798,6.51388,1015100,25.8891
2000-02-23,6.36694,6.61184,6.36694,6.39164,1203400,25.4033
2000-02-24,6.41592,6.41592,5.99982,6.09778,1775300,24.235
2000-02-25,6.19436,6.22002,5.90186,5.90186,1669400,23.4567
2000-02-28,5.80256,6.02412,5.75494,5.8529,1450300,23.3690
2000-02-29,5.83,5.97514,5.77924,5.8282,1572300,23.2704
2000-03-01,5.83,5.8529,5.68128,5.73026,1803600,22.8793
2000-03-02,5.68112,5.75494,5.53434,5.55904,1202800,22.1957
2000-03-03,5.50872,5.8282,5.48536,5.70596,1368400,22.7823
2000-03-06,5.60666,5.73026,5.4121,5.46108,1307700,21.8046
2000-03-07,5.50872,5.53434,5.24048,5.33844,1656700,21.3149
