Date,Open,High,Low,Close,Volume,Adj Clos
2010-03-26,13.50,15.50,13.49,13.92,5831800,13.62830
2010-03-29,14.12,14.91,14.10,14.75,1157600,14.44090
2010-03-30,14.61,15.25,14.26,14.47,665800,14.16677
2010-03-31,14.63,15.10,14.33,14.98,558100,14.66608
2010-04-01,15.02,16.00,15.02,16.00,703400,15.66471
2010-04-05,16.559999,18.58,16.07,17.120001,851300,16.76124
2010-04-06,17.26,17.709999,16.10,16.889999,378500,16.53606
2010-04-07,17.030001,17.32,16.40,16.75,213900,16.39899
2010-04-08,16.58,16.66,16.049999,16.190001,127500,15.85073
2010-04-09,16.50,16.75,15.39,16.24,311900,15.89968
2010-04-12,16.41,16.459999,15.99,16.190001,105700,15.85073
2010-04-13,16.01,16.26,15.65,15.81,263400,15.47869
2010-04-14,15.67,16.00,14.96,15.05,751400,14.73462
2010-04-15,14.98,15.75,14.67,15.58,269300,15.25351
2010-04-16,15.50,15.50,15.20,15.40,47400,15.07728
2010-04-19,15.30,16.48,15.25,16.450001,396100,16.10528
2010-04-20,16.50,16.549999,15.84,16.540001,118800,16.193
2010-04-21,16.709999,16.709999,16.00,16.030001,92500,15.69408
2010-04-22,15.88,16.41,15.52,16.34,50900,15.9975
2010-04-23,16.34,16.559999,16.040001,16.559999,47900,16.21297
2010-04-26,16.73,16.73,16.35,16.49,56000,16.14444
2010-04-27,16.40,16.700001,16.25,16.25,88600,15.90947
2010-04-28,16.25,16.33,15.53,15.60,110000,15.27309
2010-04-29,15.57,15.58,15.00,15.13,115000,14.81294
2010-04-30,15.10,15.45,14.93,15.09,110200,14.77378
2010-05-03,15.02,15.17,14.95,15.10,39500,14.78357
2010-05-04,15.05,15.06,14.50,14.54,102500,14.2353
2010-05-05,14.50,14.52,13.95,14.10,262400,13.8045
2010-05-06,13.94,14.19,13.81,13.96,368300,13.66746
2010-05-07,14.00,14.39,13.98,14.28,60500,13.98075
2010-05-10,14.35,15.41,14.35,15.15,63900,14.83252
2010-05-11,15.00,15.08,14.75,14.78,201300,14.4702
2010-05-12,14.79,15.00,14.52,14.67,43600,14.36258
2010-05-13,14.70,14.93,14.52,14.69,29400,14.38216
2010-05-14,14.89,14.89,14.53,14.67,65500,14.36258
2010-05-17,14.73,15.00,14.59,14.99,139600,14.67587
2010-05-18,15.16,15.25,14.63,15.05,69300,14.73462
2010-05-19,14.97,15.02,14.32,14.50,209300,14.19614
2010-05-20,14.50,14.54,14.01,14.40,26600,14.09824
2010-05-21,14.14,14.49,13.86,14.27,43400,13.97096
2010-05-24,14.17,14.63,14.17,14.39,3700,14.08845
2010-05-25,14.03,14.40,13.96,14.20,12000,13.90243
2010-05-26,14.42,14.42,13.85,14.03,19800,13.73599
2010-05-27,14.24,14.59,14.10,14.10,18900,13.8045
2010-05-28,14.20,14.34,14.20,14.34,14300,14.03950
2010-06-01,14.60,14.90,14.20,14.29,26100,13.99054
2010-06-02,14.25,14.41,14.10,14.26,20300,13.96117
2010-06-03,14.18,14.58,14.11,14.11,30000,13.8143
2010-06-04,14.10,14.22,14.10,14.22,12900,13.92201
2010-06-07,14.17,14.18,14.05,14.05,24300,13.75557
2010-06-08,14.06,14.11,13.90,13.90,26200,13.60872
2010-06-09,14.45,14.47,14.05,14.08,17000,13.78494
2010-06-10,13.91,14.15,13.91,14.10,38300,13.8045
2010-06-11,13.98,14.10,13.90,13.90,11600,13.60872
2010-06-14,13.90,14.40,13.90,14.00,13700,13.70662
2010-06-15,14.00,14.08,13.90,14.08,30700,13.78494
2010-06-16,13.97,14.37,13.97,14.16,23800,13.86327
2010-06-17,14.37,14.39,14.16,14.39,10400,14.08845
2010-06-18,14.35,14.60,14.35,14.54,5400,14.2353
2010-06-21,14.60,15.42,14.60,15.04,58700,14.72483
2010-06-22,14.98,15.24,14.80,14.99,9900,14.67587
2010-06-23,14.96,15.39,14.80,15.39,11800,15.06749
2010-06-24,15.39,16.049999,15.06,16.00,99400,15.66471
2010-06-25,16.07,16.200001,16.00,16.059999,40600,15.72345
2010-06-28,16.049999,16.18,15.70,15.75,47000,15.41995
2010-06-29,15.73,15.77,15.08,15.32,28900,14.99896
2010-06-30,15.30,15.64,15.02,15.27,59700,14.95001
2010-07-01,15.42,15.42,14.80,15.21,44100,14.8912
2010-07-02,15.41,15.41,14.80,15.06,113300,14.74441
2010-07-06,15.35,15.42,15.00,15.13,60400,14.81294
2010-07-07,14.76,15.21,14.26,14.91,187200,14.59755
2010-07-08,14.88,14.88,14.50,14.55,21500,14.245
2010-07-09,14.55,14.88,14.38,14.50,32000,14.19614
2010-07-12,14.59,15.41,14.59,15.25,99500,14.93043
2010-07-13,15.30,15.40,15.06,15.15,103300,14.83252
2010-07-14,15.15,15.20,15.10,15.10,7200,14.78357
2010-07-15,15.10,15.50,15.02,15.10,14900,14.78357
2010-07-16,15.02,15.14,14.66,14.84,9800,14.52902
2010-07-19,15.00,15.00,14.82,14.82,38100,14.50944
2010-07-20,14.84,15.24,14.84,15.23,11200,14.9108
2010-07-21,15.24,15.46,15.24,15.30,23200,14.97938
2010-07-22,15.47,15.60,15.30,15.60,27600,15.27309
2010-07-23,15.60,15.90,15.30,15.75,32800,15.41995
2010-07-26,15.60,16.059999,15.60,16.059999,35700,15.72345
2010-07-27,16.030001,16.48,16.02,16.40,76800,16.05633
2010-07-28,16.370001,17.18,16.26,17.08,236100,16.72208
2010-07-29,17.08,17.60,17.08,17.59,120900,17.22139
2010-07-30,17.50,18.50,17.00,18.50,171700,18.11232
2010-08-02,18.700001,19.41,18.34,19.00,191600,18.60184
2010-08-03,19.18,19.700001,18.799999,19.07,74800,18.67038
2010-08-04,19.299999,19.700001,19.030001,19.17,101300,18.76828
2010-08-05,19.10,19.950001,19.10,19.66,80900,19.24801
2010-08-06,19.629999,21.35,19.34,21.24,137100,20.79490
2010-08-09,22.129999,22.18,20.280001,20.950001,200300,20.51098
2010-08-10,20.99,20.99,19.200001,19.200001,122600,18.79765
2010-08-11,19.00,19.24,17.780001,17.809999,100900,17.43678
2010-08-12,17.50,19.10,17.50,18.98,50600,18.58226
2010-08-13,18.98,19.209999,18.879999,19.209999,34000,18.80744
2010-08-16,19.110001,19.440001,18.60,19.120001,37400,18.71933
2010-08-17,19.360001,19.940001,18.91,19.709999,42800,19.2969
2010-08-18,19.90,22.00,19.90,21.059999,187700,20.6186
2010-08-19,21.209999,21.67,21.10,21.60,53200,21.14736
