Date,Open,High,Low,Close,Volume,Adj Clos
2005-02-14,24.50,24.549999,24.01,24.50,4827700,17.90657
2005-02-15,24.50,25.700001,24.50,25.60,5801400,18.71054
2005-02-16,26.00,26.440001,25.549999,25.969999,4271000,18.98096
2005-02-17,25.959999,26.040001,25.370001,25.85,2111400,18.89326
2005-02-18,25.85,26.68,25.85,26.40,2910200,19.29524
2005-02-22,26.200001,26.799999,25.950001,26.219999,1528300,19.16368
2005-02-23,26.370001,27.00,26.10,26.889999,1123500,19.65337
2005-02-24,26.889999,28.450001,26.82,28.33,2297400,20.70584
2005-02-25,28.450001,30.00,28.450001,28.50,3390600,20.83009
2005-02-28,29.10,29.10,27.700001,28.559999,1673600,20.8739
2005-03-01,28.610001,28.950001,27.799999,28.200001,2358000,20.61083
2005-03-02,28.15,28.66,27.780001,28.18,1414700,20.59621
2005-03-03,28.24,28.24,27.91,28.00,500500,20.46465
2005-03-04,27.950001,28.90,27.950001,28.200001,1488800,20.61083
2005-03-07,28.200001,28.48,28.049999,28.049999,1905100,20.50120
2005-03-08,28.049999,28.049999,26.780001,27.549999,1549500,20.1357
2005-03-09,27.50,28.41,27.50,27.60,1233700,20.17230
2005-03-10,27.700001,28.049999,26.82,27.25,1098300,19.91649
2005-03-11,27.25,27.85,27.16,27.530001,845600,20.12114
2005-03-14,27.40,27.450001,25.57,26.93,2277900,19.68261
2005-03-15,27.049999,27.23,26.10,26.459999,630600,19.339
2005-03-16,25.65,26.00,24.450001,25.49,4051000,18.63014
2005-03-17,25.40,26.16,25.25,26.15,1131000,19.11252
2005-03-18,25.950001,26.02,25.17,25.549999,765400,18.67399
2005-03-21,25.50,25.549999,24.50,24.91,457600,18.20623
2005-03-22,24.700001,25.700001,24.700001,25.50,974900,18.63745
2005-03-23,25.76,26.25,24.82,24.950001,870000,18.23547
2005-03-24,24.940001,25.200001,24.01,24.16,1626700,17.65807
2005-03-28,24.049999,24.35,23.299999,23.73,1801400,17.34379
2005-03-29,23.23,24.15,23.15,23.209999,1416700,16.96373
2005-03-30,23.049999,23.16,22.00,22.75,4545800,16.62753
2005-03-31,22.98,23.60,22.75,23.32,3508900,17.04413
2005-04-01,23.42,23.780001,22.76,23.379999,1654500,17.08798
2005-04-04,23.200001,23.299999,23.01,23.10,558300,16.88334
2005-04-05,23.040001,23.129999,22.379999,22.49,1760900,16.43750
2005-04-06,22.299999,22.639999,21.82,22.00,1548400,16.07937
2005-04-07,22.15,22.629999,21.809999,22.549999,1365000,16.48135
2005-04-08,22.549999,22.549999,22.110001,22.370001,907300,16.349
2005-04-11,22.370001,22.50,22.200001,22.35,643300,16.33518
2005-04-12,22.32,22.790001,22.15,22.549999,3012500,16.48135
2005-04-13,22.50,22.51,21.940001,22.23,3356300,16.24747
2005-04-14,22.200001,22.200001,20.700001,21.379999,2637700,15.62622
2005-04-15,21.299999,21.309999,20.75,20.950001,2945900,15.3119
2005-04-18,20.799999,20.940001,20.209999,20.440001,1258800,14.939
2005-04-19,20.75,21.40,20.75,21.17,1620300,15.47274
2005-04-20,21.35,21.35,19.91,20.280001,556400,14.82225
2005-04-21,20.799999,21.309999,20.49,21.200001,501800,15.4946
2005-04-22,21.35,21.35,19.790001,20.01,777200,14.62492
2005-04-25,19.85,21.60,19.85,21.450001,1381200,15.6773
2005-04-26,21.35,22.290001,20.459999,21.00,1166800,15.34849
2005-04-27,21.00,21.00,19.83,20.32,755700,14.85149
2005-04-28,20.60,20.879999,19.60,20.190001,727200,14.7564
2005-04-29,20.700001,21.040001,20.200001,21.040001,679800,15.37772
2005-05-02,21.15,21.68,21.15,21.60,981600,15.78702
2005-05-03,21.50,22.16,21.389999,22.16,673300,16.19631
2005-05-04,23.10,23.24,22.27,23.02,1361600,16.82487
2005-05-05,23.15,23.34,22.73,22.959999,734100,16.78101
2005-05-06,23.200001,23.209999,22.549999,22.75,874800,16.62753
2005-05-09,22.75,23.200001,21.799999,23.200001,745500,16.95643
2005-05-10,23.200001,23.200001,22.35,22.700001,720000,16.59099
2005-05-11,22.700001,22.700001,21.799999,22.00,786800,16.07937
2005-05-12,21.90,22.23,21.219999,21.42,1890400,15.65546
2005-05-13,21.42,21.42,19.91,20.23,1095400,14.78571
2005-05-16,20.129999,20.129999,18.35,19.10,1943700,13.9598
2005-05-17,19.110001,19.290001,18.299999,18.82,595600,13.75517
2005-05-18,18.950001,19.74,18.85,19.299999,1965700,14.10599
2005-05-19,19.60,19.950001,19.50,19.52,418200,14.2667
2005-05-20,19.559999,19.559999,19.00,19.16,267800,14.00367
2005-05-23,19.00,19.35,18.93,19.219999,521800,14.04752
2005-05-24,19.280001,19.299999,18.75,18.83,993000,13.76248
2005-05-25,18.90,18.90,18.469999,18.610001,524000,13.60168
2005-05-26,18.66,18.90,18.15,18.469999,2427200,13.49936
2005-05-27,18.60,18.860001,18.309999,18.790001,468800,13.73324
2005-05-31,18.870001,19.35,18.549999,19.25,916900,14.06945
2005-06-01,19.200001,19.50,18.75,19.02,1337600,13.9013
2005-06-02,18.90,19.00,18.57,18.940001,569700,13.84287
