Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,3.125,3.25,3.0625,3.25,73300,2.68349
2000-01-04,3.25,3.25,3.125,3.25,32500,2.68349
2000-01-05,3.25,3.3125,3.1875,3.3125,27300,2.73509
2000-01-06,3.25,3.3125,3.1875,3.1875,64500,2.63188
2000-01-07,3.1875,3.25,3.1875,3.1875,20800,2.63188
2000-01-10,3.1875,3.25,3.1875,3.1875,24400,2.63188
2000-01-11,3.25,3.25,3.0625,3.1875,47000,2.63188
2000-01-12,3.0625,3.125,3.00,3.00,54100,2.51094
2000-01-13,3.0625,3.0625,2.9375,3.00,78500,2.51094
2000-01-14,3.00,3.0625,3.00,3.00,59500,2.51094
2000-01-18,3.00,3.0625,3.00,3.00,34300,2.51094
2000-01-19,3.00,3.0625,3.00,3.0625,50800,2.56325
2000-01-20,3.0625,3.0625,3.00,3.0625,38000,2.56325
2000-01-21,3.00,3.0625,3.00,3.0625,27000,2.56325
2000-01-24,3.0625,3.0625,3.00,3.00,31100,2.51094
2000-01-25,3.0625,3.0625,3.00,3.00,29900,2.51094
2000-01-26,3.00,3.0625,3.00,3.00,39600,2.51094
2000-01-27,3.00,3.125,3.00,3.125,48800,2.61556
2000-01-28,3.0625,3.125,3.0625,3.125,24000,2.61556
2000-01-31,3.0625,3.1875,3.0625,3.125,41900,2.61556
2000-02-01,3.125,3.1875,3.0625,3.125,52200,2.61556
2000-02-02,3.1875,3.25,3.125,3.125,19500,2.61556
2000-02-03,3.125,3.25,3.125,3.1875,49500,2.66787
2000-02-04,3.125,3.1875,3.125,3.1875,28700,2.66787
2000-02-07,3.1875,3.1875,3.125,3.125,36600,2.61556
2000-02-08,3.1875,3.25,3.125,3.125,20800,2.61556
2000-02-09,3.1875,3.25,3.125,3.125,26200,2.61556
2000-02-10,3.1875,3.25,3.125,3.125,20400,2.61556
2000-02-11,3.1875,3.1875,3.0625,3.125,35500,2.64519
2000-02-14,3.125,3.1875,3.0625,3.0625,25000,2.59228
2000-02-15,3.125,3.125,3.0625,3.125,26800,2.64519
2000-02-16,3.1875,3.1875,3.125,3.125,44700,2.64519
2000-02-17,3.125,3.1875,3.125,3.125,24000,2.64519
2000-02-18,3.125,3.1875,3.0625,3.125,42200,2.64519
2000-02-22,3.0625,3.125,3.0625,3.0625,21400,2.59228
2000-02-23,3.125,3.125,3.0625,3.0625,19900,2.59228
2000-02-24,3.125,3.125,3.0625,3.125,35100,2.64519
2000-02-25,3.125,3.125,3.0625,3.125,41200,2.64519
2000-02-28,3.0625,3.125,3.0625,3.125,32700,2.64519
2000-02-29,3.125,3.125,3.0625,3.0625,56200,2.59228
2000-03-01,3.125,3.125,3.00,3.125,94500,2.64519
2000-03-02,3.125,3.1875,3.0625,3.0625,113000,2.59228
2000-03-03,3.125,3.1875,3.0625,3.125,26600,2.64519
