Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,7.75,7.875,7.75,7.8125,20700,1.53635
2000-01-04,7.75,7.75,7.6875,7.6875,13600,1.51176
2000-01-05,7.625,7.6875,7.5625,7.5625,24900,1.48718
2000-01-06,7.625,7.625,7.5625,7.5625,24900,1.48718
2000-01-07,7.625,7.625,7.50,7.5625,26300,1.48718
2000-01-10,7.6875,7.75,7.6875,7.75,23300,1.5240
2000-01-11,7.8125,7.9375,7.8125,7.875,22700,1.54864
2000-01-12,7.8125,7.8125,7.625,7.625,23100,1.49947
2000-01-13,7.6875,8.00,7.6875,7.75,96300,1.5240
2000-01-14,7.875,8.00,7.8125,7.8125,51600,1.53635
2000-01-18,8.00,8.00,7.8125,7.875,67100,1.54864
2000-01-19,7.9375,7.9375,7.6875,7.6875,26800,1.51176
2000-01-20,7.8125,7.9375,7.75,7.8125,24700,1.53635
2000-01-21,7.75,7.8125,7.6875,7.6875,18100,1.51176
2000-01-24,7.625,7.75,7.5625,7.75,19100,1.5240
2000-01-25,7.6875,7.6875,7.50,7.50,19500,1.47489
2000-01-26,7.50,7.5625,7.4375,7.50,53100,1.47489
2000-01-27,7.4375,7.5625,7.4375,7.4375,19800,1.46260
2000-01-28,7.50,7.50,7.3125,7.3125,10700,1.43802
2000-01-31,7.3125,7.4375,7.25,7.375,22400,1.45031
2000-02-01,7.375,7.4375,7.25,7.25,18900,1.42573
2000-02-02,7.25,7.375,7.125,7.3125,33500,1.43802
2000-02-03,7.25,7.50,7.25,7.50,24400,1.47489
2000-02-04,7.375,7.4375,7.3125,7.375,22400,1.45031
2000-02-07,7.375,7.375,7.1875,7.25,16700,1.42573
2000-02-08,7.1875,7.3125,7.1875,7.25,9900,1.42573
2000-02-09,7.25,7.4375,7.1875,7.1875,64800,1.41344
2000-02-10,7.1875,7.3125,7.0625,7.0625,30200,1.38886
2000-02-11,7.1875,7.1875,7.125,7.125,17600,1.40115
2000-02-14,7.0625,7.125,7.00,7.125,44700,1.40115
2000-02-15,7.0625,7.125,7.0625,7.125,18700,1.40115
2000-02-16,7.125,7.1875,7.0625,7.125,21700,1.40115
2000-02-17,7.125,7.25,7.125,7.125,31600,1.40115
2000-02-18,7.0625,7.1875,7.00,7.00,42800,1.3765
2000-02-22,7.25,7.25,6.8125,7.00,37000,1.3765
2000-02-23,7.00,7.00,6.875,7.00,36300,1.3765
2000-02-24,6.875,6.875,6.625,6.6875,39900,1.31511
2000-02-25,6.8125,6.875,6.75,6.8125,76600,1.33969
2000-02-28,6.75,6.875,6.75,6.75,26800,1.32740
2000-02-29,6.875,7.00,6.875,6.9375,38500,1.36427
2000-03-01,6.8125,7.00,6.8125,6.8125,49300,1.33969
