Date,Open,High,Low,Close,Volume,Adj Clos
2000-03-28,14.00,14.50,12.50,14.25,20932000,2.1888
2000-03-29,15.375,15.75,15.00,15.00,8295000,2.30405
2000-03-30,15.00,15.125,13.25,14.50,3353000,2.22725
2000-03-31,15.00,15.00,14.50,14.625,2803000,2.24645
2000-04-03,14.00,14.625,13.125,14.375,5361000,2.20805
2000-04-04,12.50,12.75,11.75,12.50,4075500,1.92004
2000-04-05,12.25,14.00,11.75,13.875,1769500,2.13124
2000-04-06,13.25,17.00,13.25,16.6875,2602500,2.56325
2000-04-07,17.50,18.75,17.50,17.625,1361000,2.70726
2000-04-10,18.50,18.50,15.125,16.0625,1451500,2.46725
2000-04-11,15.50,16.00,15.00,15.875,526000,2.43845
2000-04-12,16.00,16.125,15.50,15.75,921500,2.41925
2000-04-13,15.625,15.75,15.00,15.125,1122500,2.32325
2000-04-14,14.75,15.125,14.50,15.00,1795500,2.30405
2000-04-17,14.75,15.125,14.50,15.00,1266000,2.30405
2000-04-18,15.25,16.00,15.25,15.75,833500,2.41925
2000-04-19,15.50,16.00,15.125,15.875,792000,2.43845
2000-04-20,15.625,16.25,15.50,16.00,489500,2.45765
2000-04-24,15.75,15.75,14.6875,14.75,154500,2.26565
2000-04-25,15.00,15.375,14.9375,15.25,142500,2.34245
2000-04-26,15.75,17.3125,15.75,17.25,1609000,2.64966
2000-04-27,16.50,17.50,16.00,17.125,1312500,2.6304
2000-04-28,17.375,17.75,17.00,17.25,497500,2.64966
2000-05-01,17.50,17.50,16.875,16.9375,213000,2.6016
2000-05-02,16.75,16.75,16.125,16.375,656000,2.51525
2000-05-03,16.25,16.25,14.875,15.00,775500,2.30405
2000-05-04,15.00,15.375,15.00,15.25,488000,2.34245
2000-05-05,15.3125,15.5625,15.3125,15.5625,114000,2.39045
2000-05-08,16.00,16.50,15.625,16.375,612000,2.51525
2000-05-09,16.25,16.5625,16.0625,16.50,273000,2.53445
2000-05-10,16.50,16.50,15.625,15.75,215000,2.41925
2000-05-11,15.875,15.875,15.375,15.375,112500,2.36165
2000-05-12,15.25,15.25,15.00,15.0625,1150000,2.31365
2000-05-15,14.9375,15.125,14.875,15.0625,162000,2.31365
2000-05-16,15.1875,15.1875,15.00,15.125,94500,2.32325
2000-05-17,15.00,15.125,15.00,15.00,418500,2.30405
2000-05-18,15.00,15.1875,14.875,15.00,62500,2.30405
2000-05-19,14.875,14.875,14.625,14.6875,158500,2.25605
2000-05-22,15.00,15.00,14.625,15.00,1319000,2.30405
2000-05-23,15.1875,15.1875,15.00,15.00,775500,2.30405
2000-05-24,15.00,15.0625,15.00,15.00,126500,2.30405
2000-05-25,15.125,15.125,15.00,15.0625,1467500,2.31365
