Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,44.250036,44.250036,44.000029,44.000029,1900,7.26231
2000-01-04,43.750022,43.750022,43.375011,43.453142,16500,7.17204
2000-01-05,43.500015,43.531276,42.625029,42.625029,28300,7.03536
2000-01-06,42.625029,42.750033,41.875048,41.875048,6300,6.9115
2000-01-07,40.750012,42.000008,40.750012,42.000008,11200,6.93220
2000-01-10,41.875048,41.875048,40.875015,41.625041,9000,6.87031
2000-01-11,40.500049,41.875048,40.375041,41.500037,35900,6.84968
2000-01-12,41.500037,41.500037,41.125022,41.125022,6900,6.78778
2000-01-13,41.000019,42.000008,41.000019,42.000008,9600,6.93220
2000-01-14,41.125022,42.000008,41.125022,42.000008,5100,6.93220
2000-01-18,42.000008,42.000008,41.000019,41.000019,3400,6.76715
2000-01-19,40.875015,41.000019,40.125034,40.625008,4100,6.70525
2000-01-20,41.000019,42.000008,40.00003,40.125034,14800,6.62273
2000-01-21,40.218776,40.875015,40.125034,40.125034,24800,6.62273
2000-01-24,40.125034,41.875048,40.125034,41.000019,35300,6.76715
2000-01-25,41.000019,42.000008,41.000019,41.000019,43200,6.76715
2000-01-26,41.000019,41.000019,40.250037,40.250037,7200,6.64336
2000-01-27,40.250037,40.687532,40.250037,40.250037,13800,6.64336
2000-01-28,40.250037,40.562528,40.00003,40.562528,71100,6.69494
2000-01-31,40.500049,40.500049,40.250037,40.500049,25000,6.68463
2000-02-01,40.437525,40.437525,38.343762,39.875027,53500,6.58147
2000-02-02,40.500049,40.500049,39.250009,39.250009,5500,6.4783
2000-02-03,40.062514,42.56255,40.062514,42.000008,55100,6.93220
2000-02-04,41.25003,42.000008,41.000019,41.000019,20500,6.76715
2000-02-07,41.468775,42.125015,41.375034,41.500037,13900,6.84968
2000-02-08,41.500037,42.375022,41.000019,41.125022,37400,6.78778
2000-02-09,41.500037,43.00004,41.25003,41.25003,16500,6.80841
2000-02-10,42.000008,42.000008,38.25002,39.000042,17200,6.43705
