Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,27.00,27.00,25.9375,26.125,94000,13.1846
2000-01-04,26.00,26.375,25.9375,26.00,66100,13.12153
2000-01-05,26.00,26.9375,26.00,26.9375,131600,13.59466
2000-01-06,27.00,27.375,27.00,27.125,117600,13.68929
2000-01-07,27.125,27.625,27.125,27.5625,132000,13.91008
2000-01-10,27.50,27.6875,27.125,27.50,87800,13.87854
2000-01-11,27.50,27.50,27.00,27.125,99800,13.68929
2000-01-12,27.1875,27.6875,27.1875,27.6875,193400,13.97317
2000-01-13,27.9375,28.9375,27.8125,28.4375,189900,14.35167
2000-01-14,28.50,29.4375,28.50,29.0625,505900,14.66710
2000-01-18,29.3125,29.3125,28.5625,28.9375,127200,14.60401
2000-01-19,28.875,30.00,28.875,29.875,156400,15.07714
2000-01-20,30.00,35.00,30.00,34.50,1230700,17.41126
2000-01-21,34.50,38.50,34.375,38.25,2619800,19.30379
2000-01-24,46.00,53.00,37.75,38.00,2122600,19.41363
2000-01-25,37.75,37.75,33.8125,34.4375,660500,17.59360
2000-01-26,34.4375,35.25,32.5625,33.6875,421700,17.21044
2000-01-27,33.5625,34.00,32.75,32.875,213700,16.7953
2000-01-28,32.9375,32.9375,31.5625,31.75,251900,16.22060
2000-01-31,31.75,33.6875,31.4375,33.5625,242700,17.14658
2000-02-01,33.125,34.4375,32.25,34.25,184300,17.49781
2000-02-02,34.0625,34.0625,32.1875,32.50,107800,16.60376
2000-02-03,32.50,34.125,32.50,33.75,153600,17.24237
2000-02-04,33.75,33.75,32.50,33.00,149700,16.85921
2000-02-07,33.00,33.3125,32.4375,32.6875,113100,16.69955
2000-02-08,32.8125,33.625,31.8125,32.00,195100,16.34832
2000-02-09,32.25,32.625,32.0625,32.25,88100,16.47604
2000-02-10,32.1875,32.25,31.5625,32.00,84800,16.34832
2000-02-11,32.00,32.00,31.1875,31.625,125000,16.15674
2000-02-14,31.625,31.8125,31.375,31.375,150000,16.02902
2000-02-15,31.375,31.375,30.9375,31.1875,74700,15.93323
2000-02-16,31.1875,31.3125,31.00,31.25,98700,15.96516
2000-02-17,31.25,33.125,31.25,32.00,277300,16.34832
2000-02-18,32.125,32.1875,31.375,31.5625,122400,16.12481
2000-02-22,32.00,32.1875,30.75,31.125,153100,15.90130
2000-02-23,31.4375,31.5625,30.75,31.0625,211100,15.86937
2000-02-24,31.00,31.0625,30.00,30.25,163600,15.45427
2000-02-25,30.125,30.50,29.75,30.25,118400,15.45427
2000-02-28,30.125,30.75,29.625,30.5625,93500,15.61392
2000-02-29,31.00,32.0625,31.00,31.875,130700,16.28446
2000-03-01,31.75,31.8125,30.3125,30.9375,122600,15.8055
2000-03-02,31.0625,31.50,30.75,31.3125,70800,15.99709
2000-03-03,31.3125,32.00,31.3125,31.8125,115700,16.25253
2000-03-06,32.625,32.8125,32.00,32.125,202200,16.41218
2000-03-07,32.875,32.875,31.375,31.375,194300,16.02902
2000-03-08,31.25,32.875,31.125,32.25,145200,16.47604
2000-03-09,32.125,32.375,31.50,32.25,125700,16.47604
2000-03-10,32.4375,32.75,32.1875,32.3125,89500,16.50797
2000-03-13,32.3125,32.3125,31.6875,31.9375,70400,16.31639
2000-03-14,32.00,32.0625,31.3125,31.625,96900,16.15674
2000-03-15,31.625,33.1875,31.625,32.875,163800,16.7953
2000-03-16,32.6875,34.9375,32.6875,34.50,218600,17.62553
2000-03-17,33.75,34.25,32.9375,33.3125,130100,17.01886
2000-03-20,33.50,34.1875,33.375,33.875,177100,17.30623
2000-03-21,33.875,34.125,32.8125,33.0625,148200,16.89114
2000-03-22,33.00,33.00,31.9375,32.625,122200,16.66762
2000-03-23,32.75,33.75,32.5625,33.0625,97300,16.89114
2000-03-24,33.125,34.125,33.125,33.25,78900,16.98693
2000-03-27,33.4375,33.6875,33.0625,33.125,86400,16.92307
2000-03-28,33.1875,33.1875,32.125,32.125,87000,16.41218
2000-03-29,32.3125,33.00,32.00,32.25,133000,16.47604
2000-03-30,32.50,33.75,32.50,32.8125,136700,16.7634
2000-03-31,33.00,34.75,32.50,34.75,167300,17.7532
2000-04-03,34.50,35.25,33.6875,33.75,116200,17.24237
2000-04-04,33.50,34.50,31.5625,33.5625,180900,17.14658
2000-04-05,33.6875,34.6875,33.0625,34.375,121200,17.56167
2000-04-06,34.50,35.5625,33.25,33.6875,136400,17.21044
2000-04-07,33.625,33.9375,33.125,33.8125,59900,17.27430
2000-04-10,33.25,34.00,33.1875,33.25,78200,16.98693
2000-04-11,33.00,33.3125,32.375,33.25,150100,16.98693
2000-04-12,33.00,33.4375,32.75,32.75,94500,16.7314
2000-04-13,32.50,32.875,31.8125,32.875,178000,16.7953
2000-04-14,32.875,33.25,31.75,32.1875,134400,16.44411
2000-04-17,32.00,32.625,31.00,32.50,148700,16.60376
