Date,Open,High,Low,Close,Volume,Adj Clos
2004-02-25,15.00,15.16,15.00,15.11,547400,4.55975
2004-02-26,15.05,15.15,15.00,15.12,218200,4.5627
2004-02-27,15.12,15.15,15.00,15.15,165800,4.57182
2004-03-01,15.15,15.15,15.02,15.14,131400,4.56880
2004-03-02,15.14,15.14,15.05,15.13,127400,4.56578
2004-03-03,15.10,15.15,15.07,15.10,100100,4.55673
2004-03-04,15.11,15.35,15.10,15.28,140000,4.61105
2004-03-05,15.50,15.50,15.18,15.34,195600,4.62915
2004-03-08,15.34,15.39,15.21,15.25,113500,4.60
2004-03-09,15.29,15.30,15.21,15.29,122000,4.61407
2004-03-10,15.29,15.33,15.12,15.24,124800,4.59898
2004-03-11,15.25,15.28,15.15,15.25,123700,4.60
2004-03-12,15.25,15.26,15.13,15.21,106700,4.58992
2004-03-15,15.26,15.26,15.15,15.19,105100,4.58389
2004-03-16,15.19,15.25,15.12,15.20,101700,4.58691
2004-03-17,15.17,15.26,15.13,15.24,102000,4.59898
2004-03-18,15.24,15.29,15.19,15.28,115500,4.61105
2004-03-19,15.29,15.29,15.19,15.19,95200,4.58389
2004-03-22,15.18,15.19,15.11,15.11,104000,4.55975
2004-03-23,15.11,15.20,15.05,15.15,130900,4.57182
2004-03-24,15.15,15.15,15.02,15.08,165900,4.55069
2004-03-25,15.03,15.09,15.00,15.00,252700,4.52655
2004-03-26,15.00,15.04,15.00,15.02,144500,4.53259
2004-03-29,15.00,15.01,15.00,15.00,181300,4.52655
2004-03-30,15.00,15.05,15.00,15.01,115500,4.52957
2004-03-31,15.01,15.02,15.00,15.01,387100,4.52957
2004-04-01,15.00,15.02,15.00,15.00,233200,4.52655
2004-04-02,15.01,15.05,15.00,15.00,146800,4.52655
2004-04-05,15.00,15.01,15.00,15.00,354400,4.52655
2004-04-06,15.00,15.01,14.70,14.72,382100,4.44206
2004-04-07,14.75,14.95,14.71,14.72,153300,4.44206
2004-04-08,14.72,14.90,14.70,14.80,158400,4.46620
2004-04-12,14.75,14.75,13.50,13.85,425000,4.17952
2004-04-13,13.50,13.85,13.26,13.70,416400,4.13425
2004-04-14,13.35,13.74,13.25,13.33,299100,4.022
2004-04-15,13.31,13.70,13.31,13.64,217500,4.11614
2004-04-16,13.67,14.00,13.61,14.00,173500,4.22478
2004-04-19,14.05,14.05,13.80,13.86,157900,4.18253
2004-04-20,13.86,13.96,13.61,13.67,156600,4.12520
2004-04-21,13.60,13.60,13.20,13.35,258400,4.02863
2004-04-22,13.35,13.55,13.21,13.36,178200,4.03165
2004-04-23,13.40,13.40,12.90,12.98,297800,3.91698
2004-04-26,12.90,12.90,12.41,12.63,474600,3.81136
2004-04-27,12.41,12.70,12.10,12.35,770600,3.72686
2004-04-28,12.20,12.60,12.06,12.60,378000,3.80230
2004-04-29,12.60,12.73,12.50,12.58,268000,3.79627
2004-04-30,12.51,12.90,12.51,12.64,221300,3.81437
2004-05-03,12.60,12.97,12.53,12.97,222000,3.91396
2004-05-04,12.97,13.25,12.50,12.96,228500,3.91094
2004-05-05,13.05,13.20,12.88,12.88,183000,3.88680
2004-05-06,12.90,13.00,12.55,12.78,209300,3.85662
2004-05-07,12.78,12.78,11.50,11.89,436900,3.58805
2004-05-10,11.60,11.90,10.70,11.45,719100,3.45527
2004-05-11,11.70,12.15,11.65,11.78,372000,3.55485
2004-05-12,11.78,12.00,11.52,11.95,323800,3.60615
2004-05-13,12.00,12.35,12.00,12.21,244900,3.68461
2004-05-14,12.21,12.48,12.06,12.35,268800,3.72686
2004-05-17,12.45,12.49,12.13,12.26,183500,3.69970
2004-05-18,12.26,12.49,12.03,12.15,209400,3.6948
2004-05-19,12.24,12.75,11.91,11.99,277900,3.64618
2004-05-20,12.10,12.49,12.01,12.35,228900,3.75566
2004-05-21,12.35,12.75,12.17,12.65,186200,3.84689
2004-05-24,12.45,12.64,12.32,12.49,184500,3.79823
2004-05-25,12.26,12.64,12.25,12.53,305000,3.81039
2004-05-26,12.38,12.88,12.38,12.85,187200,3.90771
2004-05-27,12.70,12.99,12.55,12.89,176500,3.91987
2004-05-28,12.99,13.23,12.82,13.16,152900,4.00198
2004-06-01,13.24,13.30,12.86,13.20,181700,4.01414
2004-06-02,13.19,13.43,12.96,13.30,195100,4.04455
2004-06-03,13.30,13.30,13.02,13.13,162800,3.99286
2004-06-04,13.12,13.32,12.92,13.15,154800,3.99894
2004-06-07,13.15,13.24,13.00,13.07,189800,3.97461
2004-06-08,13.11,13.17,12.75,12.85,233200,3.90771
2004-06-09,12.75,12.98,12.75,12.81,186700,3.89554
2004-06-10,12.71,12.90,12.66,12.89,181900,3.91987
2004-06-14,12.88,12.90,12.27,12.35,206900,3.75566
2004-06-15,12.34,12.55,12.26,12.30,246000,3.74045
2004-06-16,12.29,12.49,12.25,12.45,207700,3.78607
2004-06-17,12.20,12.41,12.16,12.36,231900,3.78729
2004-06-18,12.26,12.35,12.05,12.26,232200,3.75665
2004-06-21,12.21,12.28,12.14,12.18,256300,3.73214
2004-06-22,12.18,12.24,11.85,11.92,292200,3.65247
2004-06-23,11.77,12.00,11.77,11.99,323700,3.67392
2004-06-24,12.00,12.23,11.97,12.19,318200,3.73520
2004-06-25,12.13,12.40,12.10,12.31,223100,3.77197
2004-06-28,12.40,12.53,12.34,12.50,147300,3.83019
2004-06-29,12.41,12.53,12.30,12.46,149600,3.81793
2004-06-30,12.56,12.56,12.21,12.40,196600,3.79955
2004-07-01,12.48,12.74,12.40,12.74,260500,3.90373
2004-07-02,12.77,13.09,12.70,12.93,172000,3.96195
2004-07-06,12.87,12.90,12.50,12.88,187500,3.94663
2004-07-07,12.93,12.95,12.75,12.75,166700,3.90679
2004-07-08,12.69,12.83,12.66,12.71,230400,3.89454
2004-07-09,12.66,13.15,12.65,12.99,143300,3.98033
2004-07-12,12.99,13.18,12.81,12.89,150300,3.94969
2004-07-13,12.89,12.99,12.80,12.92,185800,3.95888
2004-07-14,12.97,13.09,12.83,13.00,182200,3.98340
2004-07-15,12.92,13.18,12.85,12.90,232200,3.95276
2004-07-16,12.85,13.05,12.77,12.98,177800,4.00646
2004-07-19,12.94,12.98,12.77,12.87,192800,3.97251
2004-07-20,12.87,12.87,12.76,12.84,212400,3.96325
2004-07-21,12.76,12.84,12.74,12.74,214700,3.93238
2004-07-22,12.72,12.74,12.51,12.62,157200,3.8953
2004-07-23,12.63,12.64,12.50,12.51,137900,3.86139
2004-07-26,12.51,12.62,12.26,12.30,169000,3.79657
2004-07-27,12.25,12.49,12.10,12.10,246600,3.73484
2004-07-28,12.11,12.39,12.00,12.35,192200,3.8120
2004-07-29,12.35,12.45,12.30,12.39,126800,3.82435
2004-07-30,12.54,12.85,12.43,12.80,155200,3.95090
2004-08-02,12.80,12.95,12.65,12.95,168600,3.99720
2004-08-03,12.91,13.19,12.82,13.05,210700,4.02807
